state	power	likelihood
2510	1	-217.528
2520	1	-216.726
2530	1	-216.478
2540	1	-217.57
2550	1	-221.272
2560	1	-219.535
2570	1	-226.493
2580	1	-219.803
2590	1	-216.991
2600	1	-216.102
2610	1	-216.279
2620	1	-217.934
2630	1	-216.594
2640	1	-218.903
2650	1	-218.287
2660	1	-218.012
2670	1	-218.608
2680	1	-220.607
2690	1	-219.246
2700	1	-216.372
2710	1	-215.867
2720	1	-216.109
2730	1	-218.418
2740	1	-221.117
2750	1	-219.591
2760	1	-223.196
2770	1	-218.538
2780	1	-217.039
2790	1	-215.9
2800	1	-220.084
2810	1	-219.502
2820	1	-219.03
2830	1	-217.36
2840	1	-218.323
2850	1	-225.2
2860	1	-227.941
2870	1	-222.846
2880	1	-219.25
2890	1	-215.947
2900	1	-215.438
2910	1	-219.438
2920	1	-221.585
2930	1	-220.577
2940	1	-217.8
2950	1	-220.402
2960	1	-216.609
2970	1	-218.583
2980	1	-220.403
2990	1	-216.849
3000	1	-217.401
3010	1	-217.24
3020	1	-217.673
3030	1	-218.634
3040	1	-216.557
3050	1	-217.357
3060	1	-216.992
3070	1	-218.204
3080	1	-217.348
3090	1	-215.111
3100	1	-217.596
3110	1	-217.141
3120	1	-217.603
3130	1	-218.304
3140	1	-219.997
3150	1	-224.424
3160	1	-217.531
3170	1	-215.554
3180	1	-216.846
3190	1	-218.074
3200	1	-216.502
3210	1	-220.215
3220	1	-225.998
3230	1	-222.615
3240	1	-220.72
3250	1	-220.477
3260	1	-218.315
3270	1	-216.179
3280	1	-223.967
3290	1	-217.732
3300	1	-217.879
3310	1	-220.847
3320	1	-218.763
3330	1	-221.261
3340	1	-225.589
3350	1	-220.368
3360	1	-217.427
3370	1	-222.295
3380	1	-215.101
3390	1	-219.572
3400	1	-215.137
3410	1	-215.926
3420	1	-216.807
3430	1	-217.047
3440	1	-221.157
3450	1	-220.128
3460	1	-221.368
3470	1	-215.929
3480	1	-221.545
3490	1	-220.023
3500	1	-216.714
3510	1	-218.562
3520	1	-216.127
3530	1	-217.077
3540	1	-216.821
3550	1	-219.668
3560	1	-214.898
3570	1	-218.721
3580	1	-222.848
3590	1	-220.523
3600	1	-215.547
3610	1	-216.965
3620	1	-216.543
3630	1	-216.805
3640	1	-216.793
3650	1	-219.423
3660	1	-218.891
3670	1	-218.001
3680	1	-221.108
3690	1	-218.13
3700	1	-218.129
3710	1	-217.221
3720	1	-216.334
3730	1	-218.965
3740	1	-217.789
3750	1	-218.458
3760	1	-217.155
3770	1	-217.19
3780	1	-217.805
3790	1	-217.888
3800	1	-218.522
3810	1	-217.765
3820	1	-220.244
3830	1	-221.208
3840	1	-217.447
3850	1	-221.214
3860	1	-217.811
3870	1	-223.501
3880	1	-216.245
3890	1	-217.374
3900	1	-216.77
3910	1	-221.96
3920	1	-217.968
3930	1	-215.832
3940	1	-217.17
3950	1	-222.195
3960	1	-222.399
