state	power	likelihood
2510	0.635728	-220.513
2520	0.635728	-229.527
2530	0.635728	-223.113
2540	0.635728	-220.246
2550	0.635728	-234.179
2560	0.635728	-220.567
2570	0.635728	-217.007
2580	0.635728	-223.536
2590	0.635728	-217.922
2600	0.635728	-224.128
2610	0.635728	-219.717
2620	0.635728	-221.832
2630	0.635728	-224.131
2640	0.635728	-224.447
2650	0.635728	-228.603
2660	0.635728	-223.448
2670	0.635728	-223.501
2680	0.635728	-217.791
2690	0.635728	-220.804
2700	0.635728	-222.972
2710	0.635728	-221.403
2720	0.635728	-218.846
2730	0.635728	-220.175
2740	0.635728	-227.329
2750	0.635728	-220.141
2760	0.635728	-215.31
2770	0.635728	-234.607
2780	0.635728	-221.778
2790	0.635728	-224.39
2800	0.635728	-222.468
2810	0.635728	-217.266
2820	0.635728	-231.681
2830	0.635728	-223.677
2840	0.635728	-227.106
2850	0.635728	-219.114
2860	0.635728	-215.925
2870	0.635728	-224.618
2880	0.635728	-215.329
2890	0.635728	-228.103
2900	0.635728	-219.418
2910	0.635728	-222.65
2920	0.635728	-224.407
2930	0.635728	-217.396
2940	0.635728	-224.311
2950	0.635728	-225.632
2960	0.635728	-228.303
2970	0.635728	-215.673
2980	0.635728	-222.18
2990	0.635728	-220.632
3000	0.635728	-230.375
3010	0.635728	-226.066
3020	0.635728	-234.317
3030	0.635728	-224.454
3040	0.635728	-221.57
3050	0.635728	-227.618
3060	0.635728	-223.402
3070	0.635728	-218.116
3080	0.635728	-229.23
3090	0.635728	-217.571
3100	0.635728	-227.882
3110	0.635728	-229.132
3120	0.635728	-226.783
3130	0.635728	-224.922
3140	0.635728	-226.957
3150	0.635728	-216.394
3160	0.635728	-218.907
3170	0.635728	-220.411
3180	0.635728	-234.494
3190	0.635728	-216.989
3200	0.635728	-226.618
3210	0.635728	-218.839
3220	0.635728	-220.12
3230	0.635728	-219.528
3240	0.635728	-218.407
3250	0.635728	-216.208
3260	0.635728	-225.828
3270	0.635728	-218.619
3280	0.635728	-215.346
3290	0.635728	-219.512
3300	0.635728	-220.492
3310	0.635728	-222.375
3320	0.635728	-216.457
3330	0.635728	-223.113
3340	0.635728	-217.496
3350	0.635728	-219.402
3360	0.635728	-221.478
3370	0.635728	-218.2
3380	0.635728	-230.633
3390	0.635728	-216.794
3400	0.635728	-227.002
3410	0.635728	-217.8
3420	0.635728	-221.317
3430	0.635728	-223.826
3440	0.635728	-219.111
3450	0.635728	-224.903
3460	0.635728	-219.617
3470	0.635728	-218.987
3480	0.635728	-217.241
3490	0.635728	-223.166
3500	0.635728	-219.383
3510	0.635728	-222.161
3520	0.635728	-217.762
3530	0.635728	-223.048
3540	0.635728	-230.966
3550	0.635728	-225.051
3560	0.635728	-221.423
3570	0.635728	-222.583
3580	0.635728	-225.95
3590	0.635728	-219.747
3600	0.635728	-231.496
3610	0.635728	-220.232
3620	0.635728	-216.009
3630	0.635728	-219.398
3640	0.635728	-219.392
3650	0.635728	-220.43
3660	0.635728	-223.933
3670	0.635728	-215.824
3680	0.635728	-215.854
3690	0.635728	-221.394
3700	0.635728	-217.762
3710	0.635728	-220.505
3720	0.635728	-216.576
3730	0.635728	-227.429
3740	0.635728	-221.381
3750	0.635728	-220.434
3760	0.635728	-230.917
3770	0.635728	-220.243
3780	0.635728	-220.137
3790	0.635728	-222.442
3800	0.635728	-218.27
3810	0.635728	-221.344
3820	0.635728	-227.82
3830	0.635728	-221.802
3840	0.635728	-225.942
3850	0.635728	-232.211
3860	0.635728	-224.866
3870	0.635728	-225.698
3880	0.635728	-217.776
3890	0.635728	-227.026
3900	0.635728	-231.305
3910	0.635728	-218.99
3920	0.635728	-219.562
3930	0.635728	-221.513
3940	0.635728	-219.834
3950	0.635728	-219.368
3960	0.635728	-225.632
3970	0.635728	-228.094
3980	0.635728	-224.913
3990	0.635728	-217.327
4000	0.635728	-227.287
4010	0.635728	-225.644
4020	0.635728	-231.471
4030	0.635728	-220.31
4040	0.635728	-219.162
4050	0.635728	-226.049
4060	0.635728	-226.232
4070	0.635728	-223.381
4080	0.635728	-218.339
4090	0.635728	-222.25
4100	0.635728	-221.601
4110	0.635728	-225.993
4120	0.635728	-231.704
4130	0.635728	-222.155
4140	0.635728	-220.989
4150	0.635728	-221.773
4160	0.635728	-227.373
4170	0.635728	-217.952
4180	0.635728	-226.656
4190	0.635728	-222.298
4200	0.635728	-220.428
4210	0.635728	-220.035
4220	0.635728	-229.887
4230	0.635728	-218.116
4240	0.635728	-220.547
4250	0.635728	-224.043
