Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate
0	0	2.683096	0	2.683096	0.04083313
1	1	2.971481	0	2.971481	0.0341034
2	0	2.792872	0	2.792872	0.03838095
3	1	3.24743	0	3.24743	0.01842699
4	0	2.355949	0	2.355949	0.009657922
5	1	2.79438	0	2.79438	0.03834653
6	0	2.439847	0	2.439847	0.04601653
7	1	0.1119412	0	0.1119412	0.09424091
8	0	3.212715	0	3.212715	0.02669964
9	1	3.277152	0	3.277152	0.02034366
10	0	2.643993	0	2.643993	0.01106409
11	1	1.870721	0	1.870721	0.05760396
12	0	2.768926	0	2.768926	0.03892438
13	1	3.251576	0	3.251576	0.01860558
14	0	0.5864451	0	0.5864451	0.08398705
15	1	3.248629	0	3.248629	0.02496118
16	0	3.215834	0	3.215834	0.02656646
17	1	2.884444	0	2.884444	0.03624575
18	0	3.198769	0	3.198769	0.01691385
19	1	2.230558	0	2.230558	0.009164696
20	0	3.055676	0	3.055676	0.0318683
21	1	3.281144	0	3.281144	0.02119029
22	0	3.280999	0	3.280999	0.02112014
23	1	2.870478	0	2.870478	0.01260904
24	0	2.078142	0	2.078142	0.05341926
25	1	-2.083651	0	-2.083651	0.147096
26	0	2.791188	0	2.791188	0.03841934
27	1	-0.5104666	0	-0.5104666	0.1082629
28	0	2.757203	0	2.757203	0.01176912
29	1	3.264605	0	3.264605	0.01928376
30	0	2.017353	0	2.017353	0.05464764
31	1	3.270794	0	3.270794	0.02339439
32	0	3.210822	0	3.210822	0.0267793
33	1	2.979111	0	2.979111	0.03390861
34	0	2.914336	0	2.914336	0.01298291
35	1	2.659154	0	2.659154	0.04135625
36	0	2.337409	0	2.337409	0.04813697
37	1	2.536859	0	2.536859	0.04397986
38	0	2.706481	0	2.706481	0.04031852
39	1	2.959524	0	2.959524	0.01340503
40	0	3.204682	0	3.204682	0.02703218
41	1	3.281163	0	3.281163	0.02120087
42	0	1.302833	0	1.302833	0.06909145
43	1	3.208476	0	3.208476	0.01716026
44	0	3.237514	0	3.237514	0.02555836
45	1	-1.768079	0	-1.768079	0.1388839
46	0	1.542367	0	1.542367	0.06422665
47	1	3.086173	0	3.086173	0.01487796
48	0	2.199111	0	2.199111	0.05096572
49	1	2.907924	0	2.907924	0.0356806
50	0	3.129599	0	3.129599	0.02968365
51	1	3.256368	0	3.256368	0.01883073
52	0	2.156276	0	2.156276	0.05183622
53	1	3.240082	0	3.240082	0.02542664
54	0	3.028465	0	3.028465	0.03261341
55	1	3.126919	0	3.126919	0.02976819
56	0	3.194294	0	3.194294	0.01680627
57	1	2.849145	0	2.849145	0.03708074
58	0	3.273053	0	3.273053	0.01990595
59	1	2.693127	0	2.693127	0.04061283
60	0	3.263207	0	3.263207	0.02402248
61	1	3.218236	0	3.218236	0.0264622
62	0	0.3740843	0	0.3740843	0.08853292
63	1	0.2298159	0	0.2298159	0.0916606
64	0	3.167462	0	3.167462	0.01622448
65	1	3.224099	0	3.224099	0.01760304
66	0	2.813904	0	2.813904	0.03789902
67	1	3.23092	0	3.23092	0.02588285
68	0	2.239725	0	2.239725	0.05013817
69	1	2.880396	0	2.880396	0.03634237
70	0	3.240288	0	3.240288	0.01814667
71	1	3.246305	0	3.246305	0.02509235
72	0	2.432239	0	2.432239	0.04617495
73	1	3.104682	0	3.104682	0.01514565
74	0	3.024385	0	3.024385	0.03272304
75	1	2.879758	0	2.879758	0.03635756
76	0	2.110637	0	2.110637	0.05276156
77	1	1.104973	0	1.104973	0.07314655
78	0	3.231529	0	3.231529	0.02585364
79	1	0.8171526	0	0.8171526	0.07912148
80	0	3.164787	0	3.164787	0.01617149
81	1	2.764812	0	2.764812	0.0118208
82	0	3.222135	0	3.222135	0.02628954
83	1	2.957336	0	2.957336	0.01338361
84	0	2.727275	0	2.727275	0.03985768
85	1	2.504174	0	2.504174	0.04466975
86	0	3.273269	0	3.273269	0.02314674
87	1	2.953601	0	2.953601	0.03455494
88	0	-0.003357108	0	-0.003357108	0.09678713
89	1	2.993763	0	2.993763	0.03353073
90	0	2.447588	0	2.447588	0.04585517
91	1	3.279443	0	3.279443	0.02228056
92	0	2.941655	0	2.941655	0.034853
93	1	2.699539	0	2.699539	0.04047168
94	0	3.281401	0	3.281401	0.02145139
95	1	3.230278	0	3.230278	0.02591351
96	0	3.242146	0	3.242146	0.02531826
97	1	3.070189	0	3.070189	0.01466042
98	0	2.407037	0	2.407037	0.04669859
99	1	3.278076	0	3.278076	0.02047104
100	0	3.100461	0	3.100461	0.03057846
101	1	3.280052	0	3.280052	0.02082991
102	0	2.575248	0	2.575248	0.04316406
103	1	3.19976	0	3.19976	0.01693817
104	0	-0.6428488	0	-0.6428488	0.1113366
105	1	2.384964	0	2.384964	0.009780647
106	0	2.2674	0	2.2674	0.04957288
107	1	-0.2998211	0	-0.2998211	0.1034397
108	0	2.305443	0	2.305443	0.009452331
109	1	3.255141	0	3.255141	0.02457071
110	0	2.895284	0	2.895284	0.01281655
111	1	3.27934	0	3.27934	0.0206807
112	0	3.20799	0	3.20799	0.01714746
113	1	1.374366	0	1.374366	0.06763418
114	0	2.040117	0	2.040117	0.05418791
115	1	2.760634	0	2.760634	0.03911136
116	0	2.807008	0	2.807008	0.03805752
117	1	2.242445	0	2.242445	0.05008266
118	0	3.27996	0	3.27996	0.0208087
119	1	3.272444	0	3.272444	0.02323277
120	0	3.234617	0	3.234617	0.01794382
121	1	2.715476	0	2.715476	0.011496
122	0	2.944173	0	2.944173	0.01325695
123	1	3.009705	0	3.009705	0.01392832
124	0	2.581806	0	2.581806	0.04302404
125	1	1.241138	0	1.241138	0.07035185
126	0	3.240014	0	3.240014	0.02543015
127	1	2.622567	0	2.622567	0.04214911
128	0	0.7273023	0	0.7273023	0.08100779
129	1	2.868447	0	2.868447	0.01259248
130	0	3.161547	0	3.161547	0.0286321
131	1	2.447698	0	2.447698	0.01005858
132	0	3.195519	0	3.195519	0.0273956
133	1	3.2707	0	3.2707	0.02340323
134	0	0.4073284	0	0.4073284	0.08781681
135	1	3.281058	0	3.281058	0.02114681
136	0	2.880082	0	2.880082	0.01268822
137	1	2.498539	0	2.498539	0.04478827
