Iteration	Posterior	Likelihood	Prior	birth_rate
0	2.971481	0	2.971481	0.0341034
10	3.24743	0	3.24743	0.01842699
20	2.79438	0	2.79438	0.03834653
30	0.1119412	0	0.1119412	0.09424091
40	3.277152	0	3.277152	0.02034366
50	1.870721	0	1.870721	0.05760396
60	3.251576	0	3.251576	0.01860558
70	3.248629	0	3.248629	0.02496118
80	2.884444	0	2.884444	0.03624575
90	2.230558	0	2.230558	0.009164696
100	3.281144	0	3.281144	0.02119029
110	2.870478	0	2.870478	0.01260904
120	-2.083651	0	-2.083651	0.147096
130	-0.5104666	0	-0.5104666	0.1082629
140	3.264605	0	3.264605	0.01928376
150	3.270794	0	3.270794	0.02339439
160	2.979111	0	2.979111	0.03390861
170	2.659154	0	2.659154	0.04135625
180	2.536859	0	2.536859	0.04397986
190	2.959524	0	2.959524	0.01340503
200	3.281163	0	3.281163	0.02120087
210	3.208476	0	3.208476	0.01716026
220	-1.768079	0	-1.768079	0.1388839
230	3.086173	0	3.086173	0.01487796
240	2.907924	0	2.907924	0.0356806
250	3.256368	0	3.256368	0.01883073
260	3.240082	0	3.240082	0.02542664
270	3.126919	0	3.126919	0.02976819
280	2.849145	0	2.849145	0.03708074
290	2.693127	0	2.693127	0.04061283
300	3.218236	0	3.218236	0.0264622
310	0.2298159	0	0.2298159	0.0916606
320	3.224099	0	3.224099	0.01760304
330	3.23092	0	3.23092	0.02588285
340	2.880396	0	2.880396	0.03634237
350	3.246305	0	3.246305	0.02509235
360	3.104682	0	3.104682	0.01514565
370	2.879758	0	2.879758	0.03635756
380	1.104973	0	1.104973	0.07314655
390	0.8171526	0	0.8171526	0.07912148
400	2.764812	0	2.764812	0.0118208
410	2.957336	0	2.957336	0.01338361
420	2.504174	0	2.504174	0.04466975
430	2.953601	0	2.953601	0.03455494
440	2.993763	0	2.993763	0.03353073
450	3.279443	0	3.279443	0.02228056
460	2.699539	0	2.699539	0.04047168
470	3.230278	0	3.230278	0.02591351
480	3.070189	0	3.070189	0.01466042
490	3.278076	0	3.278076	0.02047104
500	3.280052	0	3.280052	0.02082991
510	3.19976	0	3.19976	0.01693817
520	2.384964	0	2.384964	0.009780647
530	-0.2998211	0	-0.2998211	0.1034397
540	3.255141	0	3.255141	0.02457071
550	3.27934	0	3.27934	0.0206807
560	1.374366	0	1.374366	0.06763418
570	2.760634	0	2.760634	0.03911136
580	2.242445	0	2.242445	0.05008266
590	3.272444	0	3.272444	0.02323277
600	2.715476	0	2.715476	0.011496
610	3.009705	0	3.009705	0.01392832
620	1.241138	0	1.241138	0.07035185
630	2.622567	0	2.622567	0.04214911
640	2.868447	0	2.868447	0.01259248
650	2.447698	0	2.447698	0.01005858
660	3.2707	0	3.2707	0.02340323
670	3.281058	0	3.281058	0.02114681
680	2.498539	0	2.498539	0.04478827
690	2.096164	0	2.096164	0.05305461
700	3.026364	0	3.026364	0.03266992
710	1.774537	0	1.774537	0.007746109
720	-0.6477708	0	-0.6477708	0.1114515
730	0.8214592	0	0.8214592	0.07903133
740	1.800932	0	1.800932	0.05900973
750	-0.8902893	0	-0.8902893	0.1171724
760	3.013716	0	3.013716	0.03300741
770	2.615066	0	2.615066	0.04231075
780	2.290428	0	2.290428	0.04910156
790	3.143015	0	3.143015	0.02925244
800	2.783677	0	2.783677	0.03859026
810	2.752162	0	2.752162	0.01173522
820	3.12016	0	3.12016	0.0299793
830	1.656108	0	1.656108	0.06192893
840	1.698195	0	1.698195	0.007550987
850	2.930777	0	2.930777	0.03512208
860	2.749185	0	2.749185	0.03936852
870	3.254144	0	3.254144	0.024633
880	2.321485	0	2.321485	0.04846439
890	3.240732	0	3.240732	0.02539272
900	3.255386	0	3.255386	0.02455522
910	2.981774	0	2.981774	0.01362915
920	3.145735	0	3.145735	0.02916331
930	3.253312	0	3.253312	0.02468421
940	2.453658	0	2.453658	0.0457285
950	2.57053	0	2.57053	0.04326465
960	1.384025	0	1.384025	0.06743772
970	3.278232	0	3.278232	0.02049433
980	0.7727194	0	0.7727194	0.08005297
990	3.206518	0	3.206518	0.02695742
1000	3.169694	0	3.169694	0.01626933
1010	3.168093	0	3.168093	0.01623711
1020	3.149339	0	3.149339	0.01587974
1030	3.241682	0	3.241682	0.01819905
1040	2.942844	0	2.942844	0.01324437
1050	3.255794	0	3.255794	0.02452938
1060	3.142728	0	3.142728	0.01576166
1070	2.983728	0	2.983728	0.01364941
1080	2.60524	0	2.60524	0.04252204
1090	1.987043	0	1.987043	0.05525932
1100	0.1208255	0	0.1208255	0.09404563
1110	3.157854	0	3.157854	0.02875827
1120	2.532917	0	2.532917	0.04406327
1130	3.175517	0	3.175517	0.02814159
1140	3.094717	0	3.094717	0.03074912
1150	2.084169	0	2.084169	0.05329734
1160	2.554356	0	2.554356	0.04360882
1170	3.254142	0	3.254142	0.02463311
1180	3.262428	0	3.262428	0.01915376
1190	3.114166	0	3.114166	0.03016404
1200	2.350021	0	2.350021	0.04787727
1210	2.788364	0	2.788364	0.01198469
1220	3.168615	0	3.168615	0.01624758
1230	2.979648	0	2.979648	0.01360722
1240	3.03819	0	3.03819	0.03234997
1250	2.403467	0	2.403467	0.04677265
1260	3.205058	0	3.205058	0.02701694
1270	-1.009969	0	-1.009969	0.1200385
1280	2.485899	0	2.485899	0.01023699
1290	2.374729	0	2.374729	0.04736744
1300	3.213601	0	3.213601	0.01729855
1310	1.33259	0	1.33259	0.06848472
1320	2.990907	0	2.990907	0.03360478
1330	3.193335	0	3.193335	0.02747999
1340	1.202764	0	1.202764	0.07113758
1350	2.968921	0	2.968921	0.03416846
1360	3.233542	0	3.233542	0.01790705
1370	2.944422	0	2.944422	0.03478421
1380	2.384752	0	2.384752	0.04716022
1390	1.754268	0	1.754268	0.00769334
1400	3.212908	0	3.212908	0.02669148
1410	3.136836	0	3.136836	0.01565949
1420	2.903219	0	2.903219	0.03579451
1430	2.015535	0	2.015535	0.05468434
1440	2.152732	0	2.152732	0.008885208
1450	2.927915	0	2.927915	0.01310548
1460	3.117017	0	3.117017	0.03007644
1470	2.505484	0	2.505484	0.01033137
1480	3.244406	0	3.244406	0.02519684
1490	2.797649	0	2.797649	0.03827188
1500	2.346235	0	2.346235	0.04795525
1510	3.279347	0	3.279347	0.02068189
1520	3.266027	0	3.266027	0.01937378
1530	2.259544	0	2.259544	0.04973347
1540	3.279727	0	3.279727	0.0207578
1550	2.105225	0	2.105225	0.05287116
1560	2.109077	0	2.109077	0.05279315
1570	2.910478	0	2.910478	0.0356186
1580	3.208857	0	3.208857	0.02686113
1590	3.184916	0	3.184916	0.02779823
1600	2.317943	0	2.317943	0.04853715
1610	3.259708	0	3.259708	0.02427122
1620	3.162954	0	3.162954	0.02858364
1630	3.121514	0	3.121514	0.01540604
1640	2.380634	0	2.380634	0.009762109
1650	3.136148	0	3.136148	0.02947484
1660	2.886768	0	2.886768	0.03619017
1670	2.383712	0	2.383712	0.04718174
1680	3.161105	0	3.161105	0.02864727
1690	3.281393	0	3.281393	0.02153226
1700	3.126977	0	3.126977	0.02976638
1710	-0.0634312	0	-0.0634312	0.09812275
1720	3.152456	0	3.152456	0.02894033
1730	2.655538	0	2.655538	0.04143496
1740	3.247528	0	3.247528	0.0250238
1750	3.253572	0	3.253572	0.0246683
1760	2.951438	0	2.951438	0.0346091
1770	2.287404	0	2.287404	0.0491635
1780	3.203434	0	3.203434	0.02708263
1790	3.277072	0	3.277072	0.02268267
1800	2.911192	0	2.911192	0.01295501
1810	1.650265	0	1.650265	0.06204683
1820	2.741106	0	2.741106	0.01166175
1830	2.905895	0	2.905895	0.03572978
1840	3.217859	0	3.217859	0.01741837
1850	3.252489	0	3.252489	0.02473426
1860	2.612093	0	2.612093	0.04237472
1870	3.242655	0	3.242655	0.01823618
1880	2.043266	0	2.043266	0.05412429
1890	3.039477	0	3.039477	0.03231489
1900	2.594631	0	2.594631	0.04274963
1910	3.015958	0	3.015958	0.03294792
1920	2.181122	0	2.181122	0.05133155
1930	3.197766	0	3.197766	0.02730792
1940	3.064931	0	3.064931	0.0316088
1950	3.098189	0	3.098189	0.01504967
1960	1.312632	0	1.312632	0.06889157
1970	3.277317	0	3.277317	0.02264714
1980	2.929566	0	2.929566	0.03515189
1990	3.002115	0	3.002115	0.03331295
2000	2.594783	0	2.594783	0.04274638
2010	3.247818	0	3.247818	0.02500737
2020	2.68716	0	2.68716	0.04074396
2030	2.307317	0	2.307317	0.009459787
2040	3.063465	0	3.063465	0.01457228
2050	3.255767	0	3.255767	0.0245311
2060	3.277098	0	3.277098	0.02033664
2070	2.688916	0	2.688916	0.04070539
2080	2.983235	0	2.983235	0.03380276
2090	2.274001	0	2.274001	0.009329177
2100	1.781997	0	1.781997	0.05939118
2110	3.257394	0	3.257394	0.01888206
2120	1.165448	0	1.165448	0.07190302
2130	3.260533	0	3.260533	0.01904723
2140	2.590862	0	2.590862	0.04283035
2150	2.622401	0	2.622401	0.04215268
2160	3.012529	0	3.012529	0.03303884
2170	2.821376	0	2.821376	0.03772669
2180	3.237388	0	3.237388	0.01804105
2190	3.044233	0	3.044233	0.03218471
2200	3.138032	0	3.138032	0.02941422
2210	3.267172	0	3.267172	0.01944971
2220	-1.740852	0	-1.740852	0.1381858
2230	3.164633	0	3.164633	0.01616845
2240	3.0708	0	3.0708	0.03144249
2250	0.6721488	0	0.6721488	0.08217106
2260	2.477054	0	2.477054	0.04523919
2270	3.142407	0	3.142407	0.01575602
2280	3.24241	0	3.24241	0.02530421
2290	2.733811	0	2.733811	0.01161394
2300	1.445348	0	1.445348	0.06619212
2310	3.247302	0	3.247302	0.02503653
2320	3.274392	0	3.274392	0.0200328
2330	1.471172	0	1.471172	0.06566838
2340	2.254046	0	2.254046	0.0498458
2350	3.281403	0	3.281403	0.02146955
2360	3.280649	0	3.280649	0.0219714
2370	2.985789	0	2.985789	0.01367088
2380	2.815275	0	2.815275	0.03786745
2390	1.895856	0	1.895856	0.05709758
2400	3.243266	0	3.243266	0.02525845
2410	3.280513	0	3.280513	0.02201492
2420	3.167124	0	3.167124	0.01621774
2430	3.274978	0	3.274978	0.02009242
2440	2.443013	0	2.443013	0.04595055
2450	3.240449	0	3.240449	0.02540751
2460	3.177623	0	3.177623	0.01643341
2470	3.276891	0	3.276891	0.02270838
2480	2.609134	0	2.609134	0.04243837
2490	2.140897	0	2.140897	0.05214826
2500	2.550185	0	2.550185	0.01055475
2510	2.539933	0	2.539933	0.04391476
2520	3.246274	0	3.246274	0.01837944
2530	3.277018	0	3.277018	0.02269038
2540	2.346879	0	2.346879	0.04794199
2550	3.221143	0	3.221143	0.02633387
2560	3.136659	0	3.136659	0.01565646
2570	2.923019	0	2.923019	0.03531268
2580	2.866429	0	2.866429	0.01257608
2590	-0.238161	0	-0.238161	0.1020433
2600	2.280367	0	2.280367	0.009353824
2610	3.168149	0	3.168149	0.02840301
2620	2.245966	0	2.245966	0.05001081
2630	2.941565	0	2.941565	0.03485523
2640	3.262053	0	3.262053	0.01913223
2650	2.200499	0	2.200499	0.05093746
2660	2.794188	0	2.794188	0.03835093
2670	3.20431	0	3.20431	0.01705218
2680	2.801521	0	2.801521	0.03818331
2690	0.2778163	0	0.2778163	0.09061632
2700	-0.5409008	0	-0.5409008	0.1089666
2710	2.865756	0	2.865756	0.03668985
2720	0.1199773	0	0.1199773	0.09406427
2730	3.053944	0	3.053944	0.01445067
2740	3.272714	0	3.272714	0.01987566
2750	3.128031	0	3.128031	0.02973318
2760	3.190349	0	3.190349	0.02759412
2770	2.630183	0	2.630183	0.04198469
2780	3.206553	0	3.206553	0.01710992
2790	3.241437	0	3.241437	0.02535576
2800	1.618849	0	1.618849	0.06268097
2810	2.276692	0	2.276692	0.04938281
2820	3.280562	0	3.280562	0.02096473
2830	3.269121	0	3.269121	0.019587
2840	3.269562	0	3.269562	0.02350775
2850	3.250528	0	3.250528	0.02485106
2860	3.161396	0	3.161396	0.02863726
2870	3.154226	0	3.154226	0.02888094
2880	2.583497	0	2.583497	0.01072894
2890	2.25623	0	2.25623	0.0498012
2900	1.114273	0	1.114273	0.07295505
2910	3.032855	0	3.032855	0.03249486
2920	2.679656	0	2.679656	0.0409085
2930	1.389072	0	1.389072	0.006849543
2940	3.270093	0	3.270093	0.01965995
2950	-0.2230067	0	-0.2230067	0.1017011
2960	3.25885	0	3.25885	0.02432946
2970	3.270396	0	3.270396	0.02343166
2980	1.620006	0	1.620006	0.0626576
2990	3.036995	0	3.036995	0.0323825
3000	3.004822	0	3.004822	0.033242
3010	3.218365	0	3.218365	0.02645654
3020	2.957153	0	2.957153	0.01338182
3030	3.134612	0	3.134612	0.02952411
3040	3.275848	0	3.275848	0.02284767
3050	3.086959	0	3.086959	0.03097693
3060	2.131101	0	2.131101	0.05234691
