Iteration	Posterior	Likelihood	Prior	birth_rate
0	-213.1577	-216.43	3.272355	0.02324179
10	-211.6632	-214.8644	3.201241	0.01697483
20	-211.6685	-214.9224	3.253835	0.01870894
30	-212.6157	-215.6387	3.022924	0.01407765
40	-211.7896	-215.0577	3.268064	0.01951117
50	-212.1024	-215.382	3.279629	0.02073742
60	-211.7727	-215.0395	3.266756	0.01942172
70	-215.0177	-218.2413	3.223548	0.02622582
80	-211.7624	-214.9349	3.17242	0.01632489
90	-212.5031	-215.7841	3.280992	0.02184063
100	-211.6286	-214.8701	3.241517	0.01819278
110	-212.2457	-215.5268	3.2811	0.0211673
120	-211.6194	-214.8512	3.231752	0.01784686
130	-211.7203	-214.9819	3.26165	0.01910933
140	-211.7445	-214.9214	3.176911	0.01641836
150	-211.7445	-214.9214	3.176911	0.01641836
160	-213.2709	-216.1993	2.928379	0.01310973
170	-212.2163	-215.4972	3.280909	0.02108301
180	-211.6466	-214.8951	3.248566	0.01847461
190	-214.5801	-217.8168	3.236692	0.02559986
200	-212.4735	-215.5181	3.044584	0.01433453
210	-212.4735	-215.5181	3.044584	0.01433453
220	-212.4735	-215.5181	3.044584	0.01433453
230	-212.4735	-215.5181	3.044584	0.01433453
240	-212.6295	-215.6504	3.020855	0.01405392
250	-212.0201	-215.2981	3.27803	0.02046438
260	-211.6275	-214.8684	3.240892	0.01816925
270	-212.1763	-215.4569	3.280564	0.0209653
280	-211.6451	-214.8538	3.208667	0.01716531
290	-212.8978	-215.8791	2.981387	0.01362515
300	-212.0799	-215.3592	3.279257	0.02066517
310	-211.6209	-214.856	3.235121	0.01796125
320	-211.6272	-214.8461	3.218891	0.01744812
330	-211.7415	-215.0055	3.263945	0.01924344
340	-211.899	-215.1731	3.274158	0.02000978
350	-211.9698	-215.0987	3.128887	0.01552589
360	-211.9727	-215.101	3.128341	0.01551688
370	-211.6193	-214.8501	3.230726	0.01781293
380	-211.705	-214.9648	3.259747	0.01900462
390	-211.705	-214.9648	3.259747	0.01900462
400	-211.705	-214.9648	3.259747	0.01900462
410	-212.856	-215.8434	2.987444	0.0136882
420	-211.6225	-214.8596	3.237115	0.0180313
430	-211.6259	-214.8459	3.219957	0.01747918
440	-212.439	-215.4889	3.049935	0.01440052
450	-211.6211	-214.8565	3.235425	0.01797184
460	-211.6525	-214.8579	3.205449	0.01708136
470	-212.1864	-215.2771	3.090612	0.01494053
480	-211.6403	-214.8513	3.210993	0.01722741
490	-213.952	-217.2062	3.254138	0.02463335
500	-211.6231	-214.8607	3.237652	0.01805049
510	-211.8743	-215.0219	3.147584	0.01584802
520	-211.7558	-214.9299	3.174048	0.01635848
530	-213.8235	-217.0809	3.257438	0.0244232
540	-214.0997	-217.3499	3.250221	0.02486902
550	-212.4717	-215.5166	3.044866	0.01433798
560	-211.8219	-215.0922	3.270236	0.01967102
570	-211.67	-214.9241	3.254122	0.01872241
580	-212.3073	-215.3781	3.070771	0.01466813
590	-211.9441	-215.0779	3.133761	0.01560725
600	-212.0911	-215.3706	3.279448	0.02070136
610	-211.6956	-214.9541	3.258438	0.01893559
620	-211.649	-214.8559	3.20696	0.01712051
630	-211.8386	-215.1098	3.271217	0.01974876
640	-214.7337	-217.9658	3.232157	0.02582338
650	-212.9678	-215.9391	2.97129	0.01352208
660	-211.7229	-214.9849	3.26196	0.01912691
670	-211.633	-214.848	3.215035	0.01733836
680	-211.9327	-215.2081	3.275464	0.02014408
690	-211.6825	-214.877	3.194526	0.01681176
700	-211.95	-215.0826	3.132637	0.01558832
710	-211.8047	-215.0738	3.269125	0.01958732
720	-211.6244	-214.8457	3.221308	0.01751901
730	-212.0775	-215.1868	3.109311	0.01521554
740	-212.9505	-216.2264	3.275969	0.02283216
750	-212.0585	-215.1712	3.112666	0.015267
760	-211.6254	-214.865	3.23955	0.01811939
770	-211.82	-214.9791	3.15911	0.01606153
780	-211.6487	-214.8978	3.24917	0.0185003
790	-212.0382	-215.1545	3.116306	0.01532359
800	-211.6898	-214.9474	3.257561	0.01889053
810	-213.2602	-216.19	2.92988	0.01312351
820	-212.2302	-215.5112	3.281005	0.02112285
830	-212.6594	-215.6758	3.016383	0.01400309
840	-211.6686	-214.9225	3.253853	0.01870979
850	-211.6244	-214.8457	3.221335	0.01751983
860	-211.761	-215.0267	3.265763	0.01935677
870	-211.8842	-215.0298	3.145572	0.01581199
880	-211.6193	-214.8503	3.230949	0.01782026
890	-212.8253	-215.8172	2.991906	0.01373524
900	-211.8512	-215.1231	3.271908	0.01980597
910	-211.6233	-214.8457	3.222387	0.01755121
920	-211.6403	-214.8513	3.211003	0.01722767
930	-212.0276	-215.1458	3.118219	0.01535368
940	-211.7721	-214.9422	3.170093	0.01627741
950	-211.6338	-214.8483	3.21455	0.01732484
960	-211.6582	-214.9098	3.251607	0.01860696
970	-212.1654	-215.4458	3.280452	0.02093251
980	-212.3245	-215.6059	3.281377	0.02138464
990	-212.0923	-215.3718	3.279468	0.02070518
1000	-212.1557	-215.436	3.280345	0.02090318
1010	-212.3863	-215.6677	3.281387	0.02154772
1020	-212.0862	-215.194	3.10778	0.01519229
1030	-213.0429	-216.0034	2.960561	0.01341522
1040	-211.6243	-214.8457	3.221429	0.01752261
1050	-211.7801	-215.0474	3.267341	0.01946117
1060	-211.8304	-215.1011	3.270745	0.01971087
1070	-211.6257	-214.8655	3.23975	0.01812678
1080	-211.8233	-215.0937	3.270324	0.01967779
1090	-212.129	-215.2294	3.100354	0.01508142
1100	-211.6291	-214.8466	3.217543	0.0174093
1110	-212.1785	-215.4591	3.280586	0.0209719
1120	-212.5112	-215.55	3.038781	0.01426413
1130	-211.9217	-215.1968	3.275064	0.02010136
1140	-211.9147	-215.0542	3.139478	0.01570496
1150	-211.6198	-214.8529	3.233092	0.01789179
1160	-212.2906	-215.5719	3.281297	0.02129239
1170	-211.7892	-215.0573	3.268036	0.01950921
1180	-212.1244	-215.2255	3.101155	0.01509322
1190	-211.73	-214.9927	3.262745	0.01917218
1200	-211.6679	-214.8674	3.199507	0.01693193
1210	-211.6752	-214.9303	3.255104	0.01876914
1220	-212.137	-215.4171	3.280119	0.02084607
1230	-212.6113	-215.8915	3.280224	0.02209734
1240	-213.7541	-217.0132	3.259173	0.02430762
1250	-211.6193	-214.8492	3.229827	0.01778353
1260	-211.6702	-214.9244	3.254175	0.01872492
1270	-211.7969	-214.9612	3.164291	0.01616173
1280	-214.837	-218.0661	3.229056	0.02597141
1290	-212.4413	-215.7226	3.281264	0.02168784
1300	-216.1988	-218.7361	2.53728	0.01048908
1310	-212.1223	-215.4023	3.279924	0.02080047
1320	-211.6891	-214.9466	3.257454	0.01888511
1330	-211.6891	-214.9466	3.257454	0.01888511
1340	-211.6891	-214.9466	3.257454	0.01888511
1350	-211.6891	-214.9466	3.257454	0.01888511
1360	-213.1514	-216.4239	3.272472	0.02322983
1370	-211.7741	-214.9437	3.169593	0.0162673
1380	-212.5469	-215.8277	3.280723	0.0219462
1390	-212.1774	-215.2695	3.09214	0.01496229
1400	-211.9254	-215.2006	3.2752	0.02011573
1410	-211.9254	-215.2006	3.2752	0.02011573
1420	-211.7123	-214.8978	3.185539	0.01660537
1430	-212.2763	-215.3521	3.075791	0.01473533
1440	-211.6686	-214.8679	3.199244	0.01692547
1450	-211.6319	-214.8476	3.215711	0.01735734
1460	-211.898	-215.1722	3.274119	0.020006
1470	-211.7954	-214.96	3.164633	0.01616845
1480	-212.3897	-215.6711	3.281383	0.02155631
