Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-211.067	-216.8777	5.810705	0.02365404	0.002160392	0.02149365	0.002160392
10	-210.1531	-215.5888	5.435677	0.01765683	0.001687616	0.01596921	0.001687616
20	-211.5487	-217.8449	6.29615	0.02511991	0.004664302	0.0204556	0.004664302
30	-211.1008	-215.7038	4.603056	0.02115079	0.0008313862	0.02031941	0.0008313862
40	-212.5577	-218.8149	6.257281	0.02520663	0.009080482	0.01612615	0.009080482
50	-211.6099	-217.8796	6.269641	0.02323361	0.007034331	0.01619928	0.007034331
60	-214.6596	-221.0379	6.3783	0.03113691	0.008677108	0.0224598	0.008677108
70	-210.3871	-216.5298	6.142738	0.0209403	0.003855286	0.01708502	0.003855286
80	-211.03	-216.4823	5.452318	0.02293562	0.001530143	0.02140547	0.001530143
90	-210.1822	-215.981	5.798854	0.01794288	0.002579697	0.01536318	0.002579697
100	-210.7445	-216.6604	5.915851	0.01749104	0.00375513	0.01373591	0.00375513
110	-211.7478	-217.979	6.23121	0.0229155	0.007443446	0.01547206	0.007443446
120	-210.9497	-216.7346	5.784914	0.0164307	0.003337985	0.01309271	0.003337985
130	-210.0642	-215.7194	5.655242	0.01968979	0.001939377	0.01775041	0.001939377
140	-210.5447	-216.6111	6.066403	0.01914088	0.004168601	0.01497228	0.004168601
150	-210.2727	-216.354	6.081295	0.02015973	0.003565081	0.01659465	0.003565081
160	-210.397	-216.3678	5.970801	0.01837149	0.00349035	0.01488114	0.00349035
170	-210.2805	-216.0815	5.801046	0.02128704	0.002184791	0.01910225	0.002184791
180	-211.4355	-217.7357	6.30019	0.02349124	0.006416069	0.01707517	0.006416069
190	-211.3556	-217.6708	6.315149	0.02439282	0.005183907	0.01920891	0.005183907
200	-210.3027	-215.7256	5.422871	0.01688586	0.001746653	0.01513921	0.001746653
210	-212.228	-217.8341	5.606101	0.01514077	0.004100475	0.01104029	0.004100475
220	-210.2572	-215.7586	5.501483	0.0170716	0.001876865	0.01519473	0.001876865
230	-210.3148	-215.4651	5.150279	0.01959674	0.001234584	0.01836215	0.001234584
240	-212.6256	-218.7532	6.127607	0.02369786	0.009440139	0.01425772	0.009440139
250	-216.6073	-222.933	6.325639	0.03452212	0.01107789	0.02344423	0.01107789
260	-210.1726	-216.1808	6.008257	0.0196553	0.003181033	0.01647426	0.003181033
270	-210.3098	-215.9824	5.672544	0.01710321	0.002322063	0.01478115	0.002322063
280	-211.3547	-217.6554	6.300751	0.02341018	0.006189494	0.01722069	0.006189494
290	-210.2633	-216.3266	6.063371	0.01985202	0.003533086	0.01631894	0.003533086
300	-210.0884	-215.9497	5.861251	0.01880275	0.002635504	0.01616725	0.002635504
310	-211.8541	-216.1534	4.299281	0.01415791	0.000843411	0.0133145	0.000843411
320	-210.6784	-216.8935	6.215098	0.0214809	0.00473235	0.01674855	0.00473235
330	-210.5632	-216.2337	5.670452	0.01648072	0.00250439	0.01397633	0.00250439
340	-213.3157	-217.1204	3.804654	0.02445346	0.0005328757	0.02392058	0.0005328757
350	-210.6227	-215.538	4.915375	0.0162862	0.001152104	0.0151341	0.001152104
360	-210.9306	-217.1116	6.181016	0.02076977	0.005446093	0.01532368	0.005446093
370	-210.4307	-216.4555	6.024764	0.02204333	0.002880142	0.01916319	0.002880142
380	-210.4461	-215.2832	4.837111	0.01865143	0.0010008	0.01765063	0.0010008
390	-210.5095	-216.6945	6.185001	0.02148561	0.004128478	0.01735714	0.004128478
400	-210.4938	-215.3192	4.825345	0.01726154	0.001032982	0.01622856	0.001032982
410	-210.5958	-216.444	5.848209	0.01717547	0.003217012	0.01395845	0.003217012
420	-210.5172	-216.6351	6.117919	0.01986777	0.00429209	0.01557568	0.00429209
430	-211.0601	-216.4716	5.41154	0.01513194	0.002066626	0.01306532	0.002066626
440	-210.4777	-216.5659	6.088177	0.01950474	0.004111648	0.01539309	0.004111648
450	-210.9686	-217.1932	6.224602	0.02366073	0.003996403	0.01966433	0.003996403
460	-211.4693	-215.1299	3.660587	0.01676131	0.0005198839	0.01624142	0.0005198839
470	-210.0399	-215.641	5.60107	0.01888078	0.001887137	0.01699365	0.001887137
480	-210.0547	-215.8375	5.782856	0.01981863	0.002233571	0.01758506	0.002233571
