Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-244.7875	-225.6331	-19.15436	0.03518193	0.02748504	0.007696893	0.02748504
10	-244.6845	-227.2812	-17.40327	0.04208248	0.03153274	0.01054974	0.03153274
20	-243.6596	-224.2974	-19.36218	0.03648972	0.02218425	0.01430547	0.02218425
30	-243.4565	-221.9333	-21.52322	0.02795702	0.01752891	0.01042811	0.01752891
40	-243.7682	-224.5341	-19.23409	0.03475269	0.02435536	0.01039733	0.02435536
50	-245.9821	-230.142	-15.84004	0.05000349	0.0392632	0.01074029	0.0392632
60	-243.8543	-219.1172	-24.7371	0.02474156	0.01025448	0.01448708	0.01025448
70	-243.2357	-220.8895	-22.34621	0.027681	0.01474751	0.0129335	0.01474751
80	-243.4558	-222.1587	-21.29716	0.03214151	0.01660431	0.0155372	0.01660431
90	-243.5041	-222.6219	-20.88217	0.02953916	0.01935224	0.01018692	0.01935224
100	-243.765	-224.9371	-18.82784	0.03758933	0.02426433	0.013325	0.02426433
110	-244.9334	-224.6205	-20.31284	0.03130921	0.02434782	0.006961386	0.02434782
120	-244.9884	-217.9304	-27.05791	0.02126297	0.007415257	0.01384771	0.007415257
130	-244.1293	-225.2301	-18.89919	0.03909884	0.02337439	0.01572445	0.02337439
140	-245.0872	-222.6704	-22.4168	0.02498415	0.01807844	0.006905706	0.01807844
150	-243.3029	-220.4849	-22.81805	0.02694423	0.01372172	0.01322251	0.01372172
160	-247.24	-230.9213	-16.31866	0.05254257	0.03324817	0.0192944	0.03324817
170	-243.7894	-225.0943	-18.69516	0.03747359	0.02514691	0.01232668	0.02514691
180	-243.599	-220.169	-23.43004	0.02453442	0.01295957	0.01157485	0.01295957
190	-243.6432	-223.0396	-20.60363	0.03016269	0.02044781	0.009714879	0.02044781
200	-244.0654	-220.4643	-23.6011	0.02315497	0.0132115	0.009943477	0.0132115
210	-243.8941	-225.3122	-18.58192	0.03742633	0.02610366	0.01132268	0.02610366
220	-243.3305	-223.1246	-20.20591	0.03333873	0.01987532	0.01346341	0.01987532
230	-246.0383	-230.2084	-15.82989	0.05114186	0.03681454	0.01432732	0.03681454
240	-243.3836	-223.4643	-19.91936	0.03319008	0.02126725	0.01192284	0.02126725
250	-243.3919	-223.327	-20.06493	0.03248134	0.02105262	0.01142873	0.02105262
260	-243.9386	-225.5318	-18.40679	0.03832343	0.02643632	0.0118871	0.02643632
270	-244.3484	-218.7148	-25.63362	0.0249531	0.008888973	0.01606413	0.008888973
280	-243.489	-223.5236	-19.9654	0.03250647	0.02166439	0.01084208	0.02166439
290	-244.1035	-225.0948	-19.00876	0.03880946	0.02299288	0.01581658	0.02299288
300	-250.786	-233.493	-17.29302	0.05524845	0.02907599	0.02617247	0.02907599
310	-244.8899	-223.8858	-21.004	0.02902445	0.02208727	0.006937179	0.02208727
320	-243.752	-222.6324	-21.11961	0.02857438	0.01927063	0.009303747	0.01927063
330	-245.4258	-229.1187	-16.30717	0.04756862	0.03589305	0.01167557	0.03589305
340	-243.2404	-222.1598	-21.08061	0.03134972	0.01742456	0.01392516	0.01742456
350	-243.5574	-222.8743	-20.68312	0.03003299	0.02001938	0.01001362	0.02001938
360	-243.2723	-222.7263	-20.54601	0.03135867	0.01944432	0.01191436	0.01944432
370	-244.2717	-224.2336	-20.03816	0.03178598	0.02357144	0.008214538	0.02357144
380	-243.3615	-223.42	-19.94147	0.0336509	0.02086056	0.01279034	0.02086056
