Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-211.0883	-217.1365	6.048183	0.01898768	0.005231487	0.0137562	0.005231487
10	-213.7664	-219.6751	5.90872	0.02439268	0.01177732	0.01261537	0.01177732
20	-213.3906	-219.2554	5.864772	0.02790268	0.002412906	0.02548977	0.002412906
30	-216.6327	-222.4824	5.849715	0.03214473	0.002692096	0.02945264	0.002692096
40	-213.3432	-219.4608	6.117602	0.02828853	0.003391672	0.02489686	0.003391672
50	-210.6263	-216.842	6.215689	0.02198044	0.004336073	0.01764437	0.004336073
60	-217.4485	-223.7643	6.315737	0.03560855	0.01013611	0.02547243	0.01013611
70	-213.5473	-219.8351	6.287786	0.02799236	0.01052567	0.01746669	0.01052567
80	-212.8648	-218.5016	5.636851	0.0170847	0.00658788	0.01049682	0.00658788
90	-210.6731	-216.7355	6.062418	0.01900675	0.004410706	0.01459604	0.004410706
100	-211.5614	-217.3576	5.796198	0.01645979	0.004375051	0.01208474	0.004375051
110	-214.6461	-219.8463	5.200183	0.01799806	0.009265208	0.008732852	0.009265208
120	-216.6632	-221.1831	4.519904	0.01907633	0.01201441	0.007061926	0.01201441
130	-210.144	-216.1035	5.959519	0.01922394	0.003009978	0.01621396	0.003009978
140	-210.0699	-215.5587	5.488793	0.01869115	0.001695772	0.01699538	0.001695772
150	-211.4115	-217.0614	5.649969	0.01540766	0.003176179	0.01223148	0.003176179
160	-210.7533	-215.8406	5.087246	0.02136385	0.001151858	0.02021199	0.001151858
170	-211.9051	-218.0136	6.10854	0.021481	0.00762954	0.01385146	0.00762954
180	-214.2156	-220.5796	6.363952	0.03019902	0.009667513	0.02053151	0.009667513
190	-214.2256	-220.6078	6.382123	0.0303475	0.008558277	0.02178922	0.008558277
200	-210.9486	-217.1586	6.210001	0.02127062	0.005521883	0.01574874	0.005521883
210	-214.8759	-221.1514	6.275509	0.03097342	0.005065429	0.02590799	0.005065429
220	-212.8251	-218.9458	6.120659	0.02747432	0.003341214	0.02413311	0.003341214
230	-214.3521	-220.4501	6.09802	0.02974254	0.00344043	0.02630211	0.00344043
240	-212.4536	-218.4049	5.951378	0.02076412	0.008332011	0.01243211	0.008332011
250	-210.8923	-217.1597	6.267366	0.02279963	0.004877427	0.0179222	0.004877427
260	-216.2304	-222.29	6.059628	0.03214204	0.003566398	0.02857564	0.003566398
270	-211.4332	-217.2936	5.860405	0.01703407	0.004628385	0.01240568	0.004628385
280	-210.1567	-215.6442	5.487478	0.01757454	0.001787866	0.01578667	0.001787866
290	-210.4344	-216.5915	6.157157	0.02093435	0.004035846	0.0168985	0.004035846
300	-210.0694	-215.7657	5.696279	0.01828686	0.002172554	0.01611431	0.002172554
310	-213.2808	-219.3145	6.033654	0.0280359	0.002983624	0.02505227	0.002983624
320	-216.2834	-222.5207	6.237279	0.03280889	0.005134336	0.02767455	0.005134336
330	-212.5526	-218.9192	6.366611	0.02673372	0.007671832	0.01906189	0.007671832
340	-210.2809	-216.1422	5.861259	0.01789367	0.002899571	0.0149941	0.002899571
350	-211.5542	-217.4166	5.862427	0.02478365	0.002297276	0.02248638	0.002297276
360	-213.3397	-219.6075	6.267766	0.02858125	0.004504327	0.02407692	0.004504327
370	-212.6484	-218.9259	6.277523	0.02569111	0.009132205	0.0165589	0.009132205
380	-212.4698	-218.6769	6.207015	0.02699868	0.003830532	0.02316815	0.003830532
390	-210.3803	-215.3083	4.92809	0.01783467	0.001091569	0.0167431	0.001091569
400	-212.467	-218.6722	6.205223	0.02429339	0.009064467	0.01522893	0.009064467
410	-221.1297	-225.5557	4.426045	0.03541214	0.02729654	0.008115601	0.02729654
420	-213.5696	-219.9509	6.381328	0.02903187	0.00841423	0.02061764	0.00841423
430	-212.3916	-218.7119	6.320268	0.02567142	0.008280776	0.01739064	0.008280776
440	-211.2164	-217.4987	6.282312	0.02422132	0.004593466	0.01962785	0.004593466
450	-211.7807	-217.5632	5.782453	0.01651914	0.004740729	0.01177841	0.004740729
460	-212.4944	-218.5118	6.017391	0.02182871	0.008803941	0.01302477	0.008803941
470	-210.9942	-216.1585	5.164239	0.02224769	0.001215207	0.02103248	0.001215207
480	-215.1319	-221.1268	5.994934	0.0305729	0.003055327	0.02751757	0.003055327
490	-211.3076	-217.6029	6.295318	0.02443472	0.004756027	0.01967869	0.004756027
500	-210.8508	-216.7242	5.873424	0.01709008	0.003680667	0.01340941	0.003680667
510	-215.5316	-220.966	5.434397	0.02508166	0.01483109	0.01025057	0.01483109
520	-216.4815	-222.7825	6.300999	0.03439854	0.01239438	0.02200416	0.01239438
530	-217.1619	-222.2331	5.071249	0.0272938	0.01810807	0.009185738	0.01810807
540	-210.5104	-216.316	5.805607	0.01708571	0.002941857	0.01414386	0.002941857
550	-210.4051	-216.4627	6.057601	0.01924785	0.003851994	0.01539586	0.003851994
560	-210.2556	-216.2167	5.961066	0.02127536	0.002680959	0.0185944	0.002680959
570	-212.5609	-218.2136	5.652701	0.01630291	0.005580569	0.01072234	0.005580569
580	-210.8584	-216.9685	6.110103	0.02345058	0.003206544	0.02024403	0.003206544
590	-212.9247	-218.9076	5.982825	0.02267806	0.009819886	0.01285817	0.009819886
600	-211.8879	-218.1685	6.280551	0.02397328	0.007600577	0.0163727	0.007600577
610	-212.7124	-219.0921	6.379749	0.02746336	0.006729735	0.02073362	0.006729735
620	-210.066	-215.6148	5.548784	0.01833067	0.001830767	0.01649991	0.001830767
630	-211.524	-217.85	6.326042	0.0241937	0.006252738	0.01794096	0.006252738
640	-210.7782	-215.7393	4.961161	0.02109181	0.001054006	0.02003781	0.001054006
650	-211.7712	-218.0627	6.291464	0.02390633	0.00728119	0.01662514	0.00728119
660	-210.4769	-216.6519	6.175017	0.02138897	0.004041434	0.01734754	0.004041434
670	-210.8949	-217.0717	6.176788	0.02067732	0.00535	0.01532732	0.00535
680	-212.7436	-219.1113	6.367703	0.02763112	0.006048823	0.02158229	0.006048823
690	-216.8002	-222.9209	6.120645	0.03446964	0.01657733	0.0178923	0.01657733
700	-216.4307	-222.7738	6.343065	0.03387618	0.008546184	0.02533	0.008546184
710	-212.1086	-218.2537	6.145101	0.026263	0.003400438	0.02286257	0.003400438
720	-212.6752	-218.8932	6.217986	0.02738308	0.003939935	0.02344314	0.003939935
730	-212.7704	-219.0558	6.285464	0.02609444	0.009298595	0.01679585	0.009298595
740	-214.3158	-220.4324	6.116647	0.02822466	0.01295896	0.0152657	0.01295896
750	-214.8228	-220.2862	5.463422	0.02283688	0.01275265	0.01008423	0.01275265
760	-220.8856	-227.0677	6.182088	0.03887983	0.007593684	0.03128614	0.007593684
