Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction_sd	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation_sd
0	-211.3223	-165.5466	-45.77568	0.00637298	0.00745152	0.0372282	0.125224	0.0613598	0.105402	0.145487	0.183693	2.56023	0.594896	0.121912	1.592888	-5.05569	-4.89934	-3.29069	-2.07765	-2.791	-2.24997	-1.92767	-1.69449	0.940097	-0.519369	-2.10445	-7.33482	-7.35359	-7.05634	-5.99253	-4.79385	-2.79793	-1.4192	-0.775268	0.590786	-1.23604	-0.587391	0.000652421	0.000640292	0.000861924	0.00249735	0.00828049	0.0609364	0.241907	0.46058	1.80541	0.290531	0.555775	0.7048794
10	-211.7874	-164.3998	-47.38768	0.0186845	0.0272558	0.0108431	0.0926922	0.168963	0.0445919	0.197449	0.075803	2.11261	0.261402	0.161455	2.681462	-3.98006	-3.60249	-4.52423	-2.37847	-1.77808	-3.1102	-1.62228	-2.57962	0.747922	-1.34169	-1.82353	-8.44751	-8.23255	-8.01803	-6.69229	-4.17296	-2.54642	-1.57669	-1.15558	0.364668	-0.495999	-1.24134	0.000214434	0.000265857	0.000329468	0.00124044	0.0154066	0.0783613	0.206659	0.314874	1.44004	0.608962	0.288997	1.352528
20	-207.8416	-159.9521	-47.88947	0.0544802	0.0260805	0.012273	0.109043	0.122541	0.298641	0.175448	0.0613008	2.25404	0.288645	0.13836	1.576052	-2.90992	-3.64657	-4.40035	-2.21602	-2.09931	-1.20851	-1.74041	-2.79196	0.812725	-1.24256	-1.9779	-8.59314	-8.22943	-8.85431	-6.637	-4.52736	-1.72106	-1.59255	-0.793853	0.816334	-2.01849	-1.34816	0.000185373	0.000266689	0.000142765	0.00131095	0.0108091	0.178877	0.203407	0.452099	2.26219	0.132856	0.259717	1.443107
30	-204.0705	-159.7434	-44.3271	0.021314	0.0193504	0.0292245	0.0239754	0.161999	0.218672	0.232866	0.257447	2.27032	0.471276	0.0116121	1.469764	-3.84839	-3.94504	-3.53275	-3.73073	-1.82016	-1.52018	-1.45729	-1.35694	0.819921	-0.752312	-4.45571	-7.11642	-7.68519	-6.45998	-5.58761	-3.04118	-2.40489	-1.69432	-0.39074	0.765222	-0.840741	-1.78517	0.000811669	0.000459584	0.00156482	0.00374395	0.0477784	0.0902757	0.183725	0.676556	2.14947	0.431391	0.167769	1.096824
40	-200.5069	-159.573	-40.93389	0.0313422	0.0420968	0.0746165	0.0671931	0.0684033	0.219574	0.203355	0.226212	1.78426	0.45273	0.106568	0.7701851	-3.46279	-3.16778	-2.59539	-2.70018	-2.68233	-1.51607	-1.5928	-1.48628	0.579004	-0.792458	-2.23897	-8.66208	-8.08256	-6.65651	-6.17993	-2.81571	-2.6364	-1.73718	-0.454166	0.448432	-0.4425	-1.97461	0.000173024	0.000308879	0.00128563	0.00207058	0.0598623	0.0716187	0.176017	0.634977	1.56586	0.642428	0.138815	1.367152
50	-199.7301	-158.8925	-40.83769	0.125366	0.029591	0.0578037	0.0201195	0.0749791	0.325095	0.310965	0.281639	1.59392	0.862087	0.24348	1.198334	-2.07652	-3.52028	-2.8507	-3.90607	-2.59055	-1.12364	-1.16808	-1.26713	0.466196	-0.1484	-1.41272	-8.16089	-7.68853	-7.41607	-5.12181	-2.64094	-2.05148	-1.18466	-0.329423	0.307202	-0.0580792	-1.06831	0.000285607	0.000458051	0.000601509	0.00596523	0.0712941	0.128544	0.305849	0.719338	1.35962	0.943575	0.34359	0.9084368
60	-204.7472	-158.9243	-45.82288	0.0751958	0.0302609	0.0267618	0.117983	0.0132428	0.343182	0.332535	0.236368	2.93526	1.14767	0.022814	1.998973	-2.58766	-3.4979	-3.62078	-2.13721	-4.3243	-1.06949	-1.10101	-1.44236	1.0768	0.13773	-3.78038	-8.2258	-7.39841	-6.03647	-5.17071	-3.68517	-2.7321	-1.35571	-0.15934	0.844382	-0.282496	-1.07363	0.000267659	0.000612227	0.00238998	0.00568054	0.025093	0.0650824	0.257763	0.852706	2.32654	0.7539	0.341764	0.9686426
70	-216.0152	-160.8237	-55.19151	0.0726273	0.00112857	0.0881242	0.135344	0.0399489	0.108773	0.386206	0.540581	3.95095	1.01436	0.0696537	2.416961	-2.62241	-6.78681	-2.42901	-1.99993	-3.22015	-2.21849	-0.951385	-0.61511	1.37396	0.0142583	-2.66422	-5.50623	-5.78427	-8.74623	-4.1446	-4.75471	-2.50945	-1.345	-0.0726862	1.2109	0.0223553	-1.04616	0.00406139	0.00307555	0.00015906	0.0158497	0.00861105	0.0813129	0.26054	0.929893	3.35651	1.02261	0.351284	2.45987
80	-206.1617	-163.736	-42.42568	0.0161872	0.0456247	0.0412484	0.12052	0.174496	0.191838	0.629022	0.826388	4.5107	1.55603	0.327769	1.083408	-4.12353	-3.08731	-3.18814	-2.11594	-1.74585	-1.65111	-0.463589	-0.190691	1.50645	0.442137	-1.11545	-8.22023	-7.8323	-7.12246	-7.88955	-4.05942	-2.08707	-0.449865	0.276667	1.44044	0.512681	-1.01847	0.000269154	0.000396711	0.000806777	0.000374637	0.017259	0.12405	0.637714	1.31873	4.22256	1.66976	0.361147	1.704404
90	-210.1414	-162.2855	-47.8559	0.0140093	0.00432093	0.0277667	0.0276073	0.28694	0.338422	0.619769	0.939166	5.49147	1.99056	0.143653	1.454702	-4.26804	-5.44429	-3.58392	-3.58967	-1.24848	-1.08346	-0.478409	-0.0627626	1.7032	0.688417	-1.94036	-5.40205	-8.46297	-6.48936	-5.84946	-5.55546	-2.28033	-0.316659	0.306214	1.57754	0.635886	-0.817081	0.00450732	0.000211143	0.00151952	0.00288144	0.0038663	0.10225	0.728579	1.35827	4.84301	1.8887	0.441719	1.998325
