Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
0	-211.3223	-165.5466	-45.77568	0.00637298	0.00745152	0.0372282	0.125224	0.0613598	0.105402	0.145487	0.183693	2.56023	0.594896	0.121912
10	-211.7874	-164.3998	-47.38768	0.0186845	0.0272558	0.0108431	0.0926922	0.168963	0.0445919	0.197449	0.075803	2.11261	0.261402	0.161455
20	-207.8416	-159.9521	-47.88947	0.0544802	0.0260805	0.012273	0.109043	0.122541	0.298641	0.175448	0.0613008	2.25404	0.288645	0.13836
30	-204.0705	-159.7434	-44.3271	0.021314	0.0193504	0.0292245	0.0239754	0.161999	0.218672	0.232866	0.257447	2.27032	0.471276	0.0116121
40	-200.5069	-159.573	-40.93389	0.0313422	0.0420968	0.0746165	0.0671931	0.0684033	0.219574	0.203355	0.226212	1.78426	0.45273	0.106568
50	-199.7301	-158.8925	-40.83769	0.125366	0.029591	0.0578037	0.0201195	0.0749791	0.325095	0.310965	0.281639	1.59392	0.862087	0.24348
60	-204.7472	-158.9243	-45.82288	0.0751958	0.0302609	0.0267618	0.117983	0.0132428	0.343182	0.332535	0.236368	2.93526	1.14767	0.022814
70	-216.0152	-160.8237	-55.19151	0.0726273	0.00112857	0.0881242	0.135344	0.0399489	0.108773	0.386206	0.540581	3.95095	1.01436	0.0696537
80	-206.1617	-163.736	-42.42568	0.0161872	0.0456247	0.0412484	0.12052	0.174496	0.191838	0.629022	0.826388	4.5107	1.55603	0.327769
90	-210.1414	-162.2855	-47.8559	0.0140093	0.00432093	0.0277667	0.0276073	0.28694	0.338422	0.619769	0.939166	5.49147	1.99056	0.143653
100	-211.4563	-163.0479	-48.40841	0.00213649	0.000398755	0.021588	0.0218031	0.193803	0.320181	0.697919	0.899645	6.43042	1.59601	0.349036
110	-207.9478	-159.9443	-48.00346	0.0131552	0.00584603	0.00892232	0.0441733	0.249933	0.28842	0.566013	0.759557	5.11361	1.88778	0.233322
120	-214.5016	-160.8379	-53.66372	0.00142975	0.000469107	0.0720702	0.0201032	0.195277	0.370427	0.830784	0.780583	5.66806	2.38795	0.164126
130	-215.892	-158.8122	-57.07981	5.01414e-05	0.00075573	0.000419076	0.00878487	0.252555	0.382456	1.01253	0.952333	6.43734	2.52302	0.0170814
140	-210.6432	-158.9358	-51.70745	0.000228416	0.00681294	0.0230135	0.0287198	0.270696	0.38007	0.870509	0.891188	6.13458	2.37422	0.050471
150	-210.6141	-158.5138	-52.10038	0.00104461	0.00108473	0.0116615	0.0338945	0.209967	0.52532	0.997753	0.751053	7.04952	2.02308	0.0506262
160	-207.1926	-160.351	-46.84159	0.00187458	0.00119762	0.0187773	0.151612	0.0850224	0.496158	1.05727	0.807714	6.76457	2.23475	0.213088
170	-213.4216	-161.2329	-52.1887	0.00223569	0.000468689	0.00501257	0.187004	0.0613674	0.367783	0.845186	0.682094	6.28136	0.761577	0.200393
180	-202.5313	-157.9925	-44.53875	0.00174062	0.0101813	0.0187623	0.0898791	0.133162	0.259097	0.55899	0.519398	4.08606	0.909685	0.223658
190	-205.3846	-159.6146	-45.77007	0.00314256	0.0374156	0.0135862	0.027343	0.0643817	0.220608	0.541919	0.46638	3.6256	0.606224	0.193818
200	-208.0614	-161.1636	-46.89783	0.05197	0.100467	0.0340799	0.012706	0.0407548	0.205326	0.437505	0.440203	3.43444	1.08724	0.190513
210	-203.0725	-159.3388	-43.73368	0.100494	0.0551114	0.022117	0.0101494	0.060172	0.215552	0.383049	0.549376	3.63751	1.07575	0.149064
220	-203.2736	-158.4904	-44.7832	0.118279	0.0986283	0.134721	0.016329	0.0966876	0.211695	0.313057	0.101195	2.33504	1.4482	0.131197
230	-206.8286	-159.8504	-46.97815	0.223787	0.0501477	0.0324696	0.0145852	0.0123869	0.106821	0.399433	0.165137	1.79269	1.20506	0.139081
240	-204.7759	-160.3065	-44.46936	0.103667	0.0234768	0.0266803	0.0384449	0.0653875	0.104064	0.262552	0.145577	1.17965	0.290894	0.0887825
250	-213.7597	-162.7411	-51.01864	0.119013	0.0645124	0.00789015	0.0552632	0.0319995	0.0807468	0.0702412	0.0131782	0.688212	0.308794	0.120339
260	-210.3297	-163.8129	-46.51682	0.00982797	0.040883	0.0589615	0.130577	0.11301	0.107479	0.085792	0.102241	0.695621	0.0662153	0.0933569
270	-197.8778	-166.2439	-31.63391	0.0824122	0.058655	0.0447116	0.0600438	0.0733514	0.100017	0.0668826	0.0753316	0.14291	0.0751359	0.0949796
280	-199.6731	-165.989	-33.68407	0.0813345	0.126451	0.0742101	0.0895779	0.0723604	0.0476994	0.0603789	0.0782964	0.123723	0.0683722	0.0722647
290	-194.9679	-167.3427	-27.62515	0.128195	0.0856648	0.0611366	0.0778962	0.0610728	0.0735918	0.104024	0.121478	0.180658	0.273531	0.219581
300	-207.4731	-160.2555	-47.21765	0.328135	0.0616227	0.0812417	0.0478386	0.0833639	0.0565282	0.200216	0.368651	1.12669	1.02567	0.0589758
310	-213.3194	-169.8075	-43.51188	0.158752	0.169937	0.141054	0.0616402	0.0826965	0.099769	0.290552	0.318642	0.456578	0.590477	0.352051
320	-207.4902	-164.8232	-42.66703	0.190183	0.0602283	0.0617243	0.175782	0.131571	0.0262489	0.146507	0.0670953	0.694642	0.163657	0.142813
330	-208.7533	-161.9443	-46.80905	0.289392	0.0327049	0.14012	0.194409	0.1321	0.0281365	0.0627928	0.035187	0.872876	0.120745	0.169626
340	-204.1231	-163.1759	-40.94717	0.387823	0.186699	0.0555288	0.0760708	0.00952429	0.0123357	0.0409304	0.0275841	1.30232	0.19135	0.164934
350	-208.1588	-163.3832	-44.77565	0.31121	0.0430029	0.0251651	0.00203937	0.0186978	0.0203289	0.0471177	0.0189409	1.1692	0.0725912	0.156237
