Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]	interval_times[10]
0	-211.3223	-165.5466	-45.77568	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
10	-211.7874	-164.3998	-47.38768	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
20	-207.8416	-159.9521	-47.88947	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
30	-204.0705	-159.7434	-44.3271	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
40	-200.5069	-159.573	-40.93389	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
50	-199.7301	-158.8925	-40.83769	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
60	-204.7472	-158.9243	-45.82288	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
70	-216.0152	-160.8237	-55.19151	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
80	-206.1617	-163.736	-42.42568	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
90	-210.1414	-162.2855	-47.8559	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
100	-211.4563	-163.0479	-48.40841	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
110	-207.9478	-159.9443	-48.00346	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
120	-214.5016	-160.8379	-53.66372	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
130	-215.892	-158.8122	-57.07981	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
140	-210.6432	-158.9358	-51.70745	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
150	-210.6141	-158.5138	-52.10038	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
160	-207.1926	-160.351	-46.84159	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
170	-213.4216	-161.2329	-52.1887	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
180	-202.5313	-157.9925	-44.53875	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
190	-205.3846	-159.6146	-45.77007	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
200	-208.0614	-161.1636	-46.89783	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
210	-203.0725	-159.3388	-43.73368	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
220	-203.2736	-158.4904	-44.7832	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
230	-206.8286	-159.8504	-46.97815	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
240	-204.7759	-160.3065	-44.46936	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
250	-213.7597	-162.7411	-51.01864	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
260	-210.3297	-163.8129	-46.51682	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
270	-197.8778	-166.2439	-31.63391	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
280	-199.6731	-165.989	-33.68407	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
290	-194.9679	-167.3427	-27.62515	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
300	-207.4731	-160.2555	-47.21765	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
310	-213.3194	-169.8075	-43.51188	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
320	-207.4902	-164.8232	-42.66703	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
330	-208.7533	-161.9443	-46.80905	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
340	-204.1231	-163.1759	-40.94717	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
350	-208.1588	-163.3832	-44.77565	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
360	-210.7365	-163.3356	-47.40087	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
370	-213.618	-161.4501	-52.16783	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
380	-204.0468	-163.5734	-40.47337	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
390	-204.3081	-162.7703	-41.53779	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
400	-203.8741	-163.2937	-40.58042	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
410	-207.5247	-165.4635	-42.06126	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
420	-214.9906	-166.6526	-48.33808	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
430	-201.3828	-164.3229	-37.05987	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
440	-206.8321	-166.926	-39.90612	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
450	-202.8731	-166.3429	-36.53019	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
460	-207.3808	-177.7541	-29.62669	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
470	-197.6174	-168.7428	-28.87462	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
480	-187.204	-170.6919	-16.51209	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
490	-194.3358	-168.7693	-25.56649	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
500	-197.0269	-167.3838	-29.6431	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
