Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
0	-211.3223	-165.5466	-45.77568	0.000652421	0.000640292	0.000861924	0.00249735	0.00828049	0.0609364	0.241907	0.46058	1.80541	0.290531	0.555775
10	-211.7874	-164.3998	-47.38768	0.000214434	0.000265857	0.000329468	0.00124044	0.0154066	0.0783613	0.206659	0.314874	1.44004	0.608962	0.288997
20	-207.8416	-159.9521	-47.88947	0.000185373	0.000266689	0.000142765	0.00131095	0.0108091	0.178877	0.203407	0.452099	2.26219	0.132856	0.259717
30	-204.0705	-159.7434	-44.3271	0.000811669	0.000459584	0.00156482	0.00374395	0.0477784	0.0902757	0.183725	0.676556	2.14947	0.431391	0.167769
40	-200.5069	-159.573	-40.93389	0.000173024	0.000308879	0.00128563	0.00207058	0.0598623	0.0716187	0.176017	0.634977	1.56586	0.642428	0.138815
50	-199.7301	-158.8925	-40.83769	0.000285607	0.000458051	0.000601509	0.00596523	0.0712941	0.128544	0.305849	0.719338	1.35962	0.943575	0.34359
60	-204.7472	-158.9243	-45.82288	0.000267659	0.000612227	0.00238998	0.00568054	0.025093	0.0650824	0.257763	0.852706	2.32654	0.7539	0.341764
70	-216.0152	-160.8237	-55.19151	0.00406139	0.00307555	0.00015906	0.0158497	0.00861105	0.0813129	0.26054	0.929893	3.35651	1.02261	0.351284
80	-206.1617	-163.736	-42.42568	0.000269154	0.000396711	0.000806777	0.000374637	0.017259	0.12405	0.637714	1.31873	4.22256	1.66976	0.361147
90	-210.1414	-162.2855	-47.8559	0.00450732	0.000211143	0.00151952	0.00288144	0.0038663	0.10225	0.728579	1.35827	4.84301	1.8887	0.441719
100	-211.4563	-163.0479	-48.40841	5.73519e-05	0.000323067	0.000500904	0.000597502	0.00895567	0.100429	0.675231	1.33753	5.11121	1.91453	0.660552
110	-207.9478	-159.9443	-48.00346	0.000137582	4.95014e-06	2.53571e-05	0.000368866	0.00562126	0.0762058	0.640295	1.16426	4.86324	1.13249	0.626437
120	-214.5016	-160.8379	-53.66372	0.000284524	0.000461561	0.00103895	0.000115868	0.00566609	0.0916753	0.739893	1.4511	4.83529	0.756114	1.02194
130	-215.892	-158.8122	-57.07981	0.00015171	5.39694e-05	1.06898e-05	0.000108568	0.0237881	0.110109	0.977596	1.41201	5.34081	0.430255	1.34905
140	-210.6432	-158.9358	-51.70745	0.00010361	2.53056e-05	5.89354e-05	0.000247448	0.00692771	0.0670424	0.991867	1.39099	5.79648	0.473567	1.03059
150	-210.6141	-158.5138	-52.10038	0.000478245	0.00104197	7.98082e-05	0.00102975	0.0117086	0.168098	1.12027	1.1495	6.36933	0.362287	1.15067
160	-207.1926	-160.351	-46.84159	0.000757038	0.000812918	0.00301413	0.00506774	0.0710839	0.156043	0.95102	1.38161	6.63429	0.50871	0.911526
170	-213.4216	-161.2329	-52.1887	0.0035398	0.00141549	0.000571743	0.00591965	0.0494059	0.125931	0.430818	1.50906	5.43375	0.0866721	0.896305
180	-202.5313	-157.9925	-44.53875	0.000217777	0.000471928	0.000596776	0.00104083	0.0150427	0.0325722	0.394247	1.16279	3.77769	0.202692	0.69963
190	-205.3846	-159.6146	-45.77007	0.00013461	9.06524e-05	0.000100378	0.00154053	0.0108422	0.0502794	0.358825	0.961009	2.54787	0.212599	0.741116
200	-208.0614	-161.1636	-46.89783	0.000283248	0.000179905	0.00105803	0.00591896	0.00371951	0.0854852	0.376946	0.937103	2.949	0.475718	0.578162
210	-203.0725	-159.3388	-43.73368	0.000256948	0.000294527	0.000864728	0.00234623	0.00284456	0.070772	0.241845	1.01864	3.0477	0.902272	0.4478
220	-203.2736	-158.4904	-44.7832	0.00156797	0.000476379	0.00174982	0.0205199	0.0598342	0.0593691	0.261215	0.701891	2.08549	0.411641	0.721091
230	-206.8286	-159.8504	-46.97815	0.004465	0.00160872	0.000619765	0.00142711	0.0662139	0.0300477	0.223149	0.712795	1.34208	0.466242	0.755048
240	-204.7759	-160.3065	-44.46936	0.000611213	0.00369139	0.00103789	0.0192125	0.031816	0.0447075	0.115869	0.593181	0.93373	0.096883	0.35639
250	-213.7597	-162.7411	-51.01864	0.00263415	6.60924e-05	0.000965145	0.00111539	0.0343112	0.0411963	0.067385	0.359325	0.439128	0.0423941	0.222721
260	-210.3297	-163.8129	-46.51682	0.000669702	0.00307731	0.000231093	0.00123711	0.0352144	0.101544	0.100356	0.393657	0.553847	0.0135701	0.180169
270	-197.8778	-166.2439	-31.63391	0.000198557	0.000246716	0.00236442	0.00459851	0.0346449	0.0807673	0.106331	0.357605	0.400355	0.0991452	0.0810912
280	-199.6731	-165.989	-33.68407	0.000153484	0.000356552	0.0153319	0.00143698	0.0287475	0.130691	0.0922862	0.430163	0.33552	0.0664759	0.0666559
290	-194.9679	-167.3427	-27.62515	0.0035682	0.00245813	0.00198187	0.00224223	0.0243185	0.0812869	0.0820101	0.481375	0.471674	0.070687	0.281637
300	-207.4731	-160.2555	-47.21765	0.00040307	0.000922741	0.0134748	0.00408777	0.274082	0.0546488	0.0609965	0.788948	1.22684	0.216151	0.388636
310	-213.3194	-169.8075	-43.51188	0.0075095	0.0816494	0.0020187	0.00120184	0.247592	0.0282183	0.052539	0.868603	0.685222	0.0560048	0.586097
320	-207.4902	-164.8232	-42.66703	0.000341735	0.000815712	0.0026127	0.0346748	0.110983	0.0937672	0.0569746	0.630513	0.755309	0.153754	0.286279
330	-208.7533	-161.9443	-46.80905	0.0080439	0.00929514	0.0177002	0.0250594	0.221077	0.159894	0.0853979	0.421034	0.665543	0.0267328	0.23763
340	-204.1231	-163.1759	-40.94717	0.0149091	0.0229395	0.0245377	0.0544618	0.149281	0.133156	0.070089	0.442957	0.852879	0.494842	0.139488
350	-208.1588	-163.3832	-44.77565	0.00290342	0.00281084	0.0124309	0.0533977	0.0464815	0.0356043	0.068002	0.380852	0.89554	0.22929	0.28709
360	-210.7365	-163.3356	-47.40087	0.00184636	0.000935606	0.00493372	0.0117442	0.0253867	0.0357174	0.0345642	0.277925	0.677049	0.0312587	0.138314
370	-213.618	-161.4501	-52.16783	0.000569593	0.00222888	0.031972	0.0284475	0.0393444	0.0451196	0.0546986	0.445941	1.86405	0.0487371	0.307535
380	-204.0468	-163.5734	-40.47337	0.0193229	0.0155172	0.0528263	0.0424896	0.188421	0.0946298	0.129057	0.618654	1.5478	0.294867	0.406151
390	-204.3081	-162.7703	-41.53779	0.0127205	0.00368728	0.00526996	0.0195358	0.0504813	0.112641	0.0866056	0.496307	0.811188	0.355551	0.363066
400	-203.8741	-163.2937	-40.58042	0.00604241	0.00511893	0.00489662	0.0301158	0.0456107	0.0710642	0.123308	0.503542	0.542469	0.205465	0.457016
410	-207.5247	-165.4635	-42.06126	0.00222561	0.00234721	0.00409477	0.00768974	0.0594276	0.0794227	0.0619165	0.360223	0.249779	0.0639613	0.100689
420	-214.9906	-166.6526	-48.33808	0.0246273	0.0161154	0.0292677	0.0836568	0.24295	0.134193	0.0791747	0.310829	0.595513	0.391417	0.280977
430	-201.3828	-164.3229	-37.05987	0.0137948	0.0140328	0.0299488	0.0763828	0.0929342	0.0936268	0.107974	0.469409	0.36834	0.175058	0.226798
440	-206.8321	-166.926	-39.90612	0.00554718	0.00637436	0.00347919	0.00773696	0.116212	0.114021	0.182696	0.617066	0.332651	0.168631	0.429626
450	-202.8731	-166.3429	-36.53019	0.00751266	0.00979082	0.0222073	0.0636205	0.0816463	0.0869265	0.182807	0.442164	0.305585	0.133137	0.654403
460	-207.3808	-177.7541	-29.62669	0.00645548	0.0177098	0.0242141	0.0140363	0.0391801	0.0344165	0.215871	0.266211	0.301072	0.236345	0.268355
470	-197.6174	-168.7428	-28.87462	0.000498257	0.00035503	0.00283879	0.00787315	0.0145092	0.0528293	0.0543301	0.314603	0.249118	0.0507219	0.0655997
480	-187.204	-170.6919	-16.51209	0.0105927	0.00210952	0.00499988	0.0154438	0.0524073	0.0694457	0.159228	0.589698	0.205179	0.0359756	0.0949333
