Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-211.0951	-217.0616	5.966571	0.02394099	0.002596846	0.02134414	0.002596846
10	-211.2576	-215.1624	3.904775	0.01904687	0.0005663037	0.01848057	0.0005663037
20	-210.3081	-215.7258	5.41769	0.02055769	0.00151225	0.01904544	0.00151225
30	-210.6355	-216.8455	6.209965	0.02147196	0.004593694	0.01687827	0.004593694
40	-211.0695	-215.4269	4.357447	0.01594434	0.0007945085	0.01514983	0.0007945085
50	-211.3009	-217.5222	6.221338	0.02188696	0.006396222	0.01549074	0.006396222
60	-210.7011	-216.2372	5.536095	0.01591793	0.00220012	0.01371781	0.00220012
70	-210.0347	-215.7602	5.725538	0.01880059	0.002184817	0.01661577	0.002184817
80	-210.1978	-215.9403	5.74246	0.01767711	0.002427477	0.01524963	0.002427477
90	-210.4905	-216.3651	5.874571	0.01749747	0.003204904	0.01429257	0.003204904
100	-213.3216	-219.2724	5.950763	0.02794926	0.002674135	0.02527512	0.002674135
110	-216.496	-222.7379	6.24182	0.03434193	0.01418875	0.02015318	0.01418875
120	-210.0534	-215.7139	5.660506	0.01957315	0.001958262	0.01761489	0.001958262
130	-210.365	-215.6863	5.321296	0.02053303	0.001393769	0.01913926	0.001393769
140	-210.4538	-215.9266	5.472821	0.01640575	0.001919236	0.01448652	0.001919236
150	-210.7743	-217.0036	6.229275	0.02166566	0.00499162	0.01667404	0.00499162
160	-210.4724	-215.9899	5.517494	0.02147189	0.001633121	0.01983876	0.001633121
170	-211.2363	-217.1263	5.889988	0.02415761	0.002364587	0.02179302	0.002364587
180	-210.9386	-216.9754	6.0368	0.01872343	0.004826767	0.01389666	0.004826767
190	-214.3583	-220.741	6.382699	0.03060029	0.008244961	0.02235533	0.008244961
200	-213.1808	-218.4329	5.252133	0.0131269	0.002952309	0.01017459	0.002952309
210	-211.7116	-216.6245	4.912838	0.02341946	0.001016317	0.02240314	0.001016317
220	-210.9052	-216.8994	5.994195	0.01820706	0.004497776	0.01370929	0.004497776
230	-210.492	-216.4225	5.930491	0.01787943	0.003455487	0.01442394	0.003455487
240	-210.0733	-215.7857	5.712433	0.01992578	0.002048735	0.01787704	0.002048735
250	-210.0453	-215.6918	5.646546	0.01851885	0.002019098	0.01649975	0.002019098
260	-210.6643	-216.8872	6.222888	0.02221951	0.004332925	0.01788659	0.004332925
270	-210.2912	-215.4691	5.177898	0.01729568	0.001356312	0.01593937	0.001356312
280	-210.4436	-216.3317	5.888074	0.01766627	0.00320359	0.01446268	0.00320359
290	-211.5642	-217.8602	6.295948	0.02360304	0.006774817	0.01682822	0.006774817
300	-213.0722	-219.3507	6.278493	0.02673568	0.009870908	0.01686477	0.009870908
310	-210.7036	-216.856	6.152368	0.02024709	0.004827807	0.01541929	0.004827807
320	-210.4292	-215.8021	5.372848	0.01644809	0.00171187	0.01473622	0.00171187
330	-210.7742	-217.0205	6.246297	0.0225105	0.004589917	0.01792059	0.004589917
340	-210.0653	-215.9061	5.840742	0.01993399	0.002392109	0.01754188	0.002392109
350	-214.9194	-220.267	5.347568	0.02179033	0.01226569	0.009524643	0.01226569
360	-210.9071	-217.1347	6.227557	0.02157444	0.0053964	0.01617804	0.0053964
370	-210.1164	-215.5269	5.41057	0.0180933	0.001612151	0.01648115	0.001612151
380	-211.2506	-217.1213	5.87065	0.01702652	0.004334038	0.01269249	0.004334038
390	-214.7828	-221.1523	6.369482	0.03125236	0.007312226	0.02394014	0.007312226
400	-210.4707	-215.4847	5.014058	0.01671775	0.001218233	0.01549952	0.001218233
410	-211.0117	-217.2414	6.229623	0.02166703	0.005671767	0.01599526	0.005671767
420	-210.1334	-215.4808	5.347416	0.018213	0.001512887	0.01670011	0.001512887
430	-213.1467	-219.0058	5.859163	0.02174108	0.009837689	0.01190339	0.009837689
440	-210.93	-217.191	6.260959	0.0232896	0.004507754	0.01878184	0.004507754
450	-211.0673	-217.2805	6.213199	0.02142997	0.005821565	0.01560841	0.005821565
460	-213.2862	-219.1321	5.845977	0.02204024	0.01018137	0.01185887	0.01018137
470	-210.5049	-216.3389	5.834053	0.01723957	0.003050803	0.01418876	0.003050803
480	-211.0401	-217.2946	6.254494	0.02216676	0.005674986	0.01649178	0.005674986
490	-213.4525	-218.998	5.545496	0.02746544	0.001734963	0.02573047	0.001734963
500	-210.2254	-216.2767	6.051369	0.02074336	0.003180403	0.01756296	0.003180403
510	-210.2105	-215.8473	5.636792	0.01738372	0.002153893	0.01522983	0.002153893
520	-210.3645	-215.6163	5.251768	0.01675938	0.001488927	0.01527045	0.001488927
530	-210.4229	-216.3103	5.887389	0.01770173	0.003174538	0.0145272	0.003174538
540	-212.3555	-217.6412	5.285694	0.02530714	0.001352291	0.02395485	0.001352291
550	-211.3747	-217.5734	6.198744	0.02165336	0.006560097	0.01509326	0.006560097
560	-211.6639	-217.9835	6.319648	0.02421597	0.006762408	0.01745356	0.006762408
570	-211.7128	-218.0517	6.338843	0.02472458	0.006507063	0.01821752	0.006507063
580	-213.2502	-218.6042	5.353935	0.01377401	0.0038537	0.009920307	0.0038537
590	-213.2744	-219.519	6.244538	0.02684685	0.01046824	0.01637861	0.01046824
