Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate
0	0	3.178416	0	3.178416	0.02803693
1	1	-1.869656	0	-1.869656	0.1415029
2	0	3.177062	0	3.177062	0.02808593
3	1	2.08113	0	2.08113	0.05335881
4	0	2.120621	0	2.120621	0.0525593
5	1	3.279685	0	3.279685	0.02222823
6	0	2.986965	0	2.986965	0.03370669
7	1	0.01213686	0	0.01213686	0.09644366
8	0	2.643691	0	2.643691	0.04169228
9	1	2.2528	0	2.2528	0.04987125
10	0	1.628213	0	1.628213	0.06249192
11	1	2.538571	0	2.538571	0.0104956
12	0	2.537663	0	2.537663	0.04396284
13	1	2.945804	0	2.945804	0.03474979
14	0	-0.03077262	0	-0.03077262	0.09739589
15	1	2.520905	0	2.520905	0.0443171
16	0	1.892318	0	1.892318	0.05716886
17	1	2.868015	0	2.868015	0.03663644
18	0	2.987042	0	2.987042	0.0337047
19	1	3.190907	0	3.190907	0.02757291
20	0	3.269834	0	3.269834	0.02348318
21	1	0.8198447	0	0.8198447	0.07906512
22	0	3.208274	0	3.208274	0.01715493
23	1	3.17579	0	3.17579	0.02813176
24	0	2.785721	0	2.785721	0.03854381
25	1	3.120635	0	3.120635	0.02996454
26	0	3.281403	0	3.281403	0.02147345
27	1	3.191143	0	3.191143	0.02756392
28	0	3.278802	0	3.278802	0.02058496
29	1	3.245544	0	3.245544	0.0251345
30	0	0.7726622	0	0.7726622	0.08005417
31	1	3.181526	0	3.181526	0.02792342
32	0	1.742551	0	1.742551	0.06018597
33	1	1.013542	0	1.013542	0.07503406
34	0	2.431102	0	2.431102	0.04619862
35	1	1.072658	0	1.072658	0.0738126
36	0	3.199751	0	3.199751	0.01693793
37	1	1.758236	0	1.758236	0.05986989
38	0	2.948788	0	2.948788	0.03467535
39	1	2.052925	0	2.052925	0.05392912
40	0	3.254013	0	3.254013	0.02464108
41	1	3.012771	0	3.012771	0.03303243
42	0	2.901104	0	2.901104	0.03584562
43	1	3.17573	0	3.17573	0.02813394
44	0	3.089153	0	3.089153	0.03091281
