Iteration	Posterior	Likelihood	Prior	birth_rate
0	3.178416	0	3.178416	0.02803693
10	3.177062	0	3.177062	0.02808593
20	2.120621	0	2.120621	0.0525593
30	2.986965	0	2.986965	0.03370669
40	2.643691	0	2.643691	0.04169228
50	1.628213	0	1.628213	0.06249192
60	2.537663	0	2.537663	0.04396284
70	-0.03077262	0	-0.03077262	0.09739589
80	1.892318	0	1.892318	0.05716886
90	2.987042	0	2.987042	0.0337047
100	3.269834	0	3.269834	0.02348318
110	3.208274	0	3.208274	0.01715493
120	2.785721	0	2.785721	0.03854381
130	3.281403	0	3.281403	0.02147345
140	3.278802	0	3.278802	0.02058496
150	0.7726622	0	0.7726622	0.08005417
160	1.742551	0	1.742551	0.06018597
170	2.431102	0	2.431102	0.04619862
180	3.199751	0	3.199751	0.01693793
190	2.948788	0	2.948788	0.03467535
200	3.254013	0	3.254013	0.02464108
210	2.901104	0	2.901104	0.03584562
220	3.089153	0	3.089153	0.03091281
230	2.304089	0	2.304089	0.04882151
240	-1.53638	0	-1.53638	0.1329945
250	3.280234	0	3.280234	0.02087443
260	3.203396	0	3.203396	0.02708415
270	1.288579	0	1.288579	0.06938234
280	3.260723	0	3.260723	0.02420103
290	2.910165	0	2.910165	0.03562621
300	3.068331	0	3.068331	0.03151264
310	3.238917	0	3.238917	0.02548682
320	3.139561	0	3.139561	0.01570639
330	1.482841	0	1.482841	0.06543186
340	2.140574	0	2.140574	0.05215482
350	2.283681	0	2.283681	0.04923976
360	1.887444	0	1.887444	0.05726705
370	2.838162	0	2.838162	0.03733728
380	1.430631	0	1.430631	0.06649081
390	3.281397	0	3.281397	0.02143074
400	2.260722	0	2.260722	0.009278217
410	2.552459	0	2.552459	0.04364911
420	3.103112	0	3.103112	0.03049914
430	2.692906	0	2.692906	0.01135502
440	2.603197	0	2.603197	0.01083531
450	2.602355	0	2.602355	0.01083071
460	3.23007	0	3.23007	0.01779145
470	3.196878	0	3.196878	0.02734267
480	3.227318	0	3.227318	0.02605282
490	2.942082	0	2.942082	0.0348424
500	2.936404	0	2.936404	0.03498315
510	2.224974	0	2.224974	0.050439
520	3.015577	0	3.015577	0.013994
530	3.256239	0	3.256239	0.02450092
540	3.272669	0	3.272669	0.01987168
550	2.994376	0	2.994376	0.03351481
560	3.158796	0	3.158796	0.01605554
570	2.665202	0	2.665202	0.04122445
580	3.278347	0	3.278347	0.02248523
590	1.517066	0	1.517066	0.06473865
600	3.281401	0	3.281401	0.02144876
610	1.241253	0	1.241253	0.07034949
620	3.007112	0	3.007112	0.03318179
630	2.479481	0	2.479481	0.0102065
640	2.949434	0	2.949434	0.03465922
650	0.9562671	0	0.9562671	0.07622129
660	2.776664	0	2.776664	0.03874936
670	2.529785	0	2.529785	0.04412952
680	1.270115	0	1.270115	0.06975942
690	2.47667	0	2.47667	0.04524725
700	3.206039	0	3.206039	0.02697699
710	0.6827771	0	0.6827771	0.08194657
720	0.9168535	0	0.9168535	0.07704053
730	2.775588	0	2.775588	0.03877373
740	2.180275	0	2.180275	0.05134877
750	3.258281	0	3.258281	0.01892745
760	3.189443	0	3.189443	0.02762846
770	3.250145	0	3.250145	0.01854243
780	3.280235	0	3.280235	0.02209452
790	3.18218	0	3.18218	0.01653135
800	2.22006	0	2.22006	0.05053915
810	3.119981	0	3.119981	0.02998485
820	3.208585	0	3.208585	0.02687238
830	1.889124	0	1.889124	0.008058514
840	3.155305	0	3.155305	0.02884457
850	0.8781351	0	0.8781351	0.07784718
860	3.214318	0	3.214318	0.02663148
870	3.035629	0	3.035629	0.03241965
880	3.041775	0	3.041775	0.03225208
890	1.488893	0	1.488893	0.06530923
900	3.252191	0	3.252191	0.02475219
910	3.208479	0	3.208479	0.02687677
920	0.7554611	0	0.7554611	0.08041548
930	2.911677	0	2.911677	0.03558947
940	2.235141	0	2.235141	0.0502317
950	3.087471	0	3.087471	0.01489615
960	3.281122	0	3.281122	0.02117878
970	3.263746	0	3.263746	0.02398236
980	3.281157	0	3.281157	0.02119773
990	3.27014	0	3.27014	0.01966357
1000	3.134635	0	3.134635	0.02952335
1010	2.793528	0	2.793528	0.03836597
1020	3.277455	0	3.277455	0.02262669
1030	2.563447	0	2.563447	0.04341552
1040	2.925204	0	2.925204	0.0352591
1050	2.871285	0	2.871285	0.03655897
1060	2.881187	0	2.881187	0.0363235
1070	2.427376	0	2.427376	0.04627614
1080	2.94829	0	2.94829	0.0346878
1090	2.866606	0	2.866606	0.03666976
1100	3.169714	0	3.169714	0.02834802
1110	3.156848	0	3.156848	0.01601863
1120	3.183053	0	3.183053	0.01655043
1130	3.232443	0	3.232443	0.01786992
1140	3.125141	0	3.125141	0.02982403
1150	2.69316	0	2.69316	0.04061212
1160	2.042429	0	2.042429	0.05414121
1170	3.281078	0	3.281078	0.02115637
1180	3.265084	0	3.265084	0.01931358
1190	3.15995	0	3.15995	0.02868682
1200	3.268922	0	3.268922	0.0235645
1210	3.179849	0	3.179849	0.0279848
1220	3.207815	0	3.207815	0.02690417
1230	2.779346	0	2.779346	0.03868856
1240	2.435412	0	2.435412	0.04610891
1250	3.16663	0	3.16663	0.01620792
1260	3.081549	0	3.081549	0.03113411
1270	3.058072	0	3.058072	0.03180142
1280	1.516009	0	1.516009	0.06476005
1290	2.632772	0	2.632772	0.01099997
1300	2.900005	0	2.900005	0.03587214
