Iteration	Posterior	Likelihood	Prior	birth_rate
0	-230.4636	-233.1333	2.669716	0.04112593
10	-211.6233	-214.8457	3.22236	0.0175504
20	-211.6226	-214.8458	3.223143	0.01757401
30	-213.2307	-216.5017	3.27094	0.02338063
40	-211.8004	-214.9639	3.163492	0.01614609
50	-212.3503	-215.6317	3.281402	0.02145326
60	-213.0013	-215.9678	2.96649	0.01347394
70	-211.7741	-214.9437	3.169594	0.01626731
80	-212.2943	-215.5756	3.281308	0.02130258
90	-211.6232	-214.8457	3.2225	0.0175546
100	-212.2252	-215.3093	3.084163	0.01484995
110	-211.7409	-215.0048	3.263883	0.01923968
120	-211.6499	-214.8995	3.249519	0.01851531
130	-216.0401	-219.2309	3.190767	0.02757822
140	-213.3366	-216.6054	3.268777	0.02357712
150	-211.6291	-214.8466	3.217513	0.01740846
160	-211.6378	-214.8501	3.21228	0.01726231
170	-211.6478	-214.8552	3.207485	0.01713421
180	-211.6974	-214.8873	3.189882	0.01670352
190	-211.6211	-214.8565	3.235416	0.01797152
200	-211.6393	-214.8508	3.211534	0.01724204
210	-212.1258	-215.4058	3.279971	0.02081122
220	-212.0083	-215.13	3.121734	0.01540956
230	-211.6376	-214.85	3.212427	0.01726633
240	-211.6469	-214.8955	3.248648	0.01847809
250	-212.6632	-215.943	3.279739	0.02221618
260	-212.0632	-215.3421	3.278951	0.02061027
270	-211.6473	-214.855	3.20768	0.01713933
280	-211.7495	-214.9251	3.175641	0.01639167
290	-215.1091	-217.7898	2.680682	0.0112805
300	-212.7637	-215.7646	3.000936	0.01383209
310	-212.727	-216.0061	3.279052	0.02235865
320	-212.9338	-216.21	3.276231	0.02279812
330	-211.9858	-215.2629	3.277146	0.02034278
340	-211.9846	-215.2618	3.277114	0.02033875
350	-211.6225	-214.8458	3.22324	0.01757693
360	-211.7233	-214.9853	3.261998	0.01912909
370	-211.8317	-215.1025	3.270824	0.01971709
380	-214.2414	-217.0374	2.79597	0.01203894
390	-212.286	-215.5672	3.281281	0.02127967
400	-211.6999	-214.9589	3.259041	0.01896708
410	-211.9147	-215.1895	3.274792	0.02007323
420	-214.9118	-217.6186	2.706764	0.01144105
430	-211.7152	-214.8999	3.18471	0.01658694
440	-211.6357	-214.8806	3.24487	0.01832291
450	-211.8612	-215.1337	3.272424	0.01985022
460	-211.6642	-214.8651	3.200857	0.01696527
470	-211.6196	-214.848	3.228414	0.01773794
480	-211.6196	-214.8519	3.232371	0.01786752
490	-211.6228	-214.8457	3.222979	0.01756904
500	-213.0844	-216.3581	3.273705	0.02309973
510	-211.664	-214.8649	3.200941	0.01696736
520	-211.6499	-214.8993	3.249496	0.01851433
530	-212.0043	-215.2819	3.277641	0.02040898
540	-211.6734	-214.871	3.197567	0.01688461
550	-211.6344	-214.8787	3.244313	0.0183008
560	-211.8924	-215.1663	3.27388	0.01998293
570	-211.9119	-215.1866	3.274685	0.02006233
580	-212.2938	-215.5751	3.281307	0.02130131
590	-211.6229	-214.8457	3.222868	0.01756568
600	-211.63	-214.8469	3.216892	0.01739072
610	-212.3721	-215.6535	3.2814	0.02151079
620	-212.0515	-215.3302	3.278719	0.02057118
630	-213.1411	-216.4137	3.272667	0.0232099
640	-211.6779	-214.8739	3.196063	0.01684837
650	-211.676	-214.8727	3.196682	0.01686324
660	-211.6247	-214.8637	3.239026	0.01810021
670	-211.6459	-214.8943	3.248369	0.01846628
680	-212.2945	-215.3673	3.072841	0.01469571
690	-211.6215	-214.846	3.22451	0.01761563
