Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-212.4521	-218.6542	6.20203	0.02695995	0.003792669	0.02316728	0.003792669
10	-236.5179	-242.0213	5.50336	0.05971603	0.02005151	0.03966453	0.02005151
20	-219.6002	-225.8391	6.23897	0.03771033	0.008200026	0.0295103	0.008200026
30	-214.1069	-220.4316	6.324729	0.0296501	0.01065967	0.01899043	0.01065967
40	-234.4669	-240.1372	5.670319	0.05447229	0.01389878	0.04057351	0.01389878
50	-232.6507	-238.4099	5.75917	0.05014061	0.008825793	0.04131481	0.008825793
60	-215.2291	-220.6092	5.380034	0.02341112	0.01358735	0.009823773	0.01358735
70	-234.4648	-239.6058	5.140917	0.07241971	0.04772319	0.02469652	0.04772319
80	-214.7167	-220.8424	6.125764	0.02936142	0.01361855	0.01574286	0.01361855
90	-218.6208	-224.6334	6.012576	0.03814975	0.01995133	0.01819842	0.01995133
100	-216.8143	-223.0536	6.239301	0.03497549	0.01437339	0.02060209	0.01437339
110	-216.8397	-222.1279	5.288209	0.0314225	0.001523008	0.02989949	0.001523008
120	-242.3492	-246.0772	3.728001	0.1048826	0.09225119	0.01263138	0.09225119
130	-215.5083	-221.8244	6.316096	0.03258491	0.01181969	0.02076522	0.01181969
140	-218.7917	-225.0608	6.269109	0.03684334	0.008383265	0.02846007	0.008383265
150	-220.9545	-227.0739	6.119452	0.03823252	0.005880974	0.03235154	0.005880974
160	-231.1775	-236.1897	5.012166	0.06760224	0.05058461	0.01701762	0.05058461
170	-235.0288	-239.8611	4.832299	0.0781606	0.05944967	0.01871093	0.05944967
180	-231.8945	-237.28	5.385542	0.06454988	0.03829846	0.02625142	0.03829846
190	-217.7601	-223.7085	5.948407	0.03577952	0.01959954	0.01617998	0.01959954
200	-230.959	-236.7854	5.826417	0.04996781	0.01110752	0.03886029	0.01110752
210	-211.8802	-217.7729	5.892676	0.01819204	0.006085307	0.01210674	0.006085307
220	-219.0176	-225.2736	6.255992	0.03697575	0.007984298	0.02899145	0.007984298
230	-215.5979	-221.7886	6.190706	0.03208429	0.01433001	0.01775429	0.01433001
240	-217.4255	-223.7376	6.312044	0.03513825	0.008264318	0.02687393	0.008264318
250	-221.7632	-227.5514	5.788207	0.04465937	0.02644053	0.01821884	0.02644053
260	-215.7357	-222.0951	6.35935	0.03296214	0.009306757	0.02365538	0.009306757
270	-212.2841	-218.6023	6.318237	0.02674812	0.004935818	0.0218123	0.004935818
280	-215.8759	-221.6462	5.770329	0.03107088	0.002369887	0.02870099	0.002369887
290	-224.7125	-230.1403	5.427854	0.05104364	0.03494311	0.01610053	0.03494311
300	-213.5547	-219.725	6.170241	0.02674503	0.01134077	0.01540426	0.01134077
310	-217.2637	-223.0916	5.827903	0.03367212	0.01941431	0.0142578	0.01941431
320	-219.791	-225.7974	6.006364	0.0406609	0.02095845	0.01970246	0.02095845
330	-214.6498	-220.0213	5.371503	0.02093902	0.01141051	0.009528502	0.01141051
340	-226.2104	-231.0318	4.82137	0.05285569	0.04116721	0.01168848	0.04116721
350	-212.9679	-219.2729	6.304995	0.02801937	0.004855173	0.0231642	0.004855173
360	-222.3566	-228.4877	6.131142	0.04043445	0.007738459	0.03269599	0.007738459
370	-210.1158	-215.5107	5.39487	0.01819329	0.001581623	0.01661167	0.001581623
380	-213.8953	-220.2815	6.386241	0.02975274	0.007967994	0.02178475	0.007967994
390	-223.8463	-229.8989	6.052578	0.04519713	0.01566351	0.02953363	0.01566351
