state	power	likelihood
2510	3.2e-09	-222.716
2520	3.2e-09	-281.544
2530	3.2e-09	-284.259
2540	3.2e-09	-227.963
2550	3.2e-09	-242.919
2560	3.2e-09	-263.106
2570	3.2e-09	-235.642
2580	3.2e-09	-243.986
2590	3.2e-09	-269.747
2600	3.2e-09	-218.474
2610	3.2e-09	-216.961
2620	3.2e-09	-220.509
2630	3.2e-09	-254.537
2640	3.2e-09	-262.781
2650	3.2e-09	-273.68
2660	3.2e-09	-274.013
2670	3.2e-09	-224.971
2680	3.2e-09	-247.738
2690	3.2e-09	-233.605
2700	3.2e-09	-300.801
2710	3.2e-09	-232.66
2720	3.2e-09	-222.456
2730	3.2e-09	-240.95
2740	3.2e-09	-267.624
2750	3.2e-09	-242.899
2760	3.2e-09	-267.015
2770	3.2e-09	-255.363
2780	3.2e-09	-223.164
2790	3.2e-09	-231.335
2800	3.2e-09	-233.593
2810	3.2e-09	-322.716
2820	3.2e-09	-229.935
2830	3.2e-09	-220.107
2840	3.2e-09	-246.732
2850	3.2e-09	-220.557
2860	3.2e-09	-286.511
2870	3.2e-09	-246.634
2880	3.2e-09	-224.221
2890	3.2e-09	-285.048
2900	3.2e-09	-270.472
2910	3.2e-09	-234.458
2920	3.2e-09	-258.148
2930	3.2e-09	-250.146
2940	3.2e-09	-252.697
2950	3.2e-09	-256.465
2960	3.2e-09	-299.68
2970	3.2e-09	-289.776
2980	3.2e-09	-227.874
2990	3.2e-09	-258.605
3000	3.2e-09	-330.62
3010	3.2e-09	-250.083
3020	3.2e-09	-259.37
3030	3.2e-09	-259.108
3040	3.2e-09	-246.205
3050	3.2e-09	-266.479
3060	3.2e-09	-241.175
3070	3.2e-09	-368.901
3080	3.2e-09	-237.148
3090	3.2e-09	-250.905
3100	3.2e-09	-303.599
3110	3.2e-09	-513.282
3120	3.2e-09	-253.047
3130	3.2e-09	-221.077
3140	3.2e-09	-231.375
3150	3.2e-09	-223.921
3160	3.2e-09	-269.434
3170	3.2e-09	-224.138
3180	3.2e-09	-245.61
3190	3.2e-09	-240.647
3200	3.2e-09	-229.93
3210	3.2e-09	-218.288
3220	3.2e-09	-259.182
3230	3.2e-09	-251.972
3240	3.2e-09	-222.061
3250	3.2e-09	-265.106
3260	3.2e-09	-224.928
3270	3.2e-09	-219.279
3280	3.2e-09	-226.703
3290	3.2e-09	-258.285
3300	3.2e-09	-279.134
3310	3.2e-09	-270.819
3320	3.2e-09	-233.369
3330	3.2e-09	-252.655
3340	3.2e-09	-259.433
3350	3.2e-09	-280.451
3360	3.2e-09	-265.25
3370	3.2e-09	-230.351
3380	3.2e-09	-231.587
3390	3.2e-09	-302.222
3400	3.2e-09	-219.839
3410	3.2e-09	-240.657
3420	3.2e-09	-286.179
