state	power	likelihood
2510	0.237305	-218.355
2520	0.237305	-220.226
2530	0.237305	-228.577
2540	0.237305	-219.747
2550	0.237305	-216.355
2560	0.237305	-222.977
2570	0.237305	-220.115
2580	0.237305	-221.087
2590	0.237305	-217.219
2600	0.237305	-231.067
2610	0.237305	-216.092
2620	0.237305	-221.912
2630	0.237305	-218.624
2640	0.237305	-218.86
2650	0.237305	-216.194
2660	0.237305	-223.682
2670	0.237305	-226.06
2680	0.237305	-224.55
2690	0.237305	-219.223
2700	0.237305	-220.186
2710	0.237305	-222.088
2720	0.237305	-225.704
2730	0.237305	-227.956
2740	0.237305	-224.879
2750	0.237305	-216.95
2760	0.237305	-218.608
2770	0.237305	-217.979
2780	0.237305	-221.557
2790	0.237305	-221.685
2800	0.237305	-221.122
2810	0.237305	-218.277
2820	0.237305	-227.955
2830	0.237305	-221.806
2840	0.237305	-216.426
2850	0.237305	-219.701
2860	0.237305	-228.525
2870	0.237305	-217.955
2880	0.237305	-217.55
2890	0.237305	-218.301
2900	0.237305	-226.203
2910	0.237305	-221.743
2920	0.237305	-219.393
2930	0.237305	-218.285
2940	0.237305	-221.88
2950	0.237305	-220.56
2960	0.237305	-218.754
2970	0.237305	-218.105
2980	0.237305	-221.597
2990	0.237305	-223.476
3000	0.237305	-225.859
3010	0.237305	-222.104
3020	0.237305	-219.172
3030	0.237305	-220.864
3040	0.237305	-220.402
3050	0.237305	-220.428
3060	0.237305	-219.717
3070	0.237305	-219.312
3080	0.237305	-222.225
3090	0.237305	-224.531
3100	0.237305	-217.848
3110	0.237305	-222.738
3120	0.237305	-226.126
3130	0.237305	-219.022
3140	0.237305	-220.927
3150	0.237305	-222.237
3160	0.237305	-218.242
3170	0.237305	-217.238
3180	0.237305	-225.882
3190	0.237305	-218.349
3200	0.237305	-217.687
3210	0.237305	-218.01
3220	0.237305	-230.569
3230	0.237305	-226.168
3240	0.237305	-228.085
3250	0.237305	-219.342
3260	0.237305	-216.899
3270	0.237305	-219.166
3280	0.237305	-219.659
3290	0.237305	-216.519
3300	0.237305	-218.302
3310	0.237305	-217.516
3320	0.237305	-222.942
3330	0.237305	-217.699
3340	0.237305	-217.361
3350	0.237305	-217.159
3360	0.237305	-230.737
3370	0.237305	-221.707
3380	0.237305	-216.266
3390	0.237305	-217.58
3400	0.237305	-219.698
3410	0.237305	-220.101
3420	0.237305	-224.303
3430	0.237305	-218.353
3440	0.237305	-219.188
3450	0.237305	-222.273
3460	0.237305	-219.03
3470	0.237305	-216.696
3480	0.237305	-233.493
3490	0.237305	-216.646
3500	0.237305	-221.899
3510	0.237305	-219.317
3520	0.237305	-221.021
3530	0.237305	-215.764
3540	0.237305	-220.617
3550	0.237305	-221.56
3560	0.237305	-217.579
3570	0.237305	-223.445
3580	0.237305	-216.708
3590	0.237305	-220.378
3600	0.237305	-218.534
3610	0.237305	-219.367
3620	0.237305	-217.132
3630	0.237305	-222.522
3640	0.237305	-221.278
3650	0.237305	-218.639
3660	0.237305	-218.541
3670	0.237305	-216.451
3680	0.237305	-220.113
3690	0.237305	-216.729
3700	0.237305	-219.819
3710	0.237305	-225.175
3720	0.237305	-243.277
3730	0.237305	-223.298
3740	0.237305	-222.785
3750	0.237305	-217.29
3760	0.237305	-216.617
3770	0.237305	-222.981
3780	0.237305	-226.324
3790	0.237305	-223.2
3800	0.237305	-226.826
3810	0.237305	-216.383
3820	0.237305	-219.495
3830	0.237305	-228.066
3840	0.237305	-222.162
3850	0.237305	-218.071
3860	0.237305	-220.027
3870	0.237305	-216.922
3880	0.237305	-218.159
3890	0.237305	-218.39
3900	0.237305	-223.176
3910	0.237305	-218.074
3920	0.237305	-215.749
3930	0.237305	-219.076
3940	0.237305	-221.948
3950	0.237305	-217.49
3960	0.237305	-216.17
3970	0.237305	-217.102
3980	0.237305	-221.463
3990	0.237305	-218.315
4000	0.237305	-223.865
4010	0.237305	-216.744
4020	0.237305	-216.175
4030	0.237305	-220.607
4040	0.237305	-221.052
4050	0.237305	-227.994
4060	0.237305	-219.384
4070	0.237305	-219.169
4080	0.237305	-217.96
4090	0.237305	-219.294
4100	0.237305	-217.679
4110	0.237305	-220.97
4120	0.237305	-219.505
4130	0.237305	-219.731
4140	0.237305	-224.61
4150	0.237305	-218.122
4160	0.237305	-228.369
4170	0.237305	-218.441
4180	0.237305	-223.314
4190	0.237305	-218.607
4200	0.237305	-216.412
4210	0.237305	-220.282
4220	0.237305	-219.799
4230	0.237305	-216.925
4240	0.237305	-223.008
4250	0.237305	-218.069
4260	0.237305	-216.044
4270	0.237305	-225.481
4280	0.237305	-219.894
4290	0.237305	-220.355
4300	0.237305	-217.077
4310	0.237305	-218.636
4320	0.237305	-221.685
4330	0.237305	-230.441
4340	0.237305	-222.964
4350	0.237305	-217.601
4360	0.237305	-217.772
4370	0.237305	-219.378
4380	0.237305	-218.214
4390	0.237305	-217.825
4400	0.237305	-217.476
4410	0.237305	-223.609
4420	0.237305	-216.227
4430	0.237305	-218.587
4440	0.237305	-227.567
4450	0.237305	-218.234
4460	0.237305	-219.928
4470	0.237305	-220.916
4480	0.237305	-218.178
4490	0.237305	-222.726
4500	0.237305	-216.681
4510	0.237305	-216.797
4520	0.237305	-218.283
4530	0.237305	-219.29
4540	0.237305	-217.162
4550	0.237305	-216.565
4560	0.237305	-224.349
4570	0.237305	-221.141
4580	0.237305	-218.656
4590	0.237305	-219.926
4600	0.237305	-220.301
4610	0.237305	-217.371
4620	0.237305	-215.338
4630	0.237305	-215.917
4640	0.237305	-217.751
4650	0.237305	-221.373
4660	0.237305	-218.855
4670	0.237305	-227.225
4680	0.237305	-219.956
4690	0.237305	-224.577
4700	0.237305	-218.251
4710	0.237305	-229.344
4720	0.237305	-217.178
4730	0.237305	-216.628
4740	0.237305	-218.564
4750	0.237305	-217.831
4760	0.237305	-215.908
4770	0.237305	-218.745
4780	0.237305	-231.834
4790	0.237305	-219.331
4800	0.237305	-216.967
4810	0.237305	-216.529
4820	0.237305	-218.32
4830	0.237305	-221.888
4840	0.237305	-216.82
4850	0.237305	-224.859
4860	0.237305	-225.923
4870	0.237305	-217.56
4880	0.237305	-215.395
4890	0.237305	-243.44
4900	0.237305	-219.613
4910	0.237305	-218.889
4920	0.237305	-219.956
4930	0.237305	-227.44
4940	0.237305	-217.931
4950	0.237305	-224.501
4960	0.237305	-219.858
4970	0.237305	-219.02
4980	0.237305	-225.98
4990	0.237305	-217.941
5000	0.237305	-220.664
5010	0.237305	-216.805
5020	0.237305	-217.421
5030	0.237305	-224.751
5040	0.237305	-216.079
5050	0.237305	-216.288
5060	0.237305	-220.783
5070	0.237305	-218.201
5080	0.237305	-221.215
5090	0.237305	-220.818
5100	0.237305	-221.129
5110	0.237305	-222.514
5120	0.237305	-223.704
5130	0.237305	-218.469
5140	0.237305	-218.987
5150	0.237305	-220.118
5160	0.237305	-219.226
5170	0.237305	-216.896
5180	0.237305	-217.455
5190	0.237305	-218.228
5200	0.237305	-222.815
5210	0.237305	-218.667
5220	0.237305	-223.628
5230	0.237305	-221.966
5240	0.237305	-219.543
5250	0.237305	-220.169
5260	0.237305	-215.42
5270	0.237305	-217.433
5280	0.237305	-217.76
5290	0.237305	-221.442
5300	0.237305	-222.101
5310	0.237305	-220.101
5320	0.237305	-220.636
5330	0.237305	-216.925
5340	0.237305	-221.722
5350	0.237305	-222.094
5360	0.237305	-220.038
5370	0.237305	-215.371
5380	0.237305	-227.352
5390	0.237305	-216.189
5400	0.237305	-218.815
5410	0.237305	-225.052
5420	0.237305	-226.93
5430	0.237305	-224.544
5440	0.237305	-216.817
5450	0.237305	-216.72
5460	0.237305	-230.746
5470	0.237305	-218.76
5480	0.237305	-219.204
5490	0.237305	-219.931
5500	0.237305	-215.329
5510	0.237305	-218.455
5520	0.237305	-221.768
5530	0.237305	-220.115
5540	0.237305	-221.898
5550	0.237305	-218.513
5560	0.237305	-223.051
5570	0.237305	-227.324
5580	0.237305	-217.059
5590	0.237305	-222.018
5600	0.237305	-219.038
5610	0.237305	-226.445
5620	0.237305	-216.291
5630	0.237305	-220.41
5640	0.237305	-220.438
5650	0.237305	-219.873
5660	0.237305	-217.758
5670	0.237305	-216.896
5680	0.237305	-217.819
5690	0.237305	-223.327
5700	0.237305	-218.111
5710	0.237305	-220.236
5720	0.237305	-220.331
5730	0.237305	-218.05
5740	0.237305	-215.546
5750	0.237305	-223.053
5760	0.237305	-217.691
5770	0.237305	-218.111
5780	0.237305	-218.288
5790	0.237305	-220.935
5800	0.237305	-224.312
5810	0.237305	-216.662
5820	0.237305	-221.702
5830	0.237305	-219.736
