state	power	likelihood
2510	0.37074	-216.218
2520	0.37074	-218.694
2530	0.37074	-215.179
2540	0.37074	-216.343
2550	0.37074	-219.815
2560	0.37074	-217.009
2570	0.37074	-214.886
2580	0.37074	-216.65
2590	0.37074	-218.614
2600	0.37074	-216.571
2610	0.37074	-218.318
2620	0.37074	-217.298
2630	0.37074	-219.269
2640	0.37074	-217.67
2650	0.37074	-218.212
2660	0.37074	-215.659
2670	0.37074	-218.039
2680	0.37074	-216.012
2690	0.37074	-217.815
2700	0.37074	-215.758
2710	0.37074	-219.121
2720	0.37074	-220.517
2730	0.37074	-219.308
2740	0.37074	-216.843
2750	0.37074	-223.686
2760	0.37074	-221.032
2770	0.37074	-222.74
2780	0.37074	-219.927
2790	0.37074	-216.311
2800	0.37074	-222.776
2810	0.37074	-215.622
2820	0.37074	-216.884
2830	0.37074	-216.026
2840	0.37074	-217.196
2850	0.37074	-216.37
2860	0.37074	-219.723
2870	0.37074	-215.41
2880	0.37074	-217.322
2890	0.37074	-219.73
2900	0.37074	-219.644
2910	0.37074	-215.554
2920	0.37074	-215.668
2930	0.37074	-223.619
2940	0.37074	-219.068
2950	0.37074	-222.255
2960	0.37074	-218.931
2970	0.37074	-219.442
2980	0.37074	-218.601
2990	0.37074	-218.032
3000	0.37074	-216.044
3010	0.37074	-221.39
3020	0.37074	-215.695
3030	0.37074	-217.309
3040	0.37074	-220.341
3050	0.37074	-218.199
3060	0.37074	-216.879
3070	0.37074	-215.771
3080	0.37074	-216.948
3090	0.37074	-215.64
3100	0.37074	-217.926
3110	0.37074	-215.371
3120	0.37074	-221.319
3130	0.37074	-221.257
3140	0.37074	-218.986
3150	0.37074	-219.212
3160	0.37074	-215.599
3170	0.37074	-217.264
3180	0.37074	-222.711
3190	0.37074	-215.752
3200	0.37074	-215.89
3210	0.37074	-216.082
3220	0.37074	-222.806
3230	0.37074	-217.239
3240	0.37074	-215.819
3250	0.37074	-219.751
3260	0.37074	-217.076
3270	0.37074	-217.47
3280	0.37074	-225.221
3290	0.37074	-218.242
3300	0.37074	-216.723
3310	0.37074	-215.815
3320	0.37074	-224.243
3330	0.37074	-215.312
3340	0.37074	-217.769
3350	0.37074	-221.142
3360	0.37074	-215.034
3370	0.37074	-218.019
3380	0.37074	-220.352
3390	0.37074	-217.313
3400	0.37074	-217.804
3410	0.37074	-215.593
3420	0.37074	-219.765
3430	0.37074	-216.108
3440	0.37074	-218.911
3450	0.37074	-221.405
3460	0.37074	-215.069
3470	0.37074	-217.947
3480	0.37074	-217.798
3490	0.37074	-225.06
3500	0.37074	-217.584
3510	0.37074	-217.872
3520	0.37074	-218.264
3530	0.37074	-217.877
3540	0.37074	-221.516
3550	0.37074	-217.546
3560	0.37074	-217.901
3570	0.37074	-219.068
3580	0.37074	-219.929
3590	0.37074	-218.445
3600	0.37074	-216.862
3610	0.37074	-216.405
3620	0.37074	-217.822
3630	0.37074	-219.097
3640	0.37074	-222.241
3650	0.37074	-221.489
3660	0.37074	-224.358
3670	0.37074	-215.1
3680	0.37074	-216.071
3690	0.37074	-216.961
3700	0.37074	-223.638
3710	0.37074	-215.529
3720	0.37074	-217.649
3730	0.37074	-220.047
3740	0.37074	-218.214
3750	0.37074	-223.713
3760	0.37074	-219.872
3770	0.37074	-219.661
3780	0.37074	-220.228
3790	0.37074	-216.009
3800	0.37074	-219.385
3810	0.37074	-218.305
3820	0.37074	-215.861
3830	0.37074	-218.275
3840	0.37074	-219.382
3850	0.37074	-223.172
3860	0.37074	-215.798
3870	0.37074	-216.096
3880	0.37074	-216.327
3890	0.37074	-217.549
3900	0.37074	-216.212
3910	0.37074	-217.722
3920	0.37074	-217.175
3930	0.37074	-219.419
3940	0.37074	-215.423
3950	0.37074	-220.536
3960	0.37074	-215.784
3970	0.37074	-226.084
3980	0.37074	-218.978
3990	0.37074	-217.678
4000	0.37074	-218.776
4010	0.37074	-219.679
4020	0.37074	-220.519
4030	0.37074	-218.158
4040	0.37074	-215.986
4050	0.37074	-219.553
4060	0.37074	-218.521
4070	0.37074	-223.082
4080	0.37074	-217.717
4090	0.37074	-219.432
4100	0.37074	-216.871
4110	0.37074	-219.987
4120	0.37074	-217.218
4130	0.37074	-219.722
4140	0.37074	-215.739
4150	0.37074	-216.728
4160	0.37074	-215.471
4170	0.37074	-217.804
4180	0.37074	-221.629
4190	0.37074	-232.51
4200	0.37074	-216.84
4210	0.37074	-222.989
4220	0.37074	-216.219
4230	0.37074	-218.33
4240	0.37074	-215.883
4250	0.37074	-221.508
4260	0.37074	-216.595
4270	0.37074	-220.359
4280	0.37074	-224.087
4290	0.37074	-215.81
4300	0.37074	-219.523
4310	0.37074	-215.3
4320	0.37074	-219.287
4330	0.37074	-231.306
4340	0.37074	-220.732
4350	0.37074	-217.835
4360	0.37074	-226.908
4370	0.37074	-216.238
4380	0.37074	-223.517
4390	0.37074	-214.55
4400	0.37074	-216.205
4410	0.37074	-225.501
4420	0.37074	-215.645
4430	0.37074	-218.554
4440	0.37074	-216.809
4450	0.37074	-215.797
4460	0.37074	-216.131
4470	0.37074	-218.715
4480	0.37074	-215.559
4490	0.37074	-222.41
4500	0.37074	-224.06
4510	0.37074	-216.162
4520	0.37074	-219.712
4530	0.37074	-219.513
4540	0.37074	-215.287
4550	0.37074	-215.699
4560	0.37074	-216.477
4570	0.37074	-217.014
4580	0.37074	-221.636
4590	0.37074	-218.58
4600	0.37074	-218.232
4610	0.37074	-215.269
4620	0.37074	-222.572
4630	0.37074	-221.033
4640	0.37074	-221.711
4650	0.37074	-217.013
4660	0.37074	-214.996
4670	0.37074	-222.491
4680	0.37074	-215.873
4690	0.37074	-217.322
4700	0.37074	-215.625
4710	0.37074	-215.531
4720	0.37074	-214.938
4730	0.37074	-217.624
4740	0.37074	-221.148
4750	0.37074	-217.04
4760	0.37074	-216.573
4770	0.37074	-222.923
4780	0.37074	-217.038
4790	0.37074	-218.568
4800	0.37074	-219.572
4810	0.37074	-216.217
4820	0.37074	-216.841
4830	0.37074	-217.044
4840	0.37074	-216.274
4850	0.37074	-219.172
4860	0.37074	-217.221
4870	0.37074	-217.188
4880	0.37074	-216.322
4890	0.37074	-218.041
4900	0.37074	-215.642
4910	0.37074	-227.467
4920	0.37074	-217.466
4930	0.37074	-219.929
4940	0.37074	-216.708
4950	0.37074	-216.05
4960	0.37074	-220.097
4970	0.37074	-217.81
4980	0.37074	-215.218
4990	0.37074	-218.546
5000	0.37074	-214.716
5010	0.37074	-217.757
5020	0.37074	-217.764
5030	0.37074	-215.569
5040	0.37074	-220.565
5050	0.37074	-216.37
5060	0.37074	-221.029
5070	0.37074	-216.926
5080	0.37074	-215.255
5090	0.37074	-215.762
5100	0.37074	-218.971
5110	0.37074	-216.614
5120	0.37074	-216.351
5130	0.37074	-219.024
5140	0.37074	-220.244
5150	0.37074	-217.881
5160	0.37074	-215.84
5170	0.37074	-215.681
5180	0.37074	-220.166
5190	0.37074	-215.738
5200	0.37074	-217.975
5210	0.37074	-217.788
5220	0.37074	-218.049
5230	0.37074	-216.556
5240	0.37074	-215.891
5250	0.37074	-217.778
5260	0.37074	-218.408
5270	0.37074	-214.944
5280	0.37074	-215.968
5290	0.37074	-217.144
5300	0.37074	-217.031
5310	0.37074	-221.229
5320	0.37074	-220.956
5330	0.37074	-214.918
5340	0.37074	-218.341
5350	0.37074	-221.333
5360	0.37074	-217.378
5370	0.37074	-219.009
5380	0.37074	-220.899
5390	0.37074	-215.43
5400	0.37074	-216.3
5410	0.37074	-215.606
5420	0.37074	-216.043
5430	0.37074	-217.132
5440	0.37074	-216.944
5450	0.37074	-221.403
5460	0.37074	-220.443
5470	0.37074	-225.955
5480	0.37074	-217.693
5490	0.37074	-215.424
5500	0.37074	-219.962
5510	0.37074	-221.698
5520	0.37074	-221.742
5530	0.37074	-220.163
5540	0.37074	-221.364
5550	0.37074	-215.58
5560	0.37074	-218.953
5570	0.37074	-217.931
5580	0.37074	-223.571
5590	0.37074	-219.272
5600	0.37074	-218.811
5610	0.37074	-219.711
5620	0.37074	-218.247
5630	0.37074	-217.302
5640	0.37074	-218.331
5650	0.37074	-216.13
5660	0.37074	-216.738
5670	0.37074	-215.943
5680	0.37074	-217.809
5690	0.37074	-221.499
5700	0.37074	-220.745
5710	0.37074	-215.357
5720	0.37074	-216.519
5730	0.37074	-223.044
5740	0.37074	-223.719
5750	0.37074	-216.298
5760	0.37074	-215.112
5770	0.37074	-215.232
5780	0.37074	-218.989
5790	0.37074	-217.84
5800	0.37074	-218.765
5810	0.37074	-220.179
5820	0.37074	-219.042
5830	0.37074	-215.876
5840	0.37074	-217.764
5850	0.37074	-217.103
5860	0.37074	-216.25
5870	0.37074	-214.772
5880	0.37074	-215.951
5890	0.37074	-215.838
5900	0.37074	-218.28
5910	0.37074	-223.713
5920	0.37074	-219.888
5930	0.37074	-219.77
5940	0.37074	-220.839
5950	0.37074	-217.493
5960	0.37074	-218.327
5970	0.37074	-221.007
5980	0.37074	-216.277
5990	0.37074	-215.899
6000	0.37074	-217.483
6010	0.37074	-219.307
6020	0.37074	-215.464
6030	0.37074	-219.455
6040	0.37074	-215.797
