Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate
0	0	3.065519	0	3.065519	0.03159182
1	1	3.280823	0	3.280823	0.02195048
2	0	2.581284	0	2.581284	0.04303258
3	1	3.257183	0	3.257183	0.01886313
4	0	2.652463	0	2.652463	0.04149947
5	1	3.113156	0	3.113156	0.030195
6	0	2.382119	0	2.382119	0.0472115
7	1	3.222986	0	3.222986	0.02625349
8	0	3.167971	0	3.167971	0.02841004
9	1	3.199343	0	3.199343	0.02724731
10	0	3.272125	0	3.272125	0.0198118
11	1	3.273896	0	3.273896	0.02308917
12	0	2.116066	0	2.116066	0.05264771
13	1	3.059113	0	3.059113	0.03177186
14	0	0.5739289	0	0.5739289	0.08424559
15	1	1.955904	0	1.955904	0.05588308
16	0	2.937795	0	2.937795	0.03494751
17	1	3.036476	0	3.036476	0.01423337
18	0	3.27811	0	3.27811	0.0204561
19	1	2.82756	0	2.82756	0.03758187
20	0	3.141419	0	3.141419	0.02930486
21	1	3.231178	0	3.231178	0.02587317
22	0	3.108896	0	3.108896	0.03032466
23	1	3.08722	0	3.08722	0.03096912
24	0	2.718569	0	2.718569	0.04004887
25	1	2.79783	0	2.79783	0.03826589
26	0	2.711509	0	2.711509	0.01146876
27	1	1.931993	0	1.931993	0.05636502
28	0	2.257338	0	2.257338	0.04977504
29	1	3.119188	0	3.119188	0.01536526
30	0	3.281485	0	3.281485	0.02158364
31	1	-4.522272	0	-4.522272	0.218643
32	0	3.279836	0	3.279836	0.02075307
33	1	2.581699	0	2.581699	0.04302373
34	0	2.599511	0	2.599511	0.01081326
35	1	3.179857	0	3.179857	0.02798552
36	0	1.731367	0	1.731367	0.06040653
37	1	3.280839	0	3.280839	0.02194494
38	0	0.8393439	0	0.8393439	0.0786503
39	1	3.203279	0	3.203279	0.01702091
40	0	3.262982	0	3.262982	0.01917673
41	1	3.276622	0	3.276622	0.02026014
42	0	3.117969	0	3.117969	0.015346
43	1	3.249515	0	3.249515	0.01850775
44	0	2.913724	0	2.913724	0.03553832
45	1	2.129915	0	2.129915	0.0523671
46	0	2.000331	0	2.000331	0.05498704
47	1	2.923255	0	2.923255	0.03530559
48	0	3.216	0	3.216	0.02656129
49	1	2.87236	0	2.87236	0.03653193
50	0	3.11057	0	3.11057	0.01523111
51	1	3.042482	0	3.042482	0.03223214
52	0	3.225277	0	3.225277	0.01763344
53	1	3.168623	0	3.168623	0.0162434
54	0	3.210133	0	3.210133	0.01719905
55	1	1.834813	0	1.834813	0.05832268
56	0	2.981648	0	2.981648	0.01362498
57	1	1.780697	0	1.780697	0.05941267
58	0	2.201888	0	2.201888	0.05090553
59	1	3.186385	0	3.186385	0.02774463
60	0	3.163243	0	3.163243	0.01613697
61	1	1.420926	0	1.420926	0.06668229
62	0	3.115832	0	3.115832	0.01531246
63	1	2.788532	0	2.788532	0.03847795
64	0	3.27174	0	3.27174	0.01977953
65	1	3.135056	0	3.135056	0.0295102
66	0	2.747596	0	2.747596	0.03940209
67	1	0.8811669	0	0.8811669	0.07777713
68	0	2.97338	0	2.97338	0.03405401
69	1	3.093913	0	3.093913	0.03077272
70	0	3.240141	0	3.240141	0.02542675
71	1	3.274474	0	3.274474	0.02002669
72	0	3.182998	0	3.182998	0.02787033
73	1	1.803532	0	1.803532	0.05895272
74	0	2.609744	0	2.609744	0.04242274
75	1	-2.425525	0	-2.425525	0.1562325
