Iteration	Posterior	Likelihood	Prior	birth_rate
0	3.280823	0	3.280823	0.02195048
10	3.257183	0	3.257183	0.01886313
20	3.113156	0	3.113156	0.030195
30	3.222986	0	3.222986	0.02625349
40	3.199343	0	3.199343	0.02724731
50	3.273896	0	3.273896	0.02308917
60	3.059113	0	3.059113	0.03177186
70	1.955904	0	1.955904	0.05588308
80	3.036476	0	3.036476	0.01423337
90	2.82756	0	2.82756	0.03758187
100	3.231178	0	3.231178	0.02587317
110	3.08722	0	3.08722	0.03096912
120	2.79783	0	2.79783	0.03826589
130	1.931993	0	1.931993	0.05636502
140	3.119188	0	3.119188	0.01536526
150	-4.522272	0	-4.522272	0.218643
160	2.581699	0	2.581699	0.04302373
170	3.179857	0	3.179857	0.02798552
180	3.280839	0	3.280839	0.02194494
190	3.203279	0	3.203279	0.01702091
200	3.276622	0	3.276622	0.02026014
210	3.249515	0	3.249515	0.01850775
220	2.129915	0	2.129915	0.0523671
230	2.923255	0	2.923255	0.03530559
240	2.87236	0	2.87236	0.03653193
250	3.042482	0	3.042482	0.03223214
260	3.168623	0	3.168623	0.0162434
270	1.834813	0	1.834813	0.05832268
280	1.780697	0	1.780697	0.05941267
290	3.186385	0	3.186385	0.02774463
300	1.420926	0	1.420926	0.06668229
310	2.788532	0	2.788532	0.03847795
320	3.135056	0	3.135056	0.0295102
330	0.8811669	0	0.8811669	0.07777713
340	3.093913	0	3.093913	0.03077272
350	3.274474	0	3.274474	0.02002669
360	1.803532	0	1.803532	0.05895272
370	-2.425525	0	-2.425525	0.1562325
380	3.211917	0	3.211917	0.02673515
390	2.553676	0	2.553676	0.04362058
400	-0.4617607	0	-0.4617607	0.1071303
410	2.346307	0	2.346307	0.04795049
420	2.778493	0	2.778493	0.03870597
430	2.609566	0	2.609566	0.04242658
440	2.696655	0	2.696655	0.04053299
450	0.9257893	0	0.9257893	0.07684791
460	3.243429	0	3.243429	0.01825932
470	1.840578	0	1.840578	0.007921855
480	3.24043	0	3.24043	0.0254117
490	2.558121	0	2.558121	0.01059373
500	1.826184	0	1.826184	0.05849647
510	3.220778	0	3.220778	0.02635228
520	1.258196	0	1.258196	0.06999708
530	1.530056	0	1.530056	0.06447043
540	2.582457	0	2.582457	0.04300754
550	3.208557	0	3.208557	0.01715719
560	3.267412	0	3.267412	0.01945553
570	1.857014	0	1.857014	0.05787555
580	3.044134	0	3.044134	0.03218686
590	2.946715	0	2.946715	0.0347259
600	2.592333	0	2.592333	0.0427963
610	2.528117	0	2.528117	0.04416201
620	2.887185	0	2.887185	0.03617874
630	3.228597	0	3.228597	0.02599551
640	3.21968	0	3.21968	0.02640086
650	3.274856	0	3.274856	0.0229804
660	2.250953	0	2.250953	0.04990545
670	2.6233	0	2.6233	0.04213084
680	3.281412	0	3.281412	0.02166192
690	3.137419	0	3.137419	0.01566554
700	3.280571	0	3.280571	0.02203094
710	2.873857	0	2.873857	0.03649641
720	3.276669	0	3.276669	0.02275282
730	2.933039	0	2.933039	0.03506505
740	1.500592	0	1.500592	0.06506687
