Iteration	Posterior	Likelihood	Prior	birth_rate
0	-227.5187	-230.2407	2.721976	0.0399733
10	-211.0403	-214.2796	3.239338	0.01810506
20	-211.152	-214.3457	3.193666	0.0167866
30	-211.1668	-214.4365	3.269671	0.01961653
40	-211.1936	-214.4652	3.271642	0.01977138
50	-211.4172	-214.5577	3.140538	0.01571939
60	-211.3383	-214.493	3.154735	0.01597486
70	-211.044	-214.2767	3.232779	0.01787505
80	-211.3548	-214.5065	3.1517	0.01591873
90	-211.588	-214.8695	3.281446	0.02131712
100	-211.6842	-214.9657	3.281472	0.0216015
110	-211.2584	-214.4286	3.170159	0.01627437
120	-212.8418	-216.1032	3.261331	0.02416379
130	-211.6632	-214.9447	3.281509	0.02154096
140	-211.0666	-214.2863	3.219716	0.01746653
150	-211.1661	-214.4357	3.269615	0.01961237
160	-213.405	-216.6506	3.245557	0.02513738
170	-211.1883	-214.4596	3.271282	0.01974196
180	-211.4225	-214.7024	3.279907	0.02076809
190	-215.1698	-217.8004	2.630594	0.01098564
200	-211.5009	-214.6272	3.126235	0.01547855
210	-211.0543	-214.2798	3.225564	0.01764232
220	-211.2392	-214.4133	3.174086	0.01635482
230	-211.2104	-214.3906	3.180192	0.01648372
240	-211.5518	-214.8331	3.281293	0.02120411
250	-211.2269	-214.5005	3.273644	0.01994687
260	-211.044	-214.2904	3.24634	0.01837504
270	-211.8289	-214.9036	3.074664	0.01471676
280	-211.8892	-215.1693	3.280127	0.02215031
290	-211.0462	-214.2941	3.247894	0.01843911
300	-211.8313	-215.112	3.280666	0.02200186
310	-211.7095	-214.9909	3.281399	0.021673
320	-211.6468	-214.9284	3.281522	0.02149332
330	-211.6691	-214.9506	3.281501	0.02155814
340	-211.085	-214.3448	3.259854	0.01900166
350	-211.2272	-214.4038	3.176604	0.01640741
360	-212.0651	-215.343	3.277888	0.0225762
370	-211.1683	-214.4381	3.269793	0.01962571
380	-211.2861	-214.4507	3.16467	0.0161649
390	-211.1291	-214.3287	3.199562	0.01692831
400	-211.1893	-214.4606	3.271349	0.01974733
410	-211.1233	-214.3244	3.201146	0.01696745
420	-211.0403	-214.28	3.239718	0.01811899
430	-211.5905	-214.8719	3.281453	0.0213246
440	-211.414	-214.6938	3.279761	0.02073749
450	-212.1914	-215.4672	3.275829	0.02286245
460	-213.0933	-215.9928	2.899497	0.01285022
470	-211.2274	-214.4039	3.176561	0.01640651
480	-211.316	-214.5934	3.277378	0.02035503
490	-211.9222	-215.202	3.279772	0.02223301
500	-211.0409	-214.2836	3.242623	0.01822816
510	-212.1165	-215.3935	3.277091	0.02269434
520	-211.7291	-215.0104	3.281323	0.02172746
530	-212.3485	-215.6214	3.27285	0.02320059
540	-212.3453	-215.6182	3.272914	0.0231939
550	-211.0675	-214.3235	3.256038	0.01880635
560	-213.3691	-216.6157	3.246622	0.02507835
570	-211.5479	-214.8291	3.281271	0.02119171
580	-211.1587	-214.4277	3.268996	0.01956683
590	-211.0414	-214.2774	3.235948	0.01798372
600	-211.3702	-214.6491	3.278864	0.02057292
610	-211.3509	-214.6293	3.278387	0.02049721
620	-211.1319	-214.3307	3.198825	0.01691025
630	-211.9972	-215.047	3.049867	0.01439646
640	-211.6644	-214.9459	3.281507	0.02154454
650	-211.0452	-214.2768	3.231636	0.01783686
660	-211.1386	-214.3357	3.197059	0.0168674
670	-211.1041	-214.3108	3.206628	0.01710669
680	-211.8328	-215.1135	3.280654	0.02200589
690	-211.057	-214.3099	3.252897	0.01865774
700	-213.1562	-216.0474	2.891189	0.01277906
710	-211.0405	-214.2785	3.238012	0.01805693
720	-211.6868	-214.9682	3.281466	0.02160873
730	-212.1199	-215.3969	3.277036	0.02270215
740	-211.053	-214.2793	3.226266	0.01766415
750	-211.3424	-214.4964	3.15398	0.01596081
760	-211.9653	-215.2446	3.27926	0.02233885
770	-211.0454	-214.2928	3.247375	0.0184175
780	-211.0403	-214.2802	3.239965	0.0181281
790	-211.1119	-214.3163	3.204326	0.01704749
800	-211.0609	-214.315	3.254162	0.01871641
810	-211.0742	-214.3318	3.257641	0.01888626
820	-211.2917	-214.5683	3.276544	0.0202508
830	-211.2401	-214.5144	3.274328	0.02001229
840	-211.0536	-214.3052	3.25161	0.01859954
850	-211.534	-214.8151	3.281184	0.0211473
860	-211.4103	-214.69	3.279694	0.02072382
870	-211.2504	-214.4222	3.171778	0.01630731
880	-212.4557	-215.441	2.98528	0.01366268
890	-211.4542	-214.5883	3.134137	0.0156097
900	-211.1045	-214.311	3.206531	0.01710419
910	-213.0865	-215.9869	2.900394	0.01285797
920	-211.5064	-214.7873	3.280969	0.02105747
930	-213.5202	-216.7623	3.242093	0.0253244
940	-211.0601	-214.2827	3.222584	0.01755143
950	-212.4991	-215.4784	2.979337	0.01360116
960	-211.5022	-214.7831	3.280931	0.02104371
970	-211.9358	-214.9947	3.058813	0.01450914
980	-211.5545	-214.6719	3.117406	0.01533713
990	-211.2593	-214.4293	3.169985	0.01627085
1000	-211.0578	-214.2815	3.223705	0.01758528
1010	-212.7214	-215.9858	3.264388	0.02394011
1020	-211.0874	-214.3477	3.260296	0.01902553
1030	-211.4606	-214.7411	3.280472	0.02090281
1040	-212.4041	-215.6758	3.271702	0.02331598
1050	-212.0269	-215.3054	3.278443	0.02248661
1060	-211.0404	-214.2789	3.23847	0.01807345
1070	-211.136	-214.4028	3.266847	0.01941753
1080	-211.172	-214.3608	3.188861	0.01667547
1090	-211.3924	-214.6718	3.279349	0.02065756
1100	-211.0475	-214.2961	3.248672	0.01847179
1110	-211.0784	-214.337	3.258564	0.01893363
1120	-213.1108	-216.3649	3.254065	0.02464233
1130	-211.4931	-214.7739	3.280843	0.02101324
1140	-211.2277	-214.5014	3.27369	0.01995119
1150	-211.5978	-214.8792	3.281473	0.02134683
1160	-211.4753	-214.7559	3.280652	0.02095318
1170	-211.6118	-214.7199	3.108172	0.01519458
1180	-211.2943	-214.5709	3.276637	0.02026198
1190	-211.0409	-214.2779	3.237064	0.01802305
1200	-211.0674	-214.2868	3.21936	0.01745616
1210	-211.0651	-214.3204	3.255383	0.01877456
1220	-211.5708	-214.8522	3.281384	0.02126375
1230	-211.814	-215.0948	3.280806	0.02195653
1240	-211.5695	-214.8509	3.281379	0.02125987
1250	-211.3312	-214.609	3.277842	0.02041783
1260	-211.2688	-214.4368	3.168082	0.01623255
1270	-212.3252	-215.5985	3.273318	0.02315152
1280	-211.0422	-214.277	3.234767	0.01794272
1290	-211.2982	-214.575	3.276779	0.02027913
1300	-212.157	-215.4335	3.276422	0.02278601
1310	-211.0714	-214.2891	3.217754	0.01740982
1320	-211.0448	-214.2918	3.246965	0.01840059
1330	-211.0974	-214.3061	3.208685	0.01716056
1340	-211.1393	-214.3362	3.19688	0.01686309
1350	-211.9402	-215.2198	3.279564	0.02227751
1360	-211.0411	-214.284	3.242903	0.01823895
1370	-211.5104	-214.6351	3.124661	0.01545295
1380	-211.1672	-214.437	3.269708	0.01961933
1390	-211.1392	-214.4063	3.267175	0.01943949
1400	-211.2591	-214.4291	3.17002	0.01627155
1410	-211.134	-214.4006	3.266641	0.01940383
1420	-213.2874	-216.5364	3.249021	0.02494261
1430	-211.6841	-214.7809	3.096779	0.01502558
1440	-211.0794	-214.2941	3.214736	0.01732461
1450	-211.3901	-214.6694	3.279301	0.02064872
1460	-211.1504	-214.3445	3.194081	0.01679638
1470	-211.0726	-214.2898	3.217282	0.01739633
1480	-212.0757	-215.1142	3.038541	0.0142581
1490	-211.062	-214.2837	3.2217	0.01752501
1500	-211.7319	-214.8213	3.089387	0.01491968
1510	-211.6256	-214.9071	3.281517	0.02143057
1520	-211.4113	-214.691	3.279712	0.0207275
1530	-211.896	-215.176	3.280057	0.02216745
1540	-211.7145	-214.8066	3.092061	0.01495767
1550	-212.088	-215.3655	3.27754	0.02262912
1560	-211.0421	-214.277	3.234889	0.01794693
1570	-211.1186	-214.3835	3.264896	0.01929208
1580	-211.7915	-214.8718	3.080307	0.01479333
1590	-211.3033	-214.4646	3.161338	0.01610004
1600	-211.2637	-214.4328	3.169089	0.01625275
1610	-211.2831	-214.4484	3.165242	0.01617615
1620	-211.9972	-215.2761	3.278849	0.02241592
1630	-211.1218	-214.3234	3.20154	0.01697725
1640	-211.2117	-214.4845	3.272783	0.01986873
1650	-211.0457	-214.2932	3.247543	0.01842449
1660	-211.1475	-214.3423	3.194788	0.0168131
1670	-211.0908	-214.3016	3.210813	0.01721726
1680	-212.2158	-215.4912	3.275394	0.02291628
1690	-211.173	-214.3616	3.188631	0.01667022
1700	-211.5916	-214.703	3.111398	0.0152438
1710	-213.8238	-217.0565	3.232667	0.02580141
1720	-211.0562	-214.2807	3.224513	0.01760993
1730	-211.7505	-214.837	3.086536	0.01487958
1740	-211.0805	-214.3395	3.258992	0.01895594
1750	-211.052	-214.2789	3.226855	0.01768259
1760	-213.0902	-215.9901	2.899911	0.0128538
1770	-211.0679	-214.2871	3.219132	0.01744954
1780	-211.0486	-214.2776	3.229051	0.01775242
1790	-211.0437	-214.2897	3.246009	0.01836162
1800	-211.2585	-214.4287	3.170134	0.01627386
1810	-211.2334	-214.4087	3.175292	0.0163799
1820	-211.5137	-214.6378	3.12411	0.01544403
1830	-211.185	-214.4561	3.271052	0.01972339
1840	-211.9806	-215.2596	3.279067	0.02237587
1850	-211.0404	-214.2815	3.241092	0.01817006
1860	-213.2304	-216.1118	2.881397	0.01269665
1870	-212.9001	-216.1599	3.259804	0.0242699
1880	-211.0526	-214.3038	3.251189	0.01858078
1890	-211.1915	-214.463	3.271503	0.0197599
1900	-211.1169	-214.3816	3.264681	0.01927873
1910	-211.0585	-214.2819	3.223382	0.01757551
1920	-211.0607	-214.283	3.222318	0.01754346
1930	-211.6849	-214.9663	3.28147	0.02160328
1940	-211.1334	-214.3318	3.198431	0.01690065
1950	-213.0678	-216.323	3.255265	0.02456751
1960	-211.5372	-214.6574	3.120232	0.01538184
1970	-211.047	-214.2772	3.230173	0.01778875
1980	-211.0439	-214.2767	3.232843	0.01787721
1990	-211.169	-214.3585	3.189568	0.01669159
2000	-211.0406	-214.2783	3.237687	0.01804529
2010	-211.3965	-214.6759	3.279431	0.02067276
2020	-211.0448	-214.2917	3.246923	0.01839887
2030	-211.1879	-214.4591	3.271252	0.01973947
2040	-211.2004	-214.4725	3.27209	0.01980889
2050	-211.2373	-214.5115	3.274188	0.01999866
2060	-211.2443	-214.5189	3.274537	0.02003289
2070	-211.3257	-214.4828	3.157091	0.01601903
2080	-212.253	-215.5277	3.274711	0.02299728
2090	-211.5913	-214.7027	3.111449	0.01524458
2100	-212.4358	-215.7068	3.271028	0.02338082
2110	-211.1482	-214.4163	3.268054	0.01949977
2120	-211.3652	-214.6439	3.278746	0.02055356
2130	-211.2488	-214.4209	3.172106	0.01631403
2140	-211.815	-214.8917	3.076763	0.01474508
2150	-212.6736	-215.9391	3.265563	0.0238494
2160	-211.0792	-214.294	3.214794	0.01732623
2170	-211.5709	-214.6856	3.114736	0.01529538
2180	-211.2334	-214.4087	3.175298	0.01638003
2190	-213.561	-216.3991	2.838104	0.01234981
2200	-211.4352	-214.7153	3.280113	0.02081374
2210	-211.0874	-214.3477	3.260292	0.01902529
2220	-211.8493	-214.9209	3.071621	0.01467607
2230	-211.0567	-214.281	3.224269	0.01760247
2240	-213.5443	-216.7857	3.241358	0.02536314
2250	-211.3742	-214.6532	3.278957	0.02058851
2260	-211.1806	-214.4513	3.27073	0.01969784
2270	-213.3953	-216.6411	3.245845	0.02512149
2280	-211.0612	-214.2833	3.222059	0.0175357
2290	-212.4802	-215.7503	3.270059	0.02347085
2300	-211.2336	-214.5076	3.273997	0.01998027
2310	-211.6256	-214.9071	3.281517	0.02143049
2320	-211.1715	-214.4416	3.270049	0.01964507
2330	-211.4645	-214.5969	3.132381	0.01558016
2340	-211.0975	-214.3061	3.208674	0.01716028
2350	-211.6256	-214.9071	3.281517	0.02143057
2360	-211.272	-214.4395	3.16743	0.01621952
2370	-211.6533	-214.9348	3.281518	0.02151232
2380	-211.1555	-214.3483	3.192818	0.01676674
2390	-211.216	-214.4891	3.273039	0.01989153
2400	-211.2282	-214.4046	3.176391	0.01640293
2410	-211.1717	-214.3606	3.188924	0.0166769
2420	-211.1391	-214.336	3.19694	0.01686454
2430	-211.7214	-215.0028	3.281354	0.0217063
2440	-211.2454	-214.4182	3.172818	0.01632865
2450	-211.2199	-214.4931	3.273257	0.01991125
2460	-211.1126	-214.3168	3.204131	0.01704251
2470	-211.7769	-215.058	3.281066	0.02185798
2480	-211.0475	-214.2773	3.229777	0.01777588
2490	-211.0849	-214.3447	3.259829	0.01900034
2500	-211.9958	-215.2747	3.278868	0.02241248
2510	-211.2533	-214.5282	3.274959	0.02007569
2520	-211.6243	-214.7304	3.106182	0.01516454
2530	-211.2189	-214.4921	3.273203	0.01990637
2540	-211.0719	-214.2895	3.217528	0.01740336
2550	-211.1081	-214.3716	3.263529	0.019209
2560	-211.0405	-214.2786	3.238156	0.01806212
2570	-211.1129	-214.317	3.204049	0.01704044
2580	-211.7278	-215.0091	3.281328	0.02172394
2590	-211.0502	-214.2782	3.227935	0.01771673
2600	-211.1775	-214.365	3.18758	0.01664644
2610	-211.851	-214.9224	3.071361	0.01467262
2620	-211.1573	-214.3497	3.192362	0.01675608
2630	-211.8997	-214.9639	3.064128	0.01457758
2640	-211.4962	-214.7771	3.280874	0.02102372
2650	-211.7116	-214.9929	3.281392	0.02167869
2660	-211.1188	-214.3837	3.264911	0.01929302
2670	-211.5672	-214.8485	3.281368	0.02125248
2680	-211.3802	-214.6593	3.279092	0.02061153
2690	-211.5649	-214.6806	3.115708	0.01531054
2700	-211.5244	-214.6468	3.122334	0.01541543
2710	-211.5796	-214.6929	3.113331	0.01527359
2720	-211.6399	-214.9214	3.281523	0.02147293
2730	-211.0559	-214.3084	3.252499	0.0186396
2740	-211.4458	-214.7261	3.280271	0.02085132
2750	-211.6848	-214.9662	3.281471	0.02160295
2760	-211.2047	-214.3862	3.18143	0.01651046
2770	-211.1476	-214.3424	3.194763	0.01681253
2780	-211.1653	-214.4348	3.269546	0.01960724
2790	-212.8901	-216.1501	3.26007	0.02425168
2800	-211.4603	-214.5934	3.133101	0.01559224
2810	-212.7815	-216.0443	3.26288	0.02405245
2820	-212.4557	-215.7263	3.270596	0.02342143
2830	-211.0813	-214.3404	3.259139	0.01896368
2840	-211.0657	-214.2858	3.220093	0.01747756
2850	-211.1371	-214.404	3.266961	0.01942511
2860	-211.5489	-214.6672	3.118317	0.0153515
2870	-211.3991	-214.5428	3.143729	0.01577529
2880	-211.0738	-214.2906	3.216802	0.01738269
2890	-211.1852	-214.371	3.185798	0.01660647
2900	-211.5832	-214.6959	3.112757	0.01526471
2910	-211.1159	-214.3805	3.26456	0.01927133
2920	-211.6781	-214.9596	3.281485	0.02158399
2930	-211.3154	-214.5927	3.277357	0.02035224
2940	-212.0436	-215.3218	3.278204	0.02252599
2950	-211.0628	-214.2842	3.221334	0.01751414
2960	-211.0443	-214.2908	3.24651	0.01838198
2970	-211.1787	-214.4493	3.270591	0.01968695
2980	-211.5057	-214.6312	3.12544	0.01546559
2990	-211.0459	-214.2769	3.231063	0.01781794
3000	-212.6206	-215.5834	2.962769	0.0134342
3010	-211.0484	-214.2976	3.249205	0.01849447
3020	-211.2375	-214.412	3.174433	0.01636203
3030	-211.1335	-214.3319	3.198393	0.01689973
3040	-211.1093	-214.373	3.263699	0.01921911
3050	-212.1638	-215.1898	3.025976	0.01410983
3060	-211.0497	-214.278	3.228299	0.0177283
3070	-211.0971	-214.359	3.26192	0.01911555
3080	-211.1522	-214.4206	3.268422	0.01952565
3090	-211.6452	-214.9268	3.281522	0.02148867
3100	-211.2416	-214.4152	3.173599	0.01634476
3110	-211.0608	-214.3149	3.254126	0.01871471
3120	-211.5231	-214.6456	3.12256	0.01541906
3130	-211.5985	-214.8799	3.281474	0.02134892
3140	-211.3592	-214.5101	3.150893	0.01590396
3150	-211.2615	-214.5368	3.275329	0.02011437
3160	-215.2746	-217.8917	2.617151	0.01091026
3170	-211.3562	-214.5077	3.15143	0.01591378
3180	-211.1478	-214.4158	3.268014	0.01949699
3190	-213.0935	-216.3481	3.254548	0.02461238
3200	-212.0265	-215.0721	3.045619	0.01434403
3210	-212.5346	-215.8034	3.268839	0.0235793
3220	-211.0441	-214.2767	3.232637	0.01787028
3230	-211.3294	-214.4858	3.156399	0.016006
3240	-211.1151	-214.3796	3.264455	0.01926487
3250	-211.2997	-214.4617	3.162034	0.01611348
3260	-211.0963	-214.3053	3.209051	0.01717024
3270	-211.0437	-214.2898	3.246092	0.01836498
3280	-211.5201	-214.8012	3.281083	0.02110244
3290	-212.1052	-215.3825	3.277271	0.02266861
3300	-211.1152	-214.3796	3.264461	0.0192652
3310	-211.1012	-214.3638	3.262547	0.01915142
