Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-253.7613	-257.7862	4.024925	0.111098	0.07125965	0.03983837	0.07125965
10	-222.5679	-226.8369	4.269036	0.04197192	0.03369992	0.008272004	0.03369992
20	-239.7895	-244.4776	4.68814	0.09032943	0.06387076	0.02645867	0.06387076
30	-237.2177	-242.1519	4.934116	0.08061448	0.05259013	0.02802435	0.05259013
40	-222.774	-228.4337	5.659696	0.04939437	0.03065171	0.01874266	0.03065171
50	-226.14	-231.5458	5.405808	0.05740827	0.03867067	0.0187376	0.03867067
60	-228.5953	-233.9133	5.318068	0.06310564	0.04243964	0.020666	0.04243964
70	-243.7252	-247.2719	3.546782	0.116206	0.1033367	0.01286934	0.1033367
80	-220.3273	-226.2439	5.916657	0.04398984	0.02371058	0.02027927	0.02371058
90	-224.922	-230.4667	5.544623	0.05431588	0.03468707	0.01962881	0.03468707
100	-289.6227	-293.0376	3.414855	0.1047693	0.02744695	0.07732231	0.02744695
110	-251.0445	-255.281	4.236482	0.1022475	0.0625654	0.03968211	0.0625654
120	-225.4957	-230.4678	4.972029	0.05476468	0.04178611	0.01297857	0.04178611
130	-213.3858	-219.7487	6.362828	0.03037087	0.00976704	0.02060383	0.00976704
140	-211.5274	-217.8808	6.353328	0.02691143	0.005613312	0.02129811	0.005613312
150	-244.6909	-249.2206	4.529724	0.09466688	0.06110261	0.03356427	0.06110261
160	-210.9571	-217.3047	6.347594	0.02506037	0.006216356	0.01884401	0.006216356
170	-236.2128	-240.9653	4.752422	0.0846857	0.06378093	0.02090477	0.06378093
180	-220.8842	-226.5583	5.674077	0.04486419	0.0282099	0.01665429	0.0282099
190	-214.3457	-220.6928	6.347142	0.0322906	0.01064318	0.02164742	0.01064318
200	-231.8376	-236.6209	4.78328	0.07328542	0.05735902	0.0159264	0.05735902
210	-252.4849	-255.9735	3.488631	0.1498156	0.1289929	0.02082271	0.1289929
220	-235.4812	-240.6095	5.128306	0.07346196	0.04344522	0.03001674	0.04344522
230	-261.2626	-264.0642	2.801627	0.1984956	0.1772792	0.02121641	0.1772792
240	-223.1949	-228.7982	5.603273	0.05036449	0.0320649	0.01829959	0.0320649
250	-238.6476	-244.0799	5.43228	0.05983103	0.0147156	0.04511543	0.0147156
260	-223.1213	-229.1281	6.006775	0.04651496	0.01738438	0.02913058	0.01738438
270	-302.7827	-302.4573	-0.3253496	0.5362412	0.5006424	0.03559881	0.5006424
280	-260.494	-264.8343	4.340314	0.08665266	0.02976532	0.05688733	0.02976532
290	-256.4716	-260.7182	4.246606	0.09391257	0.04413436	0.04977821	0.04413436
300	-240.1555	-245.2111	5.055673	0.07337709	0.0348228	0.03855429	0.0348228
310	-276.0527	-278.266	2.213353	0.2188983	0.1786825	0.04021571	0.1786825
320	-226.8198	-232.7434	5.923603	0.04805041	0.01196781	0.0360826	0.01196781
330	-224.5689	-230.1637	5.594799	0.0533991	0.03328454	0.02011456	0.03328454
340	-291.2074	-293.5365	2.329121	0.1554951	0.08831255	0.06718251	0.08831255
350	-219.1815	-224.9546	5.773172	0.0409387	0.02471056	0.01622814	0.02471056
360	-237.1325	-241.4134	4.280959	0.09054439	0.07570779	0.0148366	0.07570779
370	-241.6123	-246.4243	4.81198	0.08318749	0.04830081	0.03488668	0.04830081
380	-220.8494	-226.9628	6.113328	0.03981936	0.006778488	0.03304087	0.006778488
390	-241.1029	-245.9744	4.871482	0.08080322	0.04532373	0.03547949	0.04532373
400	-266.7566	-269.4157	2.659066	0.2059834	0.176116	0.02986732	0.176116
410	-209.9669	-216.1704	6.203472	0.02270812	0.003943216	0.01876491	0.003943216
420	-232.3606	-237.4379	5.077339	0.07272335	0.05107512	0.02164823	0.05107512
430	-213.1996	-219.5262	6.32659	0.02961465	0.01060472	0.01900993	0.01060472
440	-260.253	-264.4583	4.205281	0.09217174	0.03762316	0.05454857	0.03762316
450	-254.9064	-258.4739	3.56748	0.1458497	0.1176094	0.02824026	0.1176094
460	-230.8396	-236.6104	5.77075	0.05091742	0.01049715	0.04042028	0.01049715
470	-230.8128	-236.4027	5.589941	0.0585099	0.02501659	0.03349332	0.02501659
480	-268.99	-271.7685	2.778476	0.1796265	0.1400893	0.0395372	0.1400893
