Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-211.4803	-217.3353	5.855036	0.01805677	0.006247011	0.01180976	0.006247011
10	-210.0316	-215.6579	5.626372	0.0226122	0.001792392	0.02081981	0.001792392
20	-210.4453	-215.9994	5.554043	0.02358353	0.001674402	0.02190913	0.001674402
30	-210.2911	-214.8074	4.516272	0.01655131	0.000858332	0.01569298	0.000858332
40	-209.7401	-215.8357	6.095537	0.01986023	0.003880596	0.01597964	0.003880596
50	-209.6873	-215.7945	6.107293	0.02027377	0.003770948	0.01650283	0.003770948
60	-210.7505	-217.081	6.330555	0.02433163	0.006075992	0.01825563	0.006075992
70	-211.0589	-217.413	6.354103	0.02539678	0.006259659	0.01913712	0.006259659
80	-212.8155	-218.6972	5.881743	0.02329662	0.01104335	0.01225328	0.01104335
90	-209.9615	-216.0222	6.060643	0.01904709	0.004182165	0.01486493	0.004182165
100	-211.8078	-214.9872	3.1794	0.01514427	0.0004288981	0.01471537	0.0004288981
110	-210.2165	-216.3002	6.08378	0.01927203	0.004836463	0.01443557	0.004836463
120	-210.751	-216.901	6.14992	0.02095658	0.00652314	0.01443344	0.00652314
130	-212.955	-219.3365	6.381492	0.02962678	0.008608444	0.02101834	0.008608444
140	-209.4804	-215.4526	5.97222	0.02004459	0.002885026	0.01715956	0.002885026
150	-210.5092	-215.8443	5.335159	0.015177	0.001859612	0.01331739	0.001859612
160	-210.954	-216.4603	5.50639	0.01486551	0.002559198	0.01230632	0.002559198
170	-209.5462	-215.3742	5.827996	0.02108311	0.002264407	0.0188187	0.002264407
180	-210.4142	-216.6093	6.195107	0.02113542	0.005832209	0.01530321	0.005832209
190	-210.6697	-216.6004	5.93071	0.01765002	0.004731488	0.01291853	0.004731488
200	-210.8497	-216.7078	5.858023	0.02502278	0.002289117	0.02273366	0.002289117
210	-209.5384	-215.5481	6.009714	0.02089296	0.002929905	0.01796306	0.002929905
220	-210.8047	-216.4711	5.666334	0.01555416	0.003131125	0.01242303	0.003131125
230	-216.3873	-222.3202	5.932857	0.03457892	0.01903769	0.01554124	0.01903769
240	-212.3891	-217.9554	5.566351	0.01591676	0.005646943	0.01026982	0.005646943
250	-210.1086	-214.8185	4.709887	0.01677478	0.0009693806	0.0158054	0.0009693806
