Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-243.987	-218.8029	-25.18413	0.02804915	0.009352004	0.01869715	0.009352004
10	-243.4684	-221.8119	-21.65655	0.02690019	0.01875421	0.00814598	0.01875421
20	-243.0231	-219.5038	-23.51939	0.02881361	0.01196517	0.01684845	0.01196517
30	-242.6478	-223.2572	-19.39055	0.03463562	0.02316642	0.0114692	0.02316642
40	-243.158	-225.0778	-18.08017	0.03943583	0.0279355	0.01150033	0.0279355
50	-242.3886	-221.6146	-20.77401	0.03075754	0.01880324	0.0119543	0.01880324
60	-242.8668	-220.2992	-22.56766	0.03053432	0.01371348	0.01682084	0.01371348
70	-243.7158	-226.6004	-17.11533	0.04415846	0.03119263	0.01296582	0.03119263
80	-243.1609	-219.014	-24.14686	0.02771071	0.01094301	0.01676771	0.01094301
90	-243.9732	-226.9613	-17.01188	0.04389658	0.03347714	0.01041944	0.03347714
100	-245.3007	-228.306	-16.99477	0.04906313	0.03020685	0.01885628	0.03020685
110	-243.5261	-221.8061	-21.71999	0.02672388	0.01867511	0.008048773	0.01867511
120	-242.4082	-221.6871	-20.72108	0.03244916	0.01829104	0.01415813	0.01829104
130	-243.3433	-224.369	-18.97439	0.03964064	0.02296423	0.01667641	0.02296423
140	-242.6344	-221.0869	-21.54752	0.03194085	0.01596138	0.01597947	0.01596138
150	-243.8103	-221.513	-22.29723	0.03380289	0.0141012	0.0197017	0.0141012
160	-243.9954	-222.0307	-21.96468	0.02610671	0.01884354	0.007263175	0.01884354
170	-242.4219	-220.316	-22.10583	0.02926291	0.01497809	0.01428482	0.01497809
180	-250.0602	-238.1488	-11.9114	0.07897283	0.06493179	0.01404105	0.06493179
190	-242.8031	-219.237	-23.56606	0.02476799	0.01253915	0.01222884	0.01253915
200	-242.4944	-219.8139	-22.68051	0.02697942	0.01406128	0.01291814	0.01406128
210	-243.2408	-225.3736	-17.86718	0.04097802	0.02799506	0.01298296	0.02799506
220	-242.6361	-219.4041	-23.23195	0.02584017	0.01301374	0.01282643	0.01301374
230	-243.821	-226.808	-17.01307	0.04404349	0.03260037	0.01144312	0.03260037
240	-242.4635	-221.819	-20.64449	0.03299074	0.01840036	0.01459038	0.01840036
250	-242.8487	-220.8048	-22.04392	0.02647384	0.01648721	0.009986624	0.01648721
260	-243.0074	-219.7539	-23.25349	0.02942342	0.01241786	0.01700556	0.01241786
270	-243.4783	-220.7991	-22.67924	0.02449163	0.01578661	0.00870502	0.01578661
280	-243.3551	-218.5207	-24.83444	0.02258003	0.0104851	0.01209494	0.0104851
290	-242.4589	-222.2448	-20.2141	0.03218807	0.02047812	0.01170995	0.02047812
300	-242.7192	-220.7554	-21.96379	0.02687706	0.01646279	0.01041427	0.01646279
310	-242.6927	-223.0026	-19.69001	0.0333011	0.02265222	0.01064888	0.02265222
320	-242.7277	-223.7254	-19.00227	0.03691402	0.02370585	0.01320818	0.02370585
330	-243.9562	-222.6236	-21.33255	0.02792732	0.02077781	0.007149506	0.02077781
340	-242.8534	-223.4771	-19.37624	0.0371855	0.02191581	0.0152697	0.02191581
350	-242.6978	-219.6161	-23.08171	0.02840481	0.01285946	0.01554536	0.01285946
360	-242.7524	-219.1456	-23.6067	0.02514389	0.01233847	0.01280542	0.01233847
370	-243.7912	-221.3153	-22.47591	0.03338907	0.0137466	0.01964247	0.0137466
380	-246.1607	-230.9898	-15.17083	0.05632441	0.03963328	0.01669113	0.03963328
390	-245.1186	-220.7825	-24.33604	0.02066045	0.01353723	0.007123227	0.01353723
400	-242.4278	-221.638	-20.78981	0.03047539	0.01892128	0.01155411	0.01892128
410	-242.4832	-222.5354	-19.94776	0.03420056	0.0205767	0.01362386	0.0205767
420	-246.011	-231.349	-14.66207	0.05717677	0.04498789	0.01218888	0.04498789
430	-243.169	-221.0052	-22.16381	0.02582362	0.01672017	0.00910345	0.01672017
440	-242.7816	-223.9248	-18.85682	0.03740737	0.02420897	0.0131984	0.02420897
450	-243.6011	-225.3092	-18.29197	0.03823859	0.0292103	0.009028285	0.0292103
460	-242.9822	-220.8037	-22.17851	0.03182385	0.01445517	0.01736868	0.01445517
470	-243.0308	-224.7699	-18.26087	0.03940133	0.02648803	0.01291331	0.02648803
480	-242.9016	-221.5574	-21.34417	0.03337088	0.01631668	0.01705419	0.01631668
490	-242.4688	-219.8553	-22.61356	0.02737791	0.01412148	0.01325643	0.01412148
500	-243.1025	-224.9987	-18.10381	0.03978824	0.02728067	0.01250757	0.02728067
510	-244.7479	-225.1739	-19.57399	0.04154634	0.02080053	0.02074581	0.02080053
520	-243.2009	-220.621	-22.57989	0.02494481	0.01562176	0.009323045	0.01562176
530	-243.3915	-221.173	-22.21846	0.03293368	0.01429868	0.01863501	0.01429868
540	-242.7161	-223.4541	-19.26205	0.03494145	0.02375301	0.01118845	0.02375301
550	-244.8208	-225.4634	-19.35733	0.04218402	0.02145672	0.0207273	0.02145672
560	-243.5743	-220.6897	-22.88455	0.03200146	0.01298393	0.01901753	0.01298393
570	-242.5161	-219.6634	-22.85269	0.02739523	0.01352984	0.01386539	0.01352984
580	-244.2182	-220.7797	-23.43849	0.02259447	0.01478241	0.007812061	0.01478241
590	-243.1232	-218.8154	-24.30787	0.0233509	0.01131993	0.01203098	0.01131993
600	-243.2366	-222.9515	-20.28506	0.03094727	0.02241476	0.008532511	0.02241476
610	-243.2021	-220.9076	-22.29448	0.03224688	0.01417205	0.01807483	0.01417205
620	-243.8189	-225.1806	-18.63834	0.03704546	0.02888237	0.008163091	0.02888237
630	-243.5013	-225.9545	-17.5468	0.04154583	0.03043771	0.01110812	0.03043771
640	-242.5278	-222.1552	-20.37267	0.03387662	0.01909088	0.01478574	0.01909088
650	-243.0666	-223.474	-19.59264	0.03328294	0.02401874	0.009264193	0.02401874
660	-242.4066	-222.1566	-20.24995	0.03257304	0.02005075	0.01252229	0.02005075
670	-242.3975	-220.4924	-21.90506	0.02826099	0.01585116	0.01240982	0.01585116
680	-244.482	-219.2206	-25.26139	0.020009	0.01061488	0.009394115	0.01061488
690	-245.1726	-222.2702	-22.90241	0.02412643	0.01818453	0.005941907	0.01818453
700	-243.2469	-224.5997	-18.64722	0.03999609	0.02422386	0.01577223	0.02422386
710	-242.4141	-221.857	-20.5572	0.03126399	0.01945469	0.01180931	0.01945469
720	-242.3589	-220.5466	-21.81227	0.02901676	0.0158629	0.01315386	0.0158629
730	-242.9597	-220.8014	-22.1583	0.03179432	0.01450279	0.01729154	0.01450279
740	-242.983	-224.3143	-18.66879	0.03891051	0.02446066	0.01444985	0.02446066
750	-242.8533	-221.549	-21.30425	0.03329543	0.01642792	0.01686751	0.01642792
760	-242.4668	-222.1213	-20.34545	0.0316808	0.02019674	0.01148405	0.02019674
770	-243.0221	-224.6288	-18.39322	0.03814776	0.02680703	0.01134073	0.02680703
780	-242.4011	-220.2391	-22.16204	0.02811764	0.01512687	0.01299077	0.01512687
790	-243.6342	-218.3208	-25.31339	0.02176436	0.009820305	0.01194405	0.009820305
800	-242.5404	-222.5851	-19.95531	0.03465424	0.02038441	0.01426983	0.02038441
810	-242.5187	-220.2729	-22.24577	0.02966455	0.0145513	0.01511325	0.0145513
820	-242.9557	-224.4946	-18.46108	0.03889368	0.02557632	0.01331736	0.02557632
830	-242.9436	-219.3326	-23.61107	0.02820707	0.01184627	0.01636079	0.01184627
840	-242.519	-222.743	-19.77606	0.03361155	0.02172267	0.01188888	0.02172267
850	-242.3807	-221.8232	-20.55747	0.03155583	0.01927012	0.0122857	0.01927012
860	-242.5172	-220.7424	-21.77482	0.03085144	0.01553681	0.01531463	0.01553681
