Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-209.5092	-215.2876	5.778319	0.01833533	0.002413885	0.01592144	0.002413885
10	-216.8666	-222.6177	5.751071	0.03453375	0.02066114	0.01387261	0.02066114
20	-212.3792	-216.6859	4.306682	0.02516921	0.0007042051	0.02446501	0.0007042051
30	-212.8451	-218.6319	5.786806	0.02208414	0.01056564	0.0115185	0.01056564
40	-209.889	-215.795	5.905986	0.02263844	0.002423405	0.02021504	0.002423405
50	-213.1047	-219.4831	6.378427	0.03003203	0.007042983	0.02298905	0.007042983
60	-219.4778	-224.4093	4.931444	0.03640696	0.0266023	0.009804655	0.0266023
70	-217.3805	-221.4402	4.059696	0.01351984	0.007473663	0.006046179	0.007473663
80	-212.1095	-218.4627	6.353212	0.02734742	0.008673175	0.01867424	0.008673175
90	-212.9143	-218.4658	5.551506	0.01838648	0.008326653	0.01005983	0.008326653
100	-210.3376	-216.5279	6.190237	0.02096979	0.005625709	0.01534408	0.005625709
110	-210.075	-216.1672	6.092201	0.02337659	0.003115518	0.02026107	0.003115518
120	-213.1855	-219.2584	6.072821	0.02684762	0.01241395	0.01443367	0.01241395
130	-211.9047	-218.2691	6.364377	0.02706353	0.0080747	0.01898883	0.0080747
140	-210.6279	-216.5513	5.923379	0.01753699	0.00458172	0.01295527	0.00458172
150	-210.2052	-216.4394	6.23423	0.02360703	0.004096826	0.01951021	0.004096826
160	-222.9637	-228.9114	5.94773	0.04762841	0.02108659	0.02654182	0.02108659
170	-212.7398	-216.5972	3.857384	0.02502039	0.0005498645	0.02447052	0.0005498645
180	-210.6278	-216.1355	5.50769	0.01522619	0.002355428	0.01287076	0.002355428
190	-212.0434	-218.2945	6.251013	0.02578932	0.009624363	0.01616495	0.009624363
200	-229.0585	-234.7855	5.726974	0.05452874	0.02069962	0.03382912	0.02069962
210	-211.7266	-217.6942	5.967617	0.02075086	0.008200305	0.01255055	0.008200305
220	-216.0444	-221.66	5.615504	0.03101811	0.01889603	0.01212208	0.01889603
230	-211.0334	-217.3116	6.27823	0.02588893	0.00440421	0.02148472	0.00440421
240	-211.7363	-217.2617	5.525328	0.01453083	0.003417644	0.01111318	0.003417644
250	-210.0899	-215.3528	5.262872	0.02196768	0.00131192	0.02065576	0.00131192
260	-209.6407	-215.6188	5.978098	0.01887146	0.003257117	0.01561434	0.003257117
270	-214.399	-219.8628	5.463821	0.02394429	0.01372343	0.01022086	0.01372343
280	-213.9307	-219.204	5.273212	0.0187632	0.009751075	0.009012125	0.009751075
290	-221.0614	-227.165	6.103585	0.04341826	0.01578982	0.02762844	0.01578982
300	-213.9123	-219.7172	5.80492	0.02610253	0.01383419	0.01226834	0.01383419
310	-213.6484	-219.9701	6.321749	0.03062337	0.01114032	0.01948306	0.01114032
320	-210.0076	-215.5042	5.496613	0.01625328	0.002003994	0.01424928	0.002003994
330	-212.4797	-218.8242	6.344555	0.02809905	0.00938261	0.01871644	0.00938261
340	-213.3012	-219.3721	6.070959	0.02716863	0.01266671	0.01450192	0.01266671
350	-209.7522	-215.3873	5.635109	0.02167797	0.00182047	0.0198575	0.00182047
360	-216.1208	-221.2351	5.114274	0.03161489	0.001333204	0.03028169	0.001333204
370	-209.9932	-215.5542	5.561033	0.01636094	0.002153873	0.01420707	0.002153873
380	-210.1209	-216.3142	6.193301	0.02091657	0.005084313	0.01583225	0.005084313
390	-213.1547	-219.4457	6.291054	0.02914976	0.01113202	0.01801774	0.01113202
400	-211.2696	-216.0732	4.803515	0.01401242	0.001242794	0.01276963	0.001242794
410	-211.6113	-217.5288	5.917537	0.01953089	0.00737776	0.01215313	0.00737776
420	-217.586	-222.865	5.278993	0.03354245	0.001604825	0.03193763	0.001604825
430	-210.6751	-216.9609	6.285739	0.02495667	0.00453276	0.02042391	0.00453276
440	-210.3484	-216.606	6.257581	0.0240274	0.004294143	0.01973326	0.004294143
450	-211.4384	-217.5396	6.101275	0.02193407	0.008148291	0.01378578	0.008148291
460	-216.1759	-222.1621	5.986141	0.03326763	0.00336558	0.02990205	0.00336558
470	-216.5398	-221.3188	4.778971	0.0252048	0.01709114	0.008113661	0.01709114
480	-209.8623	-215.9181	6.055795	0.02263913	0.002977942	0.01966119	0.002977942
490	-211.835	-217.996	6.161031	0.0239728	0.009322389	0.01465041	0.009322389
500	-213.6642	-219.6528	5.988557	0.02734253	0.01351169	0.01383084	0.01351169
510	-219.8343	-226.02	6.185728	0.04089685	0.01271364	0.02818321	0.01271364
520	-209.5437	-215.4359	5.892205	0.01865991	0.002807673	0.01585223	0.002807673
530	-214.6495	-220.987	6.337445	0.03249234	0.006843034	0.02564931	0.006843034
540	-210.2165	-215.4691	5.252557	0.01570124	0.001607928	0.01409331	0.001607928
550	-211.5673	-217.9408	6.373544	0.02664252	0.006925403	0.01971712	0.006925403
560	-210.0346	-215.8845	5.849962	0.02301937	0.00226027	0.0207591	0.00226027
570	-209.6317	-215.6536	6.02191	0.02158752	0.002905274	0.01868224	0.002905274
580	-215.4614	-221.8035	6.342117	0.03404136	0.008791639	0.02524972	0.008791639
590	-215.0479	-221.2725	6.224618	0.03253536	0.004903258	0.0276321	0.004903258
600	-215.8102	-221.4216	5.611396	0.03203776	0.002072156	0.0299656	0.002072156
610	-209.4404	-215.2186	5.778202	0.02018182	0.002190308	0.01799151	0.002190308
620	-224.8028	-230.7804	5.977555	0.04394088	0.0073991	0.03654178	0.0073991
630	-211.5977	-217.54	5.94232	0.01990702	0.007570349	0.01233667	0.007570349
640	-211.9494	-217.7012	5.751742	0.01781897	0.006712251	0.01110671	0.006712251
650	-212.5473	-218.5992	6.051878	0.02839933	0.003086927	0.0253124	0.003086927
660	-209.934	-216.1251	6.191189	0.0210512	0.004575803	0.01647539	0.004575803
670	-221.5484	-227.3198	5.771438	0.04665099	0.02752285	0.01912814	0.02752285
680	-215.2395	-221.5338	6.294316	0.03394188	0.01265991	0.02128197	0.01265991
690	-219.4796	-225.6313	6.151643	0.04131433	0.01584073	0.0254736	0.01584073
700	-214.7521	-220.1895	5.437349	0.02500247	0.01475213	0.01025034	0.01475213
710	-215.7602	-222.0598	6.299596	0.03492665	0.01235348	0.02257318	0.01235348
720	-211.8052	-218.1852	6.380057	0.0272795	0.00699603	0.02028347	0.00699603
730	-211.9406	-217.5209	5.580305	0.01507125	0.004282036	0.01078921	0.004282036
740	-213.7822	-220.1542	6.37191	0.03127157	0.009342778	0.02192879	0.009342778
750	-212.9135	-219.2998	6.386282	0.02966831	0.007576493	0.02209181	0.007576493
760	-218.8053	-224.5395	5.734162	0.03975118	0.02440164	0.01534954	0.02440164
770	-215.8655	-220.5043	4.638755	0.01307288	0.005857313	0.007215571	0.005857313
780	-214.0903	-220.2188	6.128454	0.03000987	0.0140053	0.01600457	0.0140053
790	-211.8719	-217.0277	5.155848	0.01341392	0.001988423	0.0114255	0.001988423
800	-211.9646	-218.2349	6.270251	0.0258419	0.009369742	0.01647215	0.009369742
810	-211.9008	-218.2573	6.356569	0.02693095	0.008268839	0.01866211	0.008268839
820	-211.2643	-217.294	6.02975	0.02030662	0.007231932	0.01307469	0.007231932
830	-211.8066	-217.7419	5.935296	0.02050314	0.008205515	0.01229763	0.008205515
840	-213.1484	-219.526	6.377622	0.03011786	0.007040198	0.02307766	0.007040198
850	-209.7044	-215.8432	6.138768	0.02103242	0.003772039	0.01726038	0.003772039
860	-213.4011	-219.17	5.768849	0.02916245	0.002238356	0.02692409	0.002238356
870	-210.4404	-216.7125	6.272062	0.02259903	0.005891444	0.01670758	0.005891444
880	-210.4951	-216.5536	6.058494	0.01913555	0.00532289	0.01381266	0.00532289
890	-211.5424	-217.8956	6.353192	0.02608642	0.007673541	0.01841288	0.007673541
900	-218.424	-223.9654	5.541385	0.03744451	0.02437338	0.01307113	0.02437338
910	-213.1176	-219.472	6.354416	0.02970374	0.00986435	0.01983939	0.00986435
920	-213.7227	-219.3479	5.625259	0.02330373	0.01245287	0.01085085	0.01245287
930	-220.0548	-226.0488	5.993985	0.04331156	0.02162107	0.02169049	0.02162107
940	-210.8344	-216.7894	5.955038	0.01815192	0.005338791	0.01281312	0.005338791
950	-215.1689	-221.3901	6.221192	0.03346613	0.01438917	0.01907696	0.01438917
960	-212.1996	-218.4735	6.27391	0.0265033	0.009789395	0.0167139	0.009789395
970	-209.8771	-214.8276	4.950467	0.01720119	0.001134747	0.01606644	0.001134747
980	-211.8645	-218.0181	6.153578	0.02395298	0.009386759	0.01456622	0.009386759
990	-211.3962	-217.4927	6.096492	0.02173786	0.008010654	0.0137272	0.008010654
1000	-212.203	-218.5752	6.372141	0.02831994	0.006254632	0.02206531	0.006254632
1010	-213.9964	-220.3702	6.373794	0.031651	0.008099993	0.023551	0.008099993
1020	-222.1376	-228.1347	5.997076	0.04612247	0.01984792	0.02627455	0.01984792
1030	-220.3539	-226.1154	5.761528	0.04384661	0.02647105	0.01737556	0.02647105
1040	-212.3194	-218.257	5.937597	0.02234227	0.00985653	0.01248574	0.00985653
1050	-213.8942	-220.2677	6.373542	0.03145524	0.007782704	0.02367254	0.007782704
1060	-211.4859	-217.8475	6.361623	0.02676695	0.005872226	0.02089473	0.005872226
1070	-211.3569	-217.5361	6.179208	0.02290016	0.008178448	0.01472171	0.008178448
1080	-211.0663	-217.3816	6.315348	0.02440612	0.007193334	0.01721279	0.007193334
1090	-215.4762	-221.8049	6.32876	0.03434852	0.01099733	0.02335119	0.01099733
1100	-210.6008	-216.88	6.279216	0.02475978	0.00446775	0.02029203	0.00446775
1110	-218.5969	-224.4214	5.824554	0.03969674	0.02336836	0.01632838	0.02336836
1120	-210.215	-216.4603	6.245363	0.02193939	0.00533172	0.01660767	0.00533172
1130	-213.9385	-219.8934	5.954876	0.02781268	0.01413406	0.01367862	0.01413406
1140	-213.6487	-218.4587	4.809988	0.01180393	0.001868388	0.009935544	0.001868388
1150	-210.1168	-214.8268	4.709996	0.02029138	0.000895369	0.01939601	0.000895369
1160	-212.5307	-218.7462	6.215444	0.02868463	0.004053497	0.02463114	0.004053497
1170	-210.4463	-216.5502	6.103933	0.02442922	0.003149319	0.02127991	0.003149319
1180	-210.5354	-216.7757	6.24025	0.02208622	0.00620231	0.01588391	0.00620231
1190	-211.3245	-217.6049	6.280443	0.02437939	0.007998854	0.01638054	0.007998854
1200	-219.2834	-225.4764	6.192947	0.04047516	0.01365382	0.02682134	0.01365382
1210	-214.1666	-220.4108	6.244291	0.03131663	0.004789232	0.0265274	0.004789232
1220	-210.6467	-216.6136	5.96688	0.02474901	0.002601199	0.02214781	0.002601199
1230	-211.9891	-218.2105	6.221398	0.02776088	0.003997486	0.02376339	0.003997486
1240	-209.9038	-216.0993	6.195501	0.02125386	0.004457089	0.01679677	0.004457089
1250	-210.2272	-216.3477	6.120513	0.01978986	0.00506486	0.014725	0.00506486
1260	-212.192	-218.4263	6.234272	0.02814193	0.004139995	0.02400193	0.004139995
1270	-210.727	-216.9168	6.189779	0.02156133	0.006616646	0.01494469	0.006616646
1280	-211.5999	-217.768	6.168004	0.02697431	0.003570257	0.02340406	0.003570257
1290	-214.8015	-219.9438	5.142325	0.02159677	0.01278119	0.008815582	0.01278119
1300	-212.1558	-218.4454	6.289644	0.02659581	0.00958955	0.01700626	0.00958955
1310	-212.2361	-218.6159	6.379804	0.02835294	0.006608924	0.02174402	0.006608924
1320	-215.1876	-221.5355	6.347959	0.03357823	0.008460601	0.02511763	0.008460601
1330	-216.5871	-222.3144	5.727273	0.03354944	0.02012051	0.01342893	0.02012051
1340	-213.9672	-220.2007	6.233453	0.03064454	0.01292032	0.01772422	0.01292032
1350	-215.1871	-221.5318	6.344729	0.03351815	0.008085102	0.02543305	0.008085102
1360	-210.8655	-217.1964	6.330901	0.02528813	0.005271747	0.02001638	0.005271747
1370	-214.4731	-220.3937	5.920621	0.02907809	0.01534686	0.01373123	0.01534686
1380	-210.4286	-216.6806	6.251969	0.02217732	0.005922047	0.01625527	0.005922047
1390	-211.9376	-217.2768	5.339173	0.02618051	0.001425537	0.02475497	0.001425537
1400	-212.8956	-218.9845	6.088925	0.02618149	0.01176902	0.01441247	0.01176902
1410	-214.1022	-220.4739	6.371719	0.03182947	0.008104239	0.02372523	0.008104239
1420	-211.6137	-217.4505	5.836848	0.01816385	0.006511855	0.01165199	0.006511855
1430	-224.6779	-230.4967	5.818794	0.05126538	0.02493966	0.02632572	0.02493966
1440	-213.5091	-219.8839	6.374749	0.03073516	0.009197587	0.02153757	0.009197587
1450	-209.5488	-215.2112	5.662392	0.02079636	0.001896827	0.01889953	0.001896827
1460	-212.3736	-217.9179	5.544304	0.01545272	0.00518751	0.01026521	0.00518751
1470	-209.422	-215.1062	5.684154	0.01891134	0.002066084	0.01684526	0.002066084
1480	-212.9487	-219.3138	6.365167	0.02943305	0.009380209	0.02005284	0.009380209
1490	-209.7781	-215.9452	6.167112	0.02116348	0.004042285	0.01712119	0.004042285
1500	-221.271	-227.4094	6.138447	0.04240598	0.01213023	0.03027575	0.01213023
1510	-212.8184	-218.5003	5.681873	0.02035062	0.009564544	0.01078607	0.009564544
1520	-214.3854	-219.2985	4.913124	0.0117444	0.002752764	0.008991633	0.002752764
1530	-214.2444	-220.6059	6.361541	0.03198239	0.007448772	0.02453362	0.007448772
1540	-217.3477	-223.6188	6.271123	0.03741884	0.0120829	0.02533595	0.0120829
1550	-210.3456	-214.6885	4.34286	0.01691202	0.0007597796	0.01615224	0.0007597796
1560	-209.926	-216.0472	6.121186	0.02283597	0.003305486	0.01953049	0.003305486
1570	-211.0217	-217.3522	6.330513	0.02574551	0.005179414	0.0205661	0.005179414
1580	-213.2378	-219.0551	5.817278	0.02394557	0.01198461	0.01196096	0.01198461
1590	-211.0336	-217.2559	6.222244	0.02589235	0.003888844	0.02200351	0.003888844
1600	-209.8476	-216.0051	6.157477	0.02058192	0.004299436	0.01628249	0.004299436
