Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction_sd	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation_sd
0	-202.4951	-163.8231	-38.67206	0.0180268	0.00355744	0.00554916	0.0217155	0.0614751	0.316055	0.336962	0.282761	0.994009	0.308873	0.0847944	1.075922	-4.01589	-5.63871	-5.19411	-3.82973	-2.78912	-1.15184	-1.08779	-1.26315	-0.00600938	-1.17483	-2.46753	-6.15674	-7.1187	-6.85728	-5.50691	-4.02543	-3.21064	-1.71469	-0.0718923	-0.242188	-1.14686	-1.4003	0.00211915	0.000809816	0.00105177	0.00405862	0.0178558	0.0403308	0.180019	0.930631	0.784908	0.317631	0.246524	0.9447715
10	-215.6879	-161.4838	-54.20411	0.010272	0.00351516	0.00426908	0.0175323	0.0628223	0.152537	0.490262	0.0962276	0.86301	0.120851	0.00817858	1.12828	-4.57833	-5.65067	-5.45636	-4.04371	-2.76744	-1.88035	-0.712816	-2.34104	-0.147328	-2.1132	-4.80624	-5.92783	-10.1734	-8.21346	-5.63525	-3.65106	-5.18675	-1.41848	-0.372769	-0.0200112	-3.95954	-2.27673	0.00266424	3.81735e-05	0.000270983	0.00356979	0.0259637	0.00559015	0.242081	0.688825	0.980188	0.0190718	0.102619	2.015
20	-209.0399	-163.6046	-45.43527	0.0993864	0.0144924	0.00685	0.0367267	0.0371018	0.331521	0.11256	0.0270697	0.280251	0.821537	0.140217	1.271777	-2.30874	-4.23413	-4.98351	-3.30425	-3.29409	-1.10406	-2.18427	-3.60934	-1.27207	-0.196579	-1.96456	-7.55137	-8.13761	-7.24878	-5.92561	-2.89117	-3.52744	-1.35335	-0.78824	-1.33399	-2.15346	-1.32339	0.000525391	0.000292334	0.000711042	0.00267019	0.0555115	0.0293801	0.258373	0.454644	0.263425	0.116082	0.266232	1.43835
30	-206.6963	-173.1021	-33.59421	0.0572114	0.0564712	0.0248179	0.0474448	0.0444053	0.0983639	0.0543464	0.0681285	0.0533021	0.0891269	0.0841332	0.4329712	-2.861	-2.87402	-3.69619	-3.04819	-3.1144	-2.31908	-2.91238	-2.68636	-2.93178	-2.41769	-2.47535	-7.91664	-7.33109	-4.05755	-3.62694	-4.1004	-4.29123	-2.00316	-1.19403	-1.42457	-2.46358	-2.17835	0.000364625	0.000654858	0.0172913	0.0265974	0.016566	0.0136881	0.134909	0.302996	0.240613	0.0851295	0.113228	1.812046
40	-214.9132	-169.1419	-45.77125	0.022425	0.110802	0.026884	0.0129807	0.0537444	0.0122449	0.0809814	0.0508582	0.228212	0.413908	0.0152081	1.353517	-3.79758	-2.20001	-3.61623	-4.34429	-2.92352	-4.40265	-2.51354	-2.97871	-1.47748	-0.882111	-4.18593	-7.09424	-6.34608	-5.32109	-4.35457	-4.24095	-4.99726	-3.07856	-1.13276	-1.27591	-3.71836	-2.19478	0.000829875	0.0017536	0.00488744	0.0128479	0.014394	0.00675642	0.0460256	0.322144	0.279176	0.0242738	0.111383	1.502045
50	-202.2041	-163.5752	-38.62882	0.0435886	0.0612762	0.0470718	0.132236	0.120074	0.13542	0.112387	0.122858	0.646649	0.505794	0.181943	0.9014427	-3.13296	-2.79236	-3.05608	-2.02316	-2.11964	-1.99937	-2.18581	-2.09673	-0.435951	-0.681627	-1.70406	-8.06414	-8.60937	-6.46135	-5.07873	-2.76735	-2.20497	-1.83371	-0.691519	-0.722924	-1.03315	-1.20278	0.000314621	0.00018239	0.00156269	0.00622784	0.0628285	0.110254	0.15982	0.500815	0.485331	0.355883	0.300357	2.121991
60	-200.4644	-169.0105	-31.45395	0.0601092	0.0637289	0.0589474	0.0711302	0.0709425	0.0635052	0.091382	0.10078	0.160528	0.151397	0.149625	0.2369077	-2.81159	-2.75312	-2.83111	-2.64324	-2.64589	-2.75663	-2.39271	-2.29482	-1.82928	-1.88785	-1.89962	-4.99532	-6.8596	-5.34901	-2.68383	-2.9409	-6.7935	-2.55486	-0.753544	-1.2843	-4.03153	-1.82837	0.00676956	0.00104933	0.00475286	0.0683008	0.052818	0.00112104	0.0777028	0.470696	0.276843	0.0177471	0.160676	3.047991
70	-203.8286	-167.978	-35.85059	0.121197	0.106569	0.0292658	0.0707503	0.0501582	0.110973	0.0617394	0.0697477	0.131684	0.292426	0.162558	0.7059099	-2.11034	-2.23896	-3.53134	-2.6486	-2.99257	-2.19847	-2.78483	-2.66287	-2.02735	-1.22954	-1.81672	-5.26004	-4.64754	-4.94376	-4.27734	-2.39816	-3.82267	-2.71724	-0.736331	-1.40055	-3.24407	-1.91977	0.00519508	0.00958517	0.00712776	0.0138795	0.0908848	0.0218692	0.0660565	0.478868	0.246461	0.0390047	0.146641	1.460413
80	-206.1933	-165.0343	-41.15896	0.100333	0.0883662	0.0256895	0.0481878	0.0371501	0.141426	0.324019	0.0943712	0.516372	0.211019	0.0495642	0.8427331	-2.29926	-2.42627	-3.66167	-3.03265	-3.29279	-1.95598	-1.12695	-2.36052	-0.660929	-1.55581	-3.00449	-8.91955	-8.60762	-6.13933	-4.18449	-2.6894	-2.48425	-1.20729	-0.819931	-0.879676	-2.55875	-1.54816	0.000133749	0.000182709	0.00215637	0.0152299	0.0679215	0.0833883	0.299005	0.440462	0.414918	0.0774014	0.212639	1.413288
90	-209.0868	-162.4552	-46.63157	0.10147	0.133291	0.00847667	0.0144473	0.0265645	0.29503	0.439869	0.305202	0.747474	0.453563	0.126339	1.547268	-2.28799	-2.01522	-4.77044	-4.23725	-3.62818	-1.22068	-0.821279	-1.18678	-0.291056	-0.79062	-2.06879	-8.31925	-8.99567	-5.76435	-5.00281	-3.13278	-3.57716	-0.588131	-0.181323	-0.464197	-2.80269	-1.37473	0.000243779	0.000123945	0.00313742	0.00671903	0.0435966	0.0279549	0.555364	0.834166	0.628639	0.0606464	0.252909	1.928136
