Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
0	-202.4951	-163.8231	-38.67206	0.0180268	0.00355744	0.00554916	0.0217155	0.0614751	0.316055	0.336962	0.282761	0.994009	0.308873	0.0847944
10	-215.6879	-161.4838	-54.20411	0.010272	0.00351516	0.00426908	0.0175323	0.0628223	0.152537	0.490262	0.0962276	0.86301	0.120851	0.00817858
20	-209.0399	-163.6046	-45.43527	0.0993864	0.0144924	0.00685	0.0367267	0.0371018	0.331521	0.11256	0.0270697	0.280251	0.821537	0.140217
30	-206.6963	-173.1021	-33.59421	0.0572114	0.0564712	0.0248179	0.0474448	0.0444053	0.0983639	0.0543464	0.0681285	0.0533021	0.0891269	0.0841332
40	-214.9132	-169.1419	-45.77125	0.022425	0.110802	0.026884	0.0129807	0.0537444	0.0122449	0.0809814	0.0508582	0.228212	0.413908	0.0152081
50	-202.2041	-163.5752	-38.62882	0.0435886	0.0612762	0.0470718	0.132236	0.120074	0.13542	0.112387	0.122858	0.646649	0.505794	0.181943
60	-200.4644	-169.0105	-31.45395	0.0601092	0.0637289	0.0589474	0.0711302	0.0709425	0.0635052	0.091382	0.10078	0.160528	0.151397	0.149625
70	-203.8286	-167.978	-35.85059	0.121197	0.106569	0.0292658	0.0707503	0.0501582	0.110973	0.0617394	0.0697477	0.131684	0.292426	0.162558
80	-206.1933	-165.0343	-41.15896	0.100333	0.0883662	0.0256895	0.0481878	0.0371501	0.141426	0.324019	0.0943712	0.516372	0.211019	0.0495642
90	-209.0868	-162.4552	-46.63157	0.10147	0.133291	0.00847667	0.0144473	0.0265645	0.29503	0.439869	0.305202	0.747474	0.453563	0.126339
100	-203.398	-164.653	-38.74505	0.219776	0.0268443	0.0154524	0.0139664	0.157745	0.303236	0.59652	0.359878	0.690245	0.433283	0.100507
110	-207.7045	-163.173	-44.53158	0.103814	0.0732398	0.0256601	0.00559124	0.138692	0.206552	0.849033	0.248106	0.790718	0.134429	0.162483
120	-202.1056	-160.2628	-41.84279	0.0495787	0.0806874	0.0562188	0.032939	0.0759019	0.427997	0.764971	0.158527	0.609788	0.428111	0.350369
130	-208.7804	-162.2846	-46.49579	0.0312138	0.0144969	0.0221714	0.0429763	0.0909194	0.403511	0.830911	0.193181	0.60193	0.167377	0.0805241
140	-213.6367	-165.1464	-48.49026	0.00946354	0.025155	0.0033581	0.00536715	0.0728254	0.581502	0.781427	0.260982	0.345641	0.0605468	0.0221647
150	-219.0446	-168.8936	-50.15101	0.00235348	0.00580447	0.0148497	0.00407146	0.0451979	0.632671	0.673559	0.158831	0.237868	0.0218375	0.00237738
160	-217.9969	-164.8499	-53.14704	0.0880219	0.0198122	0.00590996	0.000139896	0.00918302	0.391733	0.490973	0.0383932	0.306927	0.0719539	0.0338382
170	-220.0727	-163.1804	-56.89232	0.144791	0.0145033	0.0213858	4.54349e-05	0.00576554	0.535614	0.603712	0.0330363	0.167732	0.105926	0.00967098
180	-213.5517	-162.7289	-50.82283	0.0781803	0.00377151	0.0327809	0.000689856	0.0180208	0.277227	0.423098	0.110301	0.736645	0.0606953	0.0766461
190	-209.962	-167.1992	-42.76286	0.120725	0.144994	0.00614035	0.0014287	0.0265688	0.158912	0.305443	0.182168	0.488258	0.0303276	0.0676289
