Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
0	-202.4951	-163.8231	-38.67206	0.00211915	0.000809816	0.00105177	0.00405862	0.0178558	0.0403308	0.180019	0.930631	0.784908	0.317631	0.246524
10	-215.6879	-161.4838	-54.20411	0.00266424	3.81735e-05	0.000270983	0.00356979	0.0259637	0.00559015	0.242081	0.688825	0.980188	0.0190718	0.102619
20	-209.0399	-163.6046	-45.43527	0.000525391	0.000292334	0.000711042	0.00267019	0.0555115	0.0293801	0.258373	0.454644	0.263425	0.116082	0.266232
30	-206.6963	-173.1021	-33.59421	0.000364625	0.000654858	0.0172913	0.0265974	0.016566	0.0136881	0.134909	0.302996	0.240613	0.0851295	0.113228
40	-214.9132	-169.1419	-45.77125	0.000829875	0.0017536	0.00488744	0.0128479	0.014394	0.00675642	0.0460256	0.322144	0.279176	0.0242738	0.111383
50	-202.2041	-163.5752	-38.62882	0.000314621	0.00018239	0.00156269	0.00622784	0.0628285	0.110254	0.15982	0.500815	0.485331	0.355883	0.300357
60	-200.4644	-169.0105	-31.45395	0.00676956	0.00104933	0.00475286	0.0683008	0.052818	0.00112104	0.0777028	0.470696	0.276843	0.0177471	0.160676
70	-203.8286	-167.978	-35.85059	0.00519508	0.00958517	0.00712776	0.0138795	0.0908848	0.0218692	0.0660565	0.478868	0.246461	0.0390047	0.146641
80	-206.1933	-165.0343	-41.15896	0.000133749	0.000182709	0.00215637	0.0152299	0.0679215	0.0833883	0.299005	0.440462	0.414918	0.0774014	0.212639
90	-209.0868	-162.4552	-46.63157	0.000243779	0.000123945	0.00313742	0.00671903	0.0435966	0.0279549	0.555364	0.834166	0.628639	0.0606464	0.252909
100	-203.398	-164.653	-38.74505	0.00140719	0.00375694	0.00715382	0.0281822	0.0657517	0.0839262	0.63467	0.843303	0.567048	0.313277	0.260619
110	-207.7045	-163.173	-44.53158	0.00164554	0.00354221	0.00743958	0.0236621	0.0552429	0.0673686	0.80437	0.775629	0.64411	0.0403991	0.166397
120	-202.1056	-160.2628	-41.84279	0.000114765	0.000100014	0.000399468	0.00720202	0.0676163	0.0386488	0.861756	0.838389	0.545906	0.189594	0.464978
130	-208.7804	-162.2846	-46.49579	0.000141577	0.000110258	9.18761e-06	0.000494244	0.0378782	0.0318289	0.831273	0.881068	0.541485	0.077122	0.0448132
140	-213.6367	-165.1464	-48.49026	0.000664718	0.000444862	0.00416353	0.00453268	0.0131188	0.0522287	0.854216	0.907216	0.377648	0.00707269	0.0216331
150	-219.0446	-168.8936	-50.15101	0.000143637	5.28337e-05	0.000836495	0.00535355	0.0269805	0.051076	0.756256	0.853799	0.195622	0.0617207	0.158994
160	-217.9969	-164.8499	-53.14704	5.45758e-05	0.000670212	0.00177094	0.00386972	0.0167874	0.0625445	0.605846	0.538985	0.268561	0.0259826	0.0785043
170	-220.0727	-163.1804	-56.89232	0.000198878	0.000758481	0.00042496	0.00138423	0.0527643	0.0421838	0.877349	0.496008	0.329753	0.0965309	0.0146375
180	-213.5517	-162.7289	-50.82283	0.000187467	0.00118067	0.000755691	0.00191853	0.0199851	0.0278433	0.351618	0.602177	0.699463	0.250182	0.0722365
190	-209.962	-167.1992	-42.76286	0.0038394	0.00923156	0.00400648	0.00664906	0.0181467	0.0456175	0.232367	0.688302	0.353631	0.118675	0.111444
200	-172.542	-167.8545	-4.687574	0.000269241	0.00469774	0.0158053	0.0119251	0.0778164	0.0383013	0.207715	0.540656	0.296448	0.0396859	0.0334336
210	-197.5285	-169.124	-28.40458	0.00191554	0.0177448	0.0401251	0.0974365	0.402982	0.13939	0.248089	0.722039	0.256319	0.13864	0.0282056
220	-196.8745	-165.8077	-31.06678	0.00354052	0.00187971	0.00068443	0.00518886	0.158426	0.0601655	0.243563	0.467723	0.325536	0.056138	0.0626313
230	-213.253	-169.954	-43.29898	0.00098082	0.000307646	0.000823223	0.0220791	0.022944	0.0158938	0.162395	0.357026	0.369437	0.0495266	0.380525
240	-214.1589	-169.9102	-44.24871	8.53043e-05	0.000780842	0.000962209	0.00291648	0.0268107	0.0386173	0.113592	0.622691	0.436403	0.125319	0.22446
250	-220.6128	-169.348	-51.26478	0.000288629	0.000551662	0.00119292	0.00589997	0.0293113	0.00703494	0.0990283	0.727138	0.314447	0.0629228	0.18562
260	-216.1556	-172.3155	-43.84012	0.000863639	0.00145955	0.00106582	0.00305314	0.0106316	0.00366792	0.0491816	0.439399	0.535633	0.178811	0.386826
270	-205.0976	-161.6338	-43.46377	0.00146845	0.00307975	0.00154912	0.00148036	0.0216854	0.0192134	0.0802397	0.543183	0.928247	0.588041	0.714287
280	-205.1036	-164.0125	-41.09105	0.00453162	0.00200535	0.0035436	0.00755385	0.0132946	0.00779609	0.103091	0.724607	1.27968	0.466533	0.604404
290	-206.0271	-158.5646	-47.46251	9.63513e-05	2.32924e-05	8.7063e-06	0.00019151	0.0363145	0.00421174	0.469077	0.8312	1.71555	0.482057	0.714345
300	-204.7896	-158.6302	-46.15942	0.000489971	7.96504e-05	0.00011552	0.000683763	0.0167996	0.0144419	0.180666	0.621669	1.33694	0.206719	0.65228
