Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate
0	0	0.8551758	0	0.8551758	0.1727299
1	1	1.841027	0	1.841027	0.08764218
2	0	1.264856	0	1.264856	0.1431283
3	1	1.827212	0	1.827212	0.03110306
4	0	1.549189	0	1.549189	0.119287
5	1	1.63826	0	1.63826	0.1108158
6	0	1.091888	0	1.091888	0.1561293
7	1	1.769677	0	1.769677	0.0967097
8	0	1.959291	0	1.959291	0.06485723
9	1	0.1348586	0	0.1348586	0.217789
10	0	1.777151	0	1.777151	0.02803747
11	1	1.820723	0	1.820723	0.03066573
12	0	1.826407	0	1.826407	0.03104805
13	1	1.96022	0	1.96022	0.04742017
14	0	-0.8131392	0	-0.8131392	0.2694141
15	1	0.01384765	0	0.01384765	0.2247792
16	0	1.969699	0	1.969699	0.05987051
17	1	1.721945	0	1.721945	0.1021243
18	0	1.606454	0	1.606454	0.1139182
19	1	0.9545147	0	0.9545147	0.1659064
20	0	0.08051125	0	0.08051125	0.2209454
21	1	1.952463	0	1.952463	0.06710075
22	0	1.900187	0	1.900187	0.07853048
23	1	1.558834	0	1.558834	0.1184004
24	0	1.945758	0	1.945758	0.06899266
25	1	1.850471	0	1.850471	0.08631606
26	0	1.877123	0	1.877123	0.08234128
27	1	1.681586	0	1.681586	0.02357174
28	0	0.8530126	0	0.8530126	0.1728764
29	1	1.96542	0	1.96542	0.0492606
30	0	1.936255	0	1.936255	0.0713502
31	1	1.826572	0	1.826572	0.0896037
32	0	1.532848	0	1.532848	0.01864972
33	1	1.935744	0	1.935744	0.07146898
34	0	1.082171	0	1.082171	0.01028724
35	1	0.8406537	0	0.8406537	0.007733653
36	0	1.728479	0	1.728479	0.02558606
37	1	1.845524	0	1.845524	0.03241733
38	0	1.706749	0	1.706749	0.02461623
39	1	1.948764	0	1.948764	0.04451448
40	0	-1.707013	0	-1.707013	0.3129125
41	1	1.844305	0	1.844305	0.03232588
42	0	1.326387	0	1.326387	0.1382741
43	1	1.841005	0	1.841005	0.08764519
44	0	1.15269	0	1.15269	0.1516564
45	1	1.500529	0	1.500529	0.1236638
46	0	1.770913	0	1.770913	0.09656375
47	1	1.793279	0	1.793279	0.09386446
48	0	1.972517	0	1.972517	0.05440717
49	1	1.712488	0	1.712488	0.103152
50	0	1.92281	0	1.92281	0.07427349
51	1	0.7779962	0	0.7779962	0.1779064
52	0	1.177836	0	1.177836	0.1497774
53	1	1.855748	0	1.855748	0.08555809
54	0	1.909739	0	1.909739	0.07681144
55	1	1.922943	0	1.922943	0.07424637
56	0	1.963817	0	1.963817	0.06306549
57	1	1.962658	0	1.962658	0.0482173
58	0	1.81108	0	1.81108	0.03004015
59	1	1.555043	0	1.555043	0.1187497
60	0	1.970978	0	1.970978	0.05882422
61	1	1.567236	0	1.567236	0.1176224
62	0	-1.614446	0	-1.614446	0.3085964
63	1	1.358761	0	1.358761	0.1356626
64	0	1.47384	0	1.47384	0.126002
65	1	0.641671	0	0.641671	0.1868125
66	0	1.857501	0	1.857501	0.08530343
67	1	1.218237	0	1.218237	0.1467197
68	0	1.879343	0	1.879343	0.03523966
69	1	1.856249	0	1.856249	0.08548554
70	0	1.970428	0	1.970428	0.05195537
71	1	1.871766	0	1.871766	0.08317171
72	0	0.6350263	0	0.6350263	0.1872394
73	1	1.495213	0	1.495213	0.1241329
74	0	1.872541	0	1.872541	0.08305278
75	1	1.562604	0	1.562604	0.01949731
76	0	1.957892	0	1.957892	0.04673597
77	1	1.717351	0	1.717351	0.02508102
78	0	1.667679	0	1.667679	0.1078563
79	1	1.276731	0	1.276731	0.142202
80	0	1.879422	0	1.879422	0.08197918
81	1	0.7004636	0	0.7004636	0.1830067
82	0	1.852896	0	1.852896	0.08596936
