Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate
0	0	-0.1325437	0	-0.1325437	0.2752635
1	1	0.8299712	0	0.8299712	0.4096784
2	0	0.2139016	0	0.2139016	0.3097537
3	1	0.970756	0	0.970756	0.4646208
4	0	0.3356518	0	0.3356518	0.3241491
5	1	-0.03667898	0	-0.03667898	0.7159739
6	0	0.7428005	0	0.7428005	0.6110755
7	1	0.991744	0	0.991744	0.4856701
8	0	-0.05762653	0	-0.05762653	0.2820668
9	1	0.6176039	0	0.6176039	0.6349621
10	0	0.854025	0	0.854025	0.4163833
11	1	0.9428532	0	0.9428532	0.4486583
12	0	0.9559902	0	0.9559902	0.5445555
13	1	-0.06358903	0	-0.06358903	0.7184862
14	0	-1.946584	0	-1.946584	0.1665208
15	1	-0.3407142	0	-0.3407142	0.2578395
16	0	0.9791016	0	0.9791016	0.4710838
17	1	0.9809935	0	0.9809935	0.4727631
18	0	0.1896396	0	0.1896396	0.3070528
19	1	-0.6840823	0	-0.6840823	0.232901
20	0	-0.3310031	0	-0.3310031	0.7413911
21	1	0.9250733	0	0.9250733	0.5592793
22	0	0.7278244	0	0.7278244	0.3857698
23	1	0.9579366	0	0.9579366	0.4565416
24	0	0.7917087	0	0.7917087	0.6000081
25	1	0.7998198	0	0.7998198	0.5980407
26	0	0.8848941	0	0.8848941	0.574073
27	1	0.9916681	0	0.9916681	0.4855384
28	0	-0.4516796	0	-0.4516796	0.7506826
29	1	0.9924395	0	0.9924395	0.5130611
30	0	0.9373796	0	0.9373796	0.4460869
31	1	-0.6220297	0	-0.6220297	0.7628894
32	0	0.9768287	0	0.9768287	0.5308121
33	1	0.9919625	0	0.9919625	0.4860563
34	0	0.8675676	0	0.8675676	0.579578
35	1	0.3907557	0	0.3907557	0.331193
36	0	0.9874856	0	0.9874856	0.5204449
37	1	0.7224699	0	0.7224699	0.615335
38	0	0.5807943	0	0.5807943	0.3588799
39	1	0.17431	0	0.17431	0.3053723
40	0	0.5736967	0	0.5736967	0.6422718
41	1	0.6042483	0	0.6042483	0.6372336
42	0	0.9952018	0	0.9952018	0.4942961
43	1	0.9059344	0	0.9059344	0.4332488
44	0	-0.4300742	0	-0.4300742	0.2509392
45	1	0.8036633	0	0.8036633	0.4029066
46	0	0.8610423	0	0.8610423	0.5815503
47	1	0.7898744	0	0.7898744	0.3995527
48	0	0.5939299	0	0.5939299	0.6389591
49	1	0.200838	0	0.200838	0.3082931
50	0	0.8187735	0	0.8187735	0.4067316
51	1	0.9119228	0	0.9119228	0.4354906
52	0	0.4434364	0	0.4434364	0.6617086
