Iteration	Posterior	Likelihood	Prior	birth_rate
0	-0.1325437	0	-0.1325437	0.2752635
10	0.2139016	0	0.2139016	0.3097537
20	0.3356518	0	0.3356518	0.3241491
30	0.7428005	0	0.7428005	0.6110755
40	-0.05762653	0	-0.05762653	0.2820668
50	0.854025	0	0.854025	0.4163833
60	0.9559902	0	0.9559902	0.5445555
70	-1.946584	0	-1.946584	0.1665208
80	0.9791016	0	0.9791016	0.4710838
90	0.1896396	0	0.1896396	0.3070528
100	-0.3310031	0	-0.3310031	0.7413911
110	0.7278244	0	0.7278244	0.3857698
120	0.7917087	0	0.7917087	0.6000081
130	0.8848941	0	0.8848941	0.574073
140	-0.4516796	0	-0.4516796	0.7506826
150	0.9373796	0	0.9373796	0.4460869
160	0.9768287	0	0.9768287	0.5308121
170	0.8675676	0	0.8675676	0.579578
180	0.9874856	0	0.9874856	0.5204449
190	0.5807943	0	0.5807943	0.3588799
200	0.5736967	0	0.5736967	0.6422718
210	0.9952018	0	0.9952018	0.4942961
220	-0.4300742	0	-0.4300742	0.2509392
230	0.8610423	0	0.8610423	0.5815503
240	0.5939299	0	0.5939299	0.6389591
250	0.8187735	0	0.8187735	0.4067316
260	0.4434364	0	0.4434364	0.6617086
270	0.9954416	0	0.9954416	0.4954673
280	0.991868	0	0.991868	0.4858881
290	0.9050455	0	0.9050455	0.4329227
300	-0.177657	0	-0.177657	0.2713116
310	0.649371	0	0.649371	0.6293733
320	0.7447523	0	0.7447523	0.389343
330	0.7620407	0	0.7620407	0.3931287
340	0.973079	0	0.973079	0.5337059
350	0.9826028	0	0.9826028	0.5257218
360	0.9138608	0	0.9138608	0.5637664
370	0.9941811	0	0.9941811	0.4908588
380	0.7309918	0	0.7309918	0.6135711
390	0.8301711	0	0.8301711	0.4097319
400	0.914992	0	0.914992	0.4366714
410	0.2761057	0	0.2761057	0.3169232
420	-0.164369	0	-0.164369	0.2724648
430	0.7400569	0	0.7400569	0.3883392
440	0.9578412	0	0.9578412	0.4564872
450	0.400318	0	0.400318	0.3324537
460	0.3639324	0	0.3639324	0.6722815
470	0.9873565	0	0.9873565	0.520602
480	0.5164679	0	0.5164679	0.3488179
490	0.9953494	0	0.9953494	0.5050157
500	0.9949881	0	0.9949881	0.4934259
