Iteration	Posterior	Likelihood	Prior	birth_rate
0	1.841027	0	1.841027	0.08764218
10	1.827212	0	1.827212	0.03110306
20	1.63826	0	1.63826	0.1108158
30	1.769677	0	1.769677	0.0967097
40	0.1348586	0	0.1348586	0.217789
50	1.820723	0	1.820723	0.03066573
60	1.96022	0	1.96022	0.04742017
70	0.01384765	0	0.01384765	0.2247792
80	1.721945	0	1.721945	0.1021243
90	0.9545147	0	0.9545147	0.1659064
100	1.952463	0	1.952463	0.06710075
110	1.558834	0	1.558834	0.1184004
120	1.850471	0	1.850471	0.08631606
130	1.681586	0	1.681586	0.02357174
140	1.96542	0	1.96542	0.0492606
150	1.826572	0	1.826572	0.0896037
160	1.935744	0	1.935744	0.07146898
170	0.8406537	0	0.8406537	0.007733653
180	1.845524	0	1.845524	0.03241733
190	1.948764	0	1.948764	0.04451448
200	1.844305	0	1.844305	0.03232588
210	1.841005	0	1.841005	0.08764519
220	1.500529	0	1.500529	0.1236638
230	1.793279	0	1.793279	0.09386446
240	1.712488	0	1.712488	0.103152
250	0.7779962	0	0.7779962	0.1779064
260	1.855748	0	1.855748	0.08555809
270	1.922943	0	1.922943	0.07424637
280	1.962658	0	1.962658	0.0482173
290	1.555043	0	1.555043	0.1187497
300	1.567236	0	1.567236	0.1176224
310	1.358761	0	1.358761	0.1356626
320	0.641671	0	0.641671	0.1868125
330	1.218237	0	1.218237	0.1467197
340	1.856249	0	1.856249	0.08548554
350	1.871766	0	1.871766	0.08317171
360	1.495213	0	1.495213	0.1241329
370	1.562604	0	1.562604	0.01949731
380	1.717351	0	1.717351	0.02508102
390	1.276731	0	1.276731	0.142202
400	0.7004636	0	0.7004636	0.1830067
410	1.790559	0	1.790559	0.02879515
420	1.831744	0	1.831744	0.08891069
430	1.59135	0	1.59135	0.1153597
440	1.964093	0	1.964093	0.06294378
450	1.391213	0	1.391213	0.1330012
460	1.915956	0	1.915956	0.07563457
470	1.972708	0	1.972708	0.05508348
480	1.905374	0	1.905374	0.07760927
490	1.890792	0	1.890792	0.08013408
500	1.905923	0	1.905923	0.07751016
510	1.755887	0	1.755887	0.09831664
520	-0.9199902	0	-0.9199902	0.2748433
530	1.637539	0	1.637539	0.1108873
540	1.963451	0	1.963451	0.06322415
550	0.3596513	0	0.3596513	0.2044173
560	1.972171	0	1.972171	0.05740513
570	1.966053	0	1.966053	0.06202303
580	1.469034	0	1.469034	0.1264188
590	1.395772	0	1.395772	0.1326236
600	1.822558	0	1.822558	0.09013533
610	1.865425	0	1.865425	0.03400535
620	1.586464	0	1.586464	0.1158219
630	0.6198172	0	0.6198172	0.1882142
640	1.544034	0	1.544034	0.01896175
650	1.416336	0	1.416336	0.1309086
660	1.478027	0	1.478027	0.125638
670	1.506602	0	1.506602	0.1231258
680	1.860009	0	1.860009	0.03355444
690	1.30471	0	1.30471	0.1399999
700	1.341958	0	1.341958	0.1370232
710	1.919634	0	1.919634	0.07491323
720	1.866368	0	1.866368	0.0340855
730	0.9278043	0	0.9278043	0.16776
740	1.173244	0	1.173244	0.1501219
750	1.892182	0	1.892182	0.03649201
760	1.277776	0	1.277776	0.1421203
770	0.6578959	0	0.6578959	0.1857673
780	1.635656	0	1.635656	0.1110734
790	1.761208	0	1.761208	0.09770102
800	1.746396	0	1.746396	0.02643959
810	1.773241	0	1.773241	0.09628808
820	1.449996	0	1.449996	0.1280573
830	1.773525	0	1.773525	0.09625432
840	0.3205502	0	0.3205502	0.2067819
850	1.914103	0	1.914103	0.03896999
860	0.7164289	0	0.7164289	0.1819642
870	1.958694	0	1.958694	0.0650713
880	1.850026	0	1.850026	0.03276071
890	1.93664	0	1.93664	0.04222377
900	1.915479	0	1.915479	0.07572673
910	1.795101	0	1.795101	0.09363927
920	1.967346	0	1.967346	0.06134453
930	1.866115	0	1.866115	0.08402944
940	1.845494	0	1.845494	0.08701961
950	1.956075	0	1.956075	0.04624242
960	1.906228	0	1.906228	0.03802085
970	1.650154	0	1.650154	0.1096304
980	0.07760135	0	0.07760135	0.2211136
990	1.485607	0	1.485607	0.1249762
1000	1.873146	0	1.873146	0.08295951
1010	1.968664	0	1.968664	0.06056828
1020	1.438648	0	1.438648	0.129025
1030	1.804236	0	1.804236	0.0924973
1040	1.277364	0	1.277364	0.01313165
1050	1.972434	0	1.972434	0.05421658
1060	1.972441	0	1.972441	0.05689925
1070	1.529133	0	1.529133	0.1211098
1080	1.521446	0	1.521446	0.1218013
1090	1.848374	0	1.848374	0.08661383
1100	0.9206174	0	0.9206174	0.1682563
1110	1.892656	0	1.892656	0.0365406
1120	1.835475	0	1.835475	0.08840471
1130	-2.026971	0	-2.026971	0.327532
1140	1.961616	0	1.961616	0.06397857
1150	1.97226	0	1.97226	0.0572549
1160	1.836502	0	1.836502	0.03175419
1170	1.60624	0	1.60624	0.1139388
1180	1.939277	0	1.939277	0.04267822
1190	1.972646	0	1.972646	0.0563226
1200	1.758965	0	1.758965	0.09796123
1210	1.688009	0	1.688009	0.02383094
1220	1.887911	0	1.887911	0.03606169
1230	1.313166	0	1.313166	0.01375799
1240	1.62263	0	1.62263	0.02139771
1250	1.60643	0	1.60643	0.1139205
1260	1.971339	0	1.971339	0.05846593
1270	0.8421848	0	0.8421848	0.1736085
1280	1.268363	0	1.268363	0.1428553
1290	1.933546	0	1.933546	0.07197173
1300	1.971971	0	1.971971	0.05345542
1310	1.237133	0	1.237133	0.1452725
1320	1.85673	0	1.85673	0.08541564
1330	1.841486	0	1.841486	0.03211659
1340	1.968739	0	1.968739	0.06052129
1350	1.965209	0	1.965209	0.04917411
1360	0.685694	0	0.685694	0.1839676
1370	1.322393	0	1.322393	0.1385934
1380	-1.380015	0	-1.380015	0.2974816
1390	1.409351	0	1.409351	0.1314934
1400	0.850132	0	0.850132	0.1730714
1410	1.93451	0	1.93451	0.07175272
1420	0.8959557	0	0.8959557	0.1699517
1430	-0.419961	0	-0.419961	0.2488134
1440	1.341874	0	1.341874	0.13703
1450	1.868115	0	1.868115	0.03423518
1460	-2.002463	0	-2.002463	0.3264281
1470	1.804411	0	1.804411	0.09247526
1480	1.881576	0	1.881576	0.03544893
1490	-0.7629404	0	-0.7629404	0.2668396
1500	1.624321	0	1.624321	0.1121871
1510	1.774819	0	1.774819	0.09610052
1520	1.838753	0	1.838753	0.08795597
1530	1.91559	0	1.91559	0.07570536
1540	1.451125	0	1.451125	0.1279607
1550	1.745045	0	1.745045	0.02637337
1560	1.633345	0	1.633345	0.02176772
1570	1.538878	0	1.538878	0.01881696
1580	1.901173	0	1.901173	0.03744867
1590	1.183011	0	1.183011	0.1493884
1600	1.888495	0	1.888495	0.03611969
1610	1.972031	0	1.972031	0.05762109
1620	1.951476	0	1.951476	0.04511494
1630	1.886599	0	1.886599	0.08082567
1640	1.098251	0	1.098251	0.1556657
1650	1.130666	0	1.130666	0.1532879
1660	1.943844	0	1.943844	0.04351808
1670	1.964311	0	1.964311	0.06284688
1680	1.932239	0	1.932239	0.07226513
1690	1.672581	0	1.672581	0.1073538
1700	-1.493182	0	-1.493182	0.3028806
1710	1.961971	0	1.961971	0.04798291
1720	1.93213	0	1.93213	0.04149032
1730	1.166602	0	1.166602	0.011412
1740	-0.7176032	0	-0.7176032	0.264501
1750	1.970243	0	1.970243	0.05945822
1760	1.910624	0	1.910624	0.03854135
1770	1.249988	0	1.249988	0.1442814
1780	0.5284345	0	0.5284345	0.194004
1790	1.845568	0	1.845568	0.08700925
1800	1.963457	0	1.963457	0.0632213
1810	0.7465824	0	0.7465824	0.1799844
1820	1.712114	0	1.712114	0.1031924
1830	1.515679	0	1.515679	0.1223176
1840	-1.872711	0	-1.872711	0.3205403
1850	1.884332	0	1.884332	0.08119395
1860	0.9184978	0	0.9184978	0.1684025
1870	1.791821	0	1.791821	0.09404405
1880	1.948632	0	1.948632	0.04448627
1890	1.552614	0	1.552614	0.1189729
1900	1.635124	0	1.635124	0.02183015
1910	1.889804	0	1.889804	0.03625062
1920	1.051727	0	1.051727	0.1590324
1930	0.2654178	0	0.2654178	0.2100874
1940	0.5920132	0	0.5920132	0.1899878
1950	0.4435908	0	0.4435908	0.1992817
1960	-0.3379281	0	-0.3379281	0.2443813
1970	0.7977079	0	0.7977079	0.1765941
1980	1.583667	0	1.583667	0.1160857
1990	1.924812	0	1.924812	0.04039793
2000	1.909378	0	1.909378	0.07687825
2010	0.9444443	0	0.9444443	0.166607
2020	1.326945	0	1.326945	0.1382294
2030	1.50543	0	1.50543	0.1232298
2040	1.937365	0	1.937365	0.07108984
2050	1.496433	0	1.496433	0.1240254
2060	1.693759	0	1.693759	0.1051498
2070	0.5418149	0	0.5418149	0.1931632
2080	1.259985	0	1.259985	0.1435069
2090	0.1360936	0	0.1360936	0.217717
2100	1.233889	0	1.233889	0.1455217
2110	1.910287	0	1.910287	0.07670969
2120	-1.131914	0	-1.131914	0.2854154
2130	1.968084	0	1.968084	0.06092286
2140	-0.02676269	0	-0.02676269	0.2270951
2150	1.970784	0	1.970784	0.05223787
2160	1.503591	0	1.503591	0.1233928
2170	0.9296827	0	0.9296827	0.1676301
2180	1.125974	0	1.125974	0.01085282
2190	1.538056	0	1.538056	0.01879405
2200	1.657601	0	1.657601	0.1088806
2210	1.866274	0	1.866274	0.08400559
2220	-0.7419461	0	-0.7419461	0.2657583
2230	1.969136	0	1.969136	0.06026252
2240	1.402558	0	1.402558	0.1320598
2250	1.662587	0	1.662587	0.02283247
2260	1.829091	0	1.829091	0.08926736
2270	0.2837395	0	0.2837395	0.2089926
2280	1.470105	0	1.470105	0.1263261
2290	1.029612	0	1.029612	0.1606147
2300	0.3678379	0	0.3678379	0.20392
2310	1.895432	0	1.895432	0.07935197
2320	1.970486	0	1.970486	0.05199979
2330	1.2106	0	1.2106	0.1473015
2340	1.972501	0	1.972501	0.05675899
2350	0.0005767353	0	0.0005767353	0.2255376
2360	1.957945	0	1.957945	0.06533412
2370	1.249751	0	1.249751	0.1442997
2380	1.953493	0	1.953493	0.06678698
2390	1.944756	0	1.944756	0.06925641
2400	1.964394	0	1.964394	0.04885158
2410	1.97092	0	1.97092	0.05235298
2420	1.657937	0	1.657937	0.02265744
2430	1.861269	0	1.861269	0.03365798
2440	0.927084	0	0.927084	0.1678098
2450	1.96459	0	1.96459	0.06272069
2460	1.547674	0	1.547674	0.1194256
2470	1.798175	0	1.798175	0.02924447
2480	1.562794	0	1.562794	0.1180344
2490	1.393811	0	1.393811	0.1327862
2500	1.841363	0	1.841363	0.08759563
2510	0.5636996	0	0.5636996	0.191783
2520	1.269515	0	1.269515	0.1427655
2530	1.559769	0	1.559769	0.1183141
2540	1.759549	0	1.759549	0.09789355
2550	1.562944	0	1.562944	0.1180205
2560	1.784541	0	1.784541	0.09493285
2570	1.923004	0	1.923004	0.07423388
2580	1.948877	0	1.948877	0.06814187
2590	1.939668	0	1.939668	0.07053807
2600	1.687614	0	1.687614	0.1057951
2610	1.971874	0	1.971874	0.05783876
2620	1.801721	0	1.801721	0.02945864
2630	0.2786942	0	0.2786942	0.2092944
2640	0.7319023	0	0.7319023	0.1809501
2650	1.669895	0	1.669895	0.02311212
2660	1.189364	0	1.189364	0.1489098
2670	1.849607	0	1.849607	0.03272839
2680	1.749508	0	1.749508	0.09904755
2690	1.567025	0	1.567025	0.01962821
2700	1.76739	0	1.76739	0.02751042
2710	0.8304526	0	0.8304526	0.1743994
2720	-0.610859	0	-0.610859	0.258943
2730	1.847291	0	1.847291	0.0867668
2740	1.545202	0	1.545202	0.1196516
2750	1.825438	0	1.825438	0.08975445
2760	1.342873	0	1.342873	0.1369494
2770	-0.5384901	0	-0.5384901	0.2551323
2780	1.496786	0	1.496786	0.1239943
2790	1.786685	0	1.786685	0.09467234
2800	1.856363	0	1.856363	0.08546896
2810	1.690698	0	1.690698	0.02394095
2820	0.4312823	0	0.4312823	0.20004
2830	1.32465	0	1.32465	0.138413
2840	1.457092	0	1.457092	0.1274489
2850	1.310649	0	1.310649	0.1395288
2860	1.146279	0	1.146279	0.1521327
2870	1.934124	0	1.934124	0.04180829
2880	1.750188	0	1.750188	0.09896993
2890	1.859657	0	1.859657	0.08498819
2900	1.471045	0	1.471045	0.1262446
2910	1.808276	0	1.808276	0.0298634
2920	1.962833	0	1.962833	0.04827836
2930	1.972352	0	1.972352	0.05405359
2940	0.6414665	0	0.6414665	0.1868256
2950	1.952152	0	1.952152	0.04527134
2960	1.530395	0	1.530395	0.1209959
2970	1.94705	0	1.94705	0.06864566
2980	0.6624217	0	0.6624217	0.1854751
2990	1.644515	0	1.644515	0.1101942
3000	1.79398	0	1.79398	0.09377791
3010	1.77252	0	1.77252	0.09637366
3020	0.982093	0	0.982093	0.1639772
3030	1.859211	0	1.859211	0.03348922
3040	-0.1234565	0	-0.1234565	0.2325513
3050	1.720944	0	1.720944	0.1022337
3060	0.8581144	0	0.8581144	0.1725307
3070	1.662746	0	1.662746	0.1083591
3080	1.430146	0	1.430146	0.01610442
3090	0.9613742	0	0.9613742	0.008902571
3100	0.1111547	0	0.1111547	0.003466451
3110	1.883289	0	1.883289	0.03561173
3120	1.946406	0	1.946406	0.04402359
3130	1.908152	0	1.908152	0.07710404
3140	1.97235	0	1.97235	0.05404934
3150	1.827681	0	1.827681	0.0311352
3160	1.768536	0	1.768536	0.09684415
3170	1.944491	0	1.944491	0.06932568
3180	1.315293	0	1.315293	0.1391595
3190	1.386443	0	1.386443	0.1333952
3200	1.97004	0	1.97004	0.05167282
3210	1.167269	0	1.167269	0.1505692
3220	1.561452	0	1.561452	0.01946342
3230	1.02359	0	1.02359	0.1610435
3240	-0.9121011	0	-0.9121011	0.2744447
