Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate
0	0	2.194655	0	2.194655	0.05105406
1	1	3.281371	0	3.281371	0.02129018
2	0	2.642303	0	2.642303	0.04172087
3	1	3.125708	0	3.125708	0.02980635
4	0	2.180513	0	2.180513	0.0513416
5	1	1.611198	0	1.611198	0.06283226
6	0	3.074501	0	3.074501	0.01471583
7	1	3.180457	0	3.180457	0.02796322
8	0	3.080733	0	3.080733	0.03115754
9	1	3.281004	0	3.281004	0.02108915
10	0	3.032646	0	3.032646	0.03250013
11	1	3.281475	0	3.281475	0.02144338
12	0	2.538172	0	2.538172	0.04395034
13	1	3.054992	0	3.054992	0.03188704
14	0	2.527868	0	2.527868	0.04416831
15	1	2.158515	0	2.158515	0.05178841
16	0	0.3961269	0	0.3961269	0.08805292
17	1	2.723147	0	2.723147	0.03994809
18	0	3.27976	0	3.27976	0.0222267
19	1	3.260809	0	3.260809	0.01905684
20	0	3.053804	0	3.053804	0.03192007
21	1	1.285941	0	1.285941	0.06943253
22	0	3.236432	0	3.236432	0.01800312
23	1	0.9032475	0	0.9032475	0.07731955
24	0	3.279198	0	3.279198	0.02063907
25	1	3.276454	0	3.276454	0.02024628
26	0	2.992366	0	2.992366	0.03356642
27	1	2.589498	0	2.589498	0.01075986
28	0	3.107831	0	3.107831	0.03035691
29	1	3.031686	0	3.031686	0.03252609
30	0	2.98946	0	2.98946	0.03364165
31	1	2.175245	0	2.175245	0.05144865
32	0	2.213944	0	2.213944	0.00910249
33	1	3.125432	0	3.125432	0.02981503
34	0	3.220465	0	3.220465	0.02636537
35	1	2.670311	0	2.670311	0.04111149
36	0	3.193328	0	3.193328	0.02748109
37	1	2.996564	0	2.996564	0.03345735
38	0	3.008422	0	3.008422	0.03314678
39	1	2.869904	0	2.869904	0.01260279
40	0	2.064224	0	2.064224	0.05369822
41	1	2.092942	0	2.092942	0.05311735
42	0	3.156908	0	3.156908	0.02879075
43	1	2.700338	0	2.700338	0.0404527
44	0	3.134448	0	3.134448	0.02952954
45	1	3.242104	0	3.242104	0.02532258
46	0	3.1627	0	3.1627	0.016128
47	1	2.933541	0	2.933541	0.03505313
48	0	2.509193	0	2.509193	0.04456231
49	1	3.265116	0	3.265116	0.01930948
50	0	3.262017	0	3.262017	0.01912447
51	1	3.235552	0	3.235552	0.02565869
52	0	1.925147	0	1.925147	0.05650462
53	1	3.276519	0	3.276519	0.02025402
54	0	1.835385	0	1.835385	0.05831289
55	1	1.532131	0	1.532131	0.06443044
56	0	2.66951	0	2.66951	0.04112897
57	1	2.836899	0	2.836899	0.03736564
58	0	2.895653	0	2.895653	0.03597611
59	1	3.10837	0	3.10837	0.03034059
60	0	2.153146	0	2.153146	0.05189737
61	1	3.239754	0	3.239754	0.0181228
62	0	1.6117	0	1.6117	0.06282214
63	1	3.22702	0	3.22702	0.01768996
64	0	2.595568	0	2.595568	0.04272795
65	1	2.189171	0	2.189171	0.009012804
66	0	3.280812	0	3.280812	0.02193973
67	1	2.899028	0	2.899028	0.03589483
68	0	3.214258	0	3.214258	0.02663523
69	1	3.169306	0	3.169306	0.01625876
70	0	3.2635	0	3.2635	0.01921075
71	1	3.134513	0	3.134513	0.02952746
72	0	3.072709	0	3.072709	0.03138788
73	1	2.368849	0	2.368849	0.04748688
74	0	2.096935	0	2.096935	0.05303654
75	1	3.253735	0	3.253735	0.01869935
76	0	1.22515	0	1.22515	0.07067526
77	1	3.268771	0	3.268771	0.0235824
78	0	3.235991	0	3.235991	0.02563681
79	1	3.054299	0	3.054299	0.01445311
80	0	3.060378	0	3.060378	0.03173661
81	1	3.243516	0	3.243516	0.02524716
82	0	2.821891	0	2.821891	0.01222753
83	1	2.782383	0	2.782383	0.03861845
84	0	3.280821	0	3.280821	0.02102175
85	1	3.279449	0	3.279449	0.02229311
86	0	3.277065	0	3.277065	0.02269274
87	1	2.928526	0	2.928526	0.03517669
88	0	1.594698	0	1.594698	0.06316552
89	1	3.075245	0	3.075245	0.03131538
90	0	3.234532	0	3.234532	0.0257092
91	1	2.336078	0	2.336078	0.009574827
92	0	3.176031	0	3.176031	0.01639705
93	1	2.540222	0	2.540222	0.04390694
94	0	3.249203	0	3.249203	0.02493063
95	1	3.264736	0	3.264736	0.02391116
96	0	3.203212	0	3.203212	0.01702111
97	1	2.124179	0	2.124179	0.05248479
98	0	3.149026	0	3.149026	0.0290549
99	1	-0.1238216	0	-0.1238216	0.09946592
100	0	3.193307	0	3.193307	0.02748186
101	1	0.6804753	0	0.6804753	0.0819906
102	0	3.21405	0	3.21405	0.01730759
103	1	2.877122	0	2.877122	0.03641937
104	0	2.684633	0	2.684633	0.04079799
105	1	3.160314	0	3.160314	0.02867477
106	0	2.482312	0	2.482312	0.0102188
107	1	3.046363	0	3.046363	0.01435435
108	0	2.892027	0	2.892027	0.03606324
109	1	0.1383511	0	0.1383511	0.09365543
110	0	0.6860645	0	0.6860645	0.0818726
111	1	3.273277	0	3.273277	0.01991806
112	0	1.064659	0	1.064659	0.07397366
113	1	3.107767	0	3.107767	0.03035887
114	0	1.723621	0	1.723621	0.06056445
115	1	3.254478	0	3.254478	0.01873429
116	0	2.864829	0	2.864829	0.03671079
117	1	3.025361	0	3.025361	0.03269642
118	0	3.272522	0	3.272522	0.02323073
119	1	3.135532	0	3.135532	0.02949482
120	0	3.25681	0	3.25681	0.02446713
121	1	2.995988	0	2.995988	0.03347233
122	0	3.244172	0	3.244172	0.02521172
123	1	3.202764	0	3.202764	0.02711055
