Iteration	Posterior	Likelihood	Prior	birth_rate
0	2.194655	0	2.194655	0.05105406
10	2.642303	0	2.642303	0.04172087
20	2.180513	0	2.180513	0.0513416
30	3.074501	0	3.074501	0.01471583
40	3.080733	0	3.080733	0.03115754
50	3.032646	0	3.032646	0.03250013
60	2.538172	0	2.538172	0.04395034
70	2.527868	0	2.527868	0.04416831
80	0.3961269	0	0.3961269	0.08805292
90	3.27976	0	3.27976	0.0222267
100	3.053804	0	3.053804	0.03192007
110	3.236432	0	3.236432	0.01800312
120	3.279198	0	3.279198	0.02063907
130	2.992366	0	2.992366	0.03356642
140	3.107831	0	3.107831	0.03035691
150	2.98946	0	2.98946	0.03364165
160	2.213944	0	2.213944	0.00910249
170	3.220465	0	3.220465	0.02636537
180	3.193328	0	3.193328	0.02748109
190	3.008422	0	3.008422	0.03314678
200	2.064224	0	2.064224	0.05369822
210	3.156908	0	3.156908	0.02879075
220	3.134448	0	3.134448	0.02952954
230	3.1627	0	3.1627	0.016128
240	2.509193	0	2.509193	0.04456231
250	3.262017	0	3.262017	0.01912447
260	1.925147	0	1.925147	0.05650462
270	1.835385	0	1.835385	0.05831289
280	2.66951	0	2.66951	0.04112897
290	2.895653	0	2.895653	0.03597611
300	2.153146	0	2.153146	0.05189737
310	1.6117	0	1.6117	0.06282214
320	2.595568	0	2.595568	0.04272795
330	3.280812	0	3.280812	0.02193973
340	3.214258	0	3.214258	0.02663523
350	3.2635	0	3.2635	0.01921075
360	3.072709	0	3.072709	0.03138788
370	2.096935	0	2.096935	0.05303654
380	1.22515	0	1.22515	0.07067526
390	3.235991	0	3.235991	0.02563681
400	3.060378	0	3.060378	0.03173661
410	2.821891	0	2.821891	0.01222753
420	3.280821	0	3.280821	0.02102175
430	3.277065	0	3.277065	0.02269274
440	1.594698	0	1.594698	0.06316552
450	3.234532	0	3.234532	0.0257092
460	3.176031	0	3.176031	0.01639705
470	3.249203	0	3.249203	0.02493063
480	3.203212	0	3.203212	0.01702111
490	3.149026	0	3.149026	0.0290549
500	3.193307	0	3.193307	0.02748186
510	3.21405	0	3.21405	0.01730759
520	2.684633	0	2.684633	0.04079799
530	2.482312	0	2.482312	0.0102188
540	2.892027	0	2.892027	0.03606324
550	0.6860645	0	0.6860645	0.0818726
560	1.064659	0	1.064659	0.07397366
570	1.723621	0	1.723621	0.06056445
580	2.864829	0	2.864829	0.03671079
590	3.272522	0	3.272522	0.02323073
600	3.25681	0	3.25681	0.02446713
610	3.244172	0	3.244172	0.02521172
620	2.930806	0	2.930806	0.03512056
630	3.281069	0	3.281069	0.0218383
640	3.225295	0	3.225295	0.01763617
650	3.270085	0	3.270085	0.01965215
660	3.274736	0	3.274736	0.02299019
670	3.18683	0	3.18683	0.02772754
680	3.263654	0	3.263654	0.02399304
690	3.228331	0	3.228331	0.01773157
700	3.237862	0	3.237862	0.02554261
710	3.258969	0	3.258969	0.01895795
720	3.188742	0	3.188742	0.01667452
730	2.839488	0	2.839488	0.01236138
740	3.063006	0	3.063006	0.03166279
750	2.009066	0	2.009066	0.05481231
760	2.758383	0	2.758383	0.03916074
770	-2.316327	0	-2.316327	0.1532859
780	3.268535	0	3.268535	0.0195377
790	1.533218	0	1.533218	0.06440844
800	3.26557	0	3.26557	0.01933818
810	1.601612	0	1.601612	0.007316766
820	3.281338	0	3.281338	0.02168665
830	2.864779	0	2.864779	0.01256117
840	2.561039	0	2.561039	0.04346507
850	2.379825	0	2.379825	0.009757602
860	1.86097	0	1.86097	0.05779755
870	3.269093	0	3.269093	0.01957798
880	2.950084	0	2.950084	0.03464225
890	3.149202	0	3.149202	0.02904908
900	2.825799	0	2.825799	0.03762331
910	2.14053	0	2.14053	0.05215332
920	3.084861	0	3.084861	0.0148575
930	3.207258	0	3.207258	0.02692816
940	1.770513	0	1.770513	0.0077348
950	0.8855472	0	0.8855472	0.07768835
960	3.233761	0	3.233761	0.01791059
970	2.57316	0	2.57316	0.04320693
980	3.252285	0	3.252285	0.02474919
990	2.584381	0	2.584381	0.04296738
1000	2.754111	0	2.754111	0.03925676
1010	3.262084	0	3.262084	0.02410802
1020	3.170272	0	3.170272	0.02832885
1030	3.27309	0	3.27309	0.02317195
1040	2.369615	0	2.369615	0.04747108
1050	2.438611	0	2.438611	0.0460404
1060	3.279534	0	3.279534	0.02070194
1070	3.033584	0	3.033584	0.03247473
1080	2.760777	0	2.760777	0.01179193
1090	2.677823	0	2.677823	0.01126195
1100	3.153126	0	3.153126	0.0289182
1110	2.836832	0	2.836832	0.0373672
1120	2.950121	0	2.950121	0.03464132
1130	3.200296	0	3.200296	0.02720902
1140	2.4033	0	2.4033	0.04677415
1150	2.482355	0	2.482355	0.010219
1160	2.645513	0	2.645513	0.04165126
1170	3.222771	0	3.222771	0.02626235
1180	2.996604	0	2.996604	0.03345631
1190	3.104135	0	3.104135	0.03046839
1200	3.276219	0	3.276219	0.0228078
1210	2.242811	0	2.242811	0.05007298
1220	3.214294	0	3.214294	0.02663372
1230	2.195334	0	2.195334	0.009034937
1240	3.175574	0	3.175574	0.01638747
1250	3.212179	0	3.212179	0.02672345
1260	3.277247	0	3.277247	0.02266656
1270	1.540165	0	1.540165	0.06426789
1280	3.06694	0	3.06694	0.03155179
1290	2.941727	0	2.941727	0.03485047
1300	3.279897	0	3.279897	0.02077655
1310	3.199075	0	3.199075	0.02725733
1320	3.252119	0	3.252119	0.02475921
1330	3.280666	0	3.280666	0.02198887
1340	2.821014	0	2.821014	0.03773396
1350	3.281294	0	3.281294	0.02123371
1360	1.283684	0	1.283684	0.06947859
1370	0.5988772	0	0.5988772	0.08371829
1380	2.887966	0	2.887966	0.0361606
1390	2.636097	0	2.636097	0.04185528
1400	2.693472	0	2.693472	0.04060386
1410	3.214636	0	3.214636	0.02661909
1420	3.010283	0	3.010283	0.03309771
1430	1.849261	0	1.849261	0.00794621
1440	3.162395	0	3.162395	0.02860337
1450	1.876491	0	1.876491	0.05748493
1460	-0.3986279	0	-0.3986279	0.1056857
1470	2.483103	0	2.483103	0.04511058
1480	1.520839	0	1.520839	0.06465895
1490	3.201261	0	3.201261	0.02717067
1500	2.602754	0	2.602754	0.04257385
1510	3.207706	0	3.207706	0.01713676
1520	3.043902	0	3.043902	0.01432421
1530	3.279588	0	3.279588	0.02071252
1540	3.005729	0	3.005729	0.01388254
1550	2.836626	0	2.836626	0.037372
1560	3.262628	0	3.262628	0.01915956
1570	2.466324	0	2.466324	0.04546198
1580	3.220207	0	3.220207	0.02637677
1590	1.625345	0	1.625345	0.06254663
1600	3.188702	0	3.188702	0.0276572
1610	1.838376	0	1.838376	0.05825264
1620	2.935927	0	2.935927	0.03499419
1630	2.343417	0	2.343417	0.04801124
1640	3.131947	0	3.131947	0.01557434
1650	3.027761	0	3.027761	0.01413173
1660	3.032539	0	3.032539	0.032503
1670	1.492397	0	1.492397	0.007069004
1680	2.912174	0	2.912174	0.03557655
1690	1.560253	0	1.560253	0.06386163
1700	2.47607	0	2.47607	0.04525798
1710	3.194354	0	3.194354	0.02744155
1720	1.432209	0	1.432209	0.06645531
1730	3.281477	0	3.281477	0.02149315
1740	1.194972	0	1.194972	0.07129349
1750	1.374842	0	1.374842	0.06762095
1760	3.186844	0	3.186844	0.02772702
1770	2.89285	0	2.89285	0.01279415
1780	3.271531	0	3.271531	0.01976684
1790	3.217051	0	3.217051	0.02651508
1800	3.224375	0	3.224375	0.01760789
1810	3.274873	0	3.274873	0.02007236
1820	3.27856	0	3.27856	0.02245995
1830	0.9700404	0	0.9700404	0.006073194
1840	2.677793	0	2.677793	0.01126177
1850	2.79383	0	2.79383	0.03835793
1860	3.272942	0	3.272942	0.02318744
1870	2.962187	0	2.962187	0.03433827
1880	3.280043	0	3.280043	0.02216097
1890	3.157799	0	3.157799	0.02876052
1900	1.099325	0	1.099325	0.07325893
1910	2.938802	0	2.938802	0.03492301
1920	3.275836	0	3.275836	0.02285703
1930	1.669821	0	1.669821	0.06164918
1940	2.872069	0	2.872069	0.03653942
1950	2.969055	0	2.969055	0.0341644
1960	3.256881	0	3.256881	0.02446252
1970	3.281113	0	3.281113	0.02113587
1980	1.148308	0	1.148308	0.0722512
1990	2.581025	0	2.581025	0.04303909
2000	2.640628	0	2.640628	0.04175716
2010	2.981845	0	2.981845	0.03383787
2020	3.281151	0	3.281151	0.02179966
2030	2.879497	0	2.879497	0.01268177
2040	2.994466	0	2.994466	0.0335119
2050	3.02116	0	3.02116	0.0328089
2060	3.048985	0	3.048985	0.03205355
2070	2.005705	0	2.005705	0.05488016
2080	1.978875	0	1.978875	0.05542145
2090	2.419238	0	2.419238	0.04644338
2100	3.081553	0	3.081553	0.01481172
2110	2.568747	0	2.568747	0.01064977
2120	1.183522	0	1.183522	0.07152828
2130	3.269538	0	3.269538	0.02351486
2140	3.258346	0	3.258346	0.02436632
2150	3.27806	0	3.27806	0.02045622
2160	2.147369	0	2.147369	0.0520146
2170	2.681459	0	2.681459	0.04086759
2180	2.312333	0	2.312333	0.04865024
2190	3.251315	0	3.251315	0.01858922
2200	1.831727	0	1.831727	0.05838656
2210	3.106297	0	3.106297	0.03040329
2220	2.679681	0	2.679681	0.04090654
2230	3.270914	0	3.270914	0.02338838
2240	1.078232	0	1.078232	0.07369366
2250	2.66416	0	2.66416	0.04124572
2260	3.218558	0	3.218558	0.0264494
2270	2.420044	0	2.420044	0.04642664
2280	3.058224	0	3.058224	0.03179689
2290	0.2745943	0	0.2745943	0.09068113
2300	1.520204	0	1.520204	0.0646718
2310	3.233184	0	3.233184	0.02577527
2320	2.705838	0	2.705838	0.04033136
2330	2.410484	0	2.410484	0.009890489
2340	1.873091	0	1.873091	0.008012481
2350	2.718904	0	2.718904	0.04004224
2360	3.187897	0	3.187897	0.02768752
2370	2.709104	0	2.709104	0.04025921
2380	0.1608097	0	0.1608097	0.09316306
2390	2.744785	0	2.744785	0.01168469
2400	3.253203	0	3.253203	0.02469357
2410	3.281183	0	3.281183	0.02117
2420	1.874514	0	1.874514	0.05752474
2430	2.019733	0	2.019733	0.05459701
2440	2.088878	0	2.088878	0.05319959
2450	3.183521	0	3.183521	0.01655782
2460	0.3883507	0	0.3883507	0.0882204
2470	-1.08291	0	-1.08291	0.1217921
2480	2.552099	0	2.552099	0.04365506
2490	3.171962	0	3.171962	0.02826904
2500	3.210103	0	3.210103	0.02681047
2510	0.1083481	0	0.1083481	0.0943145
2520	1.447524	0	1.447524	0.06614453
2530	2.290204	0	2.290204	0.04910401
2540	0.08698001	0	0.08698001	0.09478479
2550	3.262404	0	3.262404	0.01914661
2560	1.629712	0	1.629712	0.06245848
2570	3.2032	0	3.2032	0.02709305
2580	3.12624	0	3.12624	0.02978966
2590	1.827692	0	1.827692	0.05846783
2600	2.780505	0	2.780505	0.03866107
2610	3.269288	0	3.269288	0.0195923
2620	3.279203	0	3.279203	0.02234226
2630	1.747441	0	1.747441	0.06008443
2640	2.957988	0	2.957988	0.03444407
2650	2.803042	0	2.803042	0.03814732
2660	2.947128	0	2.947128	0.03471605
2670	3.180557	0	3.180557	0.01649329
2680	1.4733	0	1.4733	0.06562184
2690	1.741437	0	1.741437	0.06020541
2700	3.091784	0	3.091784	0.0308355
2710	2.510206	0	2.510206	0.04454097
2720	3.20836	0	3.20836	0.01715393
2730	3.272859	0	3.272859	0.0198804
2740	3.280845	0	3.280845	0.021928
2750	2.389408	0	2.389408	0.0470619
2760	3.178042	0	3.178042	0.02805112
2770	2.624982	0	2.624982	0.04209548
2780	1.047842	0	1.047842	0.07432085
2790	2.453013	0	2.453013	0.04574009
2800	2.976182	0	2.976182	0.0339829
2810	3.268785	0	3.268785	0.01955568
2820	2.27498	0	2.27498	0.04941568
2830	3.074337	0	3.074337	0.01471364
2840	-1.303226	0	-1.303226	0.127177
2850	3.250634	0	3.250634	0.02484736
2860	3.070562	0	3.070562	0.03144905
2870	3.130032	0	3.130032	0.01554244
2880	3.280575	0	3.280575	0.02201718
2890	3.083312	0	3.083312	0.0310829
2900	1.8137	0	1.8137	0.05874966
2910	1.590603	0	1.590603	0.06324825
2920	2.65263	0	2.65263	0.01111282
2930	3.095097	0	3.095097	0.0307378
2940	3.192113	0	3.192113	0.02752767
2950	1.93271	0	1.93271	0.0563522
2960	3.278069	0	3.278069	0.02254151
2970	3.263116	0	3.263116	0.01918806
2980	2.809318	0	2.809318	0.03800336
2990	3.281469	0	3.281469	0.02142015
3000	3.270722	0	3.270722	0.01970159
3010	3.27978	0	3.27978	0.0222222
3020	-1.677672	0	-1.677672	0.1365637
3030	3.27931	0	3.27931	0.0223212
3040	3.122345	0	3.122345	0.02991148
3050	-4.060092	0	-4.060092	0.2039163
3060	3.114412	0	3.114412	0.01529172
3070	2.988077	0	2.988077	0.01369303
3080	1.985848	0	1.985848	0.05528081
3090	3.247327	0	3.247327	0.01841823
3100	3.12061	0	3.12061	0.02996542
3110	1.241965	0	1.241965	0.07033118
3120	2.782327	0	2.782327	0.03861973
3130	3.253602	0	3.253602	0.02466921
3140	1.712313	0	1.712313	0.06079237
3150	2.531566	0	2.531566	0.04409013
3160	3.036853	0	3.036853	0.03238598
3170	3.020437	0	3.020437	0.0328282
3180	2.511368	0	2.511368	0.04451648
3190	2.709093	0	2.709093	0.01145434
3200	2.672773	0	2.672773	0.04105769
3210	3.023366	0	3.023366	0.01408082
3220	2.87365	0	2.87365	0.03650189
3230	3.028886	0	3.028886	0.03260164
3240	2.95733	0	2.95733	0.0344606
3250	3.037694	0	3.037694	0.01424911
3260	3.231478	0	3.231478	0.02585779
3270	3.174169	0	3.174169	0.02819046
3280	3.190042	0	3.190042	0.02760653
3290	2.933981	0	2.933981	0.0131597
3300	2.531676	0	2.531676	0.04408781
3310	1.453893	0	1.453893	0.06601534
3320	3.151083	0	3.151083	0.0289865
3330	3.26722	0	3.26722	0.01944639
3340	1.93331	0	1.93331	0.008185031
3350	2.966808	0	2.966808	0.03422139
3360	1.955846	0	1.955846	0.05588585
3370	2.223009	0	2.223009	0.0504768
3380	0.4941123	0	0.4941123	0.08595047
3390	2.056371	0	2.056371	0.05385694
3400	3.129591	0	3.129591	0.01553514
3410	2.603827	0	2.603827	0.04255081
3420	2.992983	0	2.992983	0.03355041
3430	3.126609	0	3.126609	0.02977806
3440	3.278534	0	3.278534	0.02246447
3450	1.730291	0	1.730291	0.06043002
3460	3.27896	0	3.27896	0.02059745
3470	3.007614	0	3.007614	0.03316806
3480	3.107128	0	3.107128	0.03037817
3490	3.21944	0	3.21944	0.02641065
3500	3.254346	0	3.254346	0.01872803
3510	2.797634	0	2.797634	0.03827106
3520	2.987613	0	2.987613	0.03368938
3530	-2.424498	0	-2.424498	0.1562104
3540	1.986	0	1.986	0.05527774
3550	2.955429	0	2.955429	0.03450837
3560	2.207232	0	2.207232	0.009077999
3570	2.647375	0	2.647375	0.04161086
3580	2.52551	0	2.52551	0.04421814
3590	3.158939	0	3.158939	0.02872172
3600	2.983724	0	2.983724	0.03378958
3610	2.00014	0	2.00014	0.008385615
3620	3.249762	0	3.249762	0.01852118
3630	2.667496	0	2.667496	0.04117294
3640	2.751001	0	2.751001	0.01172606
3650	2.722248	0	2.722248	0.03996806
3660	2.413062	0	2.413062	0.04657163
3670	3.257096	0	3.257096	0.02444858
3680	3.259432	0	3.259432	0.02429335
3690	3.234863	0	3.234863	0.02569286
3700	-0.1933181	0	-0.1933181	0.1010261
3710	1.720366	0	1.720366	0.06063005
3720	-0.4806643	0	-0.4806643	0.1075692
3730	2.050997	0	2.050997	0.05396555
3740	2.6761	0	2.6761	0.04098492
3750	3.2007	0	3.2007	0.02719299
3760	3.085874	0	3.085874	0.03100844
3770	2.770442	0	2.770442	0.01185802
3780	2.880589	0	2.880589	0.01269086
3790	2.856125	0	2.856125	0.03691591
3800	3.189366	0	3.189366	0.02763212
3810	2.277787	0	2.277787	0.04935825
3820	2.655697	0	2.655697	0.04143003
3830	2.314687	0	2.314687	0.04860192
3840	2.10157	0	2.10157	0.05294271
3850	2.994012	0	2.994012	0.03352369
3860	2.454254	0	2.454254	0.04571418
3870	3.125508	0	3.125508	0.02981262
3880	3.230083	0	3.230083	0.02592441
3890	3.228718	0	3.228718	0.01774394
3900	0.2708446	0	0.2708446	0.09076258
3910	1.335057	0	1.335057	0.006738854
3920	2.240848	0	2.240848	0.05011303
3930	3.128237	0	3.128237	0.02972681
3940	3.276404	0	3.276404	0.02278338
3950	2.482394	0	2.482394	0.04512545
3960	2.91304	0	2.91304	0.01296975
3970	1.877803	0	1.877803	0.05745849
3980	2.955017	0	2.955017	0.0345187
3990	3.269272	0	3.269272	0.02353851
4000	2.974262	0	2.974262	0.03403191
4010	3.221267	0	3.221267	0.01751428
4020	2.430346	0	2.430346	0.04621244
4030	0.7023686	0	0.7023686	0.08152863
4040	2.814731	0	2.814731	0.03787885
4050	3.281465	0	3.281465	0.02153888
4060	-0.7963819	0	-0.7963819	0.1149366
4070	3.106573	0	3.106573	0.03039493
4080	1.907698	0	1.907698	0.05685623
4090	3.274215	0	3.274215	0.02000652
4100	3.114618	0	3.114618	0.03015022
4110	3.082165	0	3.082165	0.03111614
4120	3.140238	0	3.140238	0.02934307
4130	3.142958	0	3.142958	0.01576321
4140	2.521369	0	2.521369	0.04430556
4150	3.231396	0	3.231396	0.02586171
4160	2.838241	0	2.838241	0.01235176
4170	2.246359	0	2.246359	0.009222808
4180	2.98799	0	2.98799	0.03367964
4190	3.175465	0	3.175465	0.02814404
4200	3.108102	0	3.108102	0.01519489
4210	3.136698	0	3.136698	0.02945736
4220	3.2663	0	3.2663	0.02378848
4230	3.277186	0	3.277186	0.02033679
4240	2.667008	0	2.667008	0.0411836
4250	3.239083	0	3.239083	0.02548023
4260	3.264914	0	3.264914	0.01929685
4270	3.150909	0	3.150909	0.01590579
4280	2.983292	0	2.983292	0.0338007
4290	3.280602	0	3.280602	0.02200897
4300	1.827058	0	1.827058	0.0584806
4310	3.257228	0	3.257228	0.01886847
4320	3.11182	0	3.11182	0.01525166
4330	3.204661	0	3.204661	0.01705794
4340	2.868654	0	2.868654	0.01259261
4350	2.307202	0	2.307202	0.04875555
4360	3.265966	0	3.265966	0.02381513
4370	3.154024	0	3.154024	0.02888807
4380	3.211906	0	3.211906	0.02673492
4390	3.234422	0	3.234422	0.0179332
4400	2.845164	0	2.845164	0.03717286
4410	2.989523	0	2.989523	0.03364002
4420	3.179456	0	3.179456	0.01646964
4430	0.3234606	0	0.3234606	0.08962159
4440	3.243331	0	3.243331	0.02525711
4450	1.670768	0	1.670768	0.06163008
4460	3.076108	0	3.076108	0.01473749
4470	3.187985	0	3.187985	0.02768423
4480	3.112875	0	3.112875	0.03020355
4490	3.20621	0	3.20621	0.0170978
4500	3.265867	0	3.265867	0.01935715
4510	3.236002	0	3.236002	0.017988
4520	1.568903	0	1.568903	0.06368677
4530	3.114421	0	3.114421	0.01529187
4540	1.384425	0	1.384425	0.006839277
4550	3.201093	0	3.201093	0.01696801
4560	3.078042	0	3.078042	0.03123509
4570	3.049464	0	3.049464	0.03204033
4580	3.1448	0	3.1448	0.02919427
4590	3.017121	0	3.017121	0.03291653
4600	3.251412	0	3.251412	0.01859353
4610	-0.4242499	0	-0.4242499	0.1062726
4620	1.952483	0	1.952483	0.05595363
4630	1.64412	0	1.64412	0.06216768
4640	3.246059	0	3.246059	0.01836626
4650	3.223447	0	3.223447	0.02623182
4660	3.199445	0	3.199445	0.02724271
4670	3.277557	0	3.277557	0.02038576
4680	3.181665	0	3.181665	0.02791899
4690	2.858322	0	2.858322	0.03686422
4700	2.206305	0	2.206305	0.050817
4710	2.565124	0	2.565124	0.04337815
4720	2.708223	0	2.708223	0.04027866
4730	2.831264	0	2.831264	0.03749662
4740	3.079482	0	3.079482	0.03119362
4750	2.73737	0	2.73737	0.03963148
4760	3.248513	0	3.248513	0.02497025
4770	2.880542	0	2.880542	0.01269047
4780	3.267198	0	3.267198	0.02371546
4790	2.853366	0	2.853366	0.03698073
4800	3.032962	0	3.032962	0.03249157
4810	2.80614	0	2.80614	0.0380763
4820	2.483137	0	2.483137	0.04510988
4830	3.086115	0	3.086115	0.03100142
4840	2.385119	0	2.385119	0.04715065
4850	2.613766	0	2.613766	0.01089221
4860	3.148569	0	3.148569	0.01586325
4870	-0.2356454	0	-0.2356454	0.1019805
