Iteration	Posterior	Likelihood	Prior	birth_rate
0	-216.7112	-219.866	3.154841	0.02886058
10	-211.3922	-214.6276	3.235335	0.01796475
20	-211.6027	-214.8751	3.272412	0.01984119
30	-211.3936	-214.6231	3.229452	0.01776759
40	-211.472	-214.6663	3.194345	0.01680443
50	-211.4034	-214.6492	3.245796	0.01835564
60	-211.7829	-214.9109	3.127999	0.01550886
70	-211.3994	-214.6229	3.223544	0.01758255
80	-211.407	-214.6256	3.218596	0.01743612
90	-211.5403	-214.8086	3.26834	0.01952389
100	-211.7766	-214.9058	3.129133	0.01552757
110	-212.2163	-215.4974	3.281068	0.02183893
120	-211.5302	-214.7978	3.267525	0.01946716
130	-211.7723	-214.9022	3.129919	0.01554056
140	-211.8703	-215.1506	3.280263	0.02086126
150	-212.3868	-215.6665	3.279646	0.02225167
160	-212.434	-215.7131	3.27911	0.02236029
170	-211.4214	-214.633	3.211633	0.01724139
180	-211.4851	-214.6758	3.19064	0.01671795
190	-211.3923	-214.6251	3.232817	0.01787864
200	-211.4682	-214.6637	3.195447	0.0168306
210	-211.6045	-214.877	3.272514	0.01985001
220	-211.4024	-214.6477	3.245309	0.01833606
230	-211.4217	-214.6739	3.25218	0.01862798
240	-211.4282	-214.682	3.253791	0.01870198
250	-211.7072	-214.8492	3.14193	0.01574516
260	-211.7032	-214.8459	3.142699	0.01575865
270	-213.2454	-216.5092	3.263811	0.02398128
280	-212.0666	-215.1471	3.080497	0.01479721
290	-211.4779	-214.6705	3.192662	0.01676487
300	-211.7283	-215.0057	3.27742	0.02036736
310	-212.4112	-215.6906	3.279376	0.02230808
320	-211.4815	-214.7441	3.262615	0.01915879
330	-211.4087	-214.6568	3.248079	0.01844953
340	-212.1587	-215.2248	3.066047	0.01460383
350	-215.7394	-218.9279	3.188452	0.02766665
360	-211.3985	-214.6416	3.243069	0.01824789
370	-211.8116	-215.0909	3.279348	0.02066649
380	-213.5971	-216.4601	2.863031	0.01254707
390	-211.4622	-214.7223	3.26004	0.01901494
400	-211.4439	-214.7009	3.257037	0.01885891
410	-211.408	-214.6559	3.247817	0.01843859
420	-212.0741	-215.3556	3.281478	0.02146479
430	-211.489	-214.7525	3.263505	0.01921106
440	-212.0087	-215.0985	3.089763	0.01492631
450	-212.579	-215.8562	3.277142	0.02268167
460	-211.5767	-214.8476	3.270894	0.01971524
470	-211.4327	-214.6398	3.20713	0.0171217
480	-211.3924	-214.6285	3.236085	0.01799093
490	-211.5019	-214.688	3.186162	0.01661635
500	-213.3739	-216.6346	3.260677	0.02420766
510	-212.3674	-215.4019	3.034449	0.0142104
520	-212.3094	-215.3525	3.043102	0.01431445
530	-211.7891	-214.916	3.126906	0.01549093
540	-211.4432	-214.7001	3.256906	0.01885236
550	-211.5208	-214.7022	3.181356	0.01651058
560	-213.4935	-216.7512	3.257639	0.02441311
570	-212.0788	-215.3603	3.281478	0.0214778
580	-213.3501	-216.2464	2.896322	0.01282385
590	-211.3953	-214.6226	3.227318	0.01769936
600	-211.9675	-215.064	3.096468	0.0150224
610	-211.3948	-214.6349	3.240082	0.01813492
620	-211.394	-214.633	3.23907	0.0180977
630	-212.5623	-215.8397	3.277392	0.02264545
640	-211.7141	-214.8547	3.140636	0.01572257
650	-211.6881	-214.8337	3.145584	0.01580968
660	-212.1813	-215.4625	3.281243	0.02174964
670	-211.7359	-215.0135	3.277633	0.02039613
680	-212.3303	-215.6105	3.280212	0.02211856
690	-211.6959	-214.84	3.144093	0.01578323
700	-212.1926	-215.4738	3.281191	0.02177862
710	-214.7816	-217.4882	2.706583	0.01143859
720	-211.5047	-214.6902	3.18542	0.0165998
730	-214.1734	-217.412	3.23868	0.02550091
740	-212.3228	-215.3639	3.041104	0.01429019
750	-211.6914	-214.9677	3.276265	0.02022412
760	-211.6584	-214.9334	3.275032	0.02008877
770	-212.5812	-215.5844	3.003233	0.01385523
780	-211.5443	-214.813	3.268654	0.01954627
790	-211.4009	-214.6233	3.222435	0.01754911
800	-211.4044	-214.6507	3.246282	0.01837534
810	-211.9403	-215.2213	3.28098	0.02107973
820	-212.3845	-215.4164	3.031914	0.0141804
830	-211.4964	-214.7607	3.264319	0.01926018
840	-211.427	-214.6805	3.253513	0.01868905
850	-211.5978	-214.7616	3.163821	0.01614986
860	-211.3962	-214.6375	3.241327	0.01818139
870	-212.7348	-215.7161	2.98131	0.01362256
880	-211.5586	-214.8282	3.269693	0.01962244
890	-211.3953	-214.6226	3.227312	0.0176992
900	-211.3988	-214.6421	3.243274	0.01825586
910	-211.8249	-215.1045	3.279584	0.02071176
920	-211.9962	-215.088	3.091786	0.01495505
930	-212.1168	-215.3983	3.281443	0.02158056
940	-211.8763	-215.1566	3.280339	0.02088048
950	-213.0096	-216.2788	3.269161	0.02354824
960	-211.4285	-214.6824	3.253869	0.01870561
970	-211.5084	-214.774	3.265555	0.01933717
980	-212.5543	-215.8318	3.277509	0.02262811
990	-211.6775	-214.8251	3.147636	0.01584642
1000	-211.5717	-214.7412	3.169482	0.01626232
1010	-211.4506	-214.6515	3.200908	0.01696342
1020	-212.6359	-215.9121	3.276256	0.02280289
1030	-211.4449	-214.7021	3.257226	0.01886837
1040	-211.4515	-214.6521	3.200598	0.01695573
1050	-211.5947	-214.7592	3.164482	0.01616281
1060	-211.9254	-215.2062	3.280857	0.02103421
1070	-211.478	-214.7402	3.262191	0.01913438
1080	-212.0734	-215.1528	3.079412	0.01478236
1090	-213.075	-216.0089	2.933884	0.0131588
1100	-213.501	-216.7584	3.257447	0.0244257
1110	-211.6317	-214.9055	3.273872	0.01997348
1120	-211.7631	-214.8947	3.131571	0.01556806
1130	-211.4261	-214.6793	3.253288	0.01867864
1140	-211.4427	-214.6995	3.256819	0.01884798
1150	-211.503	-214.768	3.26501	0.01930284
1160	-211.5906	-214.8624	3.271738	0.01978394
1170	-212.6224	-215.6197	2.997319	0.0137912
1180	-212.0594	-215.3409	3.28147	0.02142425
1190	-211.667	-214.9424	3.275375	0.02012488
1200	-211.8249	-215.1044	3.279583	0.02071153
1210	-211.81	-214.9332	3.123197	0.01543071
1220	-212.1286	-215.41	3.281419	0.02161199
1230	-211.5801	-214.7477	3.167641	0.01622536
1240	-212.0102	-215.2915	3.281365	0.02128548
1250	-211.5594	-214.8291	3.26975	0.01962676
1260	-211.4851	-214.6757	3.190657	0.01671835
1270	-212.6435	-215.9197	3.276132	0.02281905
1280	-211.7896	-214.9164	3.126808	0.01548934
1290	-211.5124	-214.7783	3.265933	0.01936143
1300	-211.3988	-214.6228	3.223986	0.01759599
1310	-211.4775	-214.7396	3.262124	0.01913059
1320	-211.3951	-214.6354	3.240331	0.01814415
1330	-211.4321	-214.6868	3.254686	0.01874415
1340	-211.415	-214.6295	3.214458	0.01731891
1350	-211.6042	-214.7666	3.162462	0.01612339
1360	-211.4314	-214.639	3.207602	0.01713404
1370	-211.8216	-215.1012	3.279528	0.0207007
1380	-211.8987	-215.1793	3.280598	0.0209515
1390	-212.7694	-216.0433	3.273954	0.02307882
1400	-211.5073	-214.7727	3.265439	0.01932982
1410	-211.4422	-214.699	3.25673	0.01884359
1420	-211.3931	-214.6309	3.237788	0.0180513
1430	-211.9191	-215.0236	3.104489	0.01514051
1440	-211.6243	-214.8978	3.27352	0.01994041
1450	-213.9943	-216.8044	2.810117	0.0121402
1460	-211.8463	-215.1262	3.279927	0.02078299
1470	-212.4219	-215.4483	3.026403	0.01411593
1480	-211.5335	-214.8013	3.267795	0.01948577
1490	-211.3993	-214.6429	3.243586	0.01826796
1500	-211.3983	-214.6227	3.224399	0.01760862
1510	-211.6759	-214.8238	3.147951	0.01585209
1520	-211.4623	-214.6595	3.197235	0.01687348
1530	-212.4035	-215.4326	3.029116	0.01414754
1540	-211.742	-215.0198	3.277798	0.02041883
1550	-211.4178	-214.631	3.213173	0.0172834
1560	-213.1904	-216.4555	3.265108	0.02388243
1570	-211.8029	-214.9273	3.124444	0.01545086
1580	-211.5142	-214.6972	3.183011	0.01654663
1590	-211.5769	-214.7452	3.168348	0.01623951
1600	-213.1379	-216.4042	3.26632	0.02378684
1610	-211.6666	-214.8164	3.149756	0.01588477
1620	-211.3939	-214.6328	3.238925	0.01809242
1630	-211.4285	-214.6372	3.208742	0.01716403
1640	-211.8135	-215.0929	3.279383	0.02067312
1650	-211.3929	-214.6301	3.237248	0.01803201
1660	-211.4247	-214.635	3.210219	0.01720332
1670	-211.4647	-214.7251	3.260402	0.01903453
1680	-211.7732	-214.9029	3.129757	0.01553788
1690	-211.4403	-214.6967	3.256366	0.01882552
1700	-211.6999	-214.8432	3.143318	0.01576954
1710	-212.0102	-215.2915	3.281365	0.02128543
1720	-211.4122	-214.628	3.215848	0.01735779
1730	-211.7105	-214.8518	3.14131	0.01573432
1740	-211.482	-214.6735	3.191512	0.01673812
1750	-212.4307	-215.7098	3.279149	0.02235278
1760	-211.7068	-214.9836	3.276774	0.02028496
1770	-211.6006	-214.7638	3.163209	0.01613792
1780	-211.393	-214.6237	3.230685	0.01780777
1790	-212.1561	-215.4375	3.281341	0.02168441
1800	-212.2831	-215.3302	3.047057	0.0143629
1810	-211.4322	-214.6868	3.254694	0.01874455
1820	-211.9212	-215.0253	3.104134	0.01513521
1830	-211.3934	-214.6232	3.229831	0.01777987
1840	-212.7967	-216.0701	3.273449	0.02313381
1850	-211.5807	-214.8519	3.271146	0.01973542
1860	-212.5261	-215.5373	3.011184	0.01394288
1870	-211.3923	-214.6279	3.2356	0.01797395
1880	-211.4043	-214.6506	3.246246	0.01837385
1890	-211.4928	-214.7567	3.263925	0.01923622
1900	-211.3945	-214.6341	3.239664	0.01811949
1910	-211.5116	-214.7775	3.265862	0.01935686
1920	-211.9119	-215.1927	3.280733	0.02099276
1930	-211.6263	-214.8999	3.273618	0.01994959
1940	-211.4778	-214.74	3.26216	0.01913263
1950	-211.6641	-214.9394	3.275263	0.02011296
1960	-211.5548	-214.8242	3.269425	0.01960244
1970	-211.4135	-214.6633	3.249774	0.01852168
1980	-211.395	-214.6226	3.22763	0.01770924
1990	-211.8883	-215.1688	3.280482	0.0209186
2000	-211.4466	-214.6488	3.202233	0.01699646
2010	-213.4363	-216.6954	3.259105	0.02431549
2020	-211.4767	-214.7388	3.262025	0.01912491
2030	-211.4166	-214.6674	3.250748	0.01856414
2040	-212.2797	-215.3272	3.047577	0.01436931
2050	-211.4035	-214.6242	3.220663	0.01749642
2060	-211.7949	-215.074	3.279027	0.02060905
2070	-212.026	-215.1129	3.086982	0.01488712
2080	-211.4628	-214.6599	3.197064	0.01686936
2090	-212.3779	-215.6576	3.279741	0.02223081
2100	-211.5633	-214.7347	3.171363	0.01630048
2110	-212.145	-215.4264	3.281376	0.02165528
2120	-212.1172	-215.3987	3.281442	0.02158168
2130	-211.3984	-214.6227	3.224321	0.01760622
2140	-212.1349	-215.2047	3.069749	0.0146525
2150	-211.4138	-214.6288	3.215049	0.01733538
2160	-211.5651	-214.8352	3.270139	0.01965625
2170	-211.5756	-214.8464	3.270825	0.01970975
2180	-211.3921	-214.6265	3.234332	0.01793011
2190	-213.0221	-216.291	3.268892	0.02357184
2200	-211.8748	-214.9867	3.111968	0.01525393
2210	-211.5178	-214.6999	3.182118	0.01652713
2220	-211.8823	-215.1627	3.280412	0.02089947
2230	-211.448	-214.6498	3.201754	0.01698449
2240	-211.4006	-214.6232	3.222648	0.01755548
2250	-211.4012	-214.6459	3.244685	0.01831119
2260	-213.2243	-216.4886	3.264313	0.02394348
2270	-211.4024	-214.6477	3.245317	0.01833639
2280	-212.9042	-215.8618	2.957527	0.01338374
2290	-212.6554	-215.9314	3.275938	0.02284409
2300	-211.4086	-214.6567	3.248037	0.0184478
2310	-211.441	-214.6975	3.256507	0.01883248
2320	-212.5137	-215.5267	3.012982	0.01396296
2330	-211.4094	-214.6577	3.248325	0.01845986
2340	-211.4435	-214.7005	3.256973	0.01885569
2350	-211.5471	-214.8159	3.26886	0.01956107
2360	-211.3971	-214.6225	3.225441	0.0176407
2370	-211.3937	-214.6324	3.238681	0.01808356
2380	-212.4978	-215.7761	3.2783	0.02250392
2390	-212.2582	-215.3091	3.050814	0.01440945
2400	-211.4478	-214.7055	3.257734	0.01889412
2410	-211.3921	-214.6265	3.234335	0.01793023
2420	-211.9893	-215.2706	3.281281	0.02122512
2430	-213.5083	-216.7655	3.257257	0.02443808
2440	-211.5417	-214.8101	3.268449	0.01953161
2450	-211.5612	-214.733	3.17185	0.01631044
2460	-211.4173	-214.6683	3.250947	0.01857289
2470	-212.7563	-216.0305	3.274192	0.02305237
2480	-211.485	-214.6757	3.190679	0.01671887
2490	-211.7278	-214.8659	3.138061	0.01567804
2500	-211.7009	-214.9775	3.276584	0.02026184
2510	-212.2421	-215.2954	3.053266	0.01444012
2520	-211.4607	-214.6584	3.197717	0.01688515
2530	-212.2245	-215.5056	3.28102	0.02185964
2540	-211.4399	-214.6444	3.204515	0.0170542
2550	-211.594	-214.8659	3.271929	0.01979992
2560	-212.1479	-215.2156	3.06773	0.01462587
2570	-212.5659	-215.8433	3.277338	0.02265335
2580	-213.5143	-216.3885	2.874154	0.01263761
2590	-211.4971	-214.7614	3.26439	0.01926452
2600	-211.3965	-214.6381	3.241618	0.0181924
2610	-211.4051	-214.6517	3.246606	0.01838852
2620	-211.6352	-214.9092	3.274035	0.01998907
2630	-211.8176	-214.9394	3.121861	0.01540924
2640	-212.593	-215.5945	3.001534	0.01383674
2650	-211.5342	-214.802	3.267851	0.0194896
2660	-212.3816	-215.4139	3.032352	0.01418556
2670	-213.7618	-217.0123	3.250467	0.02485716
2680	-211.5376	-214.7149	3.177316	0.0164241
