Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate
0	0	2.951889	0	2.951889	0.01332919
1	1	3.275425	0	3.275425	0.02290738
2	0	3.063468	0	3.063468	0.03164981
3	1	2.426739	0	2.426739	0.04628767
4	0	3.1108	0	3.1108	0.01523623
5	1	2.904096	0	2.904096	0.01289124
6	0	1.95337	0	1.95337	0.05593603
7	1	3.120314	0	3.120314	0.02997458
8	0	3.243194	0	3.243194	0.01825316
9	1	2.310217	0	2.310217	0.04869389
10	0	3.223649	0	3.223649	0.02622256
11	1	3.205637	0	3.205637	0.02699433
12	0	3.245612	0	3.245612	0.02513276
13	1	2.597392	0	2.597392	0.04268901
14	0	3.276098	0	3.276098	0.02282272
15	1	3.030739	0	3.030739	0.0325517
16	0	3.199574	0	3.199574	0.01693078
17	1	3.270877	0	3.270877	0.01971464
18	0	3.194424	0	3.194424	0.0168066
19	1	3.252571	0	3.252571	0.02473169
20	0	2.955123	0	2.955123	0.03451612
21	1	0.2799569	0	0.2799569	0.09056518
22	0	2.918007	0	2.918007	0.01301422
23	1	2.565871	0	2.565871	0.04336242
24	0	2.751415	0	2.751415	0.01172897
25	1	3.193662	0	3.193662	0.01678862
26	0	2.161326	0	2.161326	0.05173159
27	1	2.91988	0	2.91988	0.01303104
28	0	2.361162	0	2.361162	0.04764573
29	1	2.840901	0	2.840901	0.01237246
30	0	3.042444	0	3.042444	0.03223344
31	1	1.521675	0	1.521675	0.06464235
32	0	2.897747	0	2.897747	0.03592578
33	1	3.188579	0	3.188579	0.01667112
34	0	3.111032	0	3.111032	0.03025976
35	1	2.90994	0	2.90994	0.03563091
36	0	2.39527	0	2.39527	0.04694074
37	1	1.629879	0	1.629879	0.06245541
38	0	3.280137	0	3.280137	0.02213608
39	1	3.187898	0	3.187898	0.02768741
40	0	3.03313	0	3.03313	0.01419496
41	1	3.2737	0	3.2737	0.01995812
42	0	3.091101	0	3.091101	0.01494552
43	1	3.27685	0	3.27685	0.02029537
44	0	1.606743	0	1.606743	0.06292254
45	1	0.5776076	0	0.5776076	0.08417066
46	0	1.663084	0	1.663084	0.06178538
47	1	3.281128	0	3.281128	0.02180733
48	0	2.91258	0	2.91258	0.03556674
49	1	2.811302	0	2.811302	0.03795788
50	0	2.250278	0	2.250278	0.04992078
51	1	2.454877	0	2.454877	0.04570137
52	0	2.004514	0	2.004514	0.05490445
53	1	3.279517	0	3.279517	0.02070013
54	0	1.46882	0	1.46882	0.007017674
55	1	2.068692	0	2.068692	0.05360812
56	0	3.246516	0	3.246516	0.01838532
57	1	3.273775	0	3.273775	0.02309791
58	0	0.2595976	0	0.2595976	0.09100756
59	1	3.239031	0	3.239031	0.02548272
60	0	1.674058	0	1.674058	0.06156402
61	1	2.239518	0	2.239518	0.05014038
62	0	3.280533	0	3.280533	0.02202792
63	1	3.280417	0	3.280417	0.02206144
64	0	3.281343	0	3.281343	0.02167703
65	1	3.061192	0	3.061192	0.03171378
66	0	3.202281	0	3.202281	0.02712982
67	1	3.187647	0	3.187647	0.02769683
68	0	2.051929	0	2.051929	0.05394696
69	1	3.044085	0	3.044085	0.01432663
70	0	3.115503	0	3.115503	0.01530895
71	1	2.684942	0	2.684942	0.04079137
72	0	2.936906	0	2.936906	0.03497005
73	1	3.255351	0	3.255351	0.02456004
74	0	-0.03486481	0	-0.03486481	0.09748178
75	1	3.280921	0	3.280921	0.02189698
76	0	2.700469	0	2.700469	0.04044993
77	1	0.4761066	0	0.4761066	0.08633621
78	0	3.040685	0	3.040685	0.03228155
79	1	1.952666	0	1.952666	0.008242191
80	0	2.776171	0	2.776171	0.03875943
81	1	3.197746	0	3.197746	0.02730949
82	0	1.715621	0	1.715621	0.06072601
83	1	2.18066	0	2.18066	0.05133885
84	0	2.897465	0	2.897465	0.03593258
85	1	3.161933	0	3.161933	0.0286192
86	0	0.841735	0	0.841735	0.07860333
87	1	2.854529	0	2.854529	0.03695352
88	0	2.751502	0	2.751502	0.01172955
89	1	3.161779	0	3.161779	0.01611041
90	0	3.278729	0	3.278729	0.02056039
91	1	3.145957	0	3.145957	0.02915623
92	0	2.171495	0	2.171495	0.05152508
93	1	2.892531	0	2.892531	0.03605122
94	0	3.166073	0	3.166073	0.02847598
95	1	2.122458	0	2.122458	0.008780525
96	0	2.776255	0	2.776255	0.01189839
97	1	1.293563	0	1.293563	0.06927731
98	0	3.261662	0	3.261662	0.0191049
99	1	1.063886	0	1.063886	0.07398999
100	0	3.254705	0	3.254705	0.01874558
101	1	2.825752	0	2.825752	0.03762449
102	0	0.1768951	0	0.1768951	0.09281145
103	1	3.231594	0	3.231594	0.02585205
104	0	2.743212	0	2.743212	0.0395011
105	1	2.709057	0	2.709057	0.04026037
106	0	2.644493	0	2.644493	0.04167353
107	1	2.999002	0	2.999002	0.03339384
108	0	3.108654	0	3.108654	0.0152035
109	1	2.496653	0	2.496653	0.0448263
110	0	1.919543	0	1.919543	0.008145005
111	1	3.153966	0	3.153966	0.02888999
112	0	3.162541	0	3.162541	0.02859827
113	1	-0.02991459	0	-0.02991459	0.09737174
114	0	3.084059	0	3.084059	0.03106123
115	1	3.279437	0	3.279437	0.02068479
116	0	3.086658	0	3.086658	0.0309856
117	1	3.121289	0	3.121289	0.02994432
118	0	3.049376	0	3.049376	0.01439177
119	1	2.43536	0	2.43536	0.04610829
120	0	3.20115	0	3.20115	0.027175
121	1	2.744165	0	2.744165	0.03947979
122	0	2.256988	0	2.256988	0.009263115
123	1	3.10257	0	3.10257	0.03051533
124	0	2.243197	0	2.243197	0.05006532
125	1	2.744404	0	2.744404	0.01168231
126	0	3.017568	0	3.017568	0.03290469
127	1	3.27543	0	3.27543	0.02013171
128	0	3.086221	0	3.086221	0.03099834
129	1	2.580245	0	2.580245	0.04305591
130	0	2.735348	0	2.735348	0.03967671
131	1	3.250043	0	3.250043	0.02488173
132	0	3.144411	0	3.144411	0.02920701
133	1	1.818713	0	1.818713	0.05864898
134	0	3.254402	0	3.254402	0.01873116
135	1	3.272294	0	3.272294	0.01983176
136	0	2.69177	0	2.69177	0.04064142
137	1	3.102189	0	3.102189	0.03052675
138	0	2.729681	0	2.729681	0.01158588
139	1	0.1367295	0	0.1367295	0.09369154
140	0	1.325263	0	1.325263	0.06863078
141	1	3.254662	0	3.254662	0.0246033
142	0	-0.7251359	0	-0.7251359	0.113258
143	1	2.879005	0	2.879005	0.01267785
144	0	2.896365	0	2.896365	0.01282438
145	1	3.266432	0	3.266432	0.02377745
146	0	0.9960037	0	0.9960037	0.0753935
147	1	3.280247	0	3.280247	0.02085926
148	0	1.676202	0	1.676202	0.06152077
149	1	3.270731	0	3.270731	0.02340508
150	0	2.174866	0	2.174866	0.05145659
151	1	3.227655	0	3.227655	0.02603851
152	0	2.971585	0	2.971585	0.01352347
153	1	1.309601	0	1.309601	0.06895011
154	0	3.260492	0	3.260492	0.02422019
155	1	3.134792	0	3.134792	0.01562247
156	0	3.269586	0	3.269586	0.01961513
157	1	-1.816158	0	-1.816158	0.140113
158	0	3.080944	0	3.080944	0.03115145
159	1	2.809415	0	2.809415	0.01213519
160	0	2.63777	0	2.63777	0.04181922
161	1	2.691286	0	2.691286	0.04065206
162	0	1.459329	0	1.459329	0.06590544
163	1	1.275892	0	1.275892	0.06963808
164	0	1.519847	0	1.519847	0.06467936
165	1	2.894504	0	2.894504	0.03600382
166	0	2.456276	0	2.456276	0.04567216
167	1	2.400077	0	2.400077	0.009845028
168	0	2.681108	0	2.681108	0.04087542
169	1	2.937956	0	2.937956	0.03494406
170	0	1.2212	0	1.2212	0.07075652
171	1	3.213432	0	3.213432	0.01729087
172	0	2.672456	0	2.672456	0.04106476
173	1	2.825902	0	2.825902	0.03762102
174	0	2.835015	0	2.835015	0.03740958
175	1	2.975313	0	2.975313	0.03400517
176	0	3.014715	0	3.014715	0.01398258
177	1	3.145421	0	3.145421	0.02917387
178	0	3.105975	0	3.105975	0.030413
179	1	3.242232	0	3.242232	0.01821615
180	0	2.63039	0	2.63039	0.04197884
181	1	2.567336	0	2.567336	0.04333122
182	0	3.253036	0	3.253036	0.01866748
183	1	3.263785	0	3.263785	0.02398284
184	0	3.202674	0	3.202674	0.02711406
185	1	3.208186	0	3.208186	0.01714968
186	0	3.222286	0	3.222286	0.01754498
187	1	2.659212	0	2.659212	0.04135367
188	0	2.798751	0	2.798751	0.03824563
189	1	2.699965	0	2.699965	0.04046104
190	0	3.053725	0	3.053725	0.03192229
191	1	3.216726	0	3.216726	0.02652905
192	0	2.649933	0	2.649933	0.04155547
193	1	2.978011	0	2.978011	0.03393619
194	0	3.09793	0	3.09793	0.03065382
195	1	1.403276	0	1.403276	0.06704325
196	0	3.065369	0	3.065369	0.03159622
197	1	1.961983	0	1.961983	0.05576237
198	0	3.245646	0	3.245646	0.01835003
199	1	2.198621	0	2.198621	0.05097362
200	0	3.18323	0	3.18323	0.0278613
201	1	2.341179	0	2.341179	0.04805751
202	0	2.988549	0	2.988549	0.03366527
203	1	2.230547	0	2.230547	0.05032335
204	0	2.635991	0	2.635991	0.04185772
205	1	1.923943	0	1.923943	0.05652915
206	0	3.187524	0	3.187524	0.01664721
207	1	2.949525	0	2.949525	0.03465628
208	0	3.155384	0	3.155384	0.02884224
209	1	3.279784	0	3.279784	0.0222198
210	0	3.279818	0	3.279818	0.0207614
211	1	3.013877	0	3.013877	0.03300269
212	0	0.4246494	0	0.4246494	0.08743991
213	1	-0.2404409	0	-0.2404409	0.1020894
214	0	3.269989	0	3.269989	0.02347364
215	1	2.53283	0	2.53283	0.04406358
216	0	3.25679	0	3.25679	0.02446811
217	1	2.629368	0	2.629368	0.04200092
218	0	3.097763	0	3.097763	0.01504144
219	1	2.846437	0	2.846437	0.03714319
220	0	2.813014	0	2.813014	0.03791849
221	1	3.159072	0	3.159072	0.01605842
222	0	3.157721	0	3.157721	0.02876313
223	1	3.246773	0	3.246773	0.01839581
224	0	3.14068	0	3.14068	0.01572359
225	1	3.276415	0	3.276415	0.02024276
226	0	3.27807	0	3.27807	0.02254032
227	1	1.862115	0	1.862115	0.007981899
228	0	1.735074	0	1.735074	0.06033394
229	1	2.375367	0	2.375367	0.04735246
230	0	3.239551	0	3.239551	0.0254559
231	1	2.548305	0	2.548305	0.04373575
232	0	2.864563	0	2.864563	0.01255958
233	1	3.106506	0	3.106506	0.015171
234	0	-1.116376	0	-1.116376	0.1226044
235	1	1.642115	0	1.642115	0.06220846
236	0	3.09051	0	3.09051	0.01493711
237	1	2.954545	0	2.954545	0.03453063
238	0	3.134964	0	3.134964	0.0156254
239	1	3.280118	0	3.280118	0.02082814
240	0	2.99137	0	2.99137	0.03359229
241	1	2.735041	0	2.735041	0.03968357
242	0	1.844884	0	1.844884	0.05812184
243	1	2.802198	0	2.802198	0.03816677
244	0	3.155848	0	3.155848	0.02882656
245	1	2.897887	0	2.897887	0.03592241
246	0	3.277486	0	3.277486	0.02263069
247	1	3.085603	0	3.085603	0.03101633
248	0	3.143949	0	3.143949	0.02922213
249	1	2.99037	0	2.99037	0.01371735
250	0	3.278907	0	3.278907	0.02239708
251	1	3.147499	0	3.147499	0.02910542
