Iteration	Posterior	Likelihood	Prior	birth_rate
0	2.951889	0	2.951889	0.01332919
10	3.063468	0	3.063468	0.03164981
20	3.1108	0	3.1108	0.01523623
30	1.95337	0	1.95337	0.05593603
40	3.243194	0	3.243194	0.01825316
50	3.223649	0	3.223649	0.02622256
60	3.245612	0	3.245612	0.02513276
70	3.276098	0	3.276098	0.02282272
80	3.199574	0	3.199574	0.01693078
90	3.194424	0	3.194424	0.0168066
100	2.955123	0	2.955123	0.03451612
110	2.918007	0	2.918007	0.01301422
120	2.751415	0	2.751415	0.01172897
130	2.161326	0	2.161326	0.05173159
140	2.361162	0	2.361162	0.04764573
150	3.042444	0	3.042444	0.03223344
160	2.897747	0	2.897747	0.03592578
170	3.111032	0	3.111032	0.03025976
180	2.39527	0	2.39527	0.04694074
190	3.280137	0	3.280137	0.02213608
200	3.03313	0	3.03313	0.01419496
210	3.091101	0	3.091101	0.01494552
220	1.606743	0	1.606743	0.06292254
230	1.663084	0	1.663084	0.06178538
240	2.91258	0	2.91258	0.03556674
250	2.250278	0	2.250278	0.04992078
260	2.004514	0	2.004514	0.05490445
270	1.46882	0	1.46882	0.007017674
280	3.246516	0	3.246516	0.01838532
290	0.2595976	0	0.2595976	0.09100756
300	1.674058	0	1.674058	0.06156402
310	3.280533	0	3.280533	0.02202792
320	3.281343	0	3.281343	0.02167703
330	3.202281	0	3.202281	0.02712982
340	2.051929	0	2.051929	0.05394696
350	3.115503	0	3.115503	0.01530895
360	2.936906	0	2.936906	0.03497005
370	-0.03486481	0	-0.03486481	0.09748178
380	2.700469	0	2.700469	0.04044993
390	3.040685	0	3.040685	0.03228155
400	2.776171	0	2.776171	0.03875943
410	1.715621	0	1.715621	0.06072601
420	2.897465	0	2.897465	0.03593258
430	0.841735	0	0.841735	0.07860333
440	2.751502	0	2.751502	0.01172955
450	3.278729	0	3.278729	0.02056039
460	2.171495	0	2.171495	0.05152508
470	3.166073	0	3.166073	0.02847598
480	2.776255	0	2.776255	0.01189839
490	3.261662	0	3.261662	0.0191049
500	3.254705	0	3.254705	0.01874558
510	0.1768951	0	0.1768951	0.09281145
520	2.743212	0	2.743212	0.0395011
530	2.644493	0	2.644493	0.04167353
540	3.108654	0	3.108654	0.0152035
550	1.919543	0	1.919543	0.008145005
560	3.162541	0	3.162541	0.02859827
570	3.084059	0	3.084059	0.03106123
580	3.086658	0	3.086658	0.0309856
590	3.049376	0	3.049376	0.01439177
600	3.20115	0	3.20115	0.027175
610	2.256988	0	2.256988	0.009263115
620	2.243197	0	2.243197	0.05006532
630	3.017568	0	3.017568	0.03290469
640	3.086221	0	3.086221	0.03099834
650	2.735348	0	2.735348	0.03967671
660	3.144411	0	3.144411	0.02920701
670	3.254402	0	3.254402	0.01873116
680	2.69177	0	2.69177	0.04064142
690	2.729681	0	2.729681	0.01158588
700	1.325263	0	1.325263	0.06863078
710	-0.7251359	0	-0.7251359	0.113258
720	2.896365	0	2.896365	0.01282438
730	0.9960037	0	0.9960037	0.0753935
740	1.676202	0	1.676202	0.06152077
750	2.174866	0	2.174866	0.05145659
760	2.971585	0	2.971585	0.01352347
770	3.260492	0	3.260492	0.02422019
780	3.269586	0	3.269586	0.01961513
790	3.080944	0	3.080944	0.03115145
800	2.63777	0	2.63777	0.04181922
810	1.459329	0	1.459329	0.06590544
820	1.519847	0	1.519847	0.06467936
830	2.456276	0	2.456276	0.04567216
840	2.681108	0	2.681108	0.04087542
850	1.2212	0	1.2212	0.07075652
860	2.672456	0	2.672456	0.04106476
870	2.835015	0	2.835015	0.03740958
880	3.014715	0	3.014715	0.01398258
890	3.105975	0	3.105975	0.030413
900	2.63039	0	2.63039	0.04197884
910	3.253036	0	3.253036	0.01866748
920	3.202674	0	3.202674	0.02711406
930	3.222286	0	3.222286	0.01754498
940	2.798751	0	2.798751	0.03824563
950	3.053725	0	3.053725	0.03192229
960	2.649933	0	2.649933	0.04155547
970	3.09793	0	3.09793	0.03065382
980	3.065369	0	3.065369	0.03159622
990	3.245646	0	3.245646	0.01835003
1000	3.18323	0	3.18323	0.0278613
1010	2.988549	0	2.988549	0.03366527
1020	2.635991	0	2.635991	0.04185772
1030	3.187524	0	3.187524	0.01664721
1040	3.155384	0	3.155384	0.02884224
1050	3.279818	0	3.279818	0.0207614
1060	0.4246494	0	0.4246494	0.08743991
1070	3.269989	0	3.269989	0.02347364
1080	3.25679	0	3.25679	0.02446811
1090	3.097763	0	3.097763	0.01504144
1100	2.813014	0	2.813014	0.03791849
1110	3.157721	0	3.157721	0.02876313
1120	3.14068	0	3.14068	0.01572359
1130	3.27807	0	3.27807	0.02254032
1140	1.735074	0	1.735074	0.06033394
1150	3.239551	0	3.239551	0.0254559
1160	2.864563	0	2.864563	0.01255958
1170	-1.116376	0	-1.116376	0.1226044
1180	3.09051	0	3.09051	0.01493711
1190	3.134964	0	3.134964	0.0156254
1200	2.99137	0	2.99137	0.03359229
1210	1.844884	0	1.844884	0.05812184
1220	3.155848	0	3.155848	0.02882656
1230	3.277486	0	3.277486	0.02263069
1240	3.143949	0	3.143949	0.02922213
