Iteration	Posterior	Likelihood	Prior	birth_rate
0	-214.4038	-217.6225	3.218699	0.02644308
10	-212.6656	-215.6305	2.964926	0.01345679
20	-212.0569	-215.1076	3.050779	0.01440922
30	-212.4845	-215.757	3.272568	0.0232254
40	-211.207	-214.4074	3.200362	0.0169502
50	-211.6126	-214.8935	3.280898	0.02105156
60	-211.2267	-214.4929	3.266161	0.01937678
70	-211.2073	-214.4713	3.263944	0.01923795
80	-211.4659	-214.6108	3.144993	0.01579943
90	-213.6201	-216.8634	3.243284	0.02525938
100	-211.2787	-214.5493	3.270625	0.01969471
110	-211.3161	-214.4903	3.174154	0.01635817
120	-211.2183	-214.4836	3.265253	0.0193187
130	-212.4168	-215.6906	3.273894	0.02308481
140	-212.1833	-215.4611	3.277858	0.02257389
150	-211.326	-214.4981	3.17206	0.01631501
160	-211.2546	-214.5234	3.268774	0.01955556
170	-216.0581	-219.2197	3.161659	0.02862862
180	-211.1449	-214.3964	3.251489	0.01859745
190	-211.2932	-214.4724	3.179125	0.01646283
200	-211.1682	-214.4259	3.257725	0.01889419
210	-212.1052	-215.1489	3.043711	0.01432207
220	-212.1762	-215.4541	3.277962	0.02255757
230	-211.1333	-214.3634	3.230131	0.01779001
240	-211.1959	-214.4583	3.262423	0.01914829
250	-211.5704	-214.8509	3.280452	0.02091243
260	-211.1294	-214.3642	3.234788	0.0179462
270	-211.235	-214.4279	3.192867	0.01676998
280	-211.1537	-214.4079	3.254255	0.01872425
290	-211.2302	-214.4968	3.266524	0.0194006
300	-211.6315	-214.9126	3.281051	0.02111204
310	-213.7303	-216.5535	2.82316	0.0122372
320	-211.1332	-214.3634	3.230182	0.0177917
330	-211.3327	-214.6066	3.27386	0.01997323
340	-211.376	-214.6518	3.275799	0.02017217
350	-211.7486	-214.8461	3.097565	0.01503857
360	-211.5421	-214.8221	3.280064	0.02081554
370	-211.2448	-214.4352	3.190409	0.01671295
380	-211.3275	-214.4992	3.171756	0.01630878
390	-211.2677	-214.5376	3.269821	0.01963276
400	-211.8223	-214.9083	3.086048	0.01487427
410	-211.2601	-214.5293	3.269224	0.01958831
420	-213.0286	-216.2885	3.259868	0.02426323
430	-211.6357	-214.7514	3.115761	0.01531298
440	-211.1298	-214.364	3.234153	0.01792436
450	-211.6875	-214.7948	3.107304	0.01518303
460	-211.2347	-214.4276	3.19296	0.01677216
470	-212.3239	-215.5995	3.275591	0.0228869
480	-211.235	-214.4279	3.192874	0.01677013
490	-211.2774	-214.4601	3.182677	0.01653961
500	-211.2748	-214.5451	3.270344	0.01967283
510	-211.1312	-214.3634	3.232272	0.01786073
520	-211.6608	-214.942	3.281238	0.02120376
530	-211.3679	-214.5314	3.163531	0.01614445
540	-212.0434	-215.0962	3.052755	0.01443392
550	-211.6312	-214.7477	3.116493	0.01532444
560	-211.9093	-215.1902	3.280896	0.02190665
570	-211.2766	-214.4595	3.182856	0.01654352
580	-211.5819	-214.8625	3.280588	0.02095081
590	-212.7445	-216.0114	3.266898	0.02373967
600	-211.332	-214.6058	3.273824	0.01996975
610	-211.4312	-214.5825	3.15137	0.01591448
620	-211.8491	-215.1303	3.281241	0.02174669
630	-211.1302	-214.3637	3.233467	0.017901
640	-211.4171	-214.5711	3.154012	0.01596322
650	-215.5693	-218.1547	2.585414	0.01073809
660	-212.4309	-215.4282	2.997356	0.01379177
670	-211.137	-214.3851	3.248044	0.01844851
680	-211.3141	-214.4887	3.174596	0.01636735
690	-211.2167	-214.4818	3.265072	0.01930734
700	-211.2392	-214.431	3.191804	0.01674518
710	-211.167	-214.3801	3.21308	0.01728117
720	-211.2642	-214.4499	3.185746	0.01660735
730	-211.5195	-214.7992	3.279697	0.02073615
740	-212.4612	-215.4543	2.993128	0.01374658
750	-211.4441	-214.5931	3.148963	0.01587063
760	-211.3499	-214.6245	3.274686	0.02005422
770	-211.1508	-214.4042	3.253408	0.01868468
780	-211.6593	-214.7712	3.111883	0.01525285
790	-211.1292	-214.3704	3.241162	0.01817563
800	-211.1479	-214.4004	3.252505	0.01864319
810	-211.1291	-214.3647	3.235649	0.01797607
820	-211.1564	-214.4114	3.254991	0.01875921
830	-211.1301	-214.3727	3.242626	0.01823124
840	-212.313	-215.5888	3.275782	0.02286307
850	-214.5643	-217.2792	2.714912	0.01149122
860	-211.2813	-214.4631	3.181797	0.01652042
870	-211.2325	-214.426	3.193525	0.01678541
880	-211.1732	-214.3841	3.210867	0.01722103
890	-211.1923	-214.397	3.204665	0.01705837
