state	power	likelihood
2510	1	-220.22
2520	1	-216.059
2530	1	-216.668
2540	1	-218.358
2550	1	-216.63
2560	1	-216.082
2570	1	-216.998
2580	1	-216.299
2590	1	-216.169
2600	1	-218.886
2610	1	-217.131
2620	1	-215.329
2630	1	-215.578
2640	1	-217.518
2650	1	-215.755
2660	1	-216.708
2670	1	-216.066
2680	1	-218.713
2690	1	-217.31
2700	1	-216.007
2710	1	-216.034
2720	1	-217.23
2730	1	-217.253
2740	1	-215.164
2750	1	-218.606
2760	1	-217.32
2770	1	-215.255
2780	1	-216.199
2790	1	-217.042
2800	1	-215.853
2810	1	-218.993
2820	1	-216.718
2830	1	-218.028
2840	1	-216.811
2850	1	-217.021
2860	1	-216.328
2870	1	-217.196
2880	1	-215.602
2890	1	-218.797
2900	1	-217.326
2910	1	-218.254
2920	1	-216.982
2930	1	-216.461
2940	1	-216.857
2950	1	-215.951
2960	1	-216.556
2970	1	-215.396
2980	1	-215.577
2990	1	-218.667
3000	1	-217.155
3010	1	-215.867
3020	1	-217.093
3030	1	-216.75
3040	1	-217.272
3050	1	-215.208
3060	1	-216.595
3070	1	-216.805
3080	1	-218.161
3090	1	-216.951
3100	1	-219.431
3110	1	-216.578
3120	1	-215.509
3130	1	-215.363
3140	1	-216.106
3150	1	-215.966
3160	1	-218.303
3170	1	-219.199
3180	1	-217.869
3190	1	-216.704
3200	1	-215.398
3210	1	-216.739
3220	1	-217.104
3230	1	-219.32
3240	1	-215.52
3250	1	-216.153
3260	1	-216.043
3270	1	-216.49
3280	1	-217.598
3290	1	-216.046
3300	1	-216.064
3310	1	-217.317
3320	1	-217.233
3330	1	-215.442
3340	1	-216.886
3350	1	-216.961
3360	1	-215.158
3370	1	-217.697
3380	1	-217.896
3390	1	-217.435
3400	1	-217.013
3410	1	-217.632
3420	1	-216.045
3430	1	-218.699
3440	1	-217.385
3450	1	-216.854
3460	1	-216.668
3470	1	-216.413
3480	1	-218.024
3490	1	-215.239
3500	1	-216.476
3510	1	-216.51
3520	1	-215.729
3530	1	-216.399
3540	1	-216.413
3550	1	-216.378
3560	1	-216.7
3570	1	-217.895
3580	1	-216.139
3590	1	-215.313
3600	1	-215.698
3610	1	-217.308
3620	1	-217.07
3630	1	-215.989
3640	1	-215.781
3650	1	-216.567
3660	1	-220.019
3670	1	-216.958
3680	1	-217.564
3690	1	-216.796
3700	1	-215.072
3710	1	-217.193
3720	1	-215.553
3730	1	-216.217
3740	1	-217.486
3750	1	-218.676
3760	1	-216.168
3770	1	-215.923
3780	1	-215.966
3790	1	-216.684
3800	1	-215.474
3810	1	-217.722
3820	1	-219.656
3830	1	-217.781
3840	1	-216.557
3850	1	-215.486
3860	1	-216.289
3870	1	-216.229
3880	1	-217.104
3890	1	-215.224
3900	1	-215.698
3910	1	-220.039
3920	1	-216.818
3930	1	-220.557
3940	1	-216.565
3950	1	-218.613
3960	1	-216.306
3970	1	-216.445
3980	1	-215.56
3990	1	-215.666
4000	1	-216.386
4010	1	-215.716
4020	1	-217.687
4030	1	-216.068
4040	1	-217.036
4050	1	-216.501
4060	1	-216.086
4070	1	-216.027
4080	1	-216.178
4090	1	-216.105
4100	1	-220.287
4110	1	-216.621
4120	1	-216.935
4130	1	-216.924
4140	1	-215.702
4150	1	-216.161
4160	1	-216.587
4170	1	-216.935
4180	1	-218.423
4190	1	-217.616
4200	1	-216.033
4210	1	-217.783
4220	1	-215.56
4230	1	-216.816
4240	1	-216.471
4250	1	-217.66
4260	1	-217.724
4270	1	-216.258
4280	1	-216.42
4290	1	-217.308
4300	1	-215.746
4310	1	-216.61
4320	1	-217.976
4330	1	-215.81
4340	1	-216.073
4350	1	-216.867
4360	1	-217.954
4370	1	-217.644
4380	1	-217.821
4390	1	-215.706
4400	1	-215.973
4410	1	-221.355
4420	1	-217.62
4430	1	-217.059
4440	1	-216.683
4450	1	-216.926
4460	1	-216.706
4470	1	-215.479
4480	1	-215.241
4490	1	-217.098
4500	1	-218.04
4510	1	-216.156
4520	1	-216.266
4530	1	-215.084
4540	1	-217.041
4550	1	-216.096
4560	1	-215.927
4570	1	-217.797
4580	1	-217.259
4590	1	-216.495
4600	1	-215.766
4610	1	-217.731
4620	1	-216.319
4630	1	-216.935
4640	1	-217.359
4650	1	-217.473
4660	1	-215.156
4670	1	-216.945
4680	1	-216.544
4690	1	-216.616
4700	1	-215.878
4710	1	-217.478
4720	1	-215.35
4730	1	-216.439
4740	1	-215.471
4750	1	-219.982
4760	1	-216.721
4770	1	-215.487
