state	power	likelihood
2510	5.9049e-06	-220.656
2520	5.9049e-06	-244.02
2530	5.9049e-06	-227.354
2540	5.9049e-06	-227.921
2550	5.9049e-06	-245.016
2560	5.9049e-06	-216.893
2570	5.9049e-06	-245.719
2580	5.9049e-06	-227.955
2590	5.9049e-06	-287.023
2600	5.9049e-06	-220.772
2610	5.9049e-06	-221.115
2620	5.9049e-06	-259.019
2630	5.9049e-06	-252.925
2640	5.9049e-06	-272.312
2650	5.9049e-06	-243.973
2660	5.9049e-06	-265.553
2670	5.9049e-06	-226.73
2680	5.9049e-06	-325.07
2690	5.9049e-06	-250.676
2700	5.9049e-06	-241.472
2710	5.9049e-06	-219.252
2720	5.9049e-06	-237.396
2730	5.9049e-06	-236.073
2740	5.9049e-06	-263.279
2750	5.9049e-06	-247.68
2760	5.9049e-06	-293.609
2770	5.9049e-06	-264.087
2780	5.9049e-06	-226.824
2790	5.9049e-06	-302.341
2800	5.9049e-06	-254.889
2810	5.9049e-06	-240.862
2820	5.9049e-06	-232.568
2830	5.9049e-06	-246.742
2840	5.9049e-06	-222.281
2850	5.9049e-06	-237.577
2860	5.9049e-06	-256.214
2870	5.9049e-06	-223.607
2880	5.9049e-06	-220.493
2890	5.9049e-06	-222.121
2900	5.9049e-06	-220.286
2910	5.9049e-06	-280.288
2920	5.9049e-06	-247.702
2930	5.9049e-06	-259.297
2940	5.9049e-06	-227.463
2950	5.9049e-06	-227.598
2960	5.9049e-06	-248.235
2970	5.9049e-06	-218.467
2980	5.9049e-06	-232.845
2990	5.9049e-06	-223.685
3000	5.9049e-06	-267.416
3010	5.9049e-06	-239.755
3020	5.9049e-06	-247.148
3030	5.9049e-06	-243.211
3040	5.9049e-06	-305.6
3050	5.9049e-06	-281.099
3060	5.9049e-06	-217.573
3070	5.9049e-06	-220.511
3080	5.9049e-06	-231.246
3090	5.9049e-06	-222.888
3100	5.9049e-06	-265.588
3110	5.9049e-06	-240.102
3120	5.9049e-06	-228.374
3130	5.9049e-06	-230.74
3140	5.9049e-06	-314.527
3150	5.9049e-06	-236.69
3160	5.9049e-06	-232.207
3170	5.9049e-06	-219.135
3180	5.9049e-06	-233.002
3190	5.9049e-06	-238.337
3200	5.9049e-06	-258.786
3210	5.9049e-06	-261.306
3220	5.9049e-06	-221.761
3230	5.9049e-06	-231.182
3240	5.9049e-06	-227.632
3250	5.9049e-06	-227.61
3260	5.9049e-06	-239.431
3270	5.9049e-06	-225.619
3280	5.9049e-06	-368.536
3290	5.9049e-06	-256.552
3300	5.9049e-06	-240
3310	5.9049e-06	-266.894
3320	5.9049e-06	-244.169
3330	5.9049e-06	-260.814
3340	5.9049e-06	-303.137
3350	5.9049e-06	-230.984
3360	5.9049e-06	-244.768
3370	5.9049e-06	-252.779
3380	5.9049e-06	-254.129
3390	5.9049e-06	-225.879
