Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate
0	0	3.015906	0	3.015906	0.03294936
1	1	2.634044	0	2.634044	0.04190134
2	0	2.623071	0	2.623071	0.04213838
3	1	3.262223	0	3.262223	0.01914249
4	0	2.775911	0	2.775911	0.03876652
5	1	1.432895	0	1.432895	0.06644517
6	0	3.202577	0	3.202577	0.01700856
7	1	3.265573	0	3.265573	0.01934515
8	0	3.109569	0	3.109569	0.03030425
9	1	3.280952	0	3.280952	0.02110297
10	0	3.067146	0	3.067146	0.03154622
11	1	3.012398	0	3.012398	0.03304234
12	0	2.355552	0	2.355552	0.04776343
13	1	3.27191	0	3.27191	0.01980685
14	0	2.104655	0	2.104655	0.05288293
15	1	1.364982	0	1.364982	0.006800116
16	0	3.217372	0	3.217372	0.02649974
17	1	1.625175	0	1.625175	0.06255353
18	0	2.706833	0	2.706833	0.04031087
19	1	3.250238	0	3.250238	0.02486781
20	0	3.132766	0	3.132766	0.02958304
21	1	3.230842	0	3.230842	0.02588646
22	0	1.510024	0	1.510024	0.06488152
23	1	0.8657611	0	0.8657611	0.07810575
24	0	2.25938	0	2.25938	0.04973703
25	1	3.100079	0	3.100079	0.03058988
26	0	1.751635	0	1.751635	0.06000318
27	1	2.520858	0	2.520858	0.04431825
28	0	3.048053	0	3.048053	0.01437737
29	1	2.10415	0	2.10415	0.05289315
30	0	1.894153	0	1.894153	0.008072879
31	1	3.134577	0	3.134577	0.0295252
32	0	2.426212	0	2.426212	0.009961463
33	1	3.185228	0	3.185228	0.02778658
34	0	3.159386	0	3.159386	0.01606703
35	1	2.014731	0	2.014731	0.0547008
36	0	2.472679	0	2.472679	0.04533099
37	1	3.25785	0	3.25785	0.02439581
38	0	1.392301	0	1.392301	0.06726978
39	1	2.972684	0	2.972684	0.03407284
40	0	3.275196	0	3.275196	0.02011614
41	1	2.594307	0	2.594307	0.04275672
42	0	2.508829	0	2.508829	0.04457188
43	1	2.522185	0	2.522185	0.0104136
44	0	3.28102	0	3.28102	0.02182524
45	1	1.1962	0	1.1962	0.07127246
46	0	3.252554	0	3.252554	0.02473008
47	1	3.154765	0	3.154765	0.02886274
48	0	0.9359724	0	0.9359724	0.07664327
49	1	3.275743	0	3.275743	0.02017559
50	0	3.035509	0	3.035509	0.03242295
51	1	2.96556	0	2.96556	0.03425374
52	0	2.947731	0	2.947731	0.01329098
53	1	2.740161	0	2.740161	0.03957057
54	0	3.102537	0	3.102537	0.01511387
55	1	2.539707	0	2.539707	0.0439197
56	0	2.186567	0	2.186567	0.05122107
57	1	2.460205	0	2.460205	0.04559192
58	0	3.26421	0	3.26421	0.02394702
59	1	3.280359	0	3.280359	0.02205844
60	0	2.207425	0	2.207425	0.05079669
61	1	0.7187982	0	0.7187982	0.08118729
62	0	2.758935	0	2.758935	0.03914971
63	1	2.987342	0	2.987342	0.03369703
64	0	3.108301	0	3.108301	0.01520039
65	1	1.584621	0	1.584621	0.06337264
66	0	3.178792	0	3.178792	0.02802322
67	1	3.228698	0	3.228698	0.02598812
68	0	3.219865	0	3.219865	0.02639044
69	1	2.328305	0	2.328305	0.009544262
70	0	1.579158	0	1.579158	0.06348304
71	1	3.01501	0	3.01501	0.01398777
72	0	2.3761	0	2.3761	0.04733929
73	1	1.296596	0	1.296596	0.06921904
74	0	3.048637	0	3.048637	0.03206353
75	1	0.2048111	0	0.2048111	0.09220654
76	0	3.10481	0	3.10481	0.03044812
77	1	3.279467	0	3.279467	0.02227416
78	0	3.194712	0	3.194712	0.02742679
79	1	3.160594	0	3.160594	0.01609017
80	0	2.814902	0	2.814902	0.03787612
81	1	3.121387	0	3.121387	0.02994119
82	0	2.509515	0	2.509515	0.04455743
83	1	1.813163	0	1.813163	0.05876362
84	0	2.39687	0	2.39687	0.04690953
85	1	3.223574	0	3.223574	0.02622454
86	0	3.246126	0	3.246126	0.0251021
87	1	3.257853	0	3.257853	0.01890589
88	0	1.898476	0	1.898476	0.008085206
89	1	3.220309	0	3.220309	0.02637081
90	0	2.974809	0	2.974809	0.01355788
91	1	2.086632	0	2.086632	0.05324774
92	0	3.245908	0	3.245908	0.02511417
93	1	-0.09376276	0	-0.09376276	0.09879999
94	0	3.111619	0	3.111619	0.01525107
95	1	3.245706	0	3.245706	0.01835681
96	0	2.827944	0	2.827944	0.0375748
97	1	2.316792	0	2.316792	0.04856098
98	0	2.794105	0	2.794105	0.03835292
99	1	0.6934014	0	0.6934014	0.08172272
100	0	3.279164	0	3.279164	0.02233575
101	1	2.832271	0	2.832271	0.0374744
102	0	2.736608	0	2.736608	0.0396499
103	1	2.629548	0	2.629548	0.01098183
104	0	3.134023	0	3.134023	0.01561189
105	1	3.234558	0	3.234558	0.01794217
106	0	2.968767	0	2.968767	0.03417243
107	1	2.691755	0	2.691755	0.04064314
108	0	1.379847	0	1.379847	0.06752302
109	1	2.992735	0	2.992735	0.01374421
110	0	3.114839	0	3.114839	0.01530089
111	1	2.416197	0	2.416197	0.04650865
112	0	0.9598329	0	0.9598329	0.07614763
113	1	3.053245	0	3.053245	0.03193594
114	0	3.245422	0	3.245422	0.01834538
115	1	2.940931	0	2.940931	0.01322647
116	0	3.093325	0	3.093325	0.03079021
117	1	3.263263	0	3.263263	0.02401804
118	0	1.775546	0	1.775546	0.05952141
119	1	2.351136	0	2.351136	0.009637991
120	0	1.227073	0	1.227073	0.07064001
121	1	0.8561478	0	0.8561478	0.07830647
122	0	3.008709	0	3.008709	0.03313977
123	1	1.986164	0	1.986164	0.05527729
124	0	2.470213	0	2.470213	0.04538261
125	1	3.227047	0	3.227047	0.01769486
126	0	0.7407542	0	0.7407542	0.0807251
127	1	3.281154	0	3.281154	0.02175584
128	0	1.988878	0	1.988878	0.05522255
129	1	3.192355	0	3.192355	0.02751751
130	0	2.430805	0	2.430805	0.009982061
131	1	3.200857	0	3.200857	0.01696555
132	0	3.202163	0	3.202163	0.02713358
133	1	2.953904	0	2.953904	0.01335038
134	0	0.503884	0	0.503884	0.08574684
135	1	3.182488	0	3.182488	0.02788799
136	0	3.275044	0	3.275044	0.02294608
137	1	2.856873	0	2.856873	0.03689941
138	0	3.146204	0	3.146204	0.0158235
139	1	3.119411	0	3.119411	0.01537274
140	0	3.264007	0	3.264007	0.02396241
141	1	2.626402	0	2.626402	0.04206648
142	0	3.182895	0	3.182895	0.01654723
143	1	2.644108	0	2.644108	0.01106487
144	0	3.281359	0	3.281359	0.0213674
