Iteration	Posterior	Likelihood	Prior	birth_rate
0	3.015906	0	3.015906	0.03294936
10	2.623071	0	2.623071	0.04213838
20	2.775911	0	2.775911	0.03876652
30	3.202577	0	3.202577	0.01700856
40	3.109569	0	3.109569	0.03030425
50	3.067146	0	3.067146	0.03154622
60	2.355552	0	2.355552	0.04776343
70	2.104655	0	2.104655	0.05288293
80	3.217372	0	3.217372	0.02649974
90	2.706833	0	2.706833	0.04031087
100	3.132766	0	3.132766	0.02958304
110	1.510024	0	1.510024	0.06488152
120	2.25938	0	2.25938	0.04973703
130	1.751635	0	1.751635	0.06000318
140	3.048053	0	3.048053	0.01437737
150	1.894153	0	1.894153	0.008072879
160	2.426212	0	2.426212	0.009961463
170	3.159386	0	3.159386	0.01606703
180	2.472679	0	2.472679	0.04533099
190	1.392301	0	1.392301	0.06726978
200	3.275196	0	3.275196	0.02011614
210	2.508829	0	2.508829	0.04457188
220	3.28102	0	3.28102	0.02182524
230	3.252554	0	3.252554	0.02473008
240	0.9359724	0	0.9359724	0.07664327
250	3.035509	0	3.035509	0.03242295
260	2.947731	0	2.947731	0.01329098
270	3.102537	0	3.102537	0.01511387
280	2.186567	0	2.186567	0.05122107
290	3.26421	0	3.26421	0.02394702
300	2.207425	0	2.207425	0.05079669
310	2.758935	0	2.758935	0.03914971
320	3.108301	0	3.108301	0.01520039
330	3.178792	0	3.178792	0.02802322
340	3.219865	0	3.219865	0.02639044
350	1.579158	0	1.579158	0.06348304
360	2.3761	0	2.3761	0.04733929
370	3.048637	0	3.048637	0.03206353
380	3.10481	0	3.10481	0.03044812
390	3.194712	0	3.194712	0.02742679
400	2.814902	0	2.814902	0.03787612
410	2.509515	0	2.509515	0.04455743
420	2.39687	0	2.39687	0.04690953
430	3.246126	0	3.246126	0.0251021
440	1.898476	0	1.898476	0.008085206
450	2.974809	0	2.974809	0.01355788
460	3.245908	0	3.245908	0.02511417
470	3.111619	0	3.111619	0.01525107
480	2.827944	0	2.827944	0.0375748
490	2.794105	0	2.794105	0.03835292
500	3.279164	0	3.279164	0.02233575
510	2.736608	0	2.736608	0.0396499
520	3.134023	0	3.134023	0.01561189
530	2.968767	0	2.968767	0.03417243
540	1.379847	0	1.379847	0.06752302
550	3.114839	0	3.114839	0.01530089
560	0.9598329	0	0.9598329	0.07614763
570	3.245422	0	3.245422	0.01834538
580	3.093325	0	3.093325	0.03079021
590	1.775546	0	1.775546	0.05952141
600	1.227073	0	1.227073	0.07064001
610	3.008709	0	3.008709	0.03313977
620	2.470213	0	2.470213	0.04538261
630	0.7407542	0	0.7407542	0.0807251
640	1.988878	0	1.988878	0.05522255
650	2.430805	0	2.430805	0.009982061
660	3.202163	0	3.202163	0.02713358
670	0.503884	0	0.503884	0.08574684
680	3.275044	0	3.275044	0.02294608
690	3.146204	0	3.146204	0.0158235
700	3.264007	0	3.264007	0.02396241
710	3.182895	0	3.182895	0.01654723
720	3.281359	0	3.281359	0.0213674
730	3.267765	0	3.267765	0.02366335
740	2.793389	0	2.793389	0.03836924
750	3.274748	0	3.274748	0.02298117
760	3.089183	0	3.089183	0.03091193
770	3.281396	0	3.281396	0.02149326
780	2.920123	0	2.920123	0.03538361
790	1.638202	0	1.638202	0.06229056
800	2.467918	0	2.467918	0.04543064
810	3.033206	0	3.033206	0.0324854
820	3.152328	0	3.152328	0.01593463
830	3.278864	0	3.278864	0.02059679
840	3.13017	0	3.13017	0.02966556
850	2.303092	0	2.303092	0.04884216
860	2.780787	0	2.780787	0.03865599
870	2.934504	0	2.934504	0.01316638
880	3.021951	0	3.021951	0.03278827
890	2.476767	0	2.476767	0.04524536
900	2.365823	0	2.365823	0.04755154
910	2.156536	0	2.156536	0.05183115
920	3.111117	0	3.111117	0.03025716
930	3.150243	0	3.150243	0.02901415
940	0.416727	0	0.416727	0.0876151
950	3.17984	0	3.17984	0.02798504
960	3.214815	0	3.214815	0.02661013
970	2.978786	0	2.978786	0.03391698
980	2.14028	0	2.14028	0.05216098
990	3.056968	0	3.056968	0.01448908
1000	3.241929	0	3.241929	0.02532957
1010	3.142174	0	3.142174	0.02927986
1020	3.254161	0	3.254161	0.02463166
1030	2.662438	0	2.662438	0.04128485
1040	3.261656	0	3.261656	0.02413482
1050	3.259987	0	3.259987	0.02425178
1060	3.025576	0	3.025576	0.01410843
1070	2.817913	0	2.817913	0.01219944
1080	2.85063	0	2.85063	0.01244994
1090	0.3823708	0	0.3823708	0.0883547
1100	2.333361	0	2.333361	0.009564841
1110	0.8244479	0	0.8244479	0.07896917
1120	2.43218	0	2.43218	0.04617635
1130	-0.5169747	0	-0.5169747	0.1084138
1140	2.638112	0	2.638112	0.04181331
1150	3.241858	0	3.241858	0.02533331
1160	3.219977	0	3.219977	0.02638551
1170	2.133864	0	2.133864	0.05229111
1180	3.227304	0	3.227304	0.02605332
1190	2.073218	0	2.073218	0.05351908
1200	0.7970664	0	0.7970664	0.07954263
1210	2.091829	0	2.091829	0.05314256
1220	1.716593	0	1.716593	0.007597189
1230	2.229234	0	2.229234	0.05035235
1240	1.518131	0	1.518131	0.06471739
1250	2.087522	0	2.087522	0.05322973
1260	3.235695	0	3.235695	0.02564964
1270	2.658047	0	2.658047	0.0413805
1280	2.941348	0	2.941348	0.03486068
1290	2.152099	0	2.152099	0.05192121
1300	2.616489	0	2.616489	0.04228025
1310	2.603608	0	2.603608	0.01083766
1320	1.759767	0	1.759767	0.05983932
1330	3.006885	0	3.006885	0.01389729
1340	3.280567	0	3.280567	0.02199601
1350	3.27945	0	3.27945	0.02227772
1360	3.211001	0	3.211001	0.02677172
1370	3.212981	0	3.212981	0.01728179
1380	-0.5278109	0	-0.5278109	0.1086643
1390	3.100512	0	3.100512	0.01508393
1400	3.233817	0	3.233817	0.02574243
1410	2.858984	0	2.858984	0.03684972
1420	2.146238	0	2.146238	0.05204013
1430	2.570844	0	2.570844	0.01066206
1440	3.275809	0	3.275809	0.02285187
1450	1.37457	0	1.37457	0.06763035
1460	0.9533887	0	0.9533887	0.07628142
1470	1.995215	0	1.995215	0.008371422
1480	1.79312	0	1.79312	0.05916736
1490	2.674457	0	2.674457	0.04102243
1500	1.02948	0	1.02948	0.07470471
1510	3.230047	0	3.230047	0.01779102
1520	3.188623	0	3.188623	0.01667504
1530	2.029492	0	2.029492	0.05440275
1540	3.274769	0	3.274769	0.02007162
1550	3.280729	0	3.280729	0.02194196
1560	2.952535	0	2.952535	0.01333714
