Iteration	Posterior	Likelihood	Prior	birth_rate
0	-232.1188	-234.7256	2.606852	0.04248755
10	-211.8874	-215.1626	3.27519	0.02011553
20	-213.1265	-216.3986	3.272082	0.02326879
30	-211.6554	-214.9131	3.257676	0.01889688
40	-211.6273	-214.8797	3.25244	0.018645
50	-212.0123	-215.291	3.278707	0.02057051
60	-211.6291	-214.8315	3.202392	0.01700389
70	-212.1275	-215.408	3.280466	0.02093851
80	-212.9164	-215.8916	2.975239	0.01356226
90	-211.8062	-215.0776	3.271473	0.01977036
100	-213.7879	-217.045	3.257117	0.02444389
110	-214.0913	-217.3404	3.249111	0.02493331
120	-211.7684	-215.0375	3.269144	0.01958936
130	-211.6894	-214.9516	3.262196	0.01914094
140	-211.6257	-214.8777	3.252072	0.01862832
150	-211.7423	-214.9125	3.170139	0.01627859
160	-211.6284	-214.8811	3.252698	0.0186568
170	-211.6896	-214.8731	3.183451	0.01655942
180	-212.1889	-215.4699	3.280991	0.02111988
190	-212.0223	-215.1365	3.114228	0.01529139
200	-211.7029	-214.9666	3.263666	0.01922713
210	-212.0921	-215.3721	3.280043	0.02082951
220	-212.191	-215.472	3.281005	0.02112604
230	-212.7568	-215.7552	2.998348	0.01380428
240	-211.9971	-215.2755	3.278385	0.02051892
250	-211.79	-214.9493	3.159309	0.01606556
260	-212.1571	-215.2482	3.091037	0.01494678
270	-211.6902	-214.9525	3.26229	0.01914632
280	-211.5904	-214.8286	3.238222	0.01807136
290	-211.6095	-214.8202	3.210624	0.01721777
300	-211.5897	-214.8273	3.237578	0.0180482
310	-213.244	-216.5137	3.269744	0.02349087
320	-212.2232	-215.5044	3.281185	0.02121786
330	-211.5983	-214.8416	3.24329	0.01826113
340	-211.6885	-214.8723	3.183764	0.0165663
350	-211.7803	-215.0502	3.269932	0.01964829
360	-211.8841	-215.1592	3.275066	0.02010241
370	-211.6798	-214.866	3.186162	0.01661953
380	-211.9168	-215.1931	3.276216	0.0202296
390	-215.0361	-217.7238	2.687743	0.0113235
400	-211.7126	-214.89	3.177432	0.01642962
410	-211.5884	-214.8244	3.236045	0.01799385
420	-211.6149	-214.8231	3.208124	0.01715128
430	-211.665	-214.8555	3.190457	0.01671699
440	-211.5958	-214.8143	3.218475	0.0174364
450	-211.5939	-214.8138	3.219865	0.01747681
460	-213.6467	-216.9073	3.260637	0.02420672
470	-211.7653	-215.0342	3.268934	0.01957398
480	-212.4848	-215.7657	3.280848	0.02189813
490	-211.963	-215.088	3.124949	0.01546162
500	-211.8916	-215.03	3.138461	0.01568761
510	-213.9479	-216.7805	2.832567	0.01230988
520	-211.6048	-214.8178	3.213027	0.01728304
530	-211.7392	-215.0062	3.26698	0.01943734
540	-211.6115	-214.8598	3.248316	0.01846443
550	-212.0464	-215.3257	3.279348	0.02068355
560	-212.2681	-215.5495	3.28134	0.02134232
570	-211.937	-215.0668	3.12978	0.01554089
580	-211.8099	-215.0816	3.271681	0.01978759
590	-214.4064	-217.6467	3.240258	0.02541728
600	-214.1629	-217.41	3.247141	0.02504537
610	-212.428	-215.4756	3.047672	0.01437266
620	-211.757	-215.0253	3.268342	0.01953138
630	-211.7228	-214.9884	3.265582	0.01934571
640	-211.7951	-215.066	3.270842	0.01971921
650	-213.8283	-216.677	2.84872	0.01243492
660	-211.5909	-214.8296	3.238694	0.01808846
670	-211.7435	-214.9133	3.169866	0.01627306
680	-212.0822	-215.3621	3.279908	0.02079855
690	-211.7581	-215.0265	3.268424	0.01953725
700	-212.2792	-215.3503	3.071073	0.01467233
710	-211.8011	-215.0723	3.271187	0.01974697
720	-211.5988	-214.8423	3.243522	0.01827017
730	-211.5993	-214.8431	3.243767	0.01827974
740	-211.5933	-214.8137	3.220375	0.01749176
750	-212.732	-216.0105	3.278463	0.02246438
760	-213.2696	-216.1949	2.925348	0.01308219
770	-211.8914	-215.0299	3.1385	0.01568828
780	-211.5906	-214.829	3.238421	0.01807855
790	-213.4133	-216.3187	2.905423	0.01290443
800	-211.9088	-215.1848	3.27595	0.02019891
810	-212.4729	-215.7538	3.28092	0.02186922
820	-211.7516	-215.0196	3.267947	0.01950359
830	-211.6235	-214.828	3.204546	0.01705848
840	-212.1847	-215.2712	3.086456	0.01488211
850	-211.7722	-215.0416	3.269403	0.01960851
860	-212.1862	-215.4672	3.280974	0.02111224
870	-211.6362	-214.8905	3.254308	0.01873164
880	-211.8281	-215.1008	3.272629	0.01986884
890	-211.6958	-214.9587	3.262916	0.01918271
900	-211.6043	-214.8176	3.213271	0.01728977
910	-212.7912	-215.7845	2.99334	0.01375064
920	-212.9218	-216.1975	3.275714	0.02286394
930	-211.6071	-214.8189	3.211813	0.0172499
940	-213.989	-217.2409	3.251871	0.02477118
