Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-210.1826	-216.1654	5.982817	0.02107995	0.002787596	0.01829235	0.002787596
10	-212.5225	-218.3847	5.862152	0.01979189	0.008022288	0.0117696	0.008022288
20	-215.5211	-221.8442	6.323137	0.03276962	0.01160408	0.02116553	0.01160408
30	-212.4375	-218.7349	6.29739	0.02558625	0.008695866	0.01689038	0.008695866
40	-211.1027	-217.3622	6.259524	0.02235215	0.005953772	0.01639838	0.005953772
50	-210.5553	-216.5068	5.951579	0.0226072	0.00257031	0.02003689	0.00257031
60	-212.2002	-217.8672	5.666999	0.01579256	0.004727956	0.01106461	0.004727956
70	-211.2071	-217.5089	6.301814	0.02337589	0.005868948	0.01750694	0.005868948
80	-211.3745	-217.6123	6.237864	0.02236747	0.006680626	0.01568684	0.006680626
90	-210.1405	-215.7503	5.609786	0.01750322	0.002062504	0.01544072	0.002062504
100	-212.299	-218.2797	5.980676	0.02085703	0.008196453	0.01266058	0.008196453
110	-211.5262	-217.7289	6.202743	0.02211024	0.007045407	0.01506484	0.007045407
120	-212.8996	-219.2499	6.350332	0.02734351	0.008748693	0.01859482	0.008748693
130	-211.4941	-215.3208	3.826747	0.02016505	0.0005376072	0.01962745	0.0005376072
140	-210.6611	-216.804	6.142885	0.02009985	0.004803583	0.01529626	0.004803583
150	-210.5458	-215.325	4.779141	0.01687316	0.001014202	0.01585895	0.001014202
160	-213.4371	-219.4672	6.030037	0.02498751	0.01135926	0.01362826	0.01135926
170	-210.1998	-215.6702	5.470426	0.01717135	0.001801337	0.01537001	0.001801337
180	-211.2706	-217.1246	5.853997	0.01688717	0.004320948	0.01256622	0.004320948
190	-211.846	-217.3655	5.519563	0.01458268	0.003003561	0.01157911	0.003003561
200	-213.2496	-219.4325	6.182899	0.02623432	0.01082769	0.01540664	0.01082769
210	-213.4747	-218.9858	5.511135	0.01768658	0.007816658	0.009869925	0.007816658
220	-212.5432	-218.2501	5.706915	0.01728399	0.006398626	0.01088536	0.006398626
230	-212.0915	-218.3235	6.231983	0.02385032	0.008323556	0.01552676	0.008323556
240	-212.183	-218.301	6.118044	0.02645391	0.003266061	0.02318785	0.003266061
250	-210.853	-216.7384	5.885461	0.01716408	0.003807607	0.01335647	0.003807607
260	-211.8747	-217.9337	6.059059	0.02079765	0.007451766	0.01334589	0.007451766
270	-210.5956	-216.3812	5.785561	0.01679264	0.002984753	0.01380789	0.002984753
280	-210.2642	-216.1092	5.844961	0.0177503	0.00286412	0.01488618	0.00286412
290	-211.8562	-218.2128	6.356593	0.02557897	0.006228562	0.01935041	0.006228562
300	-212.1495	-217.9144	5.764923	0.01704034	0.005705066	0.01133527	0.005705066
310	-210.6976	-216.9061	6.208513	0.02290497	0.00395779	0.01894718	0.00395779
320	-213.3651	-219.7391	6.374006	0.02892062	0.006448112	0.02247251	0.006448112
330	-211.9763	-216.9362	4.959858	0.01359758	0.001512723	0.01208486	0.001512723
340	-217.8219	-222.1091	4.287242	0.02299418	0.01615228	0.006841898	0.01615228
350	-213.6963	-220.0157	6.319365	0.02881211	0.01037146	0.01844064	0.01037146
360	-212.7936	-218.871	6.077442	0.02367875	0.009897505	0.01378125	0.009897505
370	-210.1546	-215.9899	5.835354	0.01807036	0.002704745	0.01536562	0.002704745
380	-211.1128	-216.9408	5.828045	0.01663401	0.003862611	0.0127714	0.003862611
390	-210.4342	-215.9077	5.473562	0.02138548	0.001571316	0.01981416	0.001571316
400	-210.6911	-216.931	6.239877	0.02224626	0.004626411	0.01761985	0.004626411
410	-211.6047	-217.52	5.915353	0.01801451	0.005622333	0.01239218	0.005622333
420	-211.5731	-217.8412	6.268085	0.02323583	0.007072989	0.01616284	0.007072989
430	-213.2199	-219.0445	5.824562	0.02169998	0.01000913	0.01169084	0.01000913
440	-212.6262	-219.0064	6.380222	0.02735655	0.00692386	0.02043269	0.00692386
450	-212.5264	-218.6303	6.103824	0.02325562	0.009299071	0.01395655	0.009299071
460	-211.8401	-218.1933	6.353264	0.02567922	0.00588822	0.019791	0.00588822
470	-212.9706	-219.0185	6.047957	0.02382301	0.0102712	0.01355182	0.0102712
480	-212.8195	-219.2021	6.382658	0.02771026	0.007331766	0.02037849	0.007331766
490	-211.0608	-215.9228	4.861989	0.02184265	0.0009809412	0.02086171	0.0009809412
500	-213.5864	-218.5185	4.932037	0.01218191	0.002004281	0.01017763	0.002004281
510	-210.7498	-216.9944	6.244616	0.0220698	0.004934857	0.01713495	0.004934857
520	-211.848	-217.2954	5.447376	0.0143236	0.002676874	0.01164672	0.002676874
530	-210.3278	-215.786	5.458153	0.01667942	0.001843144	0.01483627	0.001843144
540	-215.3509	-221.7122	6.361306	0.03227864	0.007734656	0.02454399	0.007734656
550	-210.2563	-216.2985	6.042207	0.01936948	0.003573734	0.01579575	0.003573734
560	-212.301	-217.9668	5.665792	0.01595568	0.005002589	0.01095309	0.005002589
570	-217.7182	-223.7268	6.008596	0.03621484	0.01908269	0.01713215	0.01908269
580	-211.4879	-217.7945	6.306521	0.02506162	0.004831952	0.02022967	0.004831952
590	-214.1425	-220.4927	6.350196	0.03007908	0.01012925	0.01994983	0.01012925
600	-210.8703	-216.9654	6.095028	0.01947264	0.005089357	0.01438329	0.005089357
610	-210.3399	-216.139	5.799114	0.0173391	0.00277971	0.01455939	0.00277971
620	-211.4243	-217.6966	6.272216	0.02303198	0.006707504	0.01632448	0.006707504
630	-211.4138	-217.0326	5.618885	0.01524231	0.003056308	0.012186	0.003056308
640	-211.9793	-218.2162	6.236965	0.0236509	0.008068179	0.01558272	0.008068179
650	-213.0072	-219.3824	6.37523	0.02791646	0.008173214	0.01974325	0.008173214
660	-210.0751	-215.8218	5.746681	0.02032932	0.002102703	0.01822662	0.002102703
670	-212.2069	-218.4277	6.220836	0.02398027	0.008595235	0.01538504	0.008595235
680	-210.7005	-216.9219	6.221461	0.02282429	0.004112699	0.01871159	0.004112699
690	-210.7073	-216.832	6.124672	0.01982678	0.004849307	0.01497747	0.004849307
700	-209.997	-215.6315	5.634486	0.01902075	0.001944937	0.01707581	0.001944937
710	-210.2043	-215.6292	5.424919	0.02025194	0.001530013	0.01872192	0.001530013
720	-215.3176	-221.1501	5.832545	0.02847542	0.01553165	0.01294377	0.01553165
730	-217.6396	-223.9018	6.262176	0.03655274	0.01348597	0.02306678	0.01348597
740	-211.081	-217.3506	6.269603	0.02401198	0.00445307	0.01955891	0.00445307
750	-211.8207	-217.5885	5.767768	0.01644592	0.004787859	0.01165806	0.004787859
760	-213.5592	-219.4151	5.855914	0.02327065	0.01118039	0.01209026	0.01118039
770	-210.1423	-216.0656	5.923312	0.020888	0.002575396	0.01831261	0.002575396
780	-212.5	-218.8676	6.367555	0.02676197	0.007646989	0.01911498	0.007646989
790	-212.0193	-217.7392	5.719956	0.01615642	0.004813439	0.01134298	0.004813439
800	-212.7066	-218.7628	6.056201	0.0272554	0.00302494	0.02423046	0.00302494
810	-211.792	-217.7903	5.998212	0.02555302	0.00272585	0.02282717	0.00272585
820	-210.2792	-216.2412	5.962048	0.01848271	0.00332964	0.01515307	0.00332964
830	-213.0251	-218.881	5.855876	0.02145251	0.009601248	0.01185127	0.009601248
840	-211.7297	-217.7587	6.029053	0.01997301	0.006874331	0.01309868	0.006874331
850	-213.158	-219.5188	6.360797	0.0280429	0.008853712	0.01918919	0.008853712
860	-212.6567	-218.5771	5.920397	0.02112003	0.008882689	0.01223734	0.008882689
870	-213.4806	-219.5717	6.091115	0.02581955	0.01147197	0.01434758	0.01147197
880	-213.7384	-220.0993	6.360922	0.02930323	0.009475723	0.0198275	0.009475723
890	-210.4087	-216.5669	6.158121	0.02167177	0.003759186	0.01791258	0.003759186
900	-210.6841	-216.6935	6.009385	0.02304347	0.002764964	0.02027851	0.002764964
910	-212.9586	-219.3425	6.383875	0.02809105	0.00697161	0.02111944	0.00697161
920	-210.5074	-216.5916	6.08424	0.02247907	0.003131274	0.01934779	0.003131274
930	-210.5664	-216.1315	5.565152	0.0220223	0.001698021	0.02032428	0.001698021
940	-210.791	-215.7446	4.953696	0.01560973	0.001236011	0.01437372	0.001236011
950	-212.5773	-218.9298	6.352481	0.02667159	0.008197527	0.01847406	0.008197527
