Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-210.6723	-216.9052	6.232903	0.02246471	0.004379791	0.01808491	0.004379791
10	-210.2446	-215.3585	5.113893	0.0190696	0.001213776	0.01785582	0.001213776
20	-211.8365	-215.1024	3.265993	0.01925053	0.0004099416	0.01884059	0.0004099416
30	-210.2291	-216.1627	5.933607	0.01840414	0.003145163	0.01525898	0.003145163
40	-210.7275	-216.6799	5.952343	0.01779712	0.00399164	0.01380548	0.00399164
50	-210.4827	-216.6456	6.162904	0.02214321	0.00369065	0.01845256	0.00369065
60	-210.2736	-216.3215	6.047919	0.01937918	0.003628458	0.01575072	0.003628458
70	-210.7682	-216.7259	5.957754	0.0178329	0.00409321	0.01373969	0.00409321
80	-210.8959	-216.982	6.086116	0.02367974	0.003076909	0.02060283	0.003076909
90	-210.7885	-215.6514	4.862964	0.01572946	0.001141102	0.01458836	0.001141102
100	-210.4955	-216.3257	5.830235	0.02227408	0.002224436	0.02004964	0.002224436
110	-210.3327	-216.3052	5.972504	0.01844137	0.003456151	0.01498522	0.003456151
120	-211.819	-218.0744	6.255335	0.02355255	0.007669126	0.01588343	0.007669126
130	-211.6935	-217.6906	5.997014	0.01940318	0.006549193	0.01285399	0.006549193
140	-211.857	-217.7172	5.860197	0.01775361	0.005821927	0.01193168	0.005821927
150	-210.1169	-216.1106	5.993692	0.01957777	0.003111581	0.01646619	0.003111581
160	-211.7648	-217.0611	5.296274	0.02433541	0.001352264	0.02298315	0.001352264
170	-210.0611	-215.4824	5.421258	0.01842878	0.00160584	0.01682294	0.00160584
180	-211.574	-216.8842	5.310163	0.0239804	0.001364324	0.02261607	0.001364324
190	-210.5473	-216.7324	6.185052	0.02233493	0.003848044	0.01848689	0.003848044
200	-211.0054	-217.2759	6.270454	0.02252575	0.005608252	0.0169175	0.005608252
210	-210.3007	-216.4139	6.113227	0.0212908	0.003479031	0.01781176	0.003479031
220	-210.1939	-215.4639	5.269983	0.01955762	0.001359627	0.018198	0.001359627
230	-210.963	-216.7185	5.75552	0.01622776	0.003245475	0.01298229	0.003245475
240	-210.4559	-216.5417	6.085835	0.01944477	0.004145215	0.01529955	0.004145215
250	-211.1078	-215.7677	4.659881	0.01517628	0.001013275	0.01416301	0.001013275
260	-210.1927	-216.2538	6.061123	0.02008394	0.00342224	0.0166617	0.00342224
270	-210.7358	-216.5393	5.803475	0.02293311	0.002147074	0.02078604	0.002147074
280	-210.5355	-216.6878	6.152259	0.02033511	0.004516818	0.01581829	0.004516818
290	-210.5766	-216.5584	5.981848	0.01816963	0.003896032	0.0142736	0.003896032
300	-210.2984	-216.3593	6.060902	0.01946482	0.003721592	0.01574323	0.003721592
