Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-243.8248	-224.1657	-19.65908	0.03693719	0.02091281	0.01602438	0.02091281
10	-243.272	-222.4218	-20.85025	0.03248547	0.01785974	0.01462573	0.01785974
20	-244.3448	-224.704	-19.64088	0.03843322	0.02076054	0.01767267	0.02076054
30	-244.3416	-222.2029	-22.1387	0.03329466	0.01445427	0.01884038	0.01445427
40	-243.3542	-221.8963	-21.45785	0.02819334	0.01762256	0.01057077	0.01762256
50	-244.8124	-227.8537	-16.95876	0.04507125	0.0317069	0.01336435	0.0317069
60	-244.9499	-227.8174	-17.13253	0.0453652	0.0302913	0.0150739	0.0302913
70	-244.3553	-226.2436	-18.11169	0.03894367	0.02926505	0.009678615	0.02926505
80	-243.72	-224.5706	-19.14944	0.03746341	0.02277193	0.01469147	0.02277193
90	-243.1589	-221.0205	-22.13842	0.0287349	0.01501646	0.01371844	0.01501646
100	-244.2098	-226.0318	-18.17801	0.04096115	0.02613881	0.01482235	0.02613881
110	-243.5078	-223.4998	-20.00797	0.03215683	0.0218671	0.01028973	0.0218671
120	-243.4108	-221.1045	-22.30638	0.02629946	0.01551654	0.01078292	0.01551654
130	-243.5885	-220.523	-23.06552	0.02470647	0.01391571	0.01079076	0.01391571
140	-245.7026	-228.9213	-16.78132	0.04821104	0.03143382	0.01677722	0.03143382
150	-245.8191	-229.8247	-15.99441	0.05042106	0.03585821	0.01456285	0.03585821
160	-243.1996	-222.8166	-20.38296	0.03212102	0.01971448	0.01240654	0.01971448
170	-243.3699	-223.7065	-19.66345	0.03473665	0.02158078	0.01315587	0.02158078
180	-243.134	-222.1351	-20.99888	0.03045937	0.01804801	0.01241136	0.01804801
190	-243.5958	-224.3431	-19.25273	0.03485773	0.0239593	0.01089843	0.0239593
200	-244.9437	-228.1916	-16.75212	0.04580617	0.03288997	0.01291619	0.03288997
210	-243.732	-223.1732	-20.55887	0.03016609	0.02095998	0.009206115	0.02095998
220	-243.2982	-221.6507	-21.64748	0.02791249	0.01698971	0.01092278	0.01698971
230	-244.6248	-221.8528	-22.77198	0.03267685	0.01318029	0.01949656	0.01318029
240	-243.4538	-219.7775	-23.67632	0.02518883	0.01217517	0.01301366	0.01217517
250	-243.5135	-220.0865	-23.42704	0.02770224	0.01224972	0.01545252	0.01224972
260	-246.7838	-231.7394	-15.04443	0.05557028	0.04118542	0.01438486	0.04118542
270	-244.3731	-226.0523	-18.32084	0.03809079	0.02883003	0.009260768	0.02883003
280	-243.6702	-224.2461	-19.42403	0.03403931	0.02384284	0.01019648	0.02384284
290	-244.2927	-224.5929	-19.69975	0.03817938	0.02059458	0.0175848	0.02059458
300	-243.8259	-224.8034	-19.02255	0.03810327	0.02311992	0.01498334	0.02311992
310	-243.9859	-224.6302	-19.35564	0.03410901	0.02496344	0.009145574	0.02496344
320	-243.4749	-220.1157	-23.35923	0.02766622	0.01238875	0.01527747	0.01238875
330	-243.5054	-224.2216	-19.28387	0.03608521	0.02271308	0.01337214	0.02271308
340	-247.231	-224.1139	-23.11711	0.02525357	0.02073781	0.004515754	0.02073781
350	-243.3484	-222.8024	-20.54598	0.03344468	0.01861492	0.01482977	0.01861492
