Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-235.3876	-240.6091	5.221483	0.07033674	0.04089245	0.02944429	0.04089245
10	-210.7464	-216.9895	6.243079	0.02202602	0.004940712	0.01708531	0.004940712
20	-290.8409	-293.4805	2.639611	0.1402807	0.07263206	0.0676486	0.07263206
30	-274.2662	-278.5795	4.313306	0.08170956	0.01244175	0.06926781	0.01244175
40	-210.9253	-216.9161	5.990789	0.01818606	0.004596442	0.01358962	0.004596442
50	-323.1499	-324.2681	1.11825	0.1930145	0.1086478	0.08436663	0.1086478
60	-269.3375	-272.4894	3.15194	0.1459853	0.1001299	0.04585536	0.1001299
70	-226.7609	-232.4881	5.727201	0.04258772	0.003929982	0.03865774	0.003929982
80	-216.5255	-221.3833	4.857783	0.02315001	0.01500887	0.008141137	0.01500887
90	-255.2543	-258.2487	2.994492	0.1649895	0.1498885	0.01510098	0.1498885
100	-213.8836	-219.219	5.335398	0.01600344	0.006825656	0.009177783	0.006825656
110	-234.3844	-237.9676	3.583222	0.07436356	0.06548103	0.008882534	0.06548103
120	-273.4317	-276.2022	2.770525	0.1696895	0.1248277	0.04486178	0.1248277
130	-315.4718	-315.1205	-0.3513378	0.4186853	0.3625675	0.05611778	0.3625675
140	-266.2394	-270.4568	4.217427	0.08909965	0.02966547	0.05943417	0.02966547
150	-227.9303	-233.7494	5.819111	0.05203955	0.02093993	0.03109962	0.02093993
160	-423.4927	-420.15	-3.342646	0.4391778	0.307052	0.1321259	0.307052
170	-258.6451	-261.8922	3.247095	0.1676707	0.1436741	0.02399668	0.1436741
180	-238.9194	-242.6981	3.778661	0.09206548	0.08073182	0.01133367	0.08073182
190	-238.7773	-243.5008	4.723466	0.08737647	0.06490359	0.02247288	0.06490359
200	-237.7146	-242.4057	4.691093	0.08608482	0.06608221	0.02000261	0.06608221
210	-249.9478	-254.207	4.259202	0.1057868	0.07170605	0.03408077	0.07170605
220	-220.6229	-226.7137	6.090764	0.04201753	0.01850591	0.02351162	0.01850591
230	-233.1266	-238.8134	5.686848	0.04923435	0.006422741	0.0428116	0.006422741
240	-236.0749	-241.5363	5.461388	0.05034777	0.004564906	0.04578286	0.004564906
250	-212.5756	-218.8206	6.244991	0.02523224	0.009282626	0.01594962	0.009282626
260	-300.7908	-304.3495	3.558671	0.09330153	0.006618658	0.08668287	0.006618658
270	-254.0429	-258.1339	4.090971	0.1094721	0.07096376	0.0385083	0.07096376
280	-233.317	-238.9775	5.660454	0.05564965	0.01765812	0.03799153	0.01765812
290	-225.4441	-230.7514	5.307304	0.05291048	0.03751614	0.01539434	0.03751614
300	-215.9496	-221.9592	6.009635	0.03177446	0.01643526	0.0153392	0.01643526
310	-251.8224	-255.3805	3.558103	0.1425229	0.1234731	0.01904987	0.1234731
320	-227.2174	-232.9194	5.70199	0.05447758	0.02876303	0.02571456	0.02876303
330	-221.8752	-227.3707	5.495512	0.03716244	0.002228059	0.03493438	0.002228059
340	-216.496	-222.7791	6.283047	0.03456205	0.01303988	0.02152217	0.01303988
350	-363.0178	-360.9815	-2.036257	0.4507191	0.3591256	0.09159356	0.3591256
360	-215.4657	-220.9358	5.47012	0.02542878	0.01497967	0.01044911	0.01497967
370	-239.8642	-244.9542	5.089912	0.07337108	0.03776754	0.03560354	0.03776754
380	-287.4304	-291.3226	3.892234	0.09087501	0.01371385	0.07716116	0.01371385
390	-263.8002	-265.8688	2.06863	0.2208756	0.207843	0.01303257	0.207843
400	-220.6849	-226.3173	5.632411	0.04169056	0.02668899	0.01500157	0.02668899
410	-221.6295	-227.1734	5.543919	0.04372827	0.02891599	0.01481228	0.02891599
420	-241.9784	-246.5104	4.532	0.0964157	0.0726559	0.0237598	0.0726559
