Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction_sd	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation_sd
0	-210.3162	-157.8789	-52.4373	1.03359	0.850359	1.25496	0.116039	0.0121903	0.0213323	0.201767	0.524732	1.03634	0.456645	0.726821	2.632147	0.0330392	-0.162097	0.227102	-2.15382	-4.40711	-3.84753	-1.60064	-0.644867	0.0356959	-0.783848	-0.319075	-4.77178	-2.54095	0.305944	-0.0206919	-0.777644	-2.8829	-3.0619	0.0631742	-0.134909	-3.02961	-0.275878	0.00846528	0.0787914	1.35791	0.979521	0.459487	0.0559723	0.0467988	1.06521	0.873796	0.0483346	0.758906	1.876472
10	-208.1615	-158.6904	-49.47106	0.973047	0.845086	1.21964	0.0642159	0.11215	0.0348343	0.40163	0.304865	0.952604	0.218567	1.13526	1.062504	-0.0273233	-0.168317	0.198554	-2.7455	-2.18792	-3.35715	-0.912223	-1.18788	-0.048556	-1.52066	0.126859	-5.0619	-3.72861	0.42413	0.0848206	-1.2626	-3.34717	-1.98464	-0.0289481	-0.436164	-1.86918	0.0319878	0.00633354	0.0240263	1.52826	1.08852	0.282917	0.0351838	0.13743	0.971467	0.646512	0.15425	1.0325	1.814845
20	-202.8034	-157.7431	-45.06032	1.1417	1.03318	1.18825	0.093811	0.0223879	0.0388693	0.264519	0.373503	0.868052	0.498937	1.05444	1.111054	0.132521	0.0326406	0.172479	-2.36647	-3.79923	-3.24755	-1.32984	-0.98483	-0.141504	-0.695276	0.0530062	-5.70963	-2.04922	0.36838	0.116401	-1.04201	-2.78047	-2.35233	0.0523918	-0.689542	-1.37075	0.202621	0.0033139	0.128835	1.44539	1.12345	0.352744	0.0620096	0.095147	1.05379	0.501806	0.253916	1.22461	1.598579
30	-198.3331	-155.0982	-43.23486	1.14698	0.967214	1.25579	0.183462	0.0287236	0.13224	0.469493	0.415062	0.756489	1.10815	0.931349	0.9566381	0.137135	-0.0333351	0.227763	-1.69575	-3.55004	-2.02314	-0.756102	-0.879327	-0.279068	0.102694	-0.0711215	-4.47363	-2.5532	0.533746	0.215851	-1.12005	-2.09527	-2.55229	0.0760734	-0.200612	-1.38151	0.257341	0.0114058	0.077832	1.70531	1.24092	0.326262	0.123038	0.0779031	1.07904	0.81823	0.2512	1.29349	1.317733
40	-197.6737	-158.1863	-39.48736	1.23834	1.08545	1.36771	0.161335	0.0787702	0.125379	0.388612	0.491796	0.717824	1.26783	0.894002	0.6340939	0.213772	0.0819952	0.31314	-1.82427	-2.54122	-2.07641	-0.945174	-0.709692	-0.331531	0.23731	-0.112047	-2.35931	-1.93965	0.505468	0.191472	-0.867674	-3.03513	-1.44667	0.129937	-0.107845	-0.929081	0.0808643	0.0944854	0.143754	1.65776	1.21103	0.419927	0.0480685	0.235354	1.13876	0.897766	0.394917	1.08422	1.596551
50	-202.3223	-154.5357	-47.78661	1.26944	1.07356	1.426	0.132957	0.04731	0.162515	0.491646	0.292217	0.623354	1.1345	0.761793	1.310085	0.238578	0.0709787	0.35487	-2.01773	-3.05103	-1.81698	-0.709996	-1.23026	-0.472641	0.126191	-0.272081	-7.80363	-3.83415	0.568106	0.257178	-0.649016	-2.68718	-1.63548	0.0334007	-0.18246	-2.04069	0.0735008	0.000408252	0.0216196	1.76492	1.29328	0.522559	0.0680724	0.194858	1.03396	0.833218	0.12994	1.07627	2.710441
60	-198.1515	-156.6485	-41.50298	1.58538	1.14779	1.5251	0.0881393	0.0563931	0.115092	0.37527	0.353364	0.577096	1.29444	0.512359	1.27194	0.460823	0.137834	0.422063	-2.42884	-2.87541	-2.16202	-0.98011	-1.04026	-0.549746	0.258075	-0.668731	-3.65605	-2.47669	0.520521	0.259818	-0.28206	-1.84166	-1.86908	0.164279	-0.543811	-1.15406	-0.0732989	0.0258344	0.0840205	1.6829	1.29669	0.754228	0.158553	0.154265	1.17854	0.580532	0.315354	0.929323	1.230468
70	-201.3032	-154.4907	-46.81245	1.67225	1.15045	1.34841	0.0685077	0.0496593	0.210847	0.559148	0.329022	0.809115	0.559442	0.95615	1.373272	0.514169	0.14015	0.298927	-2.68081	-3.00257	-1.55662	-0.581341	-1.11163	-0.211814	-0.580816	-0.0448405	-5.75655	-2.24655	0.528769	0.162417	0.0173422	-2.06026	-2.22215	0.186708	-0.182851	-2.42931	0.102767	0.00316199	0.105764	1.69684	1.17635	1.01749	0.127421	0.108376	1.20528	0.832892	0.088098	1.10823	1.696829
80	-196.1161	-158.1129	-38.00322	1.699	1.02875	1.30611	0.180613	0.0668141	0.124757	0.465686	0.470127	0.879988	0.772212	1.06792	0.901072	0.530039	0.0283417	0.267053	-1.7114	-2.70584	-2.08139	-0.764244	-0.754753	-0.127847	-0.258496	0.0657126	-2.95892	-2.58428	0.544698	0.16997	-0.0956234	-1.59821	-1.42507	0.0135701	-0.523253	-0.971562	0.282305	0.0518749	0.0754503	1.72409	1.18527	0.908806	0.202258	0.240492	1.01366	0.59259	0.378491	1.32618	1.374499
90	-198.4509	-158.2318	-40.21917	1.6982	1.05244	1.30844	0.352052	0.152821	0.212448	0.641314	0.489216	0.478193	0.655887	1.57638	1.103118	0.529568	0.0511123	0.268836	-1.04398	-1.87849	-1.54906	-0.444236	-0.71495	-0.73774	-0.421767	0.455129	-2.08426	-3.17309	0.594718	0.262012	-0.217367	-1.74645	-1.04814	0.30325	-0.681739	-1.64582	0.528417	0.124399	0.041874	1.81252	1.29954	0.804635	0.174392	0.350588	1.35425	0.505737	0.192853	1.69624	1.364693
100	-195.4687	-157.1361	-38.33265	1.30566	0.829812	1.17798	0.526202	0.160192	0.296287	0.492104	0.38135	0.674005	0.718759	1.69732	0.6003889	0.266711	-0.186556	0.163804	-0.642071	-1.83138	-1.21643	-0.709065	-0.964039	-0.394517	-0.330229	0.529051	-4.91162	-3.73328	0.491262	0.183524	-0.124413	-1.5118	-1.58689	0.0680746	-0.795532	-1.51294	0.604831	0.00736056	0.0239143	1.63438	1.20144	0.883015	0.220513	0.204562	1.07045	0.451341	0.220261	1.83094	2.014273
110	-202.8517	-157.38	-45.4717	1.34949	0.814919	1.18309	0.526001	0.314692	0.0771752	0.240835	0.398243	0.628647	0.793782	1.8066	0.8934559	0.29973	-0.204667	0.168128	-0.642452	-1.15616	-2.56168	-1.42364	-0.920693	-0.464186	-0.230946	0.591444	-5.51024	-3.92752	0.498266	0.185931	-0.138439	-1.97298	-2.43275	0.0488164	-0.10468	-4.1568	0.704734	0.00404514	0.0196925	1.64587	1.20434	0.870716	0.139041	0.087795	1.05003	0.900612	0.0156576	2.02331	2.089758
120	-207.9913	-160.3721	-47.61918	1.21916	0.758219	1.16841	0.570777	0.351886	0.0835577	0.247804	0.319215	1.16728	0.372061	1.83471	1.452842	0.198161	-0.276783	0.155643	-0.560757	-1.04445	-2.48222	-1.39512	-1.14189	0.15468	-0.988697	0.606885	-3.58681	-2.65816	0.434343	0.130646	-0.052173	-2.72504	-3.06332	-0.0674943	-0.125891	-2.12898	0.477746	0.0276864	0.0700767	1.54395	1.13956	0.949165	0.0655439	0.0467321	0.934733	0.881711	0.118959	1.61244	2.868301
130	-190.3941	-154.5982	-35.79595	1.05704	0.792945	1.17182	0.573697	0.236553	0.211276	0.247788	0.315772	0.750082	0.753104	1.51969	0.6143115	0.0554769	-0.232002	0.158558	-0.555654	-1.44158	-1.55459	-1.39518	-1.15273	-0.287573	-0.283552	0.418503	-5.35672	-2.24384	0.404044	0.0503098	-0.266247	-1.93763	-2.17614	-0.0422291	-0.445125	-1.11331	0.497327	0.00471637	0.106051	1.49787	1.0516	0.76625	0.144045	0.113479	0.95865	0.640744	0.328469	1.64432	1.775473
140	-191.4495	-156.4814	-34.9681	1.05901	0.727962	1.30973	0.646927	0.337541	0.254075	0.247163	0.321662	0.912455	0.873137	1.70714	0.4919619	0.0573321	-0.317507	0.269819	-0.435521	-1.08607	-1.37012	-1.39771	-1.13425	-0.0916162	-0.135663	0.534819	-3.24314	-2.67579	0.452531	0.0900055	-0.0184502	-2.19152	-2.14184	-0.0991507	0.0538002	-0.989301	0.633246	0.0390413	0.0688525	1.57229	1.09418	0.981719	0.111747	0.117439	0.905606	1.05527	0.371837	1.88371	1.619143
150	-189.1519	-154.4228	-34.72913	1.2524	0.769746	1.37231	0.55163	0.279548	0.337598	0.298726	0.348519	0.942263	1.20708	1.20731	0.5658001	0.22506	-0.261695	0.316493	-0.594877	-1.27458	-1.0859	-1.20823	-1.05406	-0.0594711	0.188208	0.188396	-2.83111	-1.59463	0.499718	0.107799	-0.0712076	-2.32984	-2.0654	0.0804063	-0.00629568	-1.71384	0.49148	0.0589473	0.202984	1.64826	1.11382	0.931269	0.0973115	0.126768	1.08373	0.993724	0.180172	1.63473	1.510109
160	-188.0633	-154.2409	-33.82239	1.37999	0.845379	1.65964	0.600803	0.37397	0.468182	0.39546	0.417435	0.779078	1.44345	1.59927	0.5542818	0.322074	-0.16797	0.506603	-0.509487	-0.983581	-0.758897	-0.927706	-0.873626	-0.249644	0.367033	0.469547	-4.27157	-1.33356	0.551032	0.160884	0.242208	-1.01274	-1.40626	0.124036	-0.0734144	-1.1896	0.726947	0.0139599	0.263538	1.73504	1.17455	1.27406	0.363222	0.245059	1.13206	0.929216	0.304344	2.06876	1.404085
170	-188.1737	-156.2097	-31.96397	1.37887	0.842749	1.67582	0.642057	0.543538	0.581111	0.397396	0.542654	1.15868	1.25099	1.71206	0.5321858	0.321266	-0.171086	0.516305	-0.443077	-0.609655	-0.542813	-0.922823	-0.611284	0.147284	0.223934	0.537698	-3.27688	-1.40609	0.598382	0.184342	0.30654	-0.96742	-0.85964	0.141845	-0.363876	-1.38148	0.838161	0.0377457	0.245101	1.81917	1.20243	1.35872	0.380062	0.423314	1.1524	0.694977	0.251207	2.31211	1.158536
180	-192.8386	-158.7526	-34.08603	1.32971	0.650687	1.99859	0.559362	0.440768	0.481507	0.538665	0.521718	1.06107	1.6608	2.14944	0.7835473	0.284961	-0.429726	0.692443	-0.580958	-0.819237	-0.730835	-0.618661	-0.650628	0.0592736	0.507298	0.765206	-3.72758	-1.22696	0.628277	0.169785	0.274237	-0.888862	-0.998682	0.08193	-0.21596	0.0688579	0.82777	0.0240509	0.293182	1.87438	1.18505	1.31553	0.411123	0.368365	1.08538	0.805768	1.07128	2.28821	1.332135
190	-194.168	-157.7453	-36.42271	1.29068	0.853031	2.08994	0.67097	0.188327	0.314157	0.548849	0.420229	0.878502	1.53279	2.40656	0.7793012	0.255171	-0.15896	0.737133	-0.399031	-1.66958	-1.15786	-0.599932	-0.866957	-0.129537	0.427091	0.878199	-3.62388	-1.9296	0.711036	0.211397	0.308322	-1.3719	-1.47848	0.185098	-0.428523	0.317908	0.910447	0.0266791	0.145206	2.0361	1.2354	1.36114	0.253625	0.227984	1.20334	0.65147	1.37425	2.48543	1.434958
200	-195.6368	-156.8857	-38.75114	1.34002	0.951312	2.11739	0.682128	0.129264	0.23917	0.466215	0.542336	0.726392	1.78705	2.44687	0.8105481	0.292686	-0.049913	0.750184	-0.382538	-2.04589	-1.43058	-0.763109	-0.611869	-0.319666	0.580564	0.894812	-2.51816	-2.73601	0.786469	0.196102	0.241736	-1.54628	-1.57718	0.245225	-0.537512	-0.394203	1.08871	0.0806081	0.0648286	2.19563	1.21665	1.27346	0.213039	0.206557	1.27791	0.5842	0.674217	2.97044	1.590635
210	-197.9565	-155.6325	-42.32398	1.38409	0.772602	2.23309	0.663787	0.181982	0.183757	0.505104	0.409817	1.19092	1.41089	2.47637	0.6050883	0.325041	-0.257991	0.803385	-0.409794	-1.70385	-1.69414	-0.682991	-0.892043	0.174723	0.344223	0.906795	-3.6017	-2.03089	0.738556	0.181798	0.295194	-2.21935	-1.98696	0.288742	0.151604	-1.46434	1.06571	0.0272772	0.131219	2.09291	1.19937	1.34339	0.10868	0.137112	1.33475	1.1637	0.23123	2.90291	1.432542
220	-196.1593	-153.2581	-42.90121	1.38979	0.815466	2.06737	0.723657	0.120468	0.203415	0.580665	0.470177	1.22057	2.03633	2.33096	0.8998902	0.329155	-0.203995	0.726276	-0.323438	-2.11637	-1.59251	-0.543582	-0.754647	0.199317	0.711148	0.846281	-5.86715	-2.27238	0.760306	0.233076	0.161048	-1.34712	-1.73248	0.230036	0.144841	-0.794713	1.09034	0.00283092	0.103067	2.13893	1.26248	1.17474	0.259987	0.176845	1.25864	1.15586	0.451711	2.97527	2.27702
230	-191.6906	-152.9884	-38.7022	1.34849	0.855035	1.95693	0.639122	0.171301	0.297694	0.485789	0.596028	1.31805	2.55626	2.12366	1.017384	0.298982	-0.156612	0.671374	-0.44766	-1.76434	-1.21169	-0.721981	-0.517468	0.27615	0.938544	0.753141	-3.85928	-2.53724	0.731513	0.223967	0.116418	-1.60811	-1.02273	0.199521	0.30382	-0.545961	1.05703	0.0210832	0.079084	2.07822	1.25103	1.12346	0.200265	0.359611	1.22082	1.35503	0.579285	2.8778	1.141505
240	-196.454	-152.3496	-44.10439	1.23672	0.820221	2.02809	0.611323	0.45079	0.371023	0.597465	0.436312	1.51296	2.65552	2.00135	0.6153881	0.212461	-0.198181	0.707092	-0.49213	-0.796754	-0.991491	-0.515059	-0.829398	0.414065	0.976641	0.693821	-5.78596	-2.42764	0.791078	0.191063	0.254297	-2.1885	-1.00565	0.298277	0.395959	-1.21204	1.09959	0.00307036	0.0882444	2.20577	1.21054	1.28955	0.112085	0.365807	1.34754	1.48581	0.297589	3.00293	3.494209
250	-196.197	-154.1556	-42.04145	1.15568	0.867703	2.2683	0.542652	0.371495	0.367743	0.341668	0.31256	1.46883	2.35024	2.16918	0.6985366	0.144691	-0.141906	0.819033	-0.611287	-0.990219	-1.00037	-1.07392	-1.16296	0.384468	0.854517	0.774347	-3.40615	-3.82277	0.850083	0.113639	0.346902	-1.75415	-1.3526	-0.0627345	0.27903	-1.18952	1.14465	0.0331685	0.0218672	2.33984	1.12035	1.41468	0.173055	0.258567	0.939193	1.32185	0.304367	3.14133	1.320476
260	-193.3171	-152.7394	-40.5777	1.11204	0.949148	2.29483	0.69718	0.25452	0.428775	0.600254	0.279408	1.13398	3.25786	2.54952	0.7519039	0.106194	-0.0521907	0.83066	-0.360712	-1.36838	-0.846822	-0.510402	-1.27508	0.125731	1.18107	0.935906	-3.96659	-3.16298	0.950373	0.0991583	0.24711	-2.05587	-0.776854	0.104689	0.0628716	-0.0716634	1.266	0.0189379	0.0422995	2.58668	1.10424	1.28032	0.127982	0.45985	1.11037	1.06489	0.930844	3.54664	1.431664
