Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
0	-210.3162	-157.8789	-52.4373	1.03359	0.850359	1.25496	0.116039	0.0121903	0.0213323	0.201767	0.524732	1.03634	0.456645	0.726821
10	-208.1615	-158.6904	-49.47106	0.973047	0.845086	1.21964	0.0642159	0.11215	0.0348343	0.40163	0.304865	0.952604	0.218567	1.13526
20	-202.8034	-157.7431	-45.06032	1.1417	1.03318	1.18825	0.093811	0.0223879	0.0388693	0.264519	0.373503	0.868052	0.498937	1.05444
30	-198.3331	-155.0982	-43.23486	1.14698	0.967214	1.25579	0.183462	0.0287236	0.13224	0.469493	0.415062	0.756489	1.10815	0.931349
40	-197.6737	-158.1863	-39.48736	1.23834	1.08545	1.36771	0.161335	0.0787702	0.125379	0.388612	0.491796	0.717824	1.26783	0.894002
50	-202.3223	-154.5357	-47.78661	1.26944	1.07356	1.426	0.132957	0.04731	0.162515	0.491646	0.292217	0.623354	1.1345	0.761793
60	-198.1515	-156.6485	-41.50298	1.58538	1.14779	1.5251	0.0881393	0.0563931	0.115092	0.37527	0.353364	0.577096	1.29444	0.512359
70	-201.3032	-154.4907	-46.81245	1.67225	1.15045	1.34841	0.0685077	0.0496593	0.210847	0.559148	0.329022	0.809115	0.559442	0.95615
80	-196.1161	-158.1129	-38.00322	1.699	1.02875	1.30611	0.180613	0.0668141	0.124757	0.465686	0.470127	0.879988	0.772212	1.06792
90	-198.4509	-158.2318	-40.21917	1.6982	1.05244	1.30844	0.352052	0.152821	0.212448	0.641314	0.489216	0.478193	0.655887	1.57638
100	-195.4687	-157.1361	-38.33265	1.30566	0.829812	1.17798	0.526202	0.160192	0.296287	0.492104	0.38135	0.674005	0.718759	1.69732
110	-202.8517	-157.38	-45.4717	1.34949	0.814919	1.18309	0.526001	0.314692	0.0771752	0.240835	0.398243	0.628647	0.793782	1.8066
120	-207.9913	-160.3721	-47.61918	1.21916	0.758219	1.16841	0.570777	0.351886	0.0835577	0.247804	0.319215	1.16728	0.372061	1.83471
130	-190.3941	-154.5982	-35.79595	1.05704	0.792945	1.17182	0.573697	0.236553	0.211276	0.247788	0.315772	0.750082	0.753104	1.51969
140	-191.4495	-156.4814	-34.9681	1.05901	0.727962	1.30973	0.646927	0.337541	0.254075	0.247163	0.321662	0.912455	0.873137	1.70714
150	-189.1519	-154.4228	-34.72913	1.2524	0.769746	1.37231	0.55163	0.279548	0.337598	0.298726	0.348519	0.942263	1.20708	1.20731
160	-188.0633	-154.2409	-33.82239	1.37999	0.845379	1.65964	0.600803	0.37397	0.468182	0.39546	0.417435	0.779078	1.44345	1.59927
