Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
0	-210.3162	-157.8789	-52.4373	0.00846528	0.0787914	1.35791	0.979521	0.459487	0.0559723	0.0467988	1.06521	0.873796	0.0483346	0.758906
10	-208.1615	-158.6904	-49.47106	0.00633354	0.0240263	1.52826	1.08852	0.282917	0.0351838	0.13743	0.971467	0.646512	0.15425	1.0325
20	-202.8034	-157.7431	-45.06032	0.0033139	0.128835	1.44539	1.12345	0.352744	0.0620096	0.095147	1.05379	0.501806	0.253916	1.22461
30	-198.3331	-155.0982	-43.23486	0.0114058	0.077832	1.70531	1.24092	0.326262	0.123038	0.0779031	1.07904	0.81823	0.2512	1.29349
40	-197.6737	-158.1863	-39.48736	0.0944854	0.143754	1.65776	1.21103	0.419927	0.0480685	0.235354	1.13876	0.897766	0.394917	1.08422
50	-202.3223	-154.5357	-47.78661	0.000408252	0.0216196	1.76492	1.29328	0.522559	0.0680724	0.194858	1.03396	0.833218	0.12994	1.07627
60	-198.1515	-156.6485	-41.50298	0.0258344	0.0840205	1.6829	1.29669	0.754228	0.158553	0.154265	1.17854	0.580532	0.315354	0.929323
70	-201.3032	-154.4907	-46.81245	0.00316199	0.105764	1.69684	1.17635	1.01749	0.127421	0.108376	1.20528	0.832892	0.088098	1.10823
80	-196.1161	-158.1129	-38.00322	0.0518749	0.0754503	1.72409	1.18527	0.908806	0.202258	0.240492	1.01366	0.59259	0.378491	1.32618
90	-198.4509	-158.2318	-40.21917	0.124399	0.041874	1.81252	1.29954	0.804635	0.174392	0.350588	1.35425	0.505737	0.192853	1.69624
100	-195.4687	-157.1361	-38.33265	0.00736056	0.0239143	1.63438	1.20144	0.883015	0.220513	0.204562	1.07045	0.451341	0.220261	1.83094
110	-202.8517	-157.38	-45.4717	0.00404514	0.0196925	1.64587	1.20434	0.870716	0.139041	0.087795	1.05003	0.900612	0.0156576	2.02331
120	-207.9913	-160.3721	-47.61918	0.0276864	0.0700767	1.54395	1.13956	0.949165	0.0655439	0.0467321	0.934733	0.881711	0.118959	1.61244
130	-190.3941	-154.5982	-35.79595	0.00471637	0.106051	1.49787	1.0516	0.76625	0.144045	0.113479	0.95865	0.640744	0.328469	1.64432
140	-191.4495	-156.4814	-34.9681	0.0390413	0.0688525	1.57229	1.09418	0.981719	0.111747	0.117439	0.905606	1.05527	0.371837	1.88371
150	-189.1519	-154.4228	-34.72913	0.0589473	0.202984	1.64826	1.11382	0.931269	0.0973115	0.126768	1.08373	0.993724	0.180172	1.63473
160	-188.0633	-154.2409	-33.82239	0.0139599	0.263538	1.73504	1.17455	1.27406	0.363222	0.245059	1.13206	0.929216	0.304344	2.06876
170	-188.1737	-156.2097	-31.96397	0.0377457	0.245101	1.81917	1.20243	1.35872	0.380062	0.423314	1.1524	0.694977	0.251207	2.31211
180	-192.8386	-158.7526	-34.08603	0.0240509	0.293182	1.87438	1.18505	1.31553	0.411123	0.368365	1.08538	0.805768	1.07128	2.28821
190	-194.168	-157.7453	-36.42271	0.0266791	0.145206	2.0361	1.2354	1.36114	0.253625	0.227984	1.20334	0.65147	1.37425	2.48543
