state	power	likelihood
2510	1	-218.843
2520	1	-217.379
2530	1	-218.198
2540	1	-220.521
2550	1	-217.19
2560	1	-215.946
2570	1	-218.281
2580	1	-219.144
2590	1	-217.941
2600	1	-216.07
2610	1	-215.779
2620	1	-216.766
2630	1	-217.062
2640	1	-220.793
2650	1	-218.137
2660	1	-215.952
2670	1	-216.642
2680	1	-216.718
2690	1	-217.326
2700	1	-219.778
2710	1	-216.744
2720	1	-215.07
2730	1	-216.389
2740	1	-217.235
2750	1	-218.857
2760	1	-217.401
2770	1	-216.602
2780	1	-215.872
2790	1	-217.699
2800	1	-215.724
2810	1	-217.167
2820	1	-217.987
2830	1	-215.429
2840	1	-216.601
2850	1	-216.932
2860	1	-216.034
2870	1	-215.876
2880	1	-217.535
2890	1	-216.449
2900	1	-216.78
2910	1	-217.315
2920	1	-216.806
2930	1	-216.8
2940	1	-217.126
2950	1	-218.48
2960	1	-216.023
2970	1	-216.979
2980	1	-216.167
2990	1	-217.929
3000	1	-218.635
3010	1	-216.696
3020	1	-216.628
3030	1	-216.414
3040	1	-215.449
3050	1	-217.164
3060	1	-220.221
3070	1	-215.573
3080	1	-217.249
3090	1	-216.224
3100	1	-217.32
3110	1	-218.263
3120	1	-218.3
3130	1	-217.606
3140	1	-216.559
3150	1	-217.509
3160	1	-217.433
3170	1	-216.122
3180	1	-216.578
3190	1	-217.349
3200	1	-218.186
3210	1	-216.517
3220	1	-216.755
3230	1	-215.832
3240	1	-216.815
3250	1	-215.907
3260	1	-216.724
3270	1	-216.16
3280	1	-220.279
3290	1	-216.126
3300	1	-216.004
3310	1	-215.117
3320	1	-216.818
3330	1	-216.545
3340	1	-218.144
3350	1	-216.952
3360	1	-216.6
3370	1	-217.103
3380	1	-217.265
3390	1	-217.156
3400	1	-216.231
3410	1	-217.01
3420	1	-216.383
3430	1	-217.558
3440	1	-218.123
3450	1	-217.209
3460	1	-215.938
3470	1	-215.991
3480	1	-219.33
3490	1	-216.237
3500	1	-216.772
3510	1	-216.56
3520	1	-215.366
3530	1	-217.132
3540	1	-217.418
3550	1	-218.067
3560	1	-215.824
3570	1	-216.412
3580	1	-217.925
3590	1	-215.571
3600	1	-217.201
3610	1	-216.505
3620	1	-215.847
3630	1	-215.461
3640	1	-218.316
3650	1	-217.279
3660	1	-217.341
3670	1	-215.81
3680	1	-219.044
3690	1	-217.658
3700	1	-218.917
3710	1	-216.509
3720	1	-215.727
3730	1	-215.507
3740	1	-217.629
3750	1	-215.276
3760	1	-216.586
3770	1	-215.499
3780	1	-215.487
3790	1	-221.033
3800	1	-216.027
3810	1	-215.975
3820	1	-218.081
3830	1	-217.188
3840	1	-220.722
3850	1	-216.164
3860	1	-215.376
3870	1	-219.005
3880	1	-217.882
3890	1	-215.47
3900	1	-217.564
3910	1	-216.011
3920	1	-215.466
3930	1	-216.277
3940	1	-217.275
3950	1	-216.973
3960	1	-215.852
3970	1	-217.789
3980	1	-218.026
3990	1	-217.926
4000	1	-217.764
4010	1	-217.407
4020	1	-218.692
4030	1	-216.15
4040	1	-215.807
4050	1	-221.184
4060	1	-216.765
4070	1	-215.904
4080	1	-221.868
4090	1	-215.919
4100	1	-216.783
4110	1	-217.093
4120	1	-216.81
4130	1	-217.094
4140	1	-217.15
4150	1	-218.764
4160	1	-216.788
4170	1	-216.534
4180	1	-216.37
4190	1	-215.587
4200	1	-216.446
4210	1	-215.618
4220	1	-216.173
4230	1	-215.83
4240	1	-218.45
4250	1	-215.602
4260	1	-218.357
4270	1	-216.808
4280	1	-217.772
4290	1	-216.328
4300	1	-219.452
4310	1	-218.451
4320	1	-217.504
4330	1	-217.835
4340	1	-219.112
4350	1	-217.001
4360	1	-216.054
4370	1	-218.791
4380	1	-216.364
4390	1	-218.895
4400	1	-221.099
4410	1	-215.359
4420	1	-216.509
4430	1	-217.578
4440	1	-216.087
4450	1	-215.947
4460	1	-215.15
4470	1	-216.742
4480	1	-218.382
4490	1	-215.844
4500	1	-217.907
4510	1	-217.063
4520	1	-219.133
4530	1	-216.858
4540	1	-215.646
4550	1	-217.072
4560	1	-216.599
4570	1	-217.438
4580	1	-216.312
4590	1	-215.598
4600	1	-217.073
4610	1	-217.719
4620	1	-218.577
4630	1	-217.777
4640	1	-217.401
4650	1	-215.939
4660	1	-217.63
4670	1	-217.092
4680	1	-217.632
4690	1	-215.633
4700	1	-216.712
4710	1	-218.522
4720	1	-217.668
4730	1	-216.561
4740	1	-215.734
4750	1	-216.306
4760	1	-216.065
4770	1	-217.383
4780	1	-215.552
4790	1	-217.053
4800	1	-216.642
4810	1	-216.702
4820	1	-217.522
4830	1	-216.323
4840	1	-217.813
4850	1	-217.451
4860	1	-216.758
4870	1	-216.091
4880	1	-215.186
4890	1	-216.66
4900	1	-216.153
4910	1	-215.693
4920	1	-216.429
4930	1	-215.978
4940	1	-217.539
4950	1	-217.345
4960	1	-216.372
4970	1	-216.317
4980	1	-215.448
4990	1	-218.15
5000	1	-217.39
5010	1	-216.249
5020	1	-215.224
5030	1	-218.903
5040	1	-215.399
5050	1	-218.115
5060	1	-217.834
5070	1	-215.839
5080	1	-215.676
5090	1	-216.501
5100	1	-218.897
5110	1	-216.262
5120	1	-216.864
5130	1	-215.684
5140	1	-217.436
5150	1	-216.995
5160	1	-216.302
5170	1	-216.48
5180	1	-217.731
5190	1	-216.979
5200	1	-217.743
5210	1	-216.363
5220	1	-216.462
5230	1	-219.357
5240	1	-216.685
5250	1	-217.788
5260	1	-215.542
5270	1	-215.677
5280	1	-215.666
5290	1	-215.06
5300	1	-215.052
5310	1	-215.607
5320	1	-218.805
5330	1	-217.02
5340	1	-215.993
5350	1	-217.281
5360	1	-219.447
5370	1	-216.096
5380	1	-215.234
5390	1	-216.046
5400	1	-217.206
5410	1	-222.105
5420	1	-217.963
5430	1	-217.819
5440	1	-218.254
5450	1	-216.488
5460	1	-219.302
5470	1	-218.487
5480	1	-216.702
5490	1	-217.898
5500	1	-215.115
5510	1	-217.421
5520	1	-216.682
5530	1	-215.915
5540	1	-216.242
5550	1	-215.68
5560	1	-215.536
5570	1	-217.321
5580	1	-216.966
5590	1	-215.504
5600	1	-215.487
5610	1	-217.676
5620	1	-217.705
5630	1	-216.436
5640	1	-215.211
5650	1	-216.902
5660	1	-215.694
5670	1	-216.964
5680	1	-215.857
5690	1	-215.948
5700	1	-217.04
5710	1	-216.932
5720	1	-219.256
5730	1	-216.882
5740	1	-218.741
5750	1	-216.954
5760	1	-218.087
5770	1	-217.511
5780	1	-215.598
5790	1	-221.347
5800	1	-215.536
5810	1	-215.955
5820	1	-215.877
5830	1	-216.353
5840	1	-221.153
5850	1	-218.288
5860	1	-218.365
5870	1	-217.025
5880	1	-215.888
5890	1	-216.328
5900	1	-220.438
5910	1	-215.69
5920	1	-216.734
5930	1	-216.41
5940	1	-217.576
5950	1	-216.159
5960	1	-216.228
5970	1	-216.853
5980	1	-218.015
5990	1	-216.307
6000	1	-216.279
6010	1	-216.189
6020	1	-216.722
6030	1	-216.274
6040	1	-217.102
6050	1	-216.49
6060	1	-216.359
6070	1	-215.965
6080	1	-216.203
6090	1	-217.744
6100	1	-218.941
6110	1	-217.829
6120	1	-216.151
6130	1	-216.571
6140	1	-218.811
6150	1	-215.39
6160	1	-215.789
6170	1	-216.255
6180	1	-216.251
6190	1	-216.866
6200	1	-215.546
6210	1	-215.192
6220	1	-219.277
6230	1	-216.842
6240	1	-216.777
6250	1	-216.574
6260	1	-215.907
6270	1	-217.827
6280	1	-215.747
6290	1	-220.24
6300	1	-216.204
6310	1	-216.014
6320	1	-216.36
6330	1	-216.32
6340	1	-220.116
6350	1	-218.939
6360	1	-217.256
6370	1	-215.642
6380	1	-216.628
6390	1	-216.888
6400	1	-215.776
6410	1	-217.335
6420	1	-216.592
6430	1	-215.412
6440	1	-215.84
6450	1	-217.648
6460	1	-215.416
6470	1	-215.587
6480	1	-216.779
6490	1	-215.972
6500	1	-216.296
6510	1	-217.578
6520	1	-215.657
6530	1	-217.225
6540	1	-218.26
6550	1	-216.864
6560	1	-216.686
6570	1	-216.664
6580	1	-216.288
6590	1	-216.783
6600	1	-215.369
6610	1	-215.161
6620	1	-216.983
6630	1	-217.426
6640	1	-217.932
6650	1	-216.416
6660	1	-216.241
6670	1	-216.046
6680	1	-217.345
6690	1	-216.956
6700	1	-216.538
6710	1	-217.29
6720	1	-218.915
6730	1	-216.855
6740	1	-218.37
6750	1	-216.222
6760	1	-216.568
6770	1	-216.866
6780	1	-215.805
6790	1	-216.89
6800	1	-216.181
6810	1	-216.43
6820	1	-215.272
6830	1	-216.66
6840	1	-215.533
6850	1	-215.886
6860	1	-217.425
6870	1	-215.917
6880	1	-219.325
6890	1	-216.978
6900	1	-215.712
6910	1	-216.126
6920	1	-217.371
6930	1	-216.847
6940	1	-216.602
6950	1	-215.471
6960	1	-217.367
6970	1	-219.075
6980	1	-216.264
6990	1	-217.243
7000	1	-216.119
7010	1	-217.098
7020	1	-217.986
7030	1	-218.912
7040	1	-219.257
7050	1	-215.493
7060	1	-216.774
7070	1	-217.133
7080	1	-217.977
7090	1	-215.676
7100	1	-216.037
7110	1	-218.715
7120	1	-217.317
7130	1	-215.423
7140	1	-216.495
7150	1	-218.006
7160	1	-216.54
7170	1	-215.779
7180	1	-217.92
7190	1	-216.03
7200	1	-216.437
7210	1	-217.984
7220	1	-216.515
7230	1	-217.635
7240	1	-215.329
7250	1	-216.721
7260	1	-215.524
7270	1	-217.065
7280	1	-221.19
7290	1	-216.96
7300	1	-215.574
7310	1	-219.082
7320	1	-216.123
7330	1	-216.183
7340	1	-217.398
7350	1	-215.885
7360	1	-218.601
7370	1	-215.52
7380	1	-216.944
7390	1	-216.564
7400	1	-215.46
7410	1	-218.527
7420	1	-216.216
7430	1	-216.257
7440	1	-215.617
7450	1	-215.961
7460	1	-215.189
7470	1	-216.57
7480	1	-218.449
7490	1	-215.735
7500	1	-219.611
7510	1	-216.505
7520	1	-216.702
7530	1	-216.406
7540	1	-217.84
7550	1	-217.46
7560	1	-217.998
7570	1	-217.454
7580	1	-217.696
7590	1	-215.548
7600	1	-217.275
7610	1	-217.914
7620	1	-215.722
7630	1	-216.197
7640	1	-217.795
7650	1	-215.374
7660	1	-218.459
7670	1	-216.901
7680	1	-216.796
7690	1	-216.173
7700	1	-216.486
7710	1	-216.217
7720	1	-216.056
7730	1	-220.026
7740	1	-217.042
7750	1	-216.28
7760	1	-216.16
7770	1	-217.958
7780	1	-216.113
7790	1	-216.892
7800	1	-216.163
7810	1	-216.658
7820	1	-220.05
7830	1	-216.67
7840	1	-217.656
7850	1	-216.407
7860	1	-217.537
7870	1	-217.254
7880	1	-215.237
7890	1	-215.895
7900	1	-218.903
7910	1	-216.044
7920	1	-216.687
7930	1	-215.912
7940	1	-216.38
7950	1	-215.764
7960	1	-218.402
7970	1	-216.147
7980	1	-217.897
7990	1	-216.726
8000	1	-218.144
8010	1	-217.409
8020	1	-217.257
8030	1	-216.344
8040	1	-217.896
8050	1	-215.727
8060	1	-217.894
8070	1	-215.167
8080	1	-215.794
8090	1	-217.269
8100	1	-215.614
8110	1	-216.087
8120	1	-216.891
8130	1	-216.519
8140	1	-218.629
8150	1	-215.515
8160	1	-215.927
8170	1	-217.406
8180	1	-215.507
8190	1	-217.353
8200	1	-215.761
8210	1	-218.003
8220	1	-216.814
8230	1	-217.48
8240	1	-215.476
8250	1	-217.765
8260	1	-216.298
8270	1	-217.696
8280	1	-216.731
8290	1	-219.187
8300	1	-216.652
8310	1	-216.034
8320	1	-216.434
8330	1	-216.41
8340	1	-216.614
8350	1	-217.871
8360	1	-217.355
8370	1	-215.668
8380	1	-217.392
8390	1	-215.853
8400	1	-216.583
8410	1	-216.215
8420	1	-216.779
8430	1	-217.723
8440	1	-215.686
8450	1	-215.997
8460	1	-216.441
8470	1	-216.235
8480	1	-219.51
8490	1	-217.52
8500	1	-218.049
8510	1	-218.178
8520	1	-216.195
8530	1	-215.772
8540	1	-221.178
8550	1	-216.045
8560	1	-218.477
8570	1	-215.911
8580	1	-216.764
8590	1	-216.333
8600	1	-216.132
8610	1	-216.792
8620	1	-215.502
8630	1	-216.775
8640	1	-216.318
8650	1	-217.347
8660	1	-215.467
8670	1	-215.684
8680	1	-215.584
8690	1	-216.036
8700	1	-215.524
8710	1	-219.007
8720	1	-215.224
8730	1	-218.813
8740	1	-216.681
8750	1	-216.248
8760	1	-216.642
8770	1	-215.37
8780	1	-217.573
8790	1	-217.294
8800	1	-216.36
8810	1	-215.987
8820	1	-216.452
8830	1	-216.71
8840	1	-217.143
8850	1	-215.791
8860	1	-216.796
8870	1	-216.263
8880	1	-215.983
8890	1	-217.157
8900	1	-217.706
8910	1	-217.209
8920	1	-216.544
8930	1	-215.201
8940	1	-215.15
8950	1	-216.338
8960	1	-215.561
8970	1	-216.835
8980	1	-218.248
8990	1	-215.6
9000	1	-215.601
9010	1	-217.432
9020	1	-217.97
9030	1	-215.331
9040	1	-217.081
9050	1	-217.388
9060	1	-216.768
9070	1	-217.465
9080	1	-216.915
9090	1	-217.148
9100	1	-215.518
9110	1	-215.414
9120	1	-216.404
9130	1	-216.56
9140	1	-216.396
9150	1	-216.345
9160	1	-216.202
9170	1	-215.464
9180	1	-215.814
9190	1	-219.22
9200	1	-216.033
9210	1	-217.373
9220	1	-216.218
9230	1	-216.66
9240	1	-216.164
9250	1	-217.515
9260	1	-216.255
9270	1	-216.436
9280	1	-216.17
9290	1	-215.806
9300	1	-216.107
9310	1	-216.312
9320	1	-215.908
9330	1	-218.088
9340	1	-217.133
9350	1	-216.496
9360	1	-216.974
9370	1	-215.926
9380	1	-216.174
9390	1	-216.604
9400	1	-216.437
9410	1	-218.245
9420	1	-216.382
9430	1	-220.122
9440	1	-216.43
9450	1	-215.959
9460	1	-215.412
9470	1	-216.706
9480	1	-217.186
9490	1	-215.853
9500	1	-217.821
9510	1	-216.137
9520	1	-217.021
9530	1	-215.771
9540	1	-219.568
9550	1	-217.25
9560	1	-217.286
9570	1	-215.243
9580	1	-218.543
9590	1	-216.02
9600	1	-216.145
9610	1	-215.5
9620	1	-217.092
9630	1	-215.955
9640	1	-217.49
9650	1	-217.969
9660	1	-216.045
9670	1	-216.408
9680	1	-216.419
9690	1	-216.554
9700	1	-215.414
9710	1	-215.965
9720	1	-215.847
9730	1	-215.913
9740	1	-217.655
9750	1	-216.003
9760	1	-217.634
9770	1	-216.741
9780	1	-215.928
9790	1	-217.105
9800	1	-216.808
9810	1	-219.751
9820	1	-216.033
9830	1	-217.199
9840	1	-216.232
9850	1	-217.228
9860	1	-217.13
9870	1	-215.668
9880	1	-217.95
9890	1	-216.457
9900	1	-216.319
9910	1	-219.072
9920	1	-216.278
9930	1	-219.261
9940	1	-217.555
9950	1	-216.412
9960	1	-216.575
9970	1	-215.265
9980	1	-218.302
9990	1	-216.522
10000	1	-216.864
2510	0.95099	-217.617
2520	0.95099	-215.553
2530	0.95099	-218.21
2540	0.95099	-216.272
2550	0.95099	-216.385
2560	0.95099	-216.82
2570	0.95099	-216.391
2580	0.95099	-216.328
2590	0.95099	-217.647
2600	0.95099	-217.616
2610	0.95099	-221.496
2620	0.95099	-216.217
2630	0.95099	-219.242
2640	0.95099	-215.637
2650	0.95099	-216.034
2660	0.95099	-216.035
2670	0.95099	-215.946
2680	0.95099	-219.083
2690	0.95099	-215.505
2700	0.95099	-216.075
2710	0.95099	-216.627
2720	0.95099	-217.227
2730	0.95099	-216.123
2740	0.95099	-215.988
2750	0.95099	-218.408
2760	0.95099	-218.703
2770	0.95099	-216.988
2780	0.95099	-215.288
2790	0.95099	-216.324
2800	0.95099	-217.826
2810	0.95099	-218.151
2820	0.95099	-216.222
2830	0.95099	-218.915
2840	0.95099	-218.3
2850	0.95099	-216.086
2860	0.95099	-216.409
2870	0.95099	-216.951
2880	0.95099	-215.165
2890	0.95099	-217.823
2900	0.95099	-218.514
2910	0.95099	-217.956
2920	0.95099	-216.194
2930	0.95099	-218.508
2940	0.95099	-216.374
2950	0.95099	-217.244
2960	0.95099	-215.512
2970	0.95099	-220.797
2980	0.95099	-216.789
2990	0.95099	-217.907
3000	0.95099	-218.397
3010	0.95099	-215.51
3020	0.95099	-216.764
3030	0.95099	-215.459
3040	0.95099	-217.428
3050	0.95099	-222.274
3060	0.95099	-215.76
3070	0.95099	-216.331
3080	0.95099	-216.219
3090	0.95099	-215.821
3100	0.95099	-216.294
3110	0.95099	-215.626
3120	0.95099	-219.019
3130	0.95099	-215.542
3140	0.95099	-218.672
3150	0.95099	-215.344
3160	0.95099	-216.824
3170	0.95099	-217.708
3180	0.95099	-217.24
3190	0.95099	-215.871
3200	0.95099	-216.28
3210	0.95099	-217.376
3220	0.95099	-215.806
3230	0.95099	-216.474
3240	0.95099	-215.474
3250	0.95099	-215.871
3260	0.95099	-215.426
3270	0.95099	-217.557
3280	0.95099	-217.559
3290	0.95099	-216.032
3300	0.95099	-216.289
3310	0.95099	-219.467
3320	0.95099	-217.876
3330	0.95099	-215.307
3340	0.95099	-216.061
3350	0.95099	-217.451
3360	0.95099	-216.372
3370	0.95099	-216.253
3380	0.95099	-217.131
3390	0.95099	-215.6
3400	0.95099	-220.748
3410	0.95099	-217.104
3420	0.95099	-215.272
3430	0.95099	-217.1
3440	0.95099	-215.06
3450	0.95099	-217.237
3460	0.95099	-216.856
3470	0.95099	-216.024
3480	0.95099	-217.268
3490	0.95099	-218.126
3500	0.95099	-215.032
3510	0.95099	-218.421
3520	0.95099	-216.081
3530	0.95099	-217.361
3540	0.95099	-219.141
3550	0.95099	-215.833
3560	0.95099	-217.062
3570	0.95099	-217.97
3580	0.95099	-221.494
3590	0.95099	-216.769
3600	0.95099	-215.786
3610	0.95099	-216.687
3620	0.95099	-216.234
3630	0.95099	-218.332
3640	0.95099	-217.162
3650	0.95099	-216.565
3660	0.95099	-218.071
3670	0.95099	-218.648
3680	0.95099	-218.384
3690	0.95099	-216.396
3700	0.95099	-216.823
3710	0.95099	-216.853
3720	0.95099	-219.729
3730	0.95099	-216.667
3740	0.95099	-215.547
3750	0.95099	-218.07
3760	0.95099	-215.788
3770	0.95099	-215.732
3780	0.95099	-215.071
3790	0.95099	-224.594
3800	0.95099	-218.063
3810	0.95099	-217.928
3820	0.95099	-216.4
3830	0.95099	-216.127
3840	0.95099	-216.242
3850	0.95099	-215.328
3860	0.95099	-217.221
3870	0.95099	-216.063
3880	0.95099	-216.134
3890	0.95099	-215.011
3900	0.95099	-221.097
3910	0.95099	-215.521
3920	0.95099	-216.444
3930	0.95099	-216.592
3940	0.95099	-219.836
3950	0.95099	-216.103
3960	0.95099	-217.202
3970	0.95099	-216.993
3980	0.95099	-216.64
3990	0.95099	-215.481
4000	0.95099	-216.089
4010	0.95099	-216.08
4020	0.95099	-216.022
4030	0.95099	-216.646
4040	0.95099	-215.476
4050	0.95099	-215.301
4060	0.95099	-219.493
4070	0.95099	-217.217
4080	0.95099	-216.212
4090	0.95099	-216.726
4100	0.95099	-216.384
4110	0.95099	-218.057
4120	0.95099	-218.671
4130	0.95099	-216.625
4140	0.95099	-215.851
4150	0.95099	-216.712
4160	0.95099	-217.421
4170	0.95099	-217.832
4180	0.95099	-216.656
4190	0.95099	-216.349
4200	0.95099	-218.529
4210	0.95099	-217.393
4220	0.95099	-216.708
4230	0.95099	-216.068
4240	0.95099	-216.463
4250	0.95099	-216.129
4260	0.95099	-216.434
4270	0.95099	-216.501
4280	0.95099	-216.233
4290	0.95099	-215.6
4300	0.95099	-216.577
4310	0.95099	-219.759
4320	0.95099	-217.786
4330	0.95099	-220.332
4340	0.95099	-215.832
4350	0.95099	-215.889
4360	0.95099	-217.763
4370	0.95099	-215.837
4380	0.95099	-217.441
4390	0.95099	-218.134
4400	0.95099	-215.683
4410	0.95099	-216.204
4420	0.95099	-217.06
4430	0.95099	-217.052
4440	0.95099	-216.711
4450	0.95099	-219.301
4460	0.95099	-217.201
4470	0.95099	-216.131
4480	0.95099	-217.546
4490	0.95099	-216.951
4500	0.95099	-216.195
4510	0.95099	-216.005
4520	0.95099	-215.32
4530	0.95099	-217.359
4540	0.95099	-217.124
4550	0.95099	-216.856
4560	0.95099	-216.336
4570	0.95099	-219.671
4580	0.95099	-216.018
4590	0.95099	-217.348
4600	0.95099	-215.812
4610	0.95099	-217.093
4620	0.95099	-218.598
4630	0.95099	-216.894
4640	0.95099	-219.577
4650	0.95099	-218.253
4660	0.95099	-218.182
4670	0.95099	-223.264
4680	0.95099	-216.635
4690	0.95099	-219.279
4700	0.95099	-215.295
4710	0.95099	-218.011
4720	0.95099	-216.023
4730	0.95099	-215.489
4740	0.95099	-216.289
4750	0.95099	-216.55
4760	0.95099	-218.315
4770	0.95099	-217.86
4780	0.95099	-218.385
4790	0.95099	-215.541
4800	0.95099	-216.148
4810	0.95099	-216.467
4820	0.95099	-216.606
4830	0.95099	-217.307
4840	0.95099	-217.751
4850	0.95099	-216.869
4860	0.95099	-215.874
4870	0.95099	-215.47
4880	0.95099	-216.056
4890	0.95099	-216.164
4900	0.95099	-217.613
4910	0.95099	-222.43
4920	0.95099	-215.647
4930	0.95099	-217.089
4940	0.95099	-216.741
4950	0.95099	-217.005
4960	0.95099	-215.915
4970	0.95099	-215.98
4980	0.95099	-215.442
4990	0.95099	-216.567
5000	0.95099	-216.987
5010	0.95099	-215.423
5020	0.95099	-220.362
5030	0.95099	-217.176
5040	0.95099	-216.02
5050	0.95099	-215.587
5060	0.95099	-219.606
5070	0.95099	-216.654
5080	0.95099	-217.519
5090	0.95099	-216.173
5100	0.95099	-216.42
5110	0.95099	-215.771
5120	0.95099	-217.033
5130	0.95099	-216.843
5140	0.95099	-215.513
5150	0.95099	-216.609
5160	0.95099	-218.807
5170	0.95099	-216.838
5180	0.95099	-217.65
