state	power	likelihood
2510	1.61051e-05	-226.171
2520	1.61051e-05	-217.352
2530	1.61051e-05	-279.338
2540	1.61051e-05	-234.894
2550	1.61051e-05	-224.565
2560	1.61051e-05	-287.365
2570	1.61051e-05	-232.313
2580	1.61051e-05	-257.603
2590	1.61051e-05	-257.696
2600	1.61051e-05	-221.24
2610	1.61051e-05	-243.078
2620	1.61051e-05	-254.703
2630	1.61051e-05	-261.632
2640	1.61051e-05	-249.654
2650	1.61051e-05	-294.007
2660	1.61051e-05	-314.799
2670	1.61051e-05	-278.032
2680	1.61051e-05	-287.643
2690	1.61051e-05	-230.701
2700	1.61051e-05	-247.115
2710	1.61051e-05	-310.814
2720	1.61051e-05	-229.973
2730	1.61051e-05	-250.379
2740	1.61051e-05	-269.246
2750	1.61051e-05	-362.93
2760	1.61051e-05	-228.025
2770	1.61051e-05	-330.811
2780	1.61051e-05	-223.05
2790	1.61051e-05	-240.312
2800	1.61051e-05	-224.295
2810	1.61051e-05	-307.59
2820	1.61051e-05	-270.003
2830	1.61051e-05	-239.35
2840	1.61051e-05	-223.14
2850	1.61051e-05	-228.991
2860	1.61051e-05	-257.25
2870	1.61051e-05	-256.224
2880	1.61051e-05	-257.323
2890	1.61051e-05	-242.45
2900	1.61051e-05	-226.57
2910	1.61051e-05	-219.505
2920	1.61051e-05	-305.36
2930	1.61051e-05	-234.92
2940	1.61051e-05	-236.632
2950	1.61051e-05	-236.341
2960	1.61051e-05	-332.896
2970	1.61051e-05	-217.684
2980	1.61051e-05	-243.967
2990	1.61051e-05	-233.895
3000	1.61051e-05	-231.466
3010	1.61051e-05	-229.492
3020	1.61051e-05	-221.415
3030	1.61051e-05	-243.429
3040	1.61051e-05	-265.99
3050	1.61051e-05	-312.545
3060	1.61051e-05	-257.678
3070	1.61051e-05	-308.836
3080	1.61051e-05	-222.362
3090	1.61051e-05	-251.045
3100	1.61051e-05	-225.036
3110	1.61051e-05	-244.902
3120	1.61051e-05	-223.878
3130	1.61051e-05	-239.688
3140	1.61051e-05	-234.784
3150	1.61051e-05	-256.162
3160	1.61051e-05	-262.338
3170	1.61051e-05	-255.841
3180	1.61051e-05	-288.593
3190	1.61051e-05	-234.512
3200	1.61051e-05	-238.549
3210	1.61051e-05	-219.245
3220	1.61051e-05	-252.985
3230	1.61051e-05	-245.795
3240	1.61051e-05	-246.105
3250	1.61051e-05	-263.208
3260	1.61051e-05	-277.97
3270	1.61051e-05	-327.019
3280	1.61051e-05	-220.412
3290	1.61051e-05	-247.561
3300	1.61051e-05	-244.2
3310	1.61051e-05	-247.604
3320	1.61051e-05	-238.193
3330	1.61051e-05	-222.166
3340	1.61051e-05	-267.873
3350	1.61051e-05	-313.291
3360	1.61051e-05	-221.272
3370	1.61051e-05	-230.657
3380	1.61051e-05	-235.655
3390	1.61051e-05	-262.457
3400	1.61051e-05	-233.954
3410	1.61051e-05	-244.16
3420	1.61051e-05	-247.796
3430	1.61051e-05	-225.247
3440	1.61051e-05	-245.436
3450	1.61051e-05	-266.655
3460	1.61051e-05	-220.568
3470	1.61051e-05	-248.64
3480	1.61051e-05	-265.681
3490	1.61051e-05	-239.653
3500	1.61051e-05	-303.673
3510	1.61051e-05	-244.502
3520	1.61051e-05	-290.176
3530	1.61051e-05	-221.484
3540	1.61051e-05	-247.129
3550	1.61051e-05	-291.9
3560	1.61051e-05	-239.232
3570	1.61051e-05	-254.141
3580	1.61051e-05	-236.394
3590	1.61051e-05	-242.99
3600	1.61051e-05	-244.449
3610	1.61051e-05	-230.738
3620	1.61051e-05	-287.561
3630	1.61051e-05	-262.89
3640	1.61051e-05	-219.194
3650	1.61051e-05	-285.818
3660	1.61051e-05	-221.787
3670	1.61051e-05	-366.081
3680	1.61051e-05	-219
3690	1.61051e-05	-220.653
3700	1.61051e-05	-226.66
3710	1.61051e-05	-237.363
3720	1.61051e-05	-273.991
3730	1.61051e-05	-248.337
3740	1.61051e-05	-230.665
3750	1.61051e-05	-236.304
3760	1.61051e-05	-216.184
3770	1.61051e-05	-252.649
3780	1.61051e-05	-288.997
3790	1.61051e-05	-246.133
3800	1.61051e-05	-244.288
3810	1.61051e-05	-245.747
3820	1.61051e-05	-230.141
3830	1.61051e-05	-261.771
3840	1.61051e-05	-233.994
3850	1.61051e-05	-247.713
3860	1.61051e-05	-248.005
3870	1.61051e-05	-251.629
3880	1.61051e-05	-232.215
3890	1.61051e-05	-236.447
3900	1.61051e-05	-261.066
3910	1.61051e-05	-244.304
3920	1.61051e-05	-263.708
3930	1.61051e-05	-294.12
3940	1.61051e-05	-232.32
3950	1.61051e-05	-232.748
3960	1.61051e-05	-220.807
3970	1.61051e-05	-219.414
3980	1.61051e-05	-234.035
3990	1.61051e-05	-284.326
4000	1.61051e-05	-251.341
4010	1.61051e-05	-244.122
4020	1.61051e-05	-264.295
4030	1.61051e-05	-238.025
4040	1.61051e-05	-224.006
4050	1.61051e-05	-235.142
4060	1.61051e-05	-267.982
4070	1.61051e-05	-228.69
4080	1.61051e-05	-237.163
4090	1.61051e-05	-238.251
4100	1.61051e-05	-222.08
4110	1.61051e-05	-260.486
4120	1.61051e-05	-244.874
4130	1.61051e-05	-279.811
4140	1.61051e-05	-233.318
4150	1.61051e-05	-221.132
4160	1.61051e-05	-244.567
4170	1.61051e-05	-228.977
4180	1.61051e-05	-226.091
4190	1.61051e-05	-252.213
4200	1.61051e-05	-229.096
4210	1.61051e-05	-218.548
4220	1.61051e-05	-224.033
4230	1.61051e-05	-284.094
4240	1.61051e-05	-251.054
4250	1.61051e-05	-257.232
4260	1.61051e-05	-244.172
4270	1.61051e-05	-217.949
4280	1.61051e-05	-244.863
4290	1.61051e-05	-246.545
4300	1.61051e-05	-248.66
4310	1.61051e-05	-257.88
4320	1.61051e-05	-234.293
4330	1.61051e-05	-258.536
4340	1.61051e-05	-228.522
4350	1.61051e-05	-306.573
4360	1.61051e-05	-223.971
4370	1.61051e-05	-277.847
4380	1.61051e-05	-256.408
4390	1.61051e-05	-250.169
4400	1.61051e-05	-227.351
4410	1.61051e-05	-243.676
4420	1.61051e-05	-242.207
4430	1.61051e-05	-221.245
4440	1.61051e-05	-292.496
4450	1.61051e-05	-243.937
4460	1.61051e-05	-233.771
4470	1.61051e-05	-218.446
4480	1.61051e-05	-246.892
4490	1.61051e-05	-241.305
4500	1.61051e-05	-320.35
4510	1.61051e-05	-263.685
4520	1.61051e-05	-272.762
4530	1.61051e-05	-219.142
4540	1.61051e-05	-246.583
4550	1.61051e-05	-231.708
4560	1.61051e-05	-240.481
4570	1.61051e-05	-231.259
4580	1.61051e-05	-242.4
4590	1.61051e-05	-270.424
4600	1.61051e-05	-223.505
4610	1.61051e-05	-232.519
4620	1.61051e-05	-229.479
4630	1.61051e-05	-220.277
4640	1.61051e-05	-247.1
4650	1.61051e-05	-246.959
4660	1.61051e-05	-217.906
4670	1.61051e-05	-224.821
4680	1.61051e-05	-275.253
4690	1.61051e-05	-233.722
4700	1.61051e-05	-271.965
4710	1.61051e-05	-243.339
4720	1.61051e-05	-233.915
4730	1.61051e-05	-251.316
4740	1.61051e-05	-225.168
4750	1.61051e-05	-217.914
4760	1.61051e-05	-239.561
4770	1.61051e-05	-246.878
4780	1.61051e-05	-224.042
4790	1.61051e-05	-222.497
4800	1.61051e-05	-249.967
4810	1.61051e-05	-271.135
4820	1.61051e-05	-243.705
4830	1.61051e-05	-221.693
4840	1.61051e-05	-221.174
4850	1.61051e-05	-248.062
4860	1.61051e-05	-256.615
4870	1.61051e-05	-293.255
4880	1.61051e-05	-316.472
4890	1.61051e-05	-345.21
4900	1.61051e-05	-242.319
4910	1.61051e-05	-279.468
4920	1.61051e-05	-220.781
4930	1.61051e-05	-248.145
4940	1.61051e-05	-252.13
4950	1.61051e-05	-218.437
4960	1.61051e-05	-227.346
4970	1.61051e-05	-258.557
4980	1.61051e-05	-234.337
4990	1.61051e-05	-230.246
5000	1.61051e-05	-246.181
