state	power	likelihood
2510	1	-215.847
2520	1	-215.762
2530	1	-215.649
2540	1	-217.31
2550	1	-216.584
2560	1	-216.887
2570	1	-216.25
2580	1	-215.781
2590	1	-216.876
2600	1	-215.326
2610	1	-217.959
2620	1	-215.724
2630	1	-215.749
2640	1	-215.696
2650	1	-216.203
2660	1	-214.889
2670	1	-215.485
2680	1	-219.419
2690	1	-215.596
2700	1	-216.466
2710	1	-216.618
2720	1	-215.961
2730	1	-218.637
2740	1	-216.126
2750	1	-216.809
2760	1	-215.774
2770	1	-216.288
2780	1	-217.189
2790	1	-216.668
2800	1	-215.516
2810	1	-217.319
2820	1	-218.454
2830	1	-215.986
2840	1	-217.075
2850	1	-215.723
2860	1	-216.657
2870	1	-215.553
2880	1	-218.61
2890	1	-215.704
2900	1	-216.165
2910	1	-215.13
2920	1	-216.189
2930	1	-216.916
2940	1	-215.089
2950	1	-216.02
2960	1	-215.181
2970	1	-216.197
2980	1	-215.741
2990	1	-216.778
3000	1	-215.592
3010	1	-216.383
3020	1	-215.856
3030	1	-216.141
3040	1	-214.98
3050	1	-215.914
3060	1	-216.021
3070	1	-215.984
3080	1	-216.579
3090	1	-216.015
3100	1	-217.279
3110	1	-217.45
3120	1	-217.175
3130	1	-216.845
3140	1	-216.947
3150	1	-215.081
3160	1	-215.595
3170	1	-215.449
3180	1	-215.656
3190	1	-216.948
3200	1	-215.409
3210	1	-219.749
3220	1	-216.945
3230	1	-216.379
3240	1	-219.519
3250	1	-215.57
3260	1	-216.209
3270	1	-220.047
3280	1	-215.156
3290	1	-215.633
3300	1	-215.222
3310	1	-216.113
3320	1	-215.333
3330	1	-215.443
3340	1	-216.93
3350	1	-216.627
3360	1	-215.713
3370	1	-215.896
3380	1	-215.986
3390	1	-215.56
3400	1	-216.4
3410	1	-216.612
3420	1	-217.043
3430	1	-215.667
3440	1	-215.827
3450	1	-215.358
3460	1	-215.636
3470	1	-220.778
3480	1	-216.582
3490	1	-216.275
3500	1	-215.773
3510	1	-216.234
3520	1	-217.322
3530	1	-214.925
3540	1	-217.248
3550	1	-216.832
3560	1	-218.497
3570	1	-216.219
3580	1	-217.148
3590	1	-214.678
3600	1	-216.186
3610	1	-217.952
3620	1	-215.488
3630	1	-216.309
3640	1	-216.69
3650	1	-217.411
3660	1	-216.152
3670	1	-218.564
3680	1	-216.265
3690	1	-219.735
3700	1	-217.144
3710	1	-216.345
3720	1	-216.462
3730	1	-216.132
3740	1	-216.584
3750	1	-216.179
3760	1	-215.708
3770	1	-216.857
3780	1	-216.932
3790	1	-217.069
3800	1	-217.077
3810	1	-215.725
3820	1	-215.075
3830	1	-216.602
3840	1	-215.737
3850	1	-216.996
3860	1	-216.516
3870	1	-215.71
3880	1	-216.414
3890	1	-215.197
3900	1	-216.732
3910	1	-218.228
3920	1	-216.086
3930	1	-216.532
3940	1	-216.651
3950	1	-216.398
3960	1	-216.033
3970	1	-216.246
3980	1	-216.054
3990	1	-215.973
4000	1	-218.046
4010	1	-217.809
4020	1	-216.813
4030	1	-217.593
4040	1	-218.583
4050	1	-215.537
4060	1	-215.747
4070	1	-217.623
4080	1	-217.221
4090	1	-216.499
4100	1	-215.689
4110	1	-215.407
4120	1	-218.293
4130	1	-218.022
4140	1	-216.409
4150	1	-217.919
4160	1	-218.848
4170	1	-217.64
4180	1	-220.117
4190	1	-215.724
4200	1	-216.494
4210	1	-215.385
4220	1	-216.841
4230	1	-217.325
4240	1	-216.89
4250	1	-215.655
4260	1	-216.45
4270	1	-217.954
4280	1	-215.888
4290	1	-215.481
4300	1	-218.585
4310	1	-216.935
4320	1	-216.533
4330	1	-215.89
4340	1	-215.901
4350	1	-216.487
4360	1	-215.873
4370	1	-215.776
4380	1	-215.848
4390	1	-215.857
4400	1	-215.877
4410	1	-215.161
4420	1	-217.526
4430	1	-217.405
4440	1	-217.246
4450	1	-215.851
4460	1	-215.596
4470	1	-216.032
4480	1	-215.137
4490	1	-216.223
4500	1	-216.544
4510	1	-217.624
4520	1	-216.591
4530	1	-217.942
4540	1	-216.234
4550	1	-215.486
4560	1	-215.554
4570	1	-216.338
4580	1	-215.601
4590	1	-215.323
4600	1	-215.119
4610	1	-218.313
4620	1	-215.711
4630	1	-215.326
4640	1	-218.096
4650	1	-216.491
4660	1	-215.963
4670	1	-215.869
4680	1	-216.214
4690	1	-216.553
4700	1	-216.92
4710	1	-215.521
4720	1	-217.867
4730	1	-218.435
4740	1	-217.811
4750	1	-215.712
4760	1	-215.787
4770	1	-221.796
4780	1	-215.403
4790	1	-217.804
4800	1	-215.277
4810	1	-215.342
4820	1	-216.463
4830	1	-216.31
4840	1	-217.752
4850	1	-218.177
4860	1	-215.893
4870	1	-215.76
4880	1	-215.765
4890	1	-221.817
4900	1	-216.986
4910	1	-215.268
4920	1	-218.478
4930	1	-220.649
4940	1	-215.536
4950	1	-215.841
4960	1	-216.489
4970	1	-215.087
4980	1	-216.963
4990	1	-215.729
5000	1	-216.359
5010	1	-216.409
5020	1	-215.593
5030	1	-215.227
5040	1	-216.132
5050	1	-217.069
5060	1	-216.794
5070	1	-217.861
5080	1	-216.83
5090	1	-216.353
5100	1	-217.245
5110	1	-220.429
5120	1	-216.01
5130	1	-215.408
5140	1	-215.622
5150	1	-217.191
5160	1	-215.868
5170	1	-215.364
5180	1	-218.054
5190	1	-217.017
5200	1	-217.306
5210	1	-217.937
5220	1	-217.199
5230	1	-216.625
5240	1	-219.485
5250	1	-217.083
5260	1	-218.977
5270	1	-218.405
5280	1	-216.439
5290	1	-215.388
5300	1	-216.903
5310	1	-216.066
5320	1	-217.609
5330	1	-216.279
5340	1	-216.342
5350	1	-216.043
5360	1	-217.073
5370	1	-215.269
5380	1	-217.701
5390	1	-216.466
5400	1	-215.976
5410	1	-215.362
5420	1	-216.37
5430	1	-216.893
5440	1	-215.808
5450	1	-216.341
5460	1	-217.587
5470	1	-220.21
5480	1	-217.72
5490	1	-217.023
5500	1	-216.984
5510	1	-216.925
5520	1	-216.76
5530	1	-215.917
5540	1	-216.656
5550	1	-215.353
5560	1	-216.815
5570	1	-215.73
5580	1	-216.253
5590	1	-217.208
5600	1	-217.368
5610	1	-216.76
5620	1	-216.269
5630	1	-215.835
5640	1	-215.531
5650	1	-215.479
5660	1	-216.672
5670	1	-215.464
5680	1	-216.767
5690	1	-216.057
5700	1	-216.447
5710	1	-215.619
5720	1	-215.951
5730	1	-216.649
5740	1	-217.88
5750	1	-217.669
5760	1	-215.329
5770	1	-216.685
5780	1	-215.33
5790	1	-218.032
5800	1	-216.762
5810	1	-216.029
5820	1	-215.318
5830	1	-218.855
5840	1	-214.984
5850	1	-216.885
5860	1	-215.117
5870	1	-218.135
5880	1	-215.928
5890	1	-218.493
5900	1	-217.142
5910	1	-218.323
5920	1	-215.266
5930	1	-216.652
5940	1	-216.228
5950	1	-219.103
5960	1	-216.049
5970	1	-216.116
5980	1	-217.8
5990	1	-218.77
6000	1	-216.05
6010	1	-216.844
6020	1	-217.586
6030	1	-216.663
6040	1	-215.785
6050	1	-216.306
6060	1	-216.235
6070	1	-216.114
6080	1	-215.92
6090	1	-216.283
6100	1	-215.715
6110	1	-219.581
6120	1	-216.188
6130	1	-216.156
6140	1	-215.146
6150	1	-216.192
6160	1	-215.744
6170	1	-217.358
6180	1	-215.145
6190	1	-218.159
6200	1	-215.539
6210	1	-215.83
6220	1	-215.209
6230	1	-215.334
6240	1	-216.11
6250	1	-215.362
6260	1	-215.488
6270	1	-214.819
6280	1	-218.808
6290	1	-217.721
6300	1	-215.869
6310	1	-218.127
6320	1	-219.214
6330	1	-216.266
6340	1	-216.448
6350	1	-215.797
6360	1	-217.913
6370	1	-217.787
6380	1	-216.743
6390	1	-217.885
6400	1	-216.435
6410	1	-219.137
6420	1	-215.901
6430	1	-217.244
6440	1	-215.095
6450	1	-217.31
6460	1	-216.309
6470	1	-217.309
6480	1	-216.521
