state	power	likelihood
2510	1.6807e-06	-238.406
2520	1.6807e-06	-222.143
2530	1.6807e-06	-278.9
2540	1.6807e-06	-229.105
2550	1.6807e-06	-231.127
2560	1.6807e-06	-261.279
2570	1.6807e-06	-227.289
2580	1.6807e-06	-217.148
2590	1.6807e-06	-233.321
2600	1.6807e-06	-240.785
2610	1.6807e-06	-269.613
2620	1.6807e-06	-284.3
2630	1.6807e-06	-220.782
2640	1.6807e-06	-245.409
2650	1.6807e-06	-229.775
2660	1.6807e-06	-218.089
2670	1.6807e-06	-226.701
2680	1.6807e-06	-254.989
2690	1.6807e-06	-225.125
2700	1.6807e-06	-254.961
2710	1.6807e-06	-228.895
2720	1.6807e-06	-216.118
2730	1.6807e-06	-248.393
2740	1.6807e-06	-289.585
2750	1.6807e-06	-264.719
2760	1.6807e-06	-222.81
2770	1.6807e-06	-225.957
2780	1.6807e-06	-255.334
2790	1.6807e-06	-264.808
2800	1.6807e-06	-233.32
2810	1.6807e-06	-260.519
2820	1.6807e-06	-239.446
2830	1.6807e-06	-407.064
2840	1.6807e-06	-226.153
2850	1.6807e-06	-233.916
2860	1.6807e-06	-254.867
2870	1.6807e-06	-250.966
2880	1.6807e-06	-258.967
2890	1.6807e-06	-297.719
2900	1.6807e-06	-245.479
2910	1.6807e-06	-225.643
2920	1.6807e-06	-337.498
2930	1.6807e-06	-251.989
2940	1.6807e-06	-219.974
2950	1.6807e-06	-245.387
2960	1.6807e-06	-260.101
2970	1.6807e-06	-229.162
2980	1.6807e-06	-228.354
2990	1.6807e-06	-305.856
3000	1.6807e-06	-223.119
3010	1.6807e-06	-252.403
3020	1.6807e-06	-236.797
3030	1.6807e-06	-256.157
3040	1.6807e-06	-233.47
3050	1.6807e-06	-283.485
3060	1.6807e-06	-248.487
3070	1.6807e-06	-239.579
3080	1.6807e-06	-265.222
3090	1.6807e-06	-226.055
3100	1.6807e-06	-226.943
3110	1.6807e-06	-220.036
3120	1.6807e-06	-249.322
3130	1.6807e-06	-217.892
3140	1.6807e-06	-224.908
3150	1.6807e-06	-230.696
3160	1.6807e-06	-227.442
3170	1.6807e-06	-252.384
3180	1.6807e-06	-228.876
3190	1.6807e-06	-225.733
3200	1.6807e-06	-238.477
3210	1.6807e-06	-241.028
3220	1.6807e-06	-229.064
3230	1.6807e-06	-230.44
3240	1.6807e-06	-260.776
3250	1.6807e-06	-241.003
3260	1.6807e-06	-235.264
3270	1.6807e-06	-257.206
3280	1.6807e-06	-217.633
3290	1.6807e-06	-280.084
3300	1.6807e-06	-271.599
3310	1.6807e-06	-262.197
3320	1.6807e-06	-230.19
3330	1.6807e-06	-275.533
3340	1.6807e-06	-228.647
3350	1.6807e-06	-257.069
3360	1.6807e-06	-326.807
3370	1.6807e-06	-223.181
3380	1.6807e-06	-236.391
3390	1.6807e-06	-298.262
3400	1.6807e-06	-341.603
3410	1.6807e-06	-234.772
3420	1.6807e-06	-265.883
3430	1.6807e-06	-216.862
3440	1.6807e-06	-222.747
3450	1.6807e-06	-228.015
3460	1.6807e-06	-267.648
3470	1.6807e-06	-218.873
3480	1.6807e-06	-236.99
3490	1.6807e-06	-291.338
3500	1.6807e-06	-223.137
3510	1.6807e-06	-239.918
3520	1.6807e-06	-278.959
3530	1.6807e-06	-253.38
3540	1.6807e-06	-273.957
3550	1.6807e-06	-283.635
3560	1.6807e-06	-282.959
3570	1.6807e-06	-217.066
3580	1.6807e-06	-228.009
3590	1.6807e-06	-246.384
3600	1.6807e-06	-256.563
3610	1.6807e-06	-242.868
3620	1.6807e-06	-238.317
3630	1.6807e-06	-250.23
3640	1.6807e-06	-234.817
