state	power	likelihood
2510	1	-217.899
2520	1	-216.108
2530	1	-216.405
2540	1	-215.971
2550	1	-217.287
2560	1	-215.578
2570	1	-215.315
2580	1	-218.24
2590	1	-217.859
2600	1	-216.537
2610	1	-218.565
2620	1	-220.664
2630	1	-217.927
2640	1	-217.789
2650	1	-218.057
2660	1	-215.568
2670	1	-215.945
2680	1	-217.296
2690	1	-216.565
2700	1	-220.099
2710	1	-215.579
2720	1	-216.458
2730	1	-217.321
2740	1	-217.483
2750	1	-217.516
2760	1	-215.974
2770	1	-217.75
2780	1	-215.627
2790	1	-216.582
2800	1	-215.521
2810	1	-217.712
2820	1	-218.329
2830	1	-217.516
2840	1	-217.401
2850	1	-216.549
2860	1	-215.31
2870	1	-216.786
2880	1	-217.77
2890	1	-216.419
2900	1	-215.767
2910	1	-216.222
2920	1	-216.577
2930	1	-217.779
2940	1	-216.674
2950	1	-217.935
2960	1	-216.485
2970	1	-216.216
2980	1	-216.433
2990	1	-218.132
3000	1	-215.274
3010	1	-215.456
3020	1	-215.228
3030	1	-216.061
3040	1	-218.44
3050	1	-215.691
3060	1	-216.483
3070	1	-219.386
3080	1	-215.512
3090	1	-215.868
3100	1	-218.411
3110	1	-218.828
3120	1	-217.296
3130	1	-215.293
3140	1	-216.41
3150	1	-216.806
3160	1	-215.91
3170	1	-215.441
3180	1	-215.428
3190	1	-217.211
3200	1	-216.079
3210	1	-217.005
3220	1	-217.106
3230	1	-218.91
3240	1	-214.981
3250	1	-216.747
3260	1	-215.302
3270	1	-215.629
3280	1	-218.097
3290	1	-215.915
3300	1	-218.238
3310	1	-218.3
3320	1	-218.544
3330	1	-216.986
3340	1	-215.18
3350	1	-216.251
3360	1	-215.102
3370	1	-216.81
3380	1	-215.364
3390	1	-217.271
3400	1	-216.492
3410	1	-215.794
3420	1	-216.696
3430	1	-216.094
3440	1	-217.407
3450	1	-217.265
3460	1	-215.32
3470	1	-217.415
3480	1	-216.9
3490	1	-220.023
3500	1	-216.762
3510	1	-215.74
3520	1	-215.386
3530	1	-216.058
3540	1	-214.876
3550	1	-216.679
3560	1	-216.763
3570	1	-216.016
3580	1	-215.816
3590	1	-220.659
3600	1	-216.541
3610	1	-217.696
3620	1	-216.611
3630	1	-216.086
3640	1	-217.002
3650	1	-216.194
3660	1	-218.659
3670	1	-216.406
3680	1	-215.349
3690	1	-216.742
3700	1	-215.888
3710	1	-218.081
3720	1	-215.917
3730	1	-218.337
3740	1	-215.851
3750	1	-216.962
3760	1	-218.939
3770	1	-215.554
3780	1	-215.645
3790	1	-216.749
3800	1	-216.419
3810	1	-215.169
3820	1	-215.488
3830	1	-216.309
3840	1	-215.225
3850	1	-217.909
3860	1	-216.238
3870	1	-216.085
3880	1	-215.209
3890	1	-218.487
3900	1	-216.423
3910	1	-216.296
3920	1	-215.834
3930	1	-215.992
3940	1	-216.243
3950	1	-216.785
3960	1	-217.084
3970	1	-215.839
3980	1	-214.854
3990	1	-216.313
4000	1	-217.168
4010	1	-214.855
4020	1	-217.793
4030	1	-216.461
4040	1	-216.428
4050	1	-214.923
4060	1	-216.365
4070	1	-217.492
4080	1	-215.261
4090	1	-216.155
4100	1	-216.236
4110	1	-215.969
4120	1	-215.116
4130	1	-221.18
4140	1	-216.077
4150	1	-216.36
4160	1	-215.389
4170	1	-217.472
4180	1	-218.374
4190	1	-220.168
4200	1	-218.493
4210	1	-217.128
4220	1	-219.563
4230	1	-215.882
4240	1	-217.464
4250	1	-217.706
4260	1	-216.27
4270	1	-215.946
4280	1	-216.79
4290	1	-216.013
4300	1	-215.402
4310	1	-216.001
4320	1	-217.091
4330	1	-216.485
4340	1	-215.538
4350	1	-215.575
4360	1	-216.081
4370	1	-215.864
4380	1	-215.736
4390	1	-216.295
4400	1	-217.572
4410	1	-215.806
4420	1	-217.555
4430	1	-217.528
4440	1	-216.776
4450	1	-217.877
4460	1	-216.968
4470	1	-218.504
4480	1	-215.587
4490	1	-216.353
4500	1	-217.387
4510	1	-216.351
4520	1	-218.038
4530	1	-216.337
4540	1	-215.927
4550	1	-215.191
4560	1	-216.021
4570	1	-217.498
4580	1	-215.865
4590	1	-215.88
4600	1	-217.061
4610	1	-217.75
4620	1	-215.438
4630	1	-217.839
4640	1	-216.736
4650	1	-217.548
4660	1	-216.211
4670	1	-218.72
4680	1	-221.916
4690	1	-215.921
4700	1	-217.89
4710	1	-217.086
4720	1	-217.252
4730	1	-217.473
4740	1	-216.229
4750	1	-216.767
4760	1	-216.402
4770	1	-216.376
4780	1	-216.359
4790	1	-215.965
4800	1	-216.996
4810	1	-215.401
4820	1	-215.213
4830	1	-215.202
4840	1	-215.765
4850	1	-216.409
4860	1	-217.191
4870	1	-217.36
4880	1	-215.906
4890	1	-215.647
4900	1	-217.169
4910	1	-215.573
4920	1	-215.157
4930	1	-215.194
4940	1	-216.974
4950	1	-219.308
4960	1	-218.475
4970	1	-217.596
4980	1	-215.154
4990	1	-216.12
5000	1	-216.146
5010	1	-215.189
5020	1	-217.118
5030	1	-216.509
