state	power	likelihood
2510	3.2768e-06	-220.838
2520	3.2768e-06	-243.5
2530	3.2768e-06	-229.689
2540	3.2768e-06	-259.513
2550	3.2768e-06	-271.677
2560	3.2768e-06	-239.203
2570	3.2768e-06	-289.76
2580	3.2768e-06	-269.73
2590	3.2768e-06	-270.976
2600	3.2768e-06	-221.189
2610	3.2768e-06	-236.627
2620	3.2768e-06	-228.004
2630	3.2768e-06	-223.177
2640	3.2768e-06	-344.157
2650	3.2768e-06	-252.251
2660	3.2768e-06	-253.304
2670	3.2768e-06	-308.319
2680	3.2768e-06	-252.418
2690	3.2768e-06	-238.804
2700	3.2768e-06	-236.332
2710	3.2768e-06	-269.645
2720	3.2768e-06	-220.267
2730	3.2768e-06	-338.246
2740	3.2768e-06	-259.682
2750	3.2768e-06	-220.118
2760	3.2768e-06	-274.922
2770	3.2768e-06	-315.691
2780	3.2768e-06	-227.629
2790	3.2768e-06	-222.279
2800	3.2768e-06	-275.284
2810	3.2768e-06	-255.853
2820	3.2768e-06	-256.409
2830	3.2768e-06	-252.452
2840	3.2768e-06	-239.921
2850	3.2768e-06	-288.563
2860	3.2768e-06	-238.585
2870	3.2768e-06	-243.502
2880	3.2768e-06	-266.549
2890	3.2768e-06	-239.124
2900	3.2768e-06	-217.198
2910	3.2768e-06	-228.26
2920	3.2768e-06	-246.428
2930	3.2768e-06	-217.507
2940	3.2768e-06	-217.553
2950	3.2768e-06	-253.52
2960	3.2768e-06	-247.27
2970	3.2768e-06	-244.852
2980	3.2768e-06	-266.926
2990	3.2768e-06	-241.184
3000	3.2768e-06	-252.305
3010	3.2768e-06	-240.534
3020	3.2768e-06	-229.935
3030	3.2768e-06	-221.64
3040	3.2768e-06	-249
3050	3.2768e-06	-215.348
3060	3.2768e-06	-222.51
3070	3.2768e-06	-280.77
3080	3.2768e-06	-232.538
3090	3.2768e-06	-241.778
3100	3.2768e-06	-217.615
3110	3.2768e-06	-227.425
3120	3.2768e-06	-223.446
3130	3.2768e-06	-273.964
3140	3.2768e-06	-226.711
3150	3.2768e-06	-230.665
3160	3.2768e-06	-296.689
3170	3.2768e-06	-223.672
3180	3.2768e-06	-242.979
3190	3.2768e-06	-265.077
3200	3.2768e-06	-233.995
3210	3.2768e-06	-231.221
3220	3.2768e-06	-238.049
3230	3.2768e-06	-218.704
3240	3.2768e-06	-283.494
3250	3.2768e-06	-437.941
3260	3.2768e-06	-305.243
3270	3.2768e-06	-303.983
3280	3.2768e-06	-306.597
3290	3.2768e-06	-237.865
3300	3.2768e-06	-301.141
3310	3.2768e-06	-241.494
3320	3.2768e-06	-236.533
3330	3.2768e-06	-237.969
3340	3.2768e-06	-267.215
3350	3.2768e-06	-240.932
3360	3.2768e-06	-229.84
3370	3.2768e-06	-261.517
3380	3.2768e-06	-218.848
3390	3.2768e-06	-282.418
3400	3.2768e-06	-232.043
3410	3.2768e-06	-257.446
3420	3.2768e-06	-266.753
3430	3.2768e-06	-307.191
3440	3.2768e-06	-220.502
3450	3.2768e-06	-232.486
3460	3.2768e-06	-236.112
3470	3.2768e-06	-260.109
3480	3.2768e-06	-257.911
3490	3.2768e-06	-240.794
3500	3.2768e-06	-251.52
3510	3.2768e-06	-259.145
3520	3.2768e-06	-227.649
3530	3.2768e-06	-237.958
3540	3.2768e-06	-240.694
3550	3.2768e-06	-224.412
3560	3.2768e-06	-223.504
3570	3.2768e-06	-257.336
3580	3.2768e-06	-224.01
3590	3.2768e-06	-254.207
3600	3.2768e-06	-235.834
3610	3.2768e-06	-229.248
