Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-210.41	-216.6181	6.208074	0.02287202	0.003957801	0.01891422	0.003957801
10	-209.9622	-215.6763	5.714087	0.01754195	0.002358316	0.01518363	0.002358316
20	-211.0322	-217.2391	6.206879	0.0248251	0.003769829	0.02105527	0.003769829
30	-210.2239	-216.1589	5.935001	0.01793608	0.00345296	0.01448312	0.00345296
40	-209.7541	-215.5252	5.771143	0.01932887	0.00224921	0.01707966	0.00224921
50	-210.9634	-216.7676	5.804258	0.01644043	0.003781436	0.01265899	0.003781436
60	-211.8087	-217.5597	5.751048	0.02580266	0.002058055	0.02374461	0.002058055
70	-212.3456	-218.5868	6.241132	0.02753674	0.004137387	0.02339935	0.004137387
80	-210.7561	-216.6702	5.914176	0.01738964	0.004166821	0.01322282	0.004166821
90	-210.1402	-215.7765	5.636311	0.01682613	0.002270632	0.0145555	0.002270632
100	-211.8127	-218.1801	6.367393	0.0262325	0.006447978	0.01978452	0.006447978
110	-209.9928	-216.0535	6.060673	0.02133126	0.003132026	0.01819923	0.003132026
120	-211.5738	-217.9146	6.340773	0.02505472	0.007016042	0.01803867	0.007016042
130	-210.1247	-216.2755	6.150788	0.02082954	0.00400593	0.01682361	0.00400593
140	-209.7878	-215.5422	5.754405	0.02003937	0.002140682	0.01789869	0.002140682
150	-211.3386	-215.2322	3.893633	0.01549671	0.0006142617	0.01488244	0.0006142617
160	-210.3576	-215.2111	4.853464	0.02026735	0.0009854617	0.01928189	0.0009854617
170	-210.611	-216.4778	5.866773	0.01703876	0.003642272	0.01339649	0.003642272
180	-214.0279	-220.3877	6.359708	0.03061529	0.009946083	0.0206692	0.009946083
190	-210.9586	-216.848	5.889426	0.01719064	0.004369652	0.01282098	0.004369652
200	-211.954	-218.3141	6.360017	0.02614422	0.007411326	0.01873289	0.007411326
210	-210.2605	-215.2415	4.980957	0.02028464	0.001076906	0.01920774	0.001076906
220	-210.0331	-216.074	6.040885	0.01931372	0.003590557	0.01572316	0.003590557
230	-212.0035	-218.3197	6.316185	0.02551163	0.008245982	0.01726565	0.008245982
240	-209.8645	-215.7893	5.9248	0.01894273	0.002897101	0.01604563	0.002897101
250	-212.9218	-219.2319	6.310014	0.02760866	0.009876657	0.017732	0.009876657
260	-210.3079	-216.4398	6.13189	0.01999151	0.004498073	0.01549344	0.004498073
270	-210.1074	-215.178	5.070563	0.01722073	0.001245255	0.01597548	0.001245255
280	-212.232	-217.4813	5.249328	0.0134548	0.00232121	0.01113359	0.00232121
290	-209.7821	-215.5443	5.762167	0.0186776	0.002305642	0.01637196	0.002305642
300	-212.0253	-217.9756	5.950301	0.02026605	0.007863561	0.01240249	0.007863561
310	-209.8579	-215.7583	5.900395	0.01879834	0.002811876	0.01598647	0.002811876
320	-210.3242	-215.2458	4.921556	0.02036996	0.001031678	0.01933829	0.001031678
330	-210.2959	-216.4782	6.182322	0.02088651	0.004550752	0.01633575	0.004550752
340	-212.0446	-218.2996	6.255039	0.02700098	0.004216914	0.02278406	0.004216914
350	-211.6062	-217.7852	6.178933	0.02606816	0.003592125	0.02247603	0.003592125
360	-210.666	-216.8815	6.215448	0.0238068	0.003894881	0.01991192	0.003894881
370	-211.0606	-216.9198	5.859249	0.02451519	0.002284954	0.02223024	0.002284954
380	-211.3438	-217.4019	6.058176	0.02003515	0.006633222	0.01340193	0.006633222
390	-210.4023	-216.6375	6.235205	0.02236564	0.004460552	0.01790509	0.004460552
400	-210.0195	-216.1302	6.110712	0.02101738	0.003526198	0.01749118	0.003526198
410	-214.1825	-220.326	6.143481	0.02908736	0.0132386	0.01584876	0.0132386
420	-209.905	-215.2568	5.351787	0.01780197	0.001545453	0.01625651	0.001545453
430	-211.0378	-217.3527	6.314845	0.02377981	0.00599145	0.01778836	0.00599145
440	-211.2356	-216.5269	5.291301	0.01447081	0.001948953	0.01252186	0.001948953
450	-210.3251	-216.4939	6.168772	0.02269158	0.0036434	0.01904818	0.0036434
460	-210.3165	-216.3709	6.054449	0.01896053	0.004191503	0.01476902	0.004191503
470	-210.3844	-216.2627	5.878291	0.02287351	0.002338981	0.02053453	0.002338981
480	-211.6936	-217.6542	5.960611	0.01942599	0.006917547	0.01250845	0.006917547
490	-210.2676	-214.9724	4.704834	0.01845192	0.0009186611	0.01753326	0.0009186611
500	-210.1783	-216.2336	6.055298	0.0191352	0.003929061	0.01520614	0.003929061
510	-214.2162	-220.0402	5.823959	0.02587685	0.01353299	0.01234387	0.01353299
520	-210.2019	-216.3579	6.156018	0.02058073	0.004274274	0.01630645	0.004274274
530	-210.4071	-216.6181	6.211065	0.02283642	0.003995175	0.01884125	0.003995175
540	-210.8257	-214.8671	4.041376	0.01745579	0.0006276001	0.01682819	0.0006276001
550	-210.2696	-216.0841	5.814467	0.02243285	0.002180793	0.02025206	0.002180793
560	-211.9208	-218.0237	6.102802	0.02223768	0.008412943	0.01382474	0.008412943
570	-213.5005	-219.7259	6.225315	0.02812475	0.01158437	0.01654038	0.01158437
580	-210.1261	-216.1934	6.067341	0.01938003	0.003872693	0.01550734	0.003872693
590	-210.878	-216.9486	6.070553	0.01935939	0.005503768	0.01385563	0.005503768
600	-209.9014	-215.2057	5.304289	0.01803529	0.001465625	0.01656966	0.001465625
610	-210.275	-215.6102	5.335217	0.01622425	0.001675043	0.01454921	0.001675043
620	-210.035	-216.0431	6.008074	0.01895156	0.003475767	0.01547579	0.003475767
630	-210.1976	-216.3413	6.143716	0.02218741	0.003530426	0.01865699	0.003530426
640	-210.7114	-216.9828	6.271366	0.02254628	0.005509015	0.01703727	0.005509015
650	-211.3396	-217.5994	6.259789	0.0231619	0.007175328	0.01598657	0.007175328
660	-212.368	-218.6264	6.258354	0.02558949	0.009362647	0.01622684	0.009362647
670	-209.8066	-215.7293	5.922707	0.02007757	0.002663548	0.01741403	0.002663548
680	-210.5832	-214.8897	4.306492	0.01791545	0.0007237888	0.01719166	0.0007237888
690	-210.6766	-216.9222	6.245527	0.02195262	0.005551903	0.01640072	0.005551903
700	-211.0473	-216.2391	5.19185	0.01466728	0.001680413	0.01298686	0.001680413
710	-218.2271	-224.0178	5.790741	0.03704454	0.02206339	0.01498115	0.02206339
720	-210.7994	-216.3623	5.562928	0.01547198	0.002474447	0.01299753	0.002474447
730	-211.818	-217.8208	6.002831	0.02622598	0.00276435	0.02346163	0.00276435
740	-210.079	-215.0591	4.980132	0.01879758	0.001104382	0.0176932	0.001104382
750	-210.1132	-216.2562	6.142975	0.02161203	0.003638417	0.01797361	0.003638417
760	-213.3092	-219.2494	5.940162	0.02855007	0.002677918	0.02587216	0.002677918
770	-210.6722	-216.5521	5.879917	0.01710753	0.003809591	0.01329793	0.003809591
780	-210.1611	-216.211	6.049856	0.01910225	0.003873393	0.01522886	0.003873393
790	-209.9501	-215.9784	6.02836	0.01951744	0.003374101	0.01614334	0.003374101
800	-211.865	-218.183	6.318077	0.02523094	0.00795617	0.01727477	0.00795617
810	-210.2586	-215.9214	5.662799	0.01660528	0.002427865	0.01417741	0.002427865
820	-210.9877	-217.2336	6.245825	0.02228356	0.006358638	0.01592493	0.006358638
830	-212.3355	-218.2523	5.91678	0.02698465	0.002515164	0.02446949	0.002515164
840	-209.8888	-215.8873	5.998585	0.01954549	0.003150508	0.01639499	0.003150508
850	-210.2828	-215.5757	5.29284	0.02136986	0.001348813	0.02002105	0.001348813
860	-211.1284	-217.2178	6.08939	0.02497465	0.003082218	0.02189243	0.003082218
870	-210.4495	-216.6523	6.202771	0.02110815	0.0049838	0.01612435	0.0049838
880	-210.8443	-215.8705	5.026264	0.01502301	0.00137504	0.01364797	0.00137504
890	-210.2367	-214.9941	4.75735	0.01871369	0.0009461954	0.0177675	0.0009461954
900	-211.7491	-217.8538	6.104691	0.02178745	0.007972272	0.01381518	0.007972272
910	-210.4866	-216.7141	6.22745	0.02160025	0.005050615	0.01654963	0.005050615
920	-212.5652	-218.5802	6.014978	0.0229328	0.0097936	0.0131392	0.0097936
930	-211.2464	-217.0021	5.755731	0.02473777	0.002046094	0.02269167	0.002046094
940	-210.2697	-215.8426	5.57289	0.01639889	0.002180315	0.01421858	0.002180315
950	-213.9834	-219.7987	5.815284	0.02503029	0.01289574	0.01213454	0.01289574
960	-211.1951	-217.3491	6.154053	0.02117908	0.006731627	0.01444745	0.006731627
970	-210.9683	-215.2488	4.280565	0.02077703	0.0006865261	0.0200905	0.0006865261
980	-210.029	-215.7532	5.724161	0.01734603	0.002442125	0.0149039	0.002442125
990	-210.929	-216.7382	5.809214	0.01648427	0.003761055	0.01272322	0.003761055
1000	-209.8078	-215.4435	5.635686	0.01994759	0.001884118	0.01806347	0.001884118
1010	-210.8457	-216.7681	5.922448	0.0174869	0.004390888	0.01309601	0.004390888
1020	-212.8812	-218.4286	5.547395	0.01639758	0.006308367	0.01008922	0.006308367
1030	-210.6164	-215.9886	5.372136	0.02258377	0.001430442	0.02115332	0.001430442
1040	-210.0074	-215.4009	5.393522	0.02048344	0.001482338	0.0190011	0.001482338
1050	-209.9746	-216.0556	6.08094	0.02027489	0.003515412	0.01675947	0.003515412
1060	-210.1834	-216.0097	5.826247	0.0173448	0.0029348	0.01441	0.0029348
1070	-211.6747	-217.5284	5.853695	0.01771119	0.00582812	0.01188307	0.00582812
1080	-210.8285	-215.9866	5.158067	0.01502243	0.001558691	0.01346374	0.001558691
1090	-215.2999	-221.4939	6.19404	0.03234462	0.01440452	0.0179401	0.01440452
1100	-209.9272	-215.2104	5.283245	0.01784253	0.001450065	0.01639247	0.001450065
1110	-211.2993	-216.3973	5.098008	0.01427645	0.001594706	0.01268175	0.001594706
1120	-210.6093	-215.9876	5.378278	0.02257749	0.00143775	0.02113974	0.00143775
1130	-210.0383	-216.074	6.035776	0.01923761	0.003583189	0.01565442	0.003583189
1140	-210.0135	-215.8231	5.809571	0.01768907	0.002701161	0.01498791	0.002701161
1150	-209.9333	-215.6264	5.693129	0.01760386	0.002277076	0.01532679	0.002277076
1160	-209.8128	-215.7164	5.903583	0.02028707	0.002564726	0.01772234	0.002564726
1170	-211.0909	-216.8878	5.79686	0.01637586	0.003934872	0.01244099	0.003934872
1180	-211.2062	-216.6763	5.470031	0.01478361	0.002428524	0.01235509	0.002428524
1190	-211.4063	-217.3997	5.993392	0.01919334	0.00633818	0.01285516	0.00633818
1200	-210.1411	-216.0755	5.934392	0.01807757	0.003334766	0.01474281	0.003334766
1210	-213.5214	-219.3815	5.860099	0.02403733	0.01179979	0.01223753	0.01179979
1220	-210.1815	-216.0674	5.885942	0.01767522	0.003177777	0.01449744	0.003177777
1230	-209.8945	-215.3258	5.431291	0.01770409	0.001675659	0.01602844	0.001675659
1240	-210.0787	-216.2087	6.130013	0.02145771	0.003568822	0.01788888	0.003568822
1250	-211.2718	-215.3569	4.08513	0.02121552	0.0006139755	0.02060154	0.0006139755
1260	-209.9562	-215.9967	6.04049	0.02114844	0.003049448	0.01809899	0.003049448
1270	-210.6452	-216.7963	6.151133	0.02029451	0.005359271	0.01493524	0.005359271
1280	-211.1918	-217.0031	5.811295	0.016527	0.004221309	0.01230569	0.004221309
1290	-209.969	-216.0087	6.03973	0.01956649	0.003448118	0.01611838	0.003448118
1300	-211.886	-217.8423	5.956371	0.01992523	0.007476679	0.01244855	0.007476679
1310	-211.398	-217.6227	6.224716	0.025671	0.003904996	0.021766	0.003904996
1320	-211.3174	-217.6279	6.310524	0.02540986	0.004852939	0.02055692	0.004852939
1330	-210.3351	-216.1701	5.835011	0.01712637	0.003135187	0.01399118	0.003135187
1340	-211.8887	-217.5818	5.693154	0.02584943	0.001942908	0.02390652	0.001942908
1350	-211.636	-217.4304	5.794443	0.01679169	0.005084493	0.0117072	0.005084493
1360	-211.8724	-217.0075	5.135052	0.01361457	0.001848545	0.01176603	0.001848545
1370	-209.9883	-215.9918	6.003539	0.01906041	0.003375165	0.01568525	0.003375165
1380	-210.5681	-216.4007	5.832654	0.01684046	0.003399917	0.01344054	0.003399917
1390	-213.4681	-218.9262	5.458055	0.01766681	0.008021648	0.009645161	0.008021648
1400	-211.0641	-216.587	5.522979	0.02395274	0.001630712	0.02232203	0.001630712
1410	-215.5585	-221.8723	6.313813	0.0335075	0.01196803	0.02153947	0.01196803
1420	-209.8933	-215.8546	5.961256	0.02091845	0.002715058	0.0182034	0.002715058
1430	-209.9302	-215.9066	5.976384	0.02115087	0.002752531	0.01839834	0.002752531
1440	-212.0877	-218.4568	6.369114	0.0265929	0.00737227	0.01922063	0.00737227
1450	-209.9161	-215.9398	6.02365	0.01968259	0.003276304	0.01640628	0.003276304
1460	-210.7925	-216.6604	5.867895	0.02392439	0.002303351	0.02162104	0.002303351
1470	-211.6283	-217.7482	6.119892	0.02169072	0.007715427	0.0139753	0.007715427
1480	-211.8225	-216.2101	4.387608	0.0138117	0.0009188992	0.01289281	0.0009188992
1490	-218.0086	-223.7652	5.756643	0.03623552	0.02182243	0.01441309	0.02182243
1500	-211.4042	-217.7366	6.332371	0.02459958	0.006752079	0.0178475	0.006752079
1510	-212.4722	-217.8718	5.399541	0.02635233	0.00150154	0.02485079	0.00150154
1520	-210.1849	-216.047	5.862117	0.01752904	0.003081347	0.01444769	0.003081347
1530	-211.4164	-217.7629	6.346519	0.0254009	0.005728171	0.01967273	0.005728171
1540	-213.0631	-219.0588	5.995684	0.02423711	0.01102955	0.01320756	0.01102955
1550	-210.4355	-216.4136	5.978119	0.01807773	0.004002867	0.01407487	0.004002867
1560	-210.0875	-215.4129	5.325463	0.02066416	0.001395772	0.01926839	0.001395772
1570	-212.2487	-218.6146	6.36582	0.02683672	0.007814984	0.01902174	0.007814984
1580	-210.571	-216.8129	6.241922	0.02335367	0.004229502	0.01912417	0.004229502
1590	-209.9501	-215.2498	5.299667	0.01759091	0.001488013	0.0161029	0.001488013
1600	-216.0165	-222.3531	6.336554	0.0338344	0.00797203	0.02586237	0.00797203
1610	-210.678	-216.6882	6.010175	0.01839668	0.00465681	0.01373987	0.00465681
