Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate
0	0	3.276117	0	3.276117	0.02020875
1	1	2.191528	0	2.191528	0.009021419
2	0	1.383135	0	1.383135	0.0674529
3	1	2.603061	0	2.603061	0.01083355
4	0	2.324828	0	2.324828	0.04839397
5	1	3.135151	0	3.135151	0.02950699
6	0	2.86126	0	2.86126	0.03679517
7	1	3.18268	0	3.18268	0.02788156
8	0	2.815615	0	2.815615	0.03785868
9	1	3.103847	0	3.103847	0.03047704
10	0	2.333448	0	2.333448	0.04821674
11	1	3.249934	0	3.249934	0.02488787
12	0	2.959357	0	2.959357	0.03440973
13	1	1.931179	0	1.931179	0.05638352
14	0	3.154907	0	3.154907	0.02885831
15	1	3.262125	0	3.262125	0.02410448
16	0	0.1706894	0	0.1706894	0.09294764
17	1	1.389116	0	1.389116	0.0673313
18	0	2.649818	0	2.649818	0.0110967
19	1	2.725471	0	2.725471	0.01155879
20	0	3.279353	0	3.279353	0.02231028
21	1	2.897843	0	2.897843	0.0128372
22	0	2.978819	0	2.978819	0.03391557
23	1	2.196856	0	2.196856	0.05100969
24	0	3.064843	0	3.064843	0.03161108
25	1	2.967644	0	2.967644	0.03420032
26	0	1.227559	0	1.227559	0.07062661
27	1	3.226022	0	3.226022	0.01765934
28	0	0.3691762	0	0.3691762	0.08863462
29	1	2.290959	0	2.290959	0.04908891
30	0	2.22963	0	2.22963	0.05034222
31	1	3.253209	0	3.253209	0.0186758
32	0	1.966527	0	1.966527	0.05567093
33	1	2.857592	0	2.857592	0.03688158
34	0	3.231362	0	3.231362	0.02586308
35	1	2.148276	0	2.148276	0.05199661
36	0	2.752203	0	2.752203	0.03929978
37	1	3.220648	0	3.220648	0.01749658
38	0	2.711046	0	2.711046	0.04021651
39	1	3.265964	0	3.265964	0.02381462
40	0	2.709973	0	2.709973	0.01146011
41	1	2.884117	0	2.884117	0.03625279
42	0	2.892369	0	2.892369	0.03605518
43	1	1.945261	0	1.945261	0.05609969
44	0	3.28048	0	3.28048	0.02204207
45	1	2.682047	0	2.682047	0.04085495
46	0	2.976703	0	2.976703	0.03396969
47	1	3.238351	0	3.238351	0.0180723
48	0	3.203409	0	3.203409	0.01702664
49	1	3.278443	0	3.278443	0.02247807
50	0	2.604121	0	2.604121	0.04254476
51	1	2.78143	0	2.78143	0.0386403
52	0	2.527374	0	2.527374	0.04417905
53	1	1.269023	0	1.269023	0.06977868
54	0	1.633279	0	1.633279	0.06238702
55	1	1.181966	0	1.181966	0.07156086
56	0	2.957112	0	2.957112	0.03446621
57	1	0.8229745	0	0.8229745	0.07899601
58	0	3.217675	0	3.217675	0.02648773
59	1	2.167089	0	2.167089	0.00893461
