Iteration	Posterior	Likelihood	Prior	birth_rate
0	3.276117	0	3.276117	0.02020875
10	1.383135	0	1.383135	0.0674529
20	2.324828	0	2.324828	0.04839397
30	2.86126	0	2.86126	0.03679517
40	2.815615	0	2.815615	0.03785868
50	2.333448	0	2.333448	0.04821674
60	2.959357	0	2.959357	0.03440973
70	3.154907	0	3.154907	0.02885831
80	0.1706894	0	0.1706894	0.09294764
90	2.649818	0	2.649818	0.0110967
100	3.279353	0	3.279353	0.02231028
110	2.978819	0	2.978819	0.03391557
120	3.064843	0	3.064843	0.03161108
130	1.227559	0	1.227559	0.07062661
140	0.3691762	0	0.3691762	0.08863462
150	2.22963	0	2.22963	0.05034222
160	1.966527	0	1.966527	0.05567093
170	3.231362	0	3.231362	0.02586308
180	2.752203	0	2.752203	0.03929978
190	2.711046	0	2.711046	0.04021651
200	2.709973	0	2.709973	0.01146011
210	2.892369	0	2.892369	0.03605518
220	3.28048	0	3.28048	0.02204207
230	2.976703	0	2.976703	0.03396969
240	3.203409	0	3.203409	0.01702664
250	2.604121	0	2.604121	0.04254476
260	2.527374	0	2.527374	0.04417905
270	1.633279	0	1.633279	0.06238702
280	2.957112	0	2.957112	0.03446621
290	3.217675	0	3.217675	0.02648773
300	3.098056	0	3.098056	0.03065007
310	3.060952	0	3.060952	0.01453813
320	3.082293	0	3.082293	0.01482228
330	3.278948	0	3.278948	0.02059798
340	3.280383	0	3.280383	0.02206963
350	2.466482	0	2.466482	0.04545898
360	3.194845	0	3.194845	0.01681681
370	3.178257	0	3.178257	0.01644454
380	2.41116	0	2.41116	0.04661146
390	2.401109	0	2.401109	0.0468199
400	0.256069	0	0.256069	0.09108468
410	3.093112	0	3.093112	0.03079639
420	1.453688	0	1.453688	0.06602009
430	-0.09626273	0	-0.09626273	0.09885058
440	2.690356	0	2.690356	0.04067259
450	2.700634	0	2.700634	0.04044639
460	3.239667	0	3.239667	0.0181203
470	3.067428	0	3.067428	0.01462227
480	2.86178	0	2.86178	0.01253727
490	1.89497	0	1.89497	0.05711314
500	3.251103	0	3.251103	0.02481928
510	2.766723	0	2.766723	0.0389731
520	2.637918	0	2.637918	0.04181612
530	3.037163	0	3.037163	0.03237762
540	3.238533	0	3.238533	0.01807887
550	2.800486	0	2.800486	0.03820603
560	3.247073	0	3.247073	0.01840848
570	3.273272	0	3.273272	0.02315157
580	3.272779	0	3.272779	0.02320324
590	3.18112	0	3.18112	0.02793885
600	2.137352	0	2.137352	0.05221818
610	0.5125565	0	0.5125565	0.08555715
620	3.27516	0	3.27516	0.02293896
630	2.168247	0	2.168247	0.05159122
640	2.499593	0	2.499593	0.01030183
650	3.09352	0	3.09352	0.03078438
660	3.261891	0	3.261891	0.01911826
670	3.277562	0	3.277562	0.0203885
680	3.279027	0	3.279027	0.02237387
690	3.279535	0	3.279535	0.02227283
700	2.603607	0	2.603607	0.0425558
710	3.279141	0	3.279141	0.02063148
720	2.91896	0	2.91896	0.01302289
730	1.483582	0	1.483582	0.06541403
740	3.21383	0	3.21383	0.02665331
750	2.629075	0	2.629075	0.01097802
760	1.617732	0	1.617732	0.06270088
770	-0.01613284	0	-0.01613284	0.09706601
780	2.598864	0	2.598864	0.04265758
790	3.116938	0	3.116938	0.03007892
800	2.022353	0	2.022353	0.05454455
810	0.8510899	0	0.8510899	0.07840816
820	2.178074	0	2.178074	0.05139157
830	2.578498	0	2.578498	0.01070136
840	3.123551	0	3.123551	0.02987383
850	2.128406	0	2.128406	0.05239954
860	1.265951	0	1.265951	0.06984143
870	3.075287	0	3.075287	0.01472678
880	2.797747	0	2.797747	0.03826868
890	3.159872	0	3.159872	0.02868981
900	2.58215	0	2.58215	0.01072076
910	3.255561	0	3.255561	0.01878706
920	3.274411	0	3.274411	0.02302644
930	3.106835	0	3.106835	0.03038704
940	3.184288	0	3.184288	0.02782211
950	3.16589	0	3.16589	0.02848231
960	3.029654	0	3.029654	0.03258101
970	2.457668	0	2.457668	0.04564322
980	1.744091	0	1.744091	0.06015245
990	3.136257	0	3.136257	0.0294715
1000	3.06087	0	3.06087	0.01453707
1010	2.217646	0	2.217646	0.05058645
1020	3.085208	0	3.085208	0.03102783
1030	3.237147	0	3.237147	0.02557849
1040	0.1275939	0	0.1275939	0.09389248
1050	3.179475	0	3.179475	0.02799894
1060	2.611213	0	2.611213	0.01087831
1070	3.244097	0	3.244097	0.01828874
1080	0.5915457	0	0.5915457	0.005498164
1090	0.809405	0	0.809405	0.07928009
1100	2.872094	0	2.872094	0.03653898
1110	3.274092	0	3.274092	0.02306234
1120	2.510329	0	2.510329	0.01035409
1130	1.515666	0	1.515666	0.06476424
1140	2.879113	0	2.879113	0.03637215
1150	3.036784	0	3.036784	0.01423855
1160	3.262147	0	3.262147	0.02410287
1170	2.88817	0	2.88817	0.03615585
1180	2.631381	0	2.631381	0.04195754
1190	3.281347	0	3.281347	0.02128095
1200	2.342044	0	2.342044	0.04803987
1210	-0.4497933	0	-0.4497933	0.10686
1220	3.209115	0	3.209115	0.01717447
1230	3.254662	0	3.254662	0.02460309
1240	0.6690249	0	0.6690249	0.08223327
1250	2.660269	0	2.660269	0.04133076
1260	3.132838	0	3.132838	0.0155897
1270	1.1826	0	1.1826	0.07154786
1280	3.281462	0	3.281462	0.02144157
1290	2.393147	0	2.393147	0.04698485
1300	2.365044	0	2.365044	0.04756577
1310	2.628414	0	2.628414	0.01097429
1320	3.280424	0	3.280424	0.02205811
1330	2.972393	0	2.972393	0.03407965
1340	3.270433	0	3.270433	0.0196802
1350	1.830922	0	1.830922	0.05840327
1360	0.9686301	0	0.9686301	0.07596126
1370	2.610148	0	2.610148	0.01087244
1380	3.280689	0	3.280689	0.02197742
1390	2.936614	0	2.936614	0.03497732
1400	3.173953	0	3.173953	0.0281981
1410	3.105927	0	3.105927	0.03041443
1420	3.2813	0	3.2813	0.02170508
1430	2.216787	0	2.216787	0.05060394
1440	2.773674	0	2.773674	0.03881605
1450	2.838413	0	2.838413	0.03733056
1460	1.103127	0	1.103127	0.0731813
1470	2.922561	0	2.922561	0.03532321
1480	2.88908	0	2.88908	0.03613405
1490	1.895574	0	1.895574	0.05710096
1500	3.28075	0	3.28075	0.02100275
1510	3.244232	0	3.244232	0.01829403
1520	3.191542	0	3.191542	0.02754933
1530	3.242717	0	3.242717	0.02528959
1540	3.016431	0	3.016431	0.03293497
1550	-0.4603594	0	-0.4603594	0.1071029
1560	3.281461	0	3.281461	0.02143588
1570	3.046373	0	3.046373	0.0321256
1580	3.233976	0	3.233976	0.02573621
1590	0.6722111	0	0.6722111	0.08216595
1600	-0.4617223	0	-0.4617223	0.1071343
1610	3.208497	0	3.208497	0.02687691
1620	3.140558	0	3.140558	0.02933266
1630	2.716368	0	2.716368	0.04009869
1640	2.900067	0	2.900067	0.03586993
1650	2.261876	0	2.261876	0.049684
1660	-1.021263	0	-1.021263	0.1203045
1670	2.689055	0	2.689055	0.01133032
1680	2.875916	0	2.875916	0.01265239
1690	2.852382	0	2.852382	0.03700401
1700	1.912226	0	1.912226	0.05676546
1710	3.272326	0	3.272326	0.02324955
1720	2.759414	0	2.759414	0.01178292
1730	2.300707	0	2.300707	0.04888912
1740	3.218178	0	3.218178	0.01742466
1750	2.787562	0	2.787562	0.03850095
1760	2.253453	0	2.253453	0.04985609
1770	2.984607	0	2.984607	0.03376696
1780	3.246303	0	3.246303	0.02509434
1790	3.211843	0	3.211843	0.02673738
1800	1.443718	0	1.443718	0.06622235
1810	1.474125	0	1.474125	0.0656057
1820	1.091037	0	1.091037	0.07343036
1830	3.020133	0	3.020133	0.03283639
1840	3.279817	0	3.279817	0.02221118
1850	3.225371	0	3.225371	0.01763916
1860	3.100704	0	3.100704	0.03057118
1870	2.54916	0	2.54916	0.01054852
1880	2.913037	0	2.913037	0.01297
1890	2.618152	0	2.618152	0.01091677
1900	2.962667	0	2.962667	0.01343454
1910	3.237083	0	3.237083	0.02558173
1920	3.252384	0	3.252384	0.02474277
1930	2.194326	0	2.194326	0.05106116
1940	3.20719	0	3.20719	0.01712381
1950	1.531455	0	1.531455	0.06444468
1960	-1.392702	0	-1.392702	0.1293942
1970	3.201065	0	3.201065	0.01696786
1980	-0.07552749	0	-0.07552749	0.09838772
1990	-0.2635914	0	-0.2635914	0.1026134
2000	-0.4107287	0	-0.4107287	0.1059638
2010	2.982878	0	2.982878	0.03381145
2020	3.017264	0	3.017264	0.03291281
2030	2.534243	0	2.534243	0.04403379
2040	2.766325	0	2.766325	0.03898209
2050	3.259057	0	3.259057	0.0189635
2060	2.780058	0	2.780058	0.01192502
2070	2.443653	0	2.443653	0.04593565
2080	2.701543	0	2.701543	0.04042635
2090	2.274565	0	2.274565	0.04942455
2100	2.767068	0	2.767068	0.03896531
2110	1.846476	0	1.846476	0.05808997
2120	2.365138	0	2.365138	0.04756384
2130	2.571697	0	2.571697	0.04323842
2140	2.995098	0	2.995098	0.03349557
2150	3.269293	0	3.269293	0.02353576
2160	0.2681855	0	0.2681855	0.09082125
2170	3.245745	0	3.245745	0.01835433
2180	3.265888	0	3.265888	0.01935958
2190	3.089534	0	3.089534	0.01492344
2200	3.232963	0	3.232963	0.01788423
2210	0.9097329	0	0.9097329	0.07718524
2220	3.213006	0	3.213006	0.01727941
2230	2.919135	0	2.919135	0.03540701
2240	1.936296	0	1.936296	0.0562804
2250	3.161601	0	3.161601	0.02863058
2260	2.265309	0	2.265309	0.04961384
2270	2.629679	0	2.629679	0.04199432
2280	3.073569	0	3.073569	0.03136335
2290	2.314162	0	2.314162	0.04861306
2300	1.902508	0	1.902508	0.008095983
2310	3.041173	0	3.041173	0.03226824
2320	3.012451	0	3.012451	0.0330405
2330	3.280765	0	3.280765	0.02195189
2340	2.954949	0	2.954949	0.03452053
2350	3.104074	0	3.104074	0.0151347
2360	3.229364	0	3.229364	0.01776541
2370	3.273813	0	3.273813	0.02309324
2380	3.28032	0	3.28032	0.02087914
2390	2.421066	0	2.421066	0.04640574
2400	2.98334	0	2.98334	0.01364389
2410	2.972233	0	2.972233	0.03408373
2420	2.451568	0	2.451568	0.04577057
2430	3.082483	0	3.082483	0.0148249
2440	2.763191	0	2.763191	0.03905273
2450	0.8071438	0	0.8071438	0.07932745
2460	2.948302	0	2.948302	0.01329487
2470	1.844265	0	1.844265	0.05813451
2480	2.367862	0	2.367862	0.04750761
2490	2.399938	0	2.399938	0.009844499
2500	0.649945	0	0.649945	0.08263673
2510	2.465548	0	2.465548	0.04547852
2520	2.998029	0	2.998029	0.01379915
2530	3.243916	0	3.243916	0.02522521
2540	2.929984	0	2.929984	0.03514094
2550	3.186637	0	3.186637	0.01662748
2560	3.277655	0	3.277655	0.02260449
2570	1.703269	0	1.703269	0.06097523
2580	3.0598	0	3.0598	0.01452334
2590	3.214773	0	3.214773	0.01732824
2600	3.154826	0	3.154826	0.02886102
2610	3.280756	0	3.280756	0.02100456
2620	2.782889	0	2.782889	0.03860717
2630	3.272585	0	3.272585	0.01985757
2640	2.185902	0	2.185902	0.05123246
2650	3.236528	0	3.236528	0.02560965
2660	3.257691	0	3.257691	0.02440914
2670	2.649599	0	2.649599	0.04156284
2680	3.158069	0	3.158069	0.02875129
2690	3.227788	0	3.227788	0.02603217
2700	3.280105	0	3.280105	0.02082665
2710	3.27689	0	3.27689	0.02271587
2720	3.277919	0	3.277919	0.02256362
2730	2.502203	0	2.502203	0.01031447
2740	3.25843	0	3.25843	0.02436021
2750	2.10662	0	2.10662	0.008727282
2760	2.821784	0	2.821784	0.01222699
2770	3.157843	0	3.157843	0.01603527
2780	2.912123	0	2.912123	0.01296189
2790	2.949109	0	2.949109	0.03466674
2800	2.429289	0	2.429289	0.04623476
2810	3.271029	0	3.271029	0.02337655
2820	0.2371618	0	0.2371618	0.09149622
2830	3.162132	0	3.162132	0.01611743
2840	1.845177	0	1.845177	0.05811616
2850	1.000984	0	1.000984	0.07529066
2860	1.105305	0	1.105305	0.07313644
2870	2.200315	0	2.200315	0.009053077
2880	3.280231	0	3.280231	0.02085693
2890	-1.013971	0	-1.013971	0.1201289
2900	3.279299	0	3.279299	0.0223211
2910	-0.1271108	0	-0.1271108	0.09954056
2920	3.036267	0	3.036267	0.032402
2930	2.781856	0	2.781856	0.03863062
2940	3.040751	0	3.040751	0.03227977
2950	3.276129	0	3.276129	0.02021017
2960	2.727563	0	2.727563	0.03985019
2970	3.268872	0	3.268872	0.01956312
2980	2.99206	0	2.99206	0.03357444
2990	-1.446415	0	-1.446415	0.1307325
3000	1.491322	0	1.491322	0.06525721
3010	3.096928	0	3.096928	0.03068358
3020	1.078197	0	1.078197	0.07369507
3030	3.281156	0	3.281156	0.02116323
3040	3.1109	0	3.1109	0.03026379
3050	1.859551	0	1.859551	0.05782662
3060	3.278553	0	3.278553	0.02245922
3070	3.159182	0	3.159182	0.02871339
3080	1.406972	0	1.406972	0.006886193
3090	3.234388	0	3.234388	0.02571599
3100	2.74527	0	2.74527	0.03945515
3110	3.277207	0	3.277207	0.02267087
3120	3.237811	0	3.237811	0.01805283
3130	2.765145	0	2.765145	0.03900868
3140	0.4099726	0	0.4099726	0.08775581
3150	3.270736	0	3.270736	0.01970399
3160	2.746476	0	2.746476	0.03942816
3170	2.608735	0	2.608735	0.04244565
3180	1.977306	0	1.977306	0.05545355
3190	3.21376	0	3.21376	0.01730015
3200	2.887283	0	2.887283	0.03617708
3210	3.279936	0	3.279936	0.02218362
3220	3.188279	0	3.188279	0.02767303
3230	2.41473	0	2.41473	0.04653734
3240	3.012141	0	3.012141	0.01395388
3250	3.264877	0	3.264877	0.02389964
3260	1.61916	0	1.61916	0.06267206
3270	3.054422	0	3.054422	0.03190294
3280	3.281382	0	3.281382	0.02131269
3290	2.974985	0	2.974985	0.03401357
3300	2.494769	0	2.494769	0.04486602
3310	0.9756459	0	0.9756459	0.07581574
3320	3.27798	0	3.27798	0.02044686
3330	1.517753	0	1.517753	0.06472198
3340	3.219946	0	3.219946	0.02638808
3350	2.999915	0	2.999915	0.03337006
3360	3.098463	0	3.098463	0.01505182
3370	3.228861	0	3.228861	0.02598189
3380	1.838718	0	1.838718	0.007917376
3390	3.258383	0	3.258383	0.02436332
3400	3.279652	0	3.279652	0.02224786
3410	3.134752	0	3.134752	0.02951979
3420	3.280389	0	3.280389	0.02206785
3430	2.631616	0	2.631616	0.04195246
3440	3.090035	0	3.090035	0.03088688
3450	1.977788	0	1.977788	0.00831756
3460	3.008232	0	3.008232	0.01391044
3470	0.7301696	0	0.7301696	0.08094371
3480	2.12508	0	2.12508	0.05246694
3490	3.243122	0	3.243122	0.02526792
3500	3.266314	0	3.266314	0.0237866
3510	3.259309	0	3.259309	0.0243011
3520	3.031794	0	3.031794	0.03252323
