Iteration	Posterior	Likelihood	Prior	birth_rate
0	-270.123	-271.4486	1.32556	0.06862501
10	-211.6239	-214.7763	3.1524	0.01593358
20	-211.654	-214.8005	3.146554	0.01582745
30	-211.3881	-214.6	3.21186	0.01724813
40	-212.8749	-215.8332	2.958305	0.01339164
50	-213.3394	-216.5995	3.26013	0.02424496
60	-212.1638	-215.4448	3.281087	0.02182467
70	-211.5159	-214.7853	3.269452	0.01960566
80	-212.1992	-215.255	3.055837	0.01447288
90	-211.3767	-214.6263	3.249559	0.01851318
100	-212.0852	-215.1586	3.073375	0.0147011
110	-211.3754	-214.5932	3.217711	0.01741126
120	-211.6905	-214.968	3.277523	0.02038318
130	-211.9121	-215.1931	3.281083	0.02112856
140	-213.3902	-216.649	3.258837	0.02433299
150	-211.4319	-214.6287	3.196851	0.01686476
160	-211.5984	-214.8726	3.274198	0.02000637
170	-211.7536	-215.0326	3.279041	0.02061397
180	-211.725	-215.0034	3.278417	0.0205118
190	-211.3616	-214.5887	3.227114	0.01769357
200	-211.7678	-214.8935	3.125649	0.01547083
210	-211.7072	-214.9851	3.277975	0.0204461
220	-211.4546	-214.7185	3.26393	0.01923758
230	-211.3885	-214.6002	3.211696	0.01724368
240	-216.129	-218.6576	2.528585	0.01044443
250	-212.0707	-215.1464	3.075636	0.01473149
260	-211.4949	-214.6751	3.180195	0.01648599
270	-211.3878	-214.6406	3.252857	0.01865961
280	-215.0781	-218.2864	3.20825	0.02688714
290	-212.2885	-215.3309	3.042395	0.01430619
300	-211.6798	-214.957	3.277212	0.02034211
310	-211.7135	-214.8489	3.135406	0.01563307
320	-211.4409	-214.7031	3.262284	0.01914069
330	-211.9476	-215.2288	3.281282	0.02123423
340	-211.4459	-214.6387	3.19281	0.01676885
350	-211.7218	-215.0001	3.278339	0.02049995
360	-212.4784	-215.7563	3.277875	0.02257064
370	-211.8305	-215.1108	3.280298	0.02087366
380	-211.5472	-214.7155	3.168248	0.01623796
390	-213.2945	-216.1952	2.900785	0.0128626
400	-211.8544	-215.135	3.28058	0.02095022
410	-211.5322	-214.8028	3.270578	0.01969153
420	-211.4995	-214.7677	3.268202	0.01951533
