Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-219.688	-224.1442	4.45617	0.03221557	0.0243034	0.007912175	0.0243034
10	-254.2481	-258.8484	4.600351	0.08173858	0.03079343	0.05094515	0.03079343
20	-215.7072	-221.9168	6.209675	0.0325636	0.004755303	0.0278083	0.004755303
30	-237.2072	-242.7434	5.536261	0.053372	0.007186548	0.04618545	0.007186548
40	-216.3921	-222.7186	6.326463	0.03484442	0.01063911	0.02420531	0.01063911
50	-290.6141	-294.4304	3.816343	0.08837565	0.00706204	0.08131361	0.00706204
60	-253.6423	-258.5697	4.92735	0.07007072	0.01447003	0.05560069	0.01447003
70	-222.0978	-228.2259	6.128061	0.04098342	0.008263909	0.03271951	0.008263909
80	-301.0048	-300.8531	-0.1517788	0.523136	0.4903452	0.03279072	0.4903452
90	-221.8983	-226.8775	4.979166	0.04228688	0.03146544	0.01082144	0.03146544
100	-220.4408	-226.0099	5.569079	0.04161827	0.02722301	0.01439526	0.02722301
110	-268.1559	-271.1822	3.026304	0.1597254	0.1178644	0.04186102	0.1178644
120	-226.289	-231.7585	5.469557	0.05598987	0.03684586	0.01914401	0.03684586
130	-232.5302	-238.0186	5.488354	0.06163881	0.02932049	0.03231832	0.02932049
140	-235.1313	-240.0516	4.920267	0.07851598	0.05706068	0.0214553	0.05706068
150	-234.8499	-239.9081	5.058163	0.07532455	0.05089608	0.02442847	0.05089608
160	-227.3349	-232.8107	5.475791	0.05807691	0.03722257	0.02085433	0.03722257
170	-280.4386	-282.6766	2.237997	0.1988526	0.1512948	0.04755772	0.1512948
180	-213.9957	-220.3386	6.342991	0.03042211	0.01047524	0.01994687	0.01047524
190	-248.7089	-253.3201	4.611222	0.08624075	0.04398016	0.04226058	0.04398016
200	-224.3372	-230.3916	6.054431	0.04456899	0.01135796	0.03321103	0.01135796
210	-212.0002	-217.9394	5.939275	0.02001332	0.007698293	0.01231503	0.007698293
220	-221.3702	-227.2029	5.832736	0.04486399	0.02572437	0.01913961	0.02572437
230	-269.7273	-272.4529	2.725602	0.1882803	0.1512902	0.03699013	0.1512902
240	-300.7558	-304.004	3.248171	0.1070193	0.02290983	0.08410952	0.02290983
250	-220.8333	-226.2004	5.367026	0.04153226	0.02869973	0.01283253	0.02869973
260	-224.5394	-229.6398	5.10035	0.05062582	0.03762026	0.01300556	0.03762026
270	-210.1071	-215.0576	4.950577	0.01893674	0.001077539	0.0178592	0.001077539
280	-228.5033	-234.1866	5.683285	0.05584878	0.02672167	0.0291271	0.02672167
290	-275.265	-277.5775	2.312546	0.2157922	0.1774444	0.03834779	0.1774444
300	-257.2169	-261.3644	4.147503	0.09947977	0.0523322	0.04714757	0.0523322
310	-215.1203	-220.3064	5.186166	0.02186594	0.01288603	0.008979912	0.01288603
320	-214.912	-219.9111	4.999163	0.01699317	0.008898957	0.008094217	0.008898957
330	-227.2328	-232.9834	5.750534	0.05376776	0.02543735	0.0283304	0.02543735
340	-278.9346	-281.0264	2.091763	0.2270204	0.1862161	0.04080428	0.1862161
350	-220.6074	-226.8032	6.19579	0.04000073	0.009778741	0.03022199	0.009778741
360	-246.3883	-251.5266	5.138316	0.05888473	0.005408686	0.05347605	0.005408686
370	-236.6234	-242.1368	5.513429	0.0588269	0.01723806	0.04158884	0.01723806
380	-210.9145	-217.1111	6.196598	0.02133951	0.006155346	0.01518417	0.006155346
390	-311.8551	-312.6018	0.7467432	0.2522438	0.183107	0.06913682	0.183107
400	-234.8343	-239.8799	5.045606	0.07561458	0.0515667	0.02404788	0.0515667
410	-215.1968	-220.3831	5.186299	0.02221233	0.01319869	0.009013635	0.01319869
420	-241.2827	-245.8013	4.518617	0.09660039	0.07361715	0.02298324	0.07361715
430	-255.0116	-258.5549	3.543271	0.1485635	0.1232093	0.0253542	0.1232093
