Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-211.1995	-217.2321	6.032533	0.01933582	0.006066327	0.0132695	0.006066327
10	-210.6865	-216.5621	5.875658	0.01706788	0.003805877	0.01326201	0.003805877
20	-211.8234	-218.1485	6.325082	0.02525358	0.007794505	0.01745907	0.007794505
30	-212.295	-218.6647	6.36971	0.02700334	0.007765125	0.01923822	0.007765125
40	-210.0444	-216.1439	6.099488	0.02012242	0.003765663	0.01635676	0.003765663
50	-209.9171	-215.6863	5.769258	0.02097569	0.002120625	0.01885506	0.002120625
60	-210.0727	-215.8571	5.784367	0.01742098	0.002672599	0.01474838	0.002672599
70	-210.6207	-214.9549	4.334195	0.01711497	0.0007512567	0.01636371	0.0007512567
80	-210.1509	-215.1333	4.982366	0.01725191	0.001160538	0.01609137	0.001160538
90	-209.997	-216.0976	6.100674	0.02070803	0.00353478	0.01717325	0.00353478
100	-212.2142	-217.0689	4.854775	0.013139	0.001452915	0.01168608	0.001452915
110	-210.2872	-216.2383	5.951111	0.02266012	0.002566301	0.02009381	0.002566301
120	-210.4486	-216.1297	5.681174	0.01630411	0.002628758	0.01367535	0.002628758
130	-211.0173	-214.9466	3.929328	0.0166528	0.0006022015	0.01605059	0.0006022015
140	-210.3496	-216.5454	6.195834	0.02266203	0.003879921	0.01878211	0.003879921
150	-211.0243	-217.2866	6.262326	0.02475635	0.004271214	0.02048513	0.004271214
160	-213.0849	-218.2062	5.121227	0.01269474	0.002411074	0.01028367	0.002411074
170	-211.9264	-218.2974	6.37107	0.0265129	0.006525739	0.01998716	0.006525739
180	-210.9264	-215.1493	4.222923	0.01600352	0.0007293057	0.01527422	0.0007293057
190	-211.043	-217.1623	6.119261	0.0248119	0.003226994	0.02158491	0.003226994
200	-211.2039	-217.3033	6.099397	0.0203547	0.006505103	0.0138496	0.006505103
210	-213.2807	-219.2326	5.951933	0.02852913	0.002715692	0.02581344	0.002715692
220	-210.5724	-216.8224	6.250045	0.02207206	0.005214555	0.01685751	0.005214555
230	-209.8102	-215.3847	5.574542	0.01821163	0.001892957	0.01631867	0.001892957
240	-209.8961	-215.8792	5.983107	0.01929594	0.003130082	0.01616586	0.003130082
250	-210.5128	-216.4153	5.902487	0.01737325	0.003700524	0.01367272	0.003700524
260	-210.8419	-215.9481	5.106189	0.0150031	0.001483947	0.01351916	0.001483947
270	-210.1757	-215.2687	5.092928	0.02028435	0.001168663	0.01911569	0.001168663
280	-210.5125	-216.392	5.879522	0.01720193	0.003574233	0.0136277	0.003574233
290	-210.5328	-216.764	6.231194	0.0216521	0.00517982	0.01647228	0.00517982
300	-211.6674	-217.0078	5.340421	0.02484631	0.001406092	0.02344021	0.001406092
310	-210.3209	-215.3724	5.051534	0.02081016	0.001126832	0.01968332	0.001126832
320	-209.7593	-215.554	5.794646	0.0195861	0.002288814	0.01729729	0.002288814
330	-210.3467	-216.5407	6.194068	0.02104023	0.004693595	0.01634664	0.004693595
340	-209.7604	-215.4492	5.68878	0.01884581	0.002084546	0.01676127	0.002084546
350	-211.2516	-217.0214	5.769779	0.02477146	0.002076688	0.02269477	0.002076688
360	-211.3477	-217.2374	5.889695	0.0175758	0.00525605	0.01231975	0.00525605
370	-209.857	-215.8072	5.950215	0.01922858	0.002955283	0.0162733	0.002955283
380	-210.5631	-216.8229	6.259779	0.0223831	0.005073959	0.01730914	0.005073959
390	-213.4449	-219.8255	6.380571	0.02957852	0.008655888	0.02092263	0.008655888
400	-209.9805	-215.7445	5.764069	0.01762361	0.002522113	0.0151015	0.002522113
410	-211.0186	-217.3258	6.307162	0.02355273	0.006070781	0.01748195	0.006070781
420	-210.1231	-216.2787	6.155555	0.02104326	0.00395632	0.01708694	0.00395632
430	-210.4258	-215.6912	5.265383	0.01584523	0.001609254	0.01423598	0.001609254
440	-210.1541	-216.2553	6.101144	0.02212788	0.003258861	0.01886902	0.003258861
450	-210.321	-215.9866	5.665666	0.0164856	0.002481241	0.01400436	0.002481241
460	-212.1673	-218.1526	5.985364	0.02125244	0.008532525	0.01271992	0.008532525
470	-210.9884	-216.538	5.549604	0.02383439	0.001669243	0.02216515	0.001669243
480	-209.8877	-215.222	5.334265	0.01805053	0.001504518	0.01654601	0.001504518
490	-210.4452	-216.6832	6.238008	0.0227276	0.004350659	0.01837694	0.004350659
500	-211.9037	-218.1777	6.274052	0.02674434	0.004385708	0.02235863	0.004385708
510	-211.9747	-218.1691	6.194444	0.02679624	0.003729145	0.0230671	0.003729145
520	-210.231	-215.1705	4.939449	0.01691833	0.00113874	0.01577959	0.00113874
530	-211.9641	-214.9104	2.946373	0.01621413	0.0003717405	0.01584239	0.0003717405
540	-210.5059	-216.5533	6.047404	0.01880549	0.004529965	0.01427553	0.004529965
550	-210.941	-217.0559	6.114913	0.02010207	0.00591511	0.01418696	0.00591511
560	-210.4195	-216.3835	5.963967	0.01795603	0.003897227	0.0140588	0.003897227
570	-210.5963	-216.6177	6.021418	0.02362683	0.002797	0.02082983	0.002797
580	-212.0018	-218.3253	6.323483	0.02561873	0.008162644	0.01745609	0.008162644
590	-209.8201	-215.3094	5.489296	0.01826637	0.001727038	0.01653933	0.001727038
600	-210.2466	-216.3345	6.087916	0.02254673	0.003144092	0.01940264	0.003144092
610	-211.2645	-217.6043	6.339738	0.02474656	0.00599958	0.01874698	0.00599958
620	-209.8203	-215.3078	5.487535	0.01943483	0.001651239	0.0177836	0.001651239
630	-210.4872	-216.7363	6.249147	0.02224072	0.004866605	0.01737411	0.004866605
640	-213.6399	-219.8325	6.192611	0.02814493	0.01203072	0.0161142	0.01203072
650	-211.6213	-217.0963	5.474979	0.02499319	0.001575	0.02341819	0.001575
660	-210.1915	-216.0813	5.889841	0.01768073	0.003206921	0.01447381	0.003206921
670	-210.2832	-215.9923	5.709091	0.02229971	0.001949695	0.02035002	0.001949695
680	-210.0331	-215.3811	5.348035	0.017047	0.001602409	0.0154446	0.001602409
690	-210.1876	-216.0519	5.864283	0.02223223	0.002315458	0.01991677	0.002315458
700	-210.2027	-216.3441	6.141438	0.02222582	0.003507867	0.01871795	0.003507867
710	-209.8629	-215.848	5.985169	0.01961384	0.003049257	0.01656459	0.003049257
720	-211.3618	-217.2738	5.911972	0.02521907	0.00244073	0.02277834	0.00244073
730	-211.5283	-217.8658	6.337492	0.02490809	0.00696975	0.01793834	0.00696975
740	-211.7941	-218.159	6.364902	0.02628436	0.006172865	0.02011149	0.006172865
750	-209.8192	-215.7516	5.932345	0.01942969	0.002816568	0.01661313	0.002816568
760	-209.8168	-215.5487	5.731893	0.02026963	0.002070948	0.01819868	0.002070948
770	-210.0108	-215.3233	5.312535	0.01719647	0.001536025	0.01566045	0.001536025
780	-210.9073	-217.0476	6.140285	0.02043624	0.00595305	0.01448319	0.00595305
790	-213.1767	-219.4744	6.297754	0.02808793	0.01040441	0.01768352	0.01040441
800	-211.1497	-217.3316	6.181841	0.0215214	0.006703181	0.01481822	0.006703181
810	-209.9007	-215.2446	5.343908	0.01953188	0.001447374	0.0180845	0.001447374
820	-210.0345	-216.0475	6.012992	0.02169596	0.002856167	0.0188398	0.002856167
830	-210.8041	-216.729	5.924943	0.01750098	0.00432867	0.01317231	0.00432867
840	-209.9356	-215.9975	6.061929	0.02063118	0.003269736	0.01736145	0.003269736
850	-211.0198	-217.203	6.183223	0.02479345	0.003602267	0.02119118	0.003602267
860	-210.0341	-215.1306	5.096433	0.0176852	0.00124773	0.01643747	0.00124773
870	-210.1843	-215.8519	5.667621	0.02189667	0.001876148	0.02002052	0.001876148
880	-210.8977	-215.624	4.726261	0.0218495	0.0008967241	0.02095277	0.0008967241
890	-210.1061	-215.3039	5.197756	0.02031662	0.001265582	0.01905104	0.001265582
900	-210.8101	-216.898	6.087965	0.01952448	0.005444734	0.01407974	0.005444734
910	-210.2914	-216.3193	6.027871	0.01868722	0.004013813	0.0146734	0.004013813
920	-210.0306	-215.3616	5.330953	0.0170759	0.001573606	0.01550229	0.001573606
930	-209.9191	-215.9336	6.014562	0.02096094	0.002944866	0.01801608	0.002944866
940	-210.6687	-215.6579	4.989256	0.02184382	0.001070755	0.02077306	0.001070755
950	-210.6446	-216.815	6.170364	0.02059613	0.005423498	0.01517263	0.005423498
960	-211.0531	-216.9606	5.907482	0.01744255	0.004704679	0.01273787	0.004704679
970	-210.1146	-215.0524	4.937815	0.01891104	0.001068277	0.01784277	0.001068277
980	-210.6369	-216.8966	6.259707	0.02348874	0.004429199	0.01905954	0.004429199
990	-212.1592	-216.4835	4.324294	0.02393451	0.0007050689	0.02322944	0.0007050689
1000	-210.34	-216.5479	6.207985	0.02138626	0.004632839	0.01675343	0.004632839
1010	-209.784	-215.3193	5.53535	0.01888411	0.001762286	0.01712182	0.001762286
1020	-210.0536	-216.1718	6.118232	0.02047432	0.003794353	0.01667997	0.003794353
1030	-210.8263	-216.8144	5.988095	0.02416951	0.002669616	0.0214999	0.002669616
1040	-210.2345	-215.1132	4.878743	0.01966466	0.001010657	0.018654	0.001010657
1050	-210.2891	-216.1193	5.830139	0.01717184	0.003063252	0.01410859	0.003063252
1060	-209.8743	-215.4013	5.52704	0.02012496	0.001683892	0.01844106	0.001683892
1070	-210.1138	-216.0323	5.918542	0.01802246	0.003230041	0.01479242	0.003230041
1080	-213.5509	-219.8861	6.335229	0.02935985	0.01026953	0.01909032	0.01026953
1090	-211.1335	-216.8052	5.671728	0.01554832	0.003221445	0.01232687	0.003221445
1100	-210.8707	-217.1732	6.302558	0.02396984	0.005051305	0.01891853	0.005051305
1110	-212.6809	-218.187	5.506092	0.01493805	0.004708752	0.0102293	0.004708752
